,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1255,ROOM/BED: Intensive Care,,9350.13,Adventist Health Clearlake,2019
1,7211,ROOM/BED: Med/Surg Private,,4935.76,Adventist Health Clearlake,2019
2,17509,ROOM/BED: Newborn Routine,,3172.4,Adventist Health Clearlake,2019
3,21253,ROOM/BED: Med/Surg Semi-Private,,4390.68,Adventist Health Clearlake,2019
4,27003,ROOM/BED: Obstetrics LDRP Semi-Private,,4561.25,Adventist Health Clearlake,2019
5,27508,ROOM/BED: Newborn - Level 2,,4769.42,Adventist Health Clearlake,2019
6,31245,ROOM/BED: SNF Semi-Private TCU,,3164.26,Adventist Health Clearlake,2019
7,37507,ROOM/BED: Newborn - Level 3,,5655.63,Adventist Health Clearlake,2019
8,42309,ROOM/BED: NICU - Level 4,,4919.59,Adventist Health Clearlake,2019
9,51250,ROOM/BED: Pediatrics Semi-Private,,4020.4,Adventist Health Clearlake,2019
10,61259,ROOM/BED: Intermediate ICU/Tele,,5276.9,Adventist Health Clearlake,2019
11,91256,ROOM/BED: Isolation,,5655.63,Adventist Health Clearlake,2019
12,100081,OBSRV LABOR ROOM/HR,G0378,230.97,Adventist Health Clearlake,2019
13,200121,L&D/INTRAPARTUM LEVEL1/HR,,202.18,Adventist Health Clearlake,2019
14,200139,L&D/INTRAPARTUM LEVEL2/HR,,336.63,Adventist Health Clearlake,2019
15,200147,L&D/ANTEPARTUM LEVEL 3/HR,,560.03,Adventist Health Clearlake,2019
16,200154,L&D/ANTEPARTUM LEVEL 4/HR,,784.44,Adventist Health Clearlake,2019
17,200360,LACTATION EDUC 30M,S9443,48.53,Adventist Health Clearlake,2019
18,200378,VAGINAL DELIVERY LEVEL 1,,5708.44,Adventist Health Clearlake,2019
19,200386,VAGINAL DELIVERY LEVEL 2,,7993.02,Adventist Health Clearlake,2019
20,200410,FETAL CONTR STRESS TEST,,1129.15,Adventist Health Clearlake,2019
21,200428,FETAL NON-STRESS TEST,,893.72,Adventist Health Clearlake,2019
