,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,24,0024 CMG,,0.01,Adventist Health Glendale,2019
1,1016,ROOM/BED: Detox Semi-Private,,5411.0,Adventist Health Glendale,2019
2,1255,ROOM/BED: Intensive Care,,13877.0,Adventist Health Glendale,2019
3,2519,ROOM/BED: Psychiatric Semi-Private,,4927.0,Adventist Health Glendale,2019
4,7211,ROOM/BED: Med/Surg Private,,4286.0,Adventist Health Glendale,2019
5,11700,ROOM/BED: Oncology Private,,4286.0,Adventist Health Glendale,2019
6,12518,ROOM/BED: Coronary Care,,13877.0,Adventist Health Glendale,2019
7,14019,ROOM/BED: Psychiatric Private,,5411.0,Adventist Health Glendale,2019
8,14514,ROOM/BED: Detox Private,,5986.0,Adventist Health Glendale,2019
9,14530,ROOM/BED: Rehab Private,,4578.0,Adventist Health Glendale,2019
10,17509,ROOM/BED: Newborn Routine,,2196.0,Adventist Health Glendale,2019
11,21253,ROOM/BED: Med/Surg Semi-Private,,3897.0,Adventist Health Glendale,2019
12,21709,ROOM/BED: Oncology Semi-Private,,3897.0,Adventist Health Glendale,2019
13,22202,ROOM/BED: Surgical Intensive Care,,13877.0,Adventist Health Glendale,2019
14,24539,ROOM/BED: Rehab Semi-Private,,4376.0,Adventist Health Glendale,2019
15,27003,ROOM/BED: Obstetrics LDRP Semi-Private,,3847.0,Adventist Health Glendale,2019
16,27508,ROOM/BED: Newborn - Level 2 NICU,,10318.0,Adventist Health Glendale,2019
17,31245,ROOM/BED: SNF Semi-Private TCU,,2098.0,Adventist Health Glendale,2019
18,35006,ROOM/BED: Rehab Semi-Private 3 or 4 Beds,,4168.0,Adventist Health Glendale,2019
19,37507,ROOM/BED: Newborn - Level 3 NICU,,12086.0,Adventist Health Glendale,2019
20,42309,ROOM/BED: NICU - Level 4 NICU,,13134.0,Adventist Health Glendale,2019
21,51250,ROOM/BED: Pediatrics Semi-Private,,3387.0,Adventist Health Glendale,2019
22,61259,ROOM/BED: Intermediate ICU/Tele,,6601.0,Adventist Health Glendale,2019
23,62109,ROOM/BED: Intermediate CCU/Tele,,6601.0,Adventist Health Glendale,2019
24,91256,ROOM/BED: Isolation,,7259.0,Adventist Health Glendale,2019
25,100214,OBSRV ASMT DIRECT ADMIT1,G0379,669.0,Adventist Health Glendale,2019
26,200022,L&D ANES LEVEL 1 1ST HR,Z7610,675.0,Adventist Health Glendale,2019
27,200030,L&D ANES LEVEL 1 ADDL 30M,Z7610,267.0,Adventist Health Glendale,2019
28,200048,L&D ANES LEVEL 2 1ST HR,Z7610,824.0,Adventist Health Glendale,2019
29,200055,L&D ANES LEVEL 2 ADDL 30M,Z7610,332.0,Adventist Health Glendale,2019
30,200063,L&D ANES LEVEL 3 1ST HR,Z7610,937.0,Adventist Health Glendale,2019
31,200071,L&D ANES LEVEL 3 ADDL 30M,Z7610,372.0,Adventist Health Glendale,2019
32,200089,L&D ANES LEVEL 4 1ST HR,Z7610,1033.0,Adventist Health Glendale,2019
33,200097,L&D ANES LEVEL 4 ADDL 30M,Z7610,414.0,Adventist Health Glendale,2019
34,200105,L&D ANES LEVEL 5 1ST HR,Z7610,1161.0,Adventist Health Glendale,2019
35,200113,L&D ANES LEVEL 5 ADDL 30M,Z7610,464.0,Adventist Health Glendale,2019
36,200121,L&D/INTRAPARTUM LEVEL1/HR,,282.0,Adventist Health Glendale,2019
37,200139,L&D/INTRAPARTUM LEVEL2/HR,,350.0,Adventist Health Glendale,2019
38,200147,L&D/ANTEPARTUM LEVEL 3/HR,,399.0,Adventist Health Glendale,2019
39,200154,L&D/ANTEPARTUM LEVEL 4/HR,,454.0,Adventist Health Glendale,2019
40,200162,L&D PACU LEVEL 1 1ST HR,Z7512,777.0,Adventist Health Glendale,2019
41,200170,L&D PACU LEVEL 1 ADDL 30M,Z7512,310.0,Adventist Health Glendale,2019
42,200188,L&D PACU LEVEL 2 1ST HR,Z7512,907.0,Adventist Health Glendale,2019
43,200196,L&D PACU LEVEL 2 ADDL 30M,Z7512,363.0,Adventist Health Glendale,2019
44,200204,L&D PACU LEVEL 3 1ST HR,Z7512,1045.0,Adventist Health Glendale,2019
45,200212,L&D PACU LEVEL 3 ADDL 30M,Z7512,416.0,Adventist Health Glendale,2019
46,200220,L&D PACU LEVEL 4 1ST HR,Z7512,1220.0,Adventist Health Glendale,2019
47,200238,L&D PACU LEVEL 4 ADDL 30M,Z7512,487.0,Adventist Health Glendale,2019
48,200246,L&D PACU LEVEL 5 1ST HR,Z7512,1350.0,Adventist Health Glendale,2019
49,200253,L&D PACU LEVEL 5 ADDL 30M,Z7512,540.0,Adventist Health Glendale,2019
50,200261,L&D SURG LEVEL 1 1ST HR,Z7506,13664.0,Adventist Health Glendale,2019
51,200279,L&D SURG LEVEL 1 ADDL 30M,Z7508,1368.0,Adventist Health Glendale,2019
52,200287,L&D SURG LEVEL 2 1ST HR,Z7506,15028.0,Adventist Health Glendale,2019
53,200295,L&D SURG LEVEL 2 ADDL 30M,Z7508,1504.0,Adventist Health Glendale,2019
