,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1255,ROOM/BED: Intensive Care,,4531.0,Adventist Health Hanford,2019
1,17509,ROOM/BED: Newborn Routine,,2126.0,Adventist Health Hanford,2019
2,21253,ROOM/BED: Med/Surg Semi-Private,,2126.0,Adventist Health Hanford,2019
3,27003,ROOM/BED: Obstetrics LDRP Semi-Private,,2126.0,Adventist Health Hanford,2019
4,27508,ROOM/BED: Newborn - Level 2,,2126.0,Adventist Health Hanford,2019
5,37507,ROOM/BED: Newborn - Level 3,,2126.0,Adventist Health Hanford,2019
6,51250,ROOM/BED: Pediatrics Semi-Private,,2126.0,Adventist Health Hanford,2019
7,61259,ROOM/BED: Intermediate ICU/Tele,,2126.0,Adventist Health Hanford,2019
8,91256,ROOM/BED: Isolation,,2441.0,Adventist Health Hanford,2019
9,100065,OBSRV ICU/HR,G0378,188.75,Adventist Health Hanford,2019
10,100081,OBSRV LABOR ROOM/HR,G0378,88.2,Adventist Health Hanford,2019
11,100115,OBSRV M/S/GYN2/HR,G0378,88.2,Adventist Health Hanford,2019
12,100131,OBSRV M/S/GYN4/HR,G0378,88.2,Adventist Health Hanford,2019
13,100222,OBSRV M/S/GYN5/HR 01,G0378,88.2,Adventist Health Hanford,2019
14,100271,OBSRV M/S/GYN3/HR,G0378,88.2,Adventist Health Hanford,2019
15,100339,OBSRV AMB1/HR,G0378,88.2,Adventist Health Hanford,2019
16,200022,L&D ANES LEVEL 1 1ST HR,Z7610,725.83,Adventist Health Hanford,2019
17,200048,L&D ANES LEVEL 2 1ST HR,Z7610,853.92,Adventist Health Hanford,2019
18,200055,L&D ANES LEVEL 2 ADDL 30M,Z7610,341.55,Adventist Health Hanford,2019
19,200063,L&D ANES LEVEL 3 1ST HR,Z7610,1003.94,Adventist Health Hanford,2019
20,200071,L&D ANES LEVEL 3 ADDL 30M,Z7610,401.57,Adventist Health Hanford,2019
21,200089,L&D ANES LEVEL 4 1ST HR,Z7610,1155.13,Adventist Health Hanford,2019
22,200097,L&D ANES LEVEL 4 ADDL 30M,Z7610,505.86,Adventist Health Hanford,2019
23,200121,L&D/INTRAPARTUM LEVEL1/HR,,212.87,Adventist Health Hanford,2019
24,200139,L&D/INTRAPARTUM LEVEL2/HR,,224.07,Adventist Health Hanford,2019
25,200147,L&D/ANTEPARTUM LEVEL 3/HR,,235.27,Adventist Health Hanford,2019
26,200154,L&D/ANTEPARTUM LEVEL 4/HR,,246.48,Adventist Health Hanford,2019
27,200162,L&D PACU LEVEL 1 1ST HR,Z7512,744.05,Adventist Health Hanford,2019
28,200170,L&D PACU LEVEL 1 ADDL 30M,Z7512,297.6,Adventist Health Hanford,2019
29,200188,L&D PACU LEVEL 2 1ST HR,Z7512,934.27,Adventist Health Hanford,2019
30,200196,L&D PACU LEVEL 2 ADDL 30M,Z7512,373.88,Adventist Health Hanford,2019
31,200204,L&D PACU LEVEL 3 1ST HR,Z7512,1098.58,Adventist Health Hanford,2019
32,200212,L&D PACU LEVEL 3 ADDL 30M,Z7512,439.44,Adventist Health Hanford,2019
33,200220,L&D PACU LEVEL 4 1ST HR,Z7512,1263.81,Adventist Health Hanford,2019
34,200238,L&D PACU LEVEL 4 ADDL 30M,Z7512,505.86,Adventist Health Hanford,2019
35,200246,L&D PACU LEVEL 5 1ST HR,Z7512,1361.8,Adventist Health Hanford,2019
36,200253,L&D PACU LEVEL 5 ADDL 30M,Z7512,545.1,Adventist Health Hanford,2019
37,200287,L&D SURG LEVEL 2 1ST HR,Z7506,4626.41,Adventist Health Hanford,2019
38,200295,L&D SURG LEVEL 2 ADDL 30M,Z7508,1881.81,Adventist Health Hanford,2019
39,200303,L&D SURG LEVEL 3 1ST HR,Z7506,5550.53,Adventist Health Hanford,2019
40,200311,L&D SURG LEVEL 3 ADDL 30M,Z7508,2256.71,Adventist Health Hanford,2019
41,200329,L&D SURG LEVEL 4 1ST HR,Z7506,7884.22,Adventist Health Hanford,2019
42,200337,L&D SURG LEVEL 4 ADDL 30M,Z7508,3186.06,Adventist Health Hanford,2019
43,200360,LACTATION EDUC 30M,S9443,67.22,Adventist Health Hanford,2019
44,200378,VAGINAL DELIVERY LEVEL 1,,2151.07,Adventist Health Hanford,2019
45,200386,VAGINAL DELIVERY LEVEL 2,,2330.33,Adventist Health Hanford,2019
46,200402,INJ AMNIOCENTESIS,,431.33,Adventist Health Hanford,2019
47,200410,FETAL CONTR STRESS TEST,,448.25,Adventist Health Hanford,2019
48,200428,FETAL NON-STRESS TEST,,448.25,Adventist Health Hanford,2019
49,200436,US PREG UTERUS >1ST SNGL,,602.46,Adventist Health Hanford,2019
50,200451,US PREG UTERUS LTD 1+,,625.26,Adventist Health Hanford,2019
51,200469,US PREG UTERUS F-UP/FETUS,,361.16,Adventist Health Hanford,2019
52,200477,US BIOPHYS PROF W/NST,,602.46,Adventist Health Hanford,2019
53,200485,US BIOPHYS PROF WO NST,,602.46,Adventist Health Hanford,2019
54,200493,US GUIDE AMNIOCENTESIS,,755.44,Adventist Health Hanford,2019
55,200501,VACCINE ADMIN SNGL,,108.19,Adventist Health Hanford,2019
56,200519,VACCINE ADMIN EA ADDL,,108.19,Adventist Health Hanford,2019
57,200600,INJECTION IM/SQ,,101.74,Adventist Health Hanford,2019
58,200642,NEONATAL RESUSCITATION,,885.93,Adventist Health Hanford,2019
59,200659,OBSRV L&D LEVEL 1/HR,G0378,94.11,Adventist Health Hanford,2019
60,200675,CIRCUMCISION,,1511.67,Adventist Health Hanford,2019
61,200683,OBSRV L&D LEVEL 2/HR,G0378,94.11,Adventist Health Hanford,2019
62,200691,OBSRV L&D LEVEL 3/HR,G0378,94.11,Adventist Health Hanford,2019
63,200709,OBSRV L&D LEVEL 4/HR,G0378,94.11,Adventist Health Hanford,2019
64,200717,LACTATION EDUC 15M,S9443,34.14,Adventist Health Hanford,2019
65,200725,LACTATION EDUC 45M,S9443,101.37,Adventist Health Hanford,2019
66,200733,LACTATION EDUC 60M,S9443,134.44,Adventist Health Hanford,2019
67,200741,INJ EPIDURAL,Z7610,448.14,Adventist Health Hanford,2019
