,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1255,ROOM/BED: Intensive Care,,9019.96,Adventist Health Howard Memorial,2019
1,7211,ROOM/BED: Med/Surg Private,,3758.63,Adventist Health Howard Memorial,2019
2,15206,ROOM/BED: SNF Private,,2313.66,Adventist Health Howard Memorial,2019
3,21253,ROOM/BED: Med/Surg Semi-Private,,3758.63,Adventist Health Howard Memorial,2019
4,31245,ROOM/BED: SNF Semi-Private TCU,,2313.56,Adventist Health Howard Memorial,2019
5,61259,ROOM/BED: Intermediate ICU/Tele,,4509.37,Adventist Health Howard Memorial,2019
6,91256,ROOM/BED: Isolation,,4175.17,Adventist Health Howard Memorial,2019
7,400010,SURG LEVEL 1 1ST HR 04,Z7506,1899.05,Adventist Health Howard Memorial,2019
8,400028,SURG LEVEL 1 ADDL 30M 04,Z7508,759.88,Adventist Health Howard Memorial,2019
9,400036,SURG LEVEL 2 1ST HR 04,Z7506,5178.75,Adventist Health Howard Memorial,2019
10,400044,SURG LEVEL 2 ADDL 30M 04,Z7508,2072.29,Adventist Health Howard Memorial,2019
11,400051,SURG LEVEL 3 1ST HR 04,Z7506,10551.75,Adventist Health Howard Memorial,2019
12,400069,SURG LEVEL 3 ADDL 30M 04,Z7508,4220.71,Adventist Health Howard Memorial,2019
13,400077,SURG LEVEL 4 1ST HR 04,Z7506,18464.24,Adventist Health Howard Memorial,2019
14,400085,SURG LEVEL 4 ADDL 30M 04,Z7508,6715.58,Adventist Health Howard Memorial,2019
15,400093,SURG LEVEL 5 1ST HR 04,Z7506,23271.17,Adventist Health Howard Memorial,2019
16,400101,SURG LEVEL 5 ADDL 30M 04,Z7508,9308.99,Adventist Health Howard Memorial,2019
17,400127,TREATMENT ROOM 04,Z7500,1224.19,Adventist Health Howard Memorial,2019
18,450023,AGENT HEMOSTASIS 01,Z7610,164.34,Adventist Health Howard Memorial,2019
19,450072,BARRIER ADHESION,L8699,814.14,Adventist Health Howard Memorial,2019
20,450155,CABLE ORTHO/SPINE 0104,L8699,521.14,Adventist Health Howard Memorial,2019
21,450163,CAGE/SPACER SPINE 01,L8699,4622.13,Adventist Health Howard Memorial,2019
22,450205,CATH ABL NON-CARDIAC04,C1886,2527.85,Adventist Health Howard Memorial,2019
23,450320,CATH HEMO LONG TERM,C1750,287.6,Adventist Health Howard Memorial,2019
24,450403,CATH SPEC/OTHER 01 04,Z7610,312.47,Adventist Health Howard Memorial,2019
25,450411,CATH SUPRAPUBIC/CYSTO,C2627,792.52,Adventist Health Howard Memorial,2019
26,450486,BONE CEMENT/FILL/PUTTY 0104,L8699,321.77,Adventist Health Howard Memorial,2019
27,450627,DEVICE VASC CLOSURE IMPL,C1760,210.83,Adventist Health Howard Memorial,2019
28,451161,INTRO/SHEATH NON-CARDIAC,Z7610,210.83,Adventist Health Howard Memorial,2019
29,451187,INTRO/SHEATH NON-LASER,C1894,234.19,Adventist Health Howard Memorial,2019
30,451252,LEAD NEUROSTM KT 01 04,C1897,329.77,Adventist Health Howard Memorial,2019
31,451294,LENS IOL 01,Z7610,494.11,Adventist Health Howard Memorial,2019
32,451369,ROD/NAIL/PIN ORTHO/SPINE02,L8699,317.82,Adventist Health Howard Memorial,2019
33,451526,PCMKR DUAL RR 01,C1785,13188.48,Adventist Health Howard Memorial,2019
34,451542,PCMKR SNGL NON-RR 01 04,C2620,13188.48,Adventist Health Howard Memorial,2019
35,451567,ANCHOR/SCREW BONE 0304,L8699,634.56,Adventist Health Howard Memorial,2019
36,451575,ANCHOR/SCREW BONE 04,L8699,966.44,Adventist Health Howard Memorial,2019
37,451781,ROD/NAIL/PIN ORTH/SPINE0304,L8699,625.81,Adventist Health Howard Memorial,2019
38,451799,ROD/NAIL/PIN ORTH/SPINE04,L8699,941.3,Adventist Health Howard Memorial,2019
39,451807,ROD/NAIL/PIN ORTHO/SPINE05,L8699,973.08,Adventist Health Howard Memorial,2019
40,451815,ROD/NAIL/PIN ORTHO/SPINE06,L8699,1180.14,Adventist Health Howard Memorial,2019
41,451823,ROD/NAIL/PIN ORTH/SPINE07,L8699,2332.74,Adventist Health Howard Memorial,2019
42,451831,ROD/NAIL/PIN ORTH/SPINE08,L8699,3244.32,Adventist Health Howard Memorial,2019
43,451849,ROD/NAIL/PIN ORTHO/SPINE09,L8699,4945.41,Adventist Health Howard Memorial,2019
44,451856,ROD/NAIL/PIN ORTHO/SPINE10,L8699,6424.57,Adventist Health Howard Memorial,2019
45,451864,ROD/NAIL/PIN ORTHO/SPINE11,L8699,7976.45,Adventist Health Howard Memorial,2019
46,451948,PLATE ORTHO/SPINE 03,L8699,647.09,Adventist Health Howard Memorial,2019
47,451955,PLATE ORTHO/SPINE 04 04,L8699,989.3,Adventist Health Howard Memorial,2019
48,451971,PLATE ORTHO/SPINE 06,L8699,1582.16,Adventist Health Howard Memorial,2019
49,451989,PLATE ORTHO/SPINE 07,L8699,2350.23,Adventist Health Howard Memorial,2019
50,451997,PLATE ORTHO/SPINE 08,L8699,3216.77,Adventist Health Howard Memorial,2019
51,452003,PORT INDWELLING 02,L8699,659.53,Adventist Health Howard Memorial,2019
52,452011,PORT INDWELLING 03,L8699,688.65,Adventist Health Howard Memorial,2019
53,452052,PORT INDWELLING 01 04,L8699,311.1,Adventist Health Howard Memorial,2019
54,452128,RECORDER CARDIAC EVENT,C1764,12633.82,Adventist Health Howard Memorial,2019
55,452144,RESTRICTOR CEMENT 0 04,L8699,291.72,Adventist Health Howard Memorial,2019
56,452169,ROD/NAIL/PIN ORTH/SPINE01,L8699,155.04,Adventist Health Howard Memorial,2019
57,452326,IMP SEALANT LQ 0104,Z7610,417.34,Adventist Health Howard Memorial,2019
58,452367,IMP SEALANT LQ 04 04,Z7610,1250.95,Adventist Health Howard Memorial,2019
59,452466,STENT NON-COR TEMP WO 01,L8699,308.11,Adventist Health Howard Memorial,2019
60,452490,TISS CONN HUMAN 01,L8699,626.01,Adventist Health Howard Memorial,2019
61,452599,PLATE ORTHO/SPINE 0504,L8699,1263.07,Adventist Health Howard Memorial,2019
62,452722,IMP SEALANT LQ 03,Z7610,973.08,Adventist Health Howard Memorial,2019
63,452730,IMP SEALANT LQ 02,Z7610,695.21,Adventist Health Howard Memorial,2019
64,452797,AGENT HEMOSTASIS 0204,Z7610,329.77,Adventist Health Howard Memorial,2019
65,452805,AGENT HEMOSTASIS 0304,Z7610,347.07,Adventist Health Howard Memorial,2019
66,452904,ANCHOR/SCREW BONE 05,L8699,1281.73,Adventist Health Howard Memorial,2019
67,452912,ANCHOR/SCREW BONE 0604,L8699,1572.47,Adventist Health Howard Memorial,2019
68,453019,BONE HUMAN/SYN 04 04,L8699,1281.73,Adventist Health Howard Memorial,2019
69,453027,BONE HUMAN/SYN 05 04 045,L8699,1574.17,Adventist Health Howard Memorial,2019
70,453035,BONE HUMAN/SYN 06 04 045,L8699,1442.28,Adventist Health Howard Memorial,2019
71,453043,BONE HUMAN/SYN 07,L8699,1807.77,Adventist Health Howard Memorial,2019
72,453050,BONE HUMAN/SYN 08 04 045,L8699,2085.63,Adventist Health Howard Memorial,2019
73,453068,BONE HUMAN/SYN 09,L8699,2229.72,Adventist Health Howard Memorial,2019
74,453076,BONE HUMAN/SYN 1004,L8699,2529.24,Adventist Health Howard Memorial,2019
75,453084,BONE HUMAN/SYN 1104,L8699,4693.47,Adventist Health Howard Memorial,2019
76,453092,BONE HUMAN/SYN 12,L8699,6469.82,Adventist Health Howard Memorial,2019
77,453100,BONE HUMAN/SYN 13,L8699,6255.82,Adventist Health Howard Memorial,2019
78,453225,CABLE ORTHO/SPINE 0204,L8699,1591.63,Adventist Health Howard Memorial,2019
79,453233,CABLE ORTHO/SPINE 0304,L8699,2472.7,Adventist Health Howard Memorial,2019
80,453308,CAGE/SPACER SPINE 0204,L8699,6162.84,Adventist Health Howard Memorial,2019
81,453316,CAGE/SPACER SPINE 03,L8699,4459.95,Adventist Health Howard Memorial,2019
82,453324,CAGE/SPACER SPINE 0404,L8699,9244.26,Adventist Health Howard Memorial,2019
83,453332,CAGE/SPACER SPINE 0504,L8699,10784.97,Adventist Health Howard Memorial,2019
84,453340,CATH SPEC/OTHER 02 04,Z7610,329.77,Adventist Health Howard Memorial,2019
85,453357,CATH SPEC/OTHER 03 04,Z7610,417.34,Adventist Health Howard Memorial,2019
86,453365,CATH SPEC/OTHER 04,Z7610,695.21,Adventist Health Howard Memorial,2019
87,453373,CATH SPEC/OTHER 05 04,Z7610,973.08,Adventist Health Howard Memorial,2019
88,453381,CATH SPEC/OTHER 06 04,Z7610,1250.95,Adventist Health Howard Memorial,2019
89,453399,CATH SPEC/OTHER 07 04,Z7610,1528.82,Adventist Health Howard Memorial,2019
90,453605,BONE CEMENT/FILL/PUTTY 02,L8699,639.19,Adventist Health Howard Memorial,2019
91,453613,BONE CEMENT/FILL/PUTTY 0304,L8699,989.3,Adventist Health Howard Memorial,2019
92,453621,BONE CEMENT/FILL/PUTTY 04,L8699,1263.07,Adventist Health Howard Memorial,2019
93,453639,BONE CEMENT/FILL/PUTTY 0504,L8699,1219.48,Adventist Health Howard Memorial,2019
94,453647,BONE CEMENT/FILL/PUTTY 06,L8699,1993.81,Adventist Health Howard Memorial,2019
95,453654,BONE CEMENT/FILL/PUTTY 07,L8699,4945.41,Adventist Health Howard Memorial,2019
96,453662,BONE CEMENT/FILL/PUTTY 0804,L8699,4866.48,Adventist Health Howard Memorial,2019
97,453670,BONE CEMENT/FILL/PUTTY 09,L8699,6255.82,Adventist Health Howard Memorial,2019
98,453894,CONNECTOR SPINE 03,L8699,5079.95,Adventist Health Howard Memorial,2019
99,453951,DEVICE EXT FIX 0304,L8699,659.53,Adventist Health Howard Memorial,2019
100,453969,DEVICE EXT FIX 0404,L8699,695.21,Adventist Health Howard Memorial,2019
101,453977,DEVICE EXT FIX 0504,L8699,973.08,Adventist Health Howard Memorial,2019
102,453985,DEVICE EXT FIX 06,L8699,1250.95,Adventist Health Howard Memorial,2019
103,453993,DEVICE EXT FIX 0704,L8699,1737.49,Adventist Health Howard Memorial,2019
104,454009,DEVICE EXT FIX 0804,L8699,2432.7,Adventist Health Howard Memorial,2019
105,454017,DEVICE EXT FIX 09,L8699,3127.91,Adventist Health Howard Memorial,2019
106,454025,DEVICE EXT FIX 10,L8699,3823.12,Adventist Health Howard Memorial,2019
107,454033,DEVICE EXT FIX 11,L8699,5770.36,Adventist Health Howard Memorial,2019
108,454041,DEVICE EXT FIX 1204,L8699,6594.24,Adventist Health Howard Memorial,2019
109,454058,DEVICE EXT FIX 13,L8699,8243.07,Adventist Health Howard Memorial,2019
110,454116,GRAFT VASC ALLO/XEN 02,L8699,616.28,Adventist Health Howard Memorial,2019
111,454124,GRAFT VASC ALLO/XEN 0304,L8670,924.43,Adventist Health Howard Memorial,2019
112,454207,GRAFT VASC ALLO/XEN 11 04,L8670,7619.95,Adventist Health Howard Memorial,2019
113,454504,GUIDEWIRE 0304,C1769,622.2,Adventist Health Howard Memorial,2019
114,454512,GUIDEWIRE 04,C1769,695.21,Adventist Health Howard Memorial,2019
115,454520,GUIDEWIRE 05,C1769,973.08,Adventist Health Howard Memorial,2019
116,454538,GUIDEWIRE 06,C1769,1250.95,Adventist Health Howard Memorial,2019
117,454546,GUIDEWIRE 07,C1769,1528.82,Adventist Health Howard Memorial,2019
118,454835,ANCHOR/SCREW BONE 10,L8699,2248.83,Adventist Health Howard Memorial,2019
119,455477,LEAD NEUROSTM 07 04,C1778,2472.7,Adventist Health Howard Memorial,2019
120,455527,LEAD NEUROSTM KT 06 04,C1897,1978.6,Adventist Health Howard Memorial,2019
121,455592,LEAD PCMKR NSNGL 07,C1898,2311.61,Adventist Health Howard Memorial,2019
122,455725,LENS IOL 0204,Z7610,659.53,Adventist Health Howard Memorial,2019
123,455733,LENS IOL 03 04,Z7610,695.21,Adventist Health Howard Memorial,2019
124,455741,LENS IOL NEW-TECH 02,C1780,616.28,Adventist Health Howard Memorial,2019
125,455758,LENS IOL NEW-TECH 03,C1780,924.43,Adventist Health Howard Memorial,2019
126,455782,MESH SYN 0304,L8699,638.94,Adventist Health Howard Memorial,2019
127,455790,MESH SYN 04,L8699,695.21,Adventist Health Howard Memorial,2019
128,455808,MESH SYN 05,L8699,1319.06,Adventist Health Howard Memorial,2019
129,455816,MESH SYN 06,L8699,1615.5,Adventist Health Howard Memorial,2019
130,455824,MESH SYN 0704,L8699,2472.7,Adventist Health Howard Memorial,2019
131,455832,MESH SYN 08,L8699,3297.66,Adventist Health Howard Memorial,2019
132,455840,MESH SYN 09,L8699,3476.06,Adventist Health Howard Memorial,2019
133,455857,MESH SYN 1004,L8699,4866.48,Adventist Health Howard Memorial,2019
