,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1255,ROOM/BED: Intensive Care,,16751.0,Adventist Health Lodi Memorial,2019
1,17509,ROOM/BED: Newborn Routine,,4230.0,Adventist Health Lodi Memorial,2019
2,21253,ROOM/BED: Med/Surg Semi-Private,,7168.0,Adventist Health Lodi Memorial,2019
3,24539,ROOM/BED: Rehab Semi-Private,,7168.0,Adventist Health Lodi Memorial,2019
4,27003,ROOM/BED: Obstetrics LDRP Semi-Private,,7097.0,Adventist Health Lodi Memorial,2019
5,27508,ROOM/BED: Newborn - Level 2,,5868.0,Adventist Health Lodi Memorial,2019
6,37507,ROOM/BED: Newborn - Level 3,,7784.0,Adventist Health Lodi Memorial,2019
7,42309,ROOM/BED: NICU - Level 4,,9749.0,Adventist Health Lodi Memorial,2019
8,61259,ROOM/BED: Intermediate ICU/Tele,,8876.0,Adventist Health Lodi Memorial,2019
9,91256,ROOM/BED: Isolation,,9941.0,Adventist Health Lodi Memorial,2019
10,200022,L&D ANES LEVEL 1 1ST HR,Z7610,2866.0,Adventist Health Lodi Memorial,2019
11,200063,L&D ANES LEVEL 3 1ST HR,Z7610,3582.0,Adventist Health Lodi Memorial,2019
12,200071,L&D ANES LEVEL 3 ADDL 30M,Z7610,1792.0,Adventist Health Lodi Memorial,2019
13,200089,L&D ANES LEVEL 4 1ST HR,Z7610,3941.0,Adventist Health Lodi Memorial,2019
14,200097,L&D ANES LEVEL 4 ADDL 30M,Z7610,1971.0,Adventist Health Lodi Memorial,2019
15,200121,L&D/INTRAPARTUM LEVEL1/HR,,162.0,Adventist Health Lodi Memorial,2019
16,200139,L&D/INTRAPARTUM LEVEL2/HR,,215.0,Adventist Health Lodi Memorial,2019
17,200162,L&D PACU LEVEL 1 1ST HR,Z7512,1436.0,Adventist Health Lodi Memorial,2019
18,200188,L&D PACU LEVEL 2 1ST HR,Z7512,1687.0,Adventist Health Lodi Memorial,2019
19,200196,L&D PACU LEVEL 2 ADDL 30M,Z7512,844.0,Adventist Health Lodi Memorial,2019
20,200220,L&D PACU LEVEL 4 1ST HR,Z7512,2426.0,Adventist Health Lodi Memorial,2019
21,200238,L&D PACU LEVEL 4 ADDL 30M,Z7512,1213.0,Adventist Health Lodi Memorial,2019
22,200287,L&D SURG LEVEL 2 1ST HR,Z7506,4888.0,Adventist Health Lodi Memorial,2019
23,200329,L&D SURG LEVEL 4 1ST HR,Z7506,8363.0,Adventist Health Lodi Memorial,2019
24,200337,L&D SURG LEVEL 4 ADDL 30M,Z7508,3421.0,Adventist Health Lodi Memorial,2019
25,200360,LACTATION EDUC 30M,S9443,85.0,Adventist Health Lodi Memorial,2019
26,200378,VAGINAL DELIVERY LEVEL 1,,2370.0,Adventist Health Lodi Memorial,2019
27,200386,VAGINAL DELIVERY LEVEL 2,,3928.0,Adventist Health Lodi Memorial,2019
28,200428,FETAL NON-STRESS TEST,,720.0,Adventist Health Lodi Memorial,2019
29,200501,VACCINE ADMIN SNGL,,203.0,Adventist Health Lodi Memorial,2019
30,200600,INJECTION IM/SQ,,544.0,Adventist Health Lodi Memorial,2019
31,200634,AUD EVOKED RESP LTD IPSCR,Z9725,270.0,Adventist Health Lodi Memorial,2019
32,200675,CIRCUMCISION,,339.0,Adventist Health Lodi Memorial,2019
33,200717,LACTATION EDUC 15M,S9443,43.0,Adventist Health Lodi Memorial,2019
34,200725,LACTATION EDUC 45M,S9443,128.0,Adventist Health Lodi Memorial,2019
35,200733,LACTATION EDUC 60M,S9443,170.0,Adventist Health Lodi Memorial,2019
36,200741,INJ EPIDURAL,Z7610,477.0,Adventist Health Lodi Memorial,2019
37,200758,NEWBORN METABOLIC SCR PNL,S3620,138.0,Adventist Health Lodi Memorial,2019
38,200766,EXTERNAL CEPHALIC VERSION,,2140.0,Adventist Health Lodi Memorial,2019
39,200790,AUD EVOKED RESP LTD RESCR,Z9727,270.0,Adventist Health Lodi Memorial,2019
40,200808,LACTATION COUNSEL VISIT,S9443,1227.0,Adventist Health Lodi Memorial,2019
41,200899,DELIVERY PLACENTA,,2650.0,Adventist Health Lodi Memorial,2019
42,200931,LACTATION EDUC 120M,S9443,212.0,Adventist Health Lodi Memorial,2019
43,200998,IV HYDRAT THRPY INTL 31-90M,,635.0,Adventist Health Lodi Memorial,2019
44,201004,IV HYDRAT THRPY ADD HR,,635.0,Adventist Health Lodi Memorial,2019
45,201012,IV DX/TX THRPY 1ST HR,,635.0,Adventist Health Lodi Memorial,2019
46,201020,IV DX/TX THRPY ADD HR,,635.0,Adventist Health Lodi Memorial,2019
47,201038,IV DX/TX ADD SEQ MAX1,,635.0,Adventist Health Lodi Memorial,2019
48,201053,INJ IVP SNGL/INTL,,293.0,Adventist Health Lodi Memorial,2019
49,201061,INJ IVP ADD SEQ NEW,,293.0,Adventist Health Lodi Memorial,2019
50,201145,VISIT EST LEVEL 1 02,G0463,1214.0,Adventist Health Lodi Memorial,2019
51,201186,INJ IVP ADD SEQ SAME 02,,269.0,Adventist Health Lodi Memorial,2019
52,201194,BILIRUBIN TOTAL TRANSCUT 02,,473.0,Adventist Health Lodi Memorial,2019
53,201228,EVAL CERVICOVAG FLUID QUAL EA 02 020,,395.0,Adventist Health Lodi Memorial,2019
54,300012,HEMODIALYSIS IP SNGL EVAL,,2051.0,Adventist Health Lodi Memorial,2019
55,300020,HEMODIALYSIS OP SNGL EVAL,,2051.0,Adventist Health Lodi Memorial,2019
56,300087,HEMO OP CAPD SNGL EVAL,,590.0,Adventist Health Lodi Memorial,2019
57,300095,HEMO OP CCPD SNGL EVAL,,943.0,Adventist Health Lodi Memorial,2019
58,300160,HEMO ESRD OP UNSCHED/ER,G0257,2051.0,Adventist Health Lodi Memorial,2019
59,300236,CAPD IP SNGL EVAL,,590.0,Adventist Health Lodi Memorial,2019
60,300251,CCPD IP SNGL EVAL,,943.0,Adventist Health Lodi Memorial,2019
61,400010,SURG LEVEL 1 1ST HR 04,Z7506,3180.0,Adventist Health Lodi Memorial,2019
62,400036,SURG LEVEL 2 1ST HR 04,Z7506,7950.0,Adventist Health Lodi Memorial,2019
63,400044,SURG LEVEL 2 ADDL 30M 04,Z7508,3975.0,Adventist Health Lodi Memorial,2019
64,400051,SURG LEVEL 3 1ST HR 04,Z7506,13780.0,Adventist Health Lodi Memorial,2019
65,400069,SURG LEVEL 3 ADDL 30M 04,Z7508,6890.0,Adventist Health Lodi Memorial,2019
