,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1255,ROOM/BED: Intensive Care,,4531.0,Adventist Health Reedley,2019
1,17509,ROOM/BED: Newborn Routine,,2126.0,Adventist Health Reedley,2019
2,21253,ROOM/BED: Med/Surg Semi-Private,,2126.0,Adventist Health Reedley,2019
3,27003,ROOM/BED: Obstetrics LDRP Semi-Private,,2126.0,Adventist Health Reedley,2019
4,27508,ROOM/BED: Newborn - Level 2,,2126.0,Adventist Health Reedley,2019
5,37507,ROOM/BED: Newborn - Level 3,,2126.0,Adventist Health Reedley,2019
6,51250,ROOM/BED: Pediatrics Semi-Private,,2126.0,Adventist Health Reedley,2019
7,61259,ROOM/BED: Intermediate ICU/Tele,,2126.0,Adventist Health Reedley,2019
8,91256,ROOM/BED: Isolation,,2441.0,Adventist Health Reedley,2019
9,100081,OBSRV LABOR ROOM/HR,G0378,88.2,Adventist Health Reedley,2019
10,100115,OBSRV M/S/GYN2/HR,G0378,88.2,Adventist Health Reedley,2019
11,200022,L&D ANES LEVEL 1 1ST HR,Z7610,725.83,Adventist Health Reedley,2019
12,200048,L&D ANES LEVEL 2 1ST HR,Z7610,853.92,Adventist Health Reedley,2019
13,200055,L&D ANES LEVEL 2 ADDL 30M,Z7610,341.55,Adventist Health Reedley,2019
14,200063,L&D ANES LEVEL 3 1ST HR,Z7610,1003.94,Adventist Health Reedley,2019
15,200071,L&D ANES LEVEL 3 ADDL 30M,Z7610,401.57,Adventist Health Reedley,2019
16,200089,L&D ANES LEVEL 4 1ST HR,Z7610,1155.13,Adventist Health Reedley,2019
17,200097,L&D ANES LEVEL 4 ADDL 30M,Z7610,505.86,Adventist Health Reedley,2019
18,200121,L&D/INTRAPARTUM LEVEL1/HR,,212.87,Adventist Health Reedley,2019
19,200139,L&D/INTRAPARTUM LEVEL2/HR,,224.07,Adventist Health Reedley,2019
20,200147,L&D/ANTEPARTUM LEVEL 3/HR,,235.27,Adventist Health Reedley,2019
21,200154,L&D/ANTEPARTUM LEVEL 4/HR,,246.48,Adventist Health Reedley,2019
22,200162,L&D PACU LEVEL 1 1ST HR,Z7512,744.05,Adventist Health Reedley,2019
23,200170,L&D PACU LEVEL 1 ADDL 30M,Z7512,297.6,Adventist Health Reedley,2019
24,200188,L&D PACU LEVEL 2 1ST HR,Z7512,934.27,Adventist Health Reedley,2019
25,200196,L&D PACU LEVEL 2 ADDL 30M,Z7512,373.88,Adventist Health Reedley,2019
26,200204,L&D PACU LEVEL 3 1ST HR,Z7512,1098.58,Adventist Health Reedley,2019
27,200212,L&D PACU LEVEL 3 ADDL 30M,Z7512,439.44,Adventist Health Reedley,2019
