,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1016,ROOM/BED: Detox Semi-Private,,3504.91,Adventist Health Simi Valley,2019
1,1255,ROOM/BED: Intensive Care,,8010.67,Adventist Health Simi Valley,2019
2,7211,ROOM/BED: Med/Surg Private,,2678.27,Adventist Health Simi Valley,2019
3,17509,ROOM/BED: Newborn Routine NUR,,1692.59,Adventist Health Simi Valley,2019
4,21253,ROOM/BED: Med/Surg Semi-Private,,2678.27,Adventist Health Simi Valley,2019
5,27003,ROOM/BED: Obstetrics LDRP Semi-Private,,2678.27,Adventist Health Simi Valley,2019
6,27508,ROOM/BED: Newborn - Level 2 NICU,,6178.77,Adventist Health Simi Valley,2019
7,37507,ROOM/BED: Newborn - Level 3 NICU,,6865.84,Adventist Health Simi Valley,2019
8,42309,ROOM/BED: NICU - Level 4,,8376.99,Adventist Health Simi Valley,2019
9,51250,ROOM/BED: Pediatrics Semi-Private,,2678.27,Adventist Health Simi Valley,2019
10,61259,ROOM/BED: Intermediate ICU/Tele,,6507.82,Adventist Health Simi Valley,2019
11,71258,ROOM/BED: Obstetrics Semi-Private,,2678.27,Adventist Health Simi Valley,2019
12,91256,ROOM/BED: Isolation,,3141.18,Adventist Health Simi Valley,2019
13,100065,OBSRV ICU/HR,G0378,142.23,Adventist Health Simi Valley,2019
14,100073,OBSRV ISOLATION/HR,G0378,234.83,Adventist Health Simi Valley,2019
15,100081,OBSRV LABOR ROOM/HR,G0378,142.23,Adventist Health Simi Valley,2019
16,100115,OBSRV M/S/GYN2/HR,G0378,142.23,Adventist Health Simi Valley,2019
17,100123,OBSRV DOU/TELE 1 HR,G0378,142.23,Adventist Health Simi Valley,2019
18,100172,OBSRV PEDS/HR,G0378,142.23,Adventist Health Simi Valley,2019
19,100214,OBSRV ASMT DIRECT ADMIT1,G0379,284.45,Adventist Health Simi Valley,2019
20,100248,OBSRV M/S/GYN7/HR 01,G0378,142.23,Adventist Health Simi Valley,2019
21,100271,OBSRV M/S/GYN3/HR,G0378,142.23,Adventist Health Simi Valley,2019
22,100438,OBSRV MS/DOU/TELE 1 HR,G0378,142.23,Adventist Health Simi Valley,2019
23,100446,OBSRV ICU/DOU/TELE1/HR,G0378,142.23,Adventist Health Simi Valley,2019
