,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1255,ROOM/BED: Intensive Care,,8843.1,Adventist Health Tehachapi Valley,2019
1,21253,ROOM/BED: Med/Surg Semi-Private,,2448.5,Adventist Health Tehachapi Valley,2019
2,31245,ROOM/BED: SNF Semi-Private TCU,,2268.29,Adventist Health Tehachapi Valley,2019
3,61259,ROOM/BED: Intermediate ICU/Tele,,5381.14,Adventist Health Tehachapi Valley,2019
4,91256,ROOM/BED: Isolation,,5622.08,Adventist Health Tehachapi Valley,2019
5,100214,OBSRV ASMT DIRECT ADMIT1,G0379,237.51,Adventist Health Tehachapi Valley,2019
6,400010,SURG LEVEL 1 1ST HR 04,Z7506,3497.16,Adventist Health Tehachapi Valley,2019
7,400028,SURG LEVEL 1 ADDL 30M 04,Z7508,1325.2,Adventist Health Tehachapi Valley,2019
8,400036,SURG LEVEL 2 1ST HR 04,Z7506,6994.32,Adventist Health Tehachapi Valley,2019
9,400044,SURG LEVEL 2 ADDL 30M 04,Z7508,2650.42,Adventist Health Tehachapi Valley,2019
10,400051,SURG LEVEL 3 1ST HR 04,Z7506,13987.51,Adventist Health Tehachapi Valley,2019
11,400069,SURG LEVEL 3 ADDL 30M 04,Z7508,5300.82,Adventist Health Tehachapi Valley,2019
12,400077,SURG LEVEL 4 1ST HR 04,Z7506,27975.01,Adventist Health Tehachapi Valley,2019
13,400085,SURG LEVEL 4 ADDL 30M 04,Z7508,10601.64,Adventist Health Tehachapi Valley,2019
14,400093,SURG LEVEL 5 1ST HR 04,Z7506,41188.52,Adventist Health Tehachapi Valley,2019
15,400101,SURG LEVEL 5 ADDL 30M 04,Z7508,15901.32,Adventist Health Tehachapi Valley,2019
16,450023,AGENT HEMOSTASIS 01,Z7610,178.46,Adventist Health Tehachapi Valley,2019
17,450072,BARRIER ADHESION,L8699,1263.24,Adventist Health Tehachapi Valley,2019
18,450163,CAGE/SPACER SPINE 01,L8699,5212.47,Adventist Health Tehachapi Valley,2019
