,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,294946,Minimum Inhibitory Concentration,,99.0,Adventist Health Tulare,2019
1,295346,88300 AP Bill Surgical Pathology Level I Complexity,,,Adventist Health Tulare,2019
2,295348,88302 AP Bill Surgical Pathology Level II Complexity,,,Adventist Health Tulare,2019
3,295350,88304 AP Bill Surgical Pathology Level III Complexity,,,Adventist Health Tulare,2019
4,295352,88305 AP Bill Surgical Pathology Level IV Complexity,,,Adventist Health Tulare,2019
5,295354,88307 AP Bill Surgical Pathology Level V Complexity,,,Adventist Health Tulare,2019
6,295356,88309 AP Bill Surgical Pathology Level VI Complexity,,,Adventist Health Tulare,2019
7,295360,88311 AP Bill Decalcification,,,Adventist Health Tulare,2019
8,295362,88312 AP Bill Special Stains Group I,,,Adventist Health Tulare,2019
9,295364,88313 AP Bill Special Stains Group II,,,Adventist Health Tulare,2019
10,295366,88342 AP Bill Surg IPX (First Antibody),,,Adventist Health Tulare,2019
11,295380,88104 AP Bill Non-Gyn Cytology,,,Adventist Health Tulare,2019
12,295388,88173 AP Bill FNA Interp and report,,,Adventist Health Tulare,2019
13,297662,Gram negative identification (Vitek),,,Adventist Health Tulare,2019
14,297663,Gram positive identification (Vitek),,,Adventist Health Tulare,2019
15,592809,88108 AP Bill Non-Gyn Concentration Technique,,,Adventist Health Tulare,2019
16,592815,88332 AP Bill Frozen add'l block,,,Adventist Health Tulare,2019
17,592817,88331 AP Bill Frozen single specimen,,,Adventist Health Tulare,2019
18,592965,Antibody Identification Interpertation,,174.0,Adventist Health Tulare,2019
19,602902,meningococcal polysaccharide vaccine,,,Adventist Health Tulare,2019
20,607615,"82270 Fecal Occult Blood, Guiac  POC",,,Adventist Health Tulare,2019
21,607619,Urine Dipstick POC,,,Adventist Health Tulare,2019
22,607621,Urine Pregnancy Test POC,,,Adventist Health Tulare,2019
23,607708,PT Daily Note,,,Adventist Health Tulare,2019
24,607709,PT Initial Evaluation,,,Adventist Health Tulare,2019
25,607710,PT Progress or Discharge,,,Adventist Health Tulare,2019
26,609647,Aerosol Therapy,,,Adventist Health Tulare,2019
27,609649,RT Incentive Spirometry,,,Adventist Health Tulare,2019
28,611590,BD Bone Density DEXA Axial Skeleton,,,Adventist Health Tulare,2019
29,611594,XR Wrist 3 Views Min Rt,,,Adventist Health Tulare,2019
30,611596,XR Wrist 3 Views Min Lt,,,Adventist Health Tulare,2019
31,613590,XR Upper Extremity Infant Left,,,Adventist Health Tulare,2019
32,613592,XR Upper Extremity Infant Right,,,Adventist Health Tulare,2019
33,613596,XR Upper GI + KUB,,,Adventist Health Tulare,2019
34,613600,XR Upper GI w/ Air Contrast + KUB,,,Adventist Health Tulare,2019
35,613604,XR Upper GI w/ Small Bowel,,,Adventist Health Tulare,2019
36,613609,XR Upper GI w/ Small Bowel - Report,,,Adventist Health Tulare,2019
37,613610,XR Urography Retrograde,,,Adventist Health Tulare,2019
38,613611,XR Urography Retrograde - Report,,,Adventist Health Tulare,2019
39,613612,XR Urography w/ Infusion w/ Tomography,,,Adventist Health Tulare,2019
40,613614,XR Urography w/ Infusion w/o Tomography,,,Adventist Health Tulare,2019
41,613616,XR Venogram Lower Extremity Bilateral,,,Adventist Health Tulare,2019
42,613618,XR Venogram Lower Extremity Left,,,Adventist Health Tulare,2019
43,613620,XR Venogram Lower Extremity Right,,,Adventist Health Tulare,2019
44,613632,XR Wrist 2 Views Left,,,Adventist Health Tulare,2019
45,613634,XR Wrist 2 Views Right,,,Adventist Health Tulare,2019
46,613642,XR Tomography Single Plane,,,Adventist Health Tulare,2019
47,615590,CT Abdomen w/ + w/o Contrast,,,Adventist Health Tulare,2019
48,619590,Physical Therapy Evaluation and Treatment,,,Adventist Health Tulare,2019
49,619591,PT Initial Evaluation,,,Adventist Health Tulare,2019
50,625588,CT Angio Abd Aorta + Iliofemoral,,,Adventist Health Tulare,2019
51,625590,CT Biopsy Abdomen,,,Adventist Health Tulare,2019
52,625591,CT Biopsy Abdomen - Report,,,Adventist Health Tulare,2019
53,625596,CT Angio Abdomen,,,Adventist Health Tulare,2019
54,625598,CT Abdomen w/ Contrast,,,Adventist Health Tulare,2019
55,625600,CT Abdomen w/o Contrast,,,Adventist Health Tulare,2019
56,625604,MRI Abdomen w/ + w/o Contrast,,,Adventist Health Tulare,2019
57,625606,MRI Abdomen w/ Contrast,,,Adventist Health Tulare,2019
58,625608,US Abdomen Complete,,,Adventist Health Tulare,2019
59,625612,MRI Abdomen w/o Contrast,,,Adventist Health Tulare,2019
60,625614,XR Abdomen AP,,,Adventist Health Tulare,2019
61,625618,XR Abdomen Complete w/ Decub/Erect,,,Adventist Health Tulare,2019
62,625634,NM Abscess Loc/Limited,,,Adventist Health Tulare,2019
