,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1255,ROOM/BED: Intensive Care,,9874.89,Adventist Health Ukiah Valley,2019
1,17509,ROOM/BED: Newborn Routine,,1936.8,Adventist Health Ukiah Valley,2019
2,21253,ROOM/BED: Med/Surg Semi-Private,,4221.86,Adventist Health Ukiah Valley,2019
3,27003,ROOM/BED: Obstetrics LDRP Semi-Private,,4763.39,Adventist Health Ukiah Valley,2019
4,27508,ROOM/BED: Newborn - Level 2,,5738.76,Adventist Health Ukiah Valley,2019
5,37507,ROOM/BED: Newborn - Level 3,,4385.19,Adventist Health Ukiah Valley,2019
6,42309,ROOM/BED: NICU - Level 4,,9874.89,Adventist Health Ukiah Valley,2019
7,51250,ROOM/BED: Pediatrics Semi-Private,,4399.49,Adventist Health Ukiah Valley,2019
8,61259,ROOM/BED: Intermediate ICU/Tele,,4812.18,Adventist Health Ukiah Valley,2019
9,100081,OBSRV LABOR ROOM/HR,G0378,176.21,Adventist Health Ukiah Valley,2019
10,200022,L&D ANES LEVEL 1 1ST HR,Z7610,974.16,Adventist Health Ukiah Valley,2019
11,200030,L&D ANES LEVEL 1 ADDL 30M,Z7610,389.66,Adventist Health Ukiah Valley,2019
12,200048,L&D ANES LEVEL 2 1ST HR,Z7610,1125.45,Adventist Health Ukiah Valley,2019
13,200055,L&D ANES LEVEL 2 ADDL 30M,Z7610,450.4,Adventist Health Ukiah Valley,2019
14,200063,L&D ANES LEVEL 3 1ST HR,Z7610,1221.72,Adventist Health Ukiah Valley,2019
15,200071,L&D ANES LEVEL 3 ADDL 30M,Z7610,488.22,Adventist Health Ukiah Valley,2019
16,200089,L&D ANES LEVEL 4 1ST HR,Z7610,1509.38,Adventist Health Ukiah Valley,2019
17,200097,L&D ANES LEVEL 4 ADDL 30M,Z7610,603.98,Adventist Health Ukiah Valley,2019
18,200105,L&D ANES LEVEL 5 1ST HR,Z7610,1745.46,Adventist Health Ukiah Valley,2019
19,200113,L&D ANES LEVEL 5 ADDL 30M,Z7610,697.96,Adventist Health Ukiah Valley,2019
20,200121,L&D/INTRAPARTUM LEVEL1/HR,,169.65,Adventist Health Ukiah Valley,2019
21,200139,L&D/INTRAPARTUM LEVEL2/HR,,254.45,Adventist Health Ukiah Valley,2019
22,200147,L&D/ANTEPARTUM LEVEL 3/HR,,424.09,Adventist Health Ukiah Valley,2019
23,200154,L&D/ANTEPARTUM LEVEL 4/HR,,676.86,Adventist Health Ukiah Valley,2019
24,200162,L&D PACU LEVEL 1 1ST HR,Z7512,1272.96,Adventist Health Ukiah Valley,2019
25,200170,L&D PACU LEVEL 1 ADDL 30M,Z7512,508.95,Adventist Health Ukiah Valley,2019
26,200188,L&D PACU LEVEL 2 1ST HR,Z7512,1855.82,Adventist Health Ukiah Valley,2019
27,200196,L&D PACU LEVEL 2 ADDL 30M,Z7512,742.56,Adventist Health Ukiah Valley,2019
28,200204,L&D PACU LEVEL 3 1ST HR,Z7512,2106.12,Adventist Health Ukiah Valley,2019
29,200212,L&D PACU LEVEL 3 ADDL 30M,Z7512,842.69,Adventist Health Ukiah Valley,2019
30,200220,L&D PACU LEVEL 4 1ST HR,Z7512,2928.54,Adventist Health Ukiah Valley,2019
31,200238,L&D PACU LEVEL 4 ADDL 30M,Z7512,1171.65,Adventist Health Ukiah Valley,2019
32,200246,L&D PACU LEVEL 5 1ST HR,Z7512,3184.8,Adventist Health Ukiah Valley,2019
33,200253,L&D PACU LEVEL 5 ADDL 30M,Z7512,1274.16,Adventist Health Ukiah Valley,2019
34,200261,L&D SURG LEVEL 1 1ST HR,Z7506,8411.02,Adventist Health Ukiah Valley,2019
35,200279,L&D SURG LEVEL 1 ADDL 30M,Z7508,4193.48,Adventist Health Ukiah Valley,2019
36,200287,L&D SURG LEVEL 2 1ST HR,Z7506,9797.77,Adventist Health Ukiah Valley,2019
37,200295,L&D SURG LEVEL 2 ADDL 30M,Z7508,4363.1,Adventist Health Ukiah Valley,2019
38,200303,L&D SURG LEVEL 3 1ST HR,Z7506,9958.22,Adventist Health Ukiah Valley,2019
39,200311,L&D SURG LEVEL 3 ADDL 30M,Z7508,4923.53,Adventist Health Ukiah Valley,2019
40,200329,L&D SURG LEVEL 4 1ST HR,Z7506,11734.63,Adventist Health Ukiah Valley,2019
41,200337,L&D SURG LEVEL 4 ADDL 30M,Z7508,5770.48,Adventist Health Ukiah Valley,2019
42,200360,LACTATION EDUC 30M,S9443,101.32,Adventist Health Ukiah Valley,2019
43,200378,VAGINAL DELIVERY LEVEL 1,,3741.83,Adventist Health Ukiah Valley,2019
44,200386,VAGINAL DELIVERY LEVEL 2,,7054.58,Adventist Health Ukiah Valley,2019
45,200402,INJ AMNIOCENTESIS,,319.91,Adventist Health Ukiah Valley,2019
46,200410,FETAL CONTR STRESS TEST,,1038.04,Adventist Health Ukiah Valley,2019
47,200428,FETAL NON-STRESS TEST,,1038.04,Adventist Health Ukiah Valley,2019
48,200493,US GUIDE AMNIOCENTESIS,,786.3,Adventist Health Ukiah Valley,2019
49,200501,VACCINE ADMIN SNGL,,130.97,Adventist Health Ukiah Valley,2019
50,200519,VACCINE ADMIN EA ADDL,,85.68,Adventist Health Ukiah Valley,2019
51,200600,INJECTION IM/SQ,,219.08,Adventist Health Ukiah Valley,2019
52,200634,AUD EVOKED RESP LTD IPSCR,Z9725,934.16,Adventist Health Ukiah Valley,2019
53,200642,NEONATAL RESUSCITATION,,794.23,Adventist Health Ukiah Valley,2019
54,200717,LACTATION EDUC 15M,S9443,59.56,Adventist Health Ukiah Valley,2019
55,200725,LACTATION EDUC 45M,S9443,151.38,Adventist Health Ukiah Valley,2019
56,200733,LACTATION EDUC 60M,S9443,129.92,Adventist Health Ukiah Valley,2019
57,200741,INJ EPIDURAL,Z7610,1114.16,Adventist Health Ukiah Valley,2019
58,200766,EXTERNAL CEPHALIC VERSION,,1946.16,Adventist Health Ukiah Valley,2019
59,200782,AUD EVOKED RESP LTD OPSCR,Z9726,934.16,Adventist Health Ukiah Valley,2019
60,200790,AUD EVOKED RESP LTD RESCR,Z9727,487.25,Adventist Health Ukiah Valley,2019
61,200808,LACTATION COUNSEL VISIT,S9443,173.36,Adventist Health Ukiah Valley,2019
62,200873,INSERT CERVICAL DILATOR,,1211.06,Adventist Health Ukiah Valley,2019
63,200899,DELIVERY PLACENTA,,2608.03,Adventist Health Ukiah Valley,2019
64,200907,VENIPUNCTURE ROUTINE,,49.74,Adventist Health Ukiah Valley,2019
65,200923,CAPILLARY BLD COLLECTION,,73.05,Adventist Health Ukiah Valley,2019
66,200931,LACTATION EDUC 120M,S9443,255.0,Adventist Health Ukiah Valley,2019
67,200972,L&D/ANTEPARTUM/HR MAX 12,,352.56,Adventist Health Ukiah Valley,2019
68,200998,IV HYDRAT THRPY INTL 31-90M,,603.9,Adventist Health Ukiah Valley,2019
69,201004,IV HYDRAT THRPY ADD HR,,603.9,Adventist Health Ukiah Valley,2019
70,201012,IV DX/TX THRPY 1ST HR,,603.9,Adventist Health Ukiah Valley,2019
71,201020,IV DX/TX THRPY ADD HR,,603.9,Adventist Health Ukiah Valley,2019
72,201038,IV DX/TX ADD SEQ MAX1,,603.9,Adventist Health Ukiah Valley,2019
73,201046,IV DX/TX CONCUR MAX1,,302.53,Adventist Health Ukiah Valley,2019
74,201053,INJ IVP SNGL/INTL,,367.2,Adventist Health Ukiah Valley,2019
75,201061,INJ IVP ADD SEQ NEW,,314.12,Adventist Health Ukiah Valley,2019
76,201137,OBSRV ASMT DIRECT ADMIT 02,G0379,219.67,Adventist Health Ukiah Valley,2019
77,201145,VISIT EST LEVEL 1 02,G0463,421.99,Adventist Health Ukiah Valley,2019
78,201186,INJ IVP ADD SEQ SAME 02,,314.12,Adventist Health Ukiah Valley,2019
79,201194,BILIRUBIN TOTAL TRANSCUT 02,,88.19,Adventist Health Ukiah Valley,2019
80,201202,EXTENDED RECOVERY/HR 02,Z7512,123.95,Adventist Health Ukiah Valley,2019
81,201228,EVAL CERVICOVAG FLUID QUAL EA 02 020,,928.56,Adventist Health Ukiah Valley,2019
82,201269,PH BODY FLUID NOS 02,,168.38,Adventist Health Ukiah Valley,2019
83,201285,AU OAE SCREENING IP,Z9725,199.92,Adventist Health Ukiah Valley,2019
84,201293,CAR SEAT/BED TEST INFANT-12MO 60M,,442.66,Adventist Health Ukiah Valley,2019
85,201301,CAR SEAT/BED TEST INFANT-12MO ADD30,,143.25,Adventist Health Ukiah Valley,2019
86,201319,BLOOD TRANSFUSION <1HR,Z5200,1002.64,Adventist Health Ukiah Valley,2019
87,201327,BLOOD TRANSFUSION >8HR,Z5200,1002.64,Adventist Health Ukiah Valley,2019
88,201335,BLOOD TRANSFUSION 1-2HR,Z5200,1002.64,Adventist Health Ukiah Valley,2019
89,201343,BLOOD TRANSFUSION 2-3HR,Z5200,1002.64,Adventist Health Ukiah Valley,2019
90,201350,BLOOD TRANSFUSION 3-4HR,Z5200,1002.64,Adventist Health Ukiah Valley,2019
91,201368,BLOOD TRANSFUSION 4-5HR,Z5200,1002.64,Adventist Health Ukiah Valley,2019
92,201376,BLOOD TRANSFUSION 5-6HR,Z5200,1002.64,Adventist Health Ukiah Valley,2019
93,201384,BLOOD TRANSFUSION 6-7HR,Z5200,1002.64,Adventist Health Ukiah Valley,2019
94,201392,BLOOD TRANSFUSION 7-8HR,Z5200,1002.64,Adventist Health Ukiah Valley,2019
95,300012,HEMODIALYSIS IP SNGL EVAL,,949.67,Adventist Health Ukiah Valley,2019
96,300038,HEMODIALYSIS IP MULT EVAL,,324.19,Adventist Health Ukiah Valley,2019
97,300079,NON-HEMO OTH IP SNGL EVAL,,510.2,Adventist Health Ukiah Valley,2019
98,300111,NON-HEMO OTH IP MULT EVAL,,330.55,Adventist Health Ukiah Valley,2019
99,300160,HEMO ESRD OP UNSCHED/ER,G0257,863.34,Adventist Health Ukiah Valley,2019
100,400010,SURG LEVEL 1 1ST HR 04,Z7506,10029.84,Adventist Health Ukiah Valley,2019
101,400028,SURG LEVEL 1 ADDL 30M 04,Z7508,4535.66,Adventist Health Ukiah Valley,2019
102,400036,SURG LEVEL 2 1ST HR 04,Z7506,11683.5,Adventist Health Ukiah Valley,2019
103,400044,SURG LEVEL 2 ADDL 30M 04,Z7508,5202.85,Adventist Health Ukiah Valley,2019
104,400051,SURG LEVEL 3 1ST HR 04,Z7506,11874.82,Adventist Health Ukiah Valley,2019
105,400069,SURG LEVEL 3 ADDL 30M 04,Z7508,5871.13,Adventist Health Ukiah Valley,2019
106,400077,SURG LEVEL 4 1ST HR 04,Z7506,13993.13,Adventist Health Ukiah Valley,2019
107,400085,SURG LEVEL 4 ADDL 30M 04,Z7508,6881.08,Adventist Health Ukiah Valley,2019
108,400093,SURG LEVEL 5 1ST HR 04,Z7506,24050.29,Adventist Health Ukiah Valley,2019
109,400101,SURG LEVEL 5 ADDL 30M 04,Z7508,9630.79,Adventist Health Ukiah Valley,2019
110,400127,TREATMENT ROOM 04,Z7500,2973.72,Adventist Health Ukiah Valley,2019
111,450015,ADAPT/EXT LEAD 01,C1883,2798.06,Adventist Health Ukiah Valley,2019
112,450023,AGENT HEMOSTASIS 01,Z7610,279.81,Adventist Health Ukiah Valley,2019
113,450031,AICD DUAL 01,C1721,77723.95,Adventist Health Ukiah Valley,2019
114,450056,AICD SNGL 01,C1722,77723.95,Adventist Health Ukiah Valley,2019
115,450072,BARRIER ADHESION,L8699,867.84,Adventist Health Ukiah Valley,2019
116,450122,BUTTON GASTROSTOMY,Z7610,420.48,Adventist Health Ukiah Valley,2019
117,450155,CABLE ORTHO/SPINE 0104,L8699,1399.03,Adventist Health Ukiah Valley,2019
118,450205,CATH ABL NON-CARDIAC04,C1886,6945.59,Adventist Health Ukiah Valley,2019
119,450213,CATH BLN DI NON-VASC,C1726,1304.29,Adventist Health Ukiah Valley,2019
120,450221,CATH BLN TISS DI NON-VASC 04,C1727,375.65,Adventist Health Ukiah Valley,2019
121,450239,CATH PERC DRAINAGE,C1729,610.29,Adventist Health Ukiah Valley,2019
122,450312,CATH GUIDING 045,C1887,4476.9,Adventist Health Ukiah Valley,2019
123,450320,CATH HEMO LONG TERM,C1750,3452.41,Adventist Health Ukiah Valley,2019
124,450338,CATH HEMO SHORT TERM,C1752,4018.64,Adventist Health Ukiah Valley,2019
125,450346,CATH INFUS NON-HEMO,C1751,876.09,Adventist Health Ukiah Valley,2019
126,450361,CATH INTRASPINE,C1755,5414.77,Adventist Health Ukiah Valley,2019
127,450387,CATH OCCLUSION,C2628,129.94,Adventist Health Ukiah Valley,2019
128,450403,CATH SPEC/OTHER 01 04,Z7610,279.81,Adventist Health Ukiah Valley,2019
129,450411,CATH SUPRAPUBIC/CYSTO,C2627,404.51,Adventist Health Ukiah Valley,2019
130,450429,CATH THROMB/EMBOL 0 04,Z7610,1119.23,Adventist Health Ukiah Valley,2019
131,450478,CATH URETERAL 0 04,C1758,109.59,Adventist Health Ukiah Valley,2019
132,450486,BONE CEMENT/FILL/PUTTY 0104,L8699,559.61,Adventist Health Ukiah Valley,2019
133,450577,DEVICE EXT FIX 0 04,L8699,559.61,Adventist Health Ukiah Valley,2019
134,450601,DEVICE URI/PELV WO SL 0,C2631,3985.59,Adventist Health Ukiah Valley,2019
135,450619,DEVICE URI/PELV W/SL 0 04,L8699,4448.26,Adventist Health Ukiah Valley,2019
136,450627,DEVICE VASC CLOSURE IMPL,C1760,1399.03,Adventist Health Ukiah Valley,2019
137,450791,FILTER VENA CAVA/FEM/JUG,C1880,5673.85,Adventist Health Ukiah Valley,2019
138,450858,GRAFT VASC SYN 01,L8699,559.61,Adventist Health Ukiah Valley,2019
