,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1016,ROOM/BED: Detox Semi-Private,,5516.7,Adventist Health Vallejo,2019
1,1255,ROOM/BED: Intensive Care,,15737.4,Adventist Health Vallejo,2019
2,2519,ROOM/BED: Psychiatric Semi-Private,,3351.6,Adventist Health Vallejo,2019
3,4010,ROOM/BED: Psychiatric Semi-Private 3 or 4 Beds,,4813.2,Adventist Health Vallejo,2019
4,6502,ROOM/BED: Psychiatric Intensive Care,,3846.15,Adventist Health Vallejo,2019
5,7211,ROOM/BED: Med/Surg Private,,5516.7,Adventist Health Vallejo,2019
6,14019,ROOM/BED: Psychiatric Private,,4909.8,Adventist Health Vallejo,2019
7,17509,ROOM/BED: Newborn Routine,,2117.0,Adventist Health Vallejo,2019
8,21253,ROOM/BED: Med/Surg Semi-Private,,5516.7,Adventist Health Vallejo,2019
9,27003,ROOM/BED: Obstetrics LDRP Semi-Private,,5516.7,Adventist Health Vallejo,2019
10,27508,ROOM/BED: Newborn - Level 2,,2572.5,Adventist Health Vallejo,2019
11,37507,ROOM/BED: Newborn - Level 3,,2879.1,Adventist Health Vallejo,2019
12,51250,ROOM/BED: Pediatrics Semi-Private,,5065.2,Adventist Health Vallejo,2019
13,61259,ROOM/BED: Intermediate ICU/Tele,,8845.2,Adventist Health Vallejo,2019
14,100081,OBSRV LABOR ROOM/HR,G0378,234.33,Adventist Health Vallejo,2019
15,100214,OBSRV ASMT DIRECT ADMIT1,G0379,885.96,Adventist Health Vallejo,2019
16,200121,L&D/INTRAPARTUM LEVEL1/HR,,245.03,Adventist Health Vallejo,2019
17,200139,L&D/INTRAPARTUM LEVEL2/HR,,471.87,Adventist Health Vallejo,2019
18,200147,L&D/ANTEPARTUM LEVEL 3/HR,,680.52,Adventist Health Vallejo,2019
19,200154,L&D/ANTEPARTUM LEVEL 4/HR,,896.66,Adventist Health Vallejo,2019
20,200360,LACTATION EDUC 30M,S9443,41.73,Adventist Health Vallejo,2019
21,200378,VAGINAL DELIVERY LEVEL 1,,6003.77,Adventist Health Vallejo,2019
22,200386,VAGINAL DELIVERY LEVEL 2,,8403.78,Adventist Health Vallejo,2019
23,200402,INJ AMNIOCENTESIS,,726.53,Adventist Health Vallejo,2019
24,200410,FETAL CONTR STRESS TEST,,1775.13,Adventist Health Vallejo,2019
25,200428,FETAL NON-STRESS TEST,,1521.54,Adventist Health Vallejo,2019
26,200436,US PREG UTERUS >1ST SNGL,,307.16,Adventist Health Vallejo,2019
27,200451,US PREG UTERUS LTD 1+,,1084.98,Adventist Health Vallejo,2019
28,200477,US BIOPHYS PROF W/NST,,1185.56,Adventist Health Vallejo,2019
29,200501,VACCINE ADMIN SNGL,,139.1,Adventist Health Vallejo,2019
30,200519,VACCINE ADMIN EA ADDL,,132.68,Adventist Health Vallejo,2019
31,200600,INJECTION IM/SQ,,215.07,Adventist Health Vallejo,2019
32,200634,AUD EVOKED RESP LTD IPSCR,Z9725,110.72,Adventist Health Vallejo,2019
33,200642,NEONATAL RESUSCITATION,,1618.91,Adventist Health Vallejo,2019
34,200675,CIRCUMCISION,,459.03,Adventist Health Vallejo,2019
35,200717,LACTATION EDUC 15M,S9443,20.33,Adventist Health Vallejo,2019
36,200725,LACTATION EDUC 45M,S9443,60.99,Adventist Health Vallejo,2019
37,200733,LACTATION EDUC 60M,S9443,82.39,Adventist Health Vallejo,2019
38,200741,INJ EPIDURAL,Z7610,1689.53,Adventist Health Vallejo,2019
39,200758,NEWBORN METABOLIC SCR PNL,S3620,138.3,Adventist Health Vallejo,2019
40,200766,EXTERNAL CEPHALIC VERSION,,4216.87,Adventist Health Vallejo,2019
41,200782,AUD EVOKED RESP LTD OPSCR,Z9726,110.72,Adventist Health Vallejo,2019
42,200790,AUD EVOKED RESP LTD RESCR,Z9727,110.72,Adventist Health Vallejo,2019
43,200808,LACTATION COUNSEL VISIT,S9443,58.42,Adventist Health Vallejo,2019
44,200899,DELIVERY PLACENTA,,5332.88,Adventist Health Vallejo,2019
45,200907,VENIPUNCTURE ROUTINE,,29.96,Adventist Health Vallejo,2019
46,200923,CAPILLARY BLD COLLECTION,,29.96,Adventist Health Vallejo,2019
47,200931,LACTATION EDUC 120M,S9443,165.85,Adventist Health Vallejo,2019
48,200972,L&D/ANTEPARTUM/HR MAX 12,,938.39,Adventist Health Vallejo,2019
49,200998,IV HYDRAT THRPY INTL 31-90M,,936.25,Adventist Health Vallejo,2019
50,201004,IV HYDRAT THRPY ADD HR,,756.49,Adventist Health Vallejo,2019
51,201012,IV DX/TX THRPY 1ST HR,,936.25,Adventist Health Vallejo,2019
52,201020,IV DX/TX THRPY ADD HR,,756.49,Adventist Health Vallejo,2019
53,201038,IV DX/TX ADD SEQ MAX1,,494.34,Adventist Health Vallejo,2019
54,201046,IV DX/TX CONCUR MAX1,,494.34,Adventist Health Vallejo,2019
55,201053,INJ IVP SNGL/INTL,,625.95,Adventist Health Vallejo,2019
56,201061,INJ IVP ADD SEQ NEW,,251.45,Adventist Health Vallejo,2019
57,201137,OBSRV ASMT DIRECT ADMIT 02,G0379,904.15,Adventist Health Vallejo,2019
58,201186,INJ IVP ADD SEQ SAME 02,,300.67,Adventist Health Vallejo,2019
