,Charge Code,Description,HCPCS Code,Price,Hospital,Year
0,1255,ROOM/BED: Intensive Care,,14872.0,Adventist Health White Memorial,2019
1,2519,ROOM/BED: Psychiatric Semi-Private,,6055.0,Adventist Health White Memorial,2019
2,5009,ROOM/BED: Therapeutic Leave of Absence,,1184.0,Adventist Health White Memorial,2019
3,5207,ROOM/BED: SNF LOA,,1128.0,Adventist Health White Memorial,2019
4,6502,ROOM/BED: Psychiatric Intensive Care,,6187.0,Adventist Health White Memorial,2019
5,7211,ROOM/BED: Med/Surg Private,,6187.0,Adventist Health White Memorial,2019
6,12518,ROOM/BED: Coronary Care,,14872.0,Adventist Health White Memorial,2019
7,14019,ROOM/BED: Psychiatric Private,,6055.0,Adventist Health White Memorial,2019
8,14530,ROOM/BED: Rehab Private,,3159.0,Adventist Health White Memorial,2019
9,15206,ROOM/BED: SNF Private,,2501.0,Adventist Health White Memorial,2019
10,17004,ROOM/BED: Obstetrics LDRP Private,,5969.0,Adventist Health White Memorial,2019
11,17509,ROOM/BED: Newborn Routine,,2896.0,Adventist Health White Memorial,2019
12,21253,ROOM/BED: Med/Surg Semi-Private,,6187.0,Adventist Health White Memorial,2019
13,22202,ROOM/BED: Surgical Intensive Care,,14872.0,Adventist Health White Memorial,2019
14,22301,ROOM/BED: Pediatrics ICU,,14740.0,Adventist Health White Memorial,2019
15,24539,ROOM/BED: Rehab Semi-Private,,3159.0,Adventist Health White Memorial,2019
16,27003,ROOM/BED: Obstetrics LDRP Semi-Private,,5969.0,Adventist Health White Memorial,2019
17,27508,ROOM/BED: Newborn - Level 2,,10529.0,Adventist Health White Memorial,2019
18,31245,ROOM/BED: SNF Semi-Private TCU,,2369.0,Adventist Health White Memorial,2019
19,33001,ROOM/BED: Pediatrics 3-4 Bed,,7896.0,Adventist Health White Memorial,2019
20,37507,ROOM/BED: Newborn - Level 3,,12503.0,Adventist Health White Memorial,2019
21,41251,ROOM/BED: Pediatrics Private,,10792.0,Adventist Health White Memorial,2019
22,42309,ROOM/BED: NICU - Level 4,,14477.0,Adventist Health White Memorial,2019
23,45203,ROOM/BED: Subacute Level 2,,0.0,Adventist Health White Memorial,2019
24,51250,ROOM/BED: Pediatrics Semi-Private,,10397.0,Adventist Health White Memorial,2019
25,61259,ROOM/BED: Intermediate ICU/Tele,,9213.0,Adventist Health White Memorial,2019
26,62109,ROOM/BED: Intermediate CCU/Tele,,9213.0,Adventist Health White Memorial,2019
27,91256,ROOM/BED: Isolation,,13030.0,Adventist Health White Memorial,2019
28,100081,OBSRV LABOR ROOM/HR,G0378,248.0,Adventist Health White Memorial,2019
29,100214,OBSRV ASMT DIRECT ADMIT1,G0379,716.0,Adventist Health White Memorial,2019
30,200014,BIRTHING EDUC/SESSION,S9442,280.0,Adventist Health White Memorial,2019
31,200022,L&D ANES LEVEL 1 1ST HR,Z7610,718.0,Adventist Health White Memorial,2019
32,200030,L&D ANES LEVEL 1 ADDL 30M,Z7610,285.0,Adventist Health White Memorial,2019
33,200048,L&D ANES LEVEL 2 1ST HR,Z7610,842.0,Adventist Health White Memorial,2019
34,200055,L&D ANES LEVEL 2 ADDL 30M,Z7610,339.0,Adventist Health White Memorial,2019
35,200063,L&D ANES LEVEL 3 1ST HR,Z7610,994.0,Adventist Health White Memorial,2019
36,200071,L&D ANES LEVEL 3 ADDL 30M,Z7610,399.0,Adventist Health White Memorial,2019
37,200089,L&D ANES LEVEL 4 1ST HR,Z7610,1143.0,Adventist Health White Memorial,2019
38,200097,L&D ANES LEVEL 4 ADDL 30M,Z7610,458.0,Adventist Health White Memorial,2019
39,200105,L&D ANES LEVEL 5 1ST HR,Z7610,1314.0,Adventist Health White Memorial,2019
