,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000008,***HYDROMORPHONE 10MG/ML SOLN,250,250.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
1,81000008,17-HYDROXYPROGESTERONE 250MG/ML OIL,250,3412.76,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
2,81000000,ABACAVIR 300MG TABS,250,55.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
3,81000000,ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE 600MG/50MG/300MG TABS,250,346.72,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
4,81000000,ABACAVIR/LAMIVUDINE 600MG/300MG TABS,250,155.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
5,81000008,ABATACEPT 250 MG SOLR 1 EACH VIAL,636,10500.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
6,81000000,ABIRATERONE 250MG TABS,250,1227.86,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
7,81000000,ACAMPROSATE EC 333MG TBEC,250,18.33,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
8,81000000,ACARBOSE 50MG TABS,250,15.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
9,81000008,ACETAMINOPHEN 10MG/ML SOLN,250,313.3,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
10,81000008,ACETAMINOPHEN 10MG/ML SOLN 100 ML VIAL,250,313.3,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
11,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML,250,40.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
12,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML SOLN,250,40.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
13,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
14,81000000,ACETAMINOPHEN/CODEINE 300MG/60MG TABS,250,40.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
15,81000000,ACETAZOLAMIDE 12HR-ER 500MG CP12,250,26.92,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
16,81000000,ACETAZOLAMIDE 250MG TABS,250,23.04,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
17,81000000,ACETAZOLAMIDE 25MG/ML SOLN,250,15.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
18,81000008,ACETAZOLAMIDE 500MG SOLR,250,174.3,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
19,81000008,ACETAZOLAMIDE 500MG SOLR 1 EACH VIAL,250,174.3,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
20,81000000,ACETIC ACID 0.25% SOLN,250,75.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
21,81000000,ACETIC ACID 3% SOLN 500 ML BOTTLE,250,2.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
22,81000000,ACETYLCHOLINE 20MG SOLR,250,734.7,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
23,81000000,ACETYLCYSTEINE 20%,250,55.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
24,81000000,ACETYLCYSTEINE 20% 4 ML VIAL,250,55.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
25,81000008,ACETYLCYSTEINE 20% SOLN,250,59.86,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
26,81000008,ACETYLCYSTEINE 200MG/ML SOLN 30 ML VIAL,250,293.28,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
27,81000000,ACID CITRATE DEXTROSE 0.73-2.45-2.2 GM/100ML SOLN,250,75.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
28,81000000,ACYCLOVIR 200MG CAPS,250,16.82,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
29,81000000,ACYCLOVIR 200MG/5ML SUSP,250,51.76,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
30,81000008,ACYCLOVIR 50MG/ML SOLN 10 ML VIAL,250,75.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
31,81000000,ACYCLOVIR 800MG TABS,250,15.0,Alta Bates-Summit Med Ctr-Alta Bates Campus,2019
