,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,6494.0,6494.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,4995.0,4995.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
2,10000007,HCHG ROOM REHAB ACUTE CDC (CHEM DEP),128,5499.0,5499.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
3,10000008,HCHG NEWBORN BOARDER BABY,171,2577.0,2577.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
4,10000016,HCHG ROOM ICU,200,12307.0,12307.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
5,10000018,HCHG ROOM ICU INTERM,206,7493.0,7493.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
6,10000020,HCHG ROOM CCU,210,12595.0,12595.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
7,10000021,HCHG ROOM SNF M/S DSTNCT,121,4197.0,4197.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
8,10000029,HCHG ROOM MED/SURG/GYN PVT,111,4995.0,4995.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
9,10000034,HCHG ROOM RESIDENTIAL CARE SP,129,1853.0,1853.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
10,10000040,HCHG ROOM DETOX,126,3529.0,3529.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
11,10000053,HCHG ROOM ICU SURGICAL,201,12307.0,12307.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
12,10000054,HCHG ROOM REHAB ACUTE PVT,118,6384.0,6384.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
13,10000068,HCHG ROOM INPATIENT CD REHAB,129,1809.0,1809.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
14,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
15,10000076,HCHG ROOM HOSPICE PRIVATE,115,3746.0,3746.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
16,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3746.0,3746.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
17,10000078,HCHG ROOM REHAB ACUTE SEMI PVT,128,5499.0,5499.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
18,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
19,10100004,HCHG OBS CPR,760,1727.0,1727.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
20,10100005,HCHG OBS PER HOUR,762,302.0,302.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
21,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
22,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
23,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
24,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760,2602.0,2602.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
25,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760,109.0,109.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
26,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
27,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
28,10100047,HCHG OBS THORACENTESIS W/IMAG,760,2478.0,2478.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
29,10100048,HCHG OBS THORACENTESIS WO IMAG,760,2086.0,2086.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
30,10100058,HCHG OBS IMAGE CATH FLUID PERI/RETRO,760,4628.0,4628.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
31,10100203,HCHG OBS APPLY SHORT LEG SPLINT,760,567.0,567.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
32,10200002,HCHG EXCH TRANSFN BLOOD NOT NB,391,472.0,472.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
33,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,469.0,469.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
34,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,,240.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
35,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,197.0,197.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
36,17000064,HCHG PT MCAL AQUATIC THERAPY EXERCISE INITIAL 30 MIN,420,403.0,403.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
37,17000065,HCHG PT MCAL AQUATIC THERAPEUTIC EXERCISE ADDITIONAL 15 MIN,420,203.0,203.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
38,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,386.0,386.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
39,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420,323.0,323.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
