,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000000,ABACAVIR 300MG TABS,250,55.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
1,81000000,ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE 600MG/50MG/300MG TABS,250,346.72,Alta Bates-Summit Med Ctr-Summit Campus,2019
2,81000000,ABACAVIR/LAMIVUDINE 600MG/300MG TABS,250,155.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
3,81000000,ACAMPROSATE EC 333MG TBEC,250,19.33,Alta Bates-Summit Med Ctr-Summit Campus,2019
4,81000008,ACETAMINOPHEN 10MG/ML SOLN,250,313.3,Alta Bates-Summit Med Ctr-Summit Campus,2019
5,81000008,ACETAMINOPHEN 10MG/ML SOLN 100 ML VIAL,250,313.3,Alta Bates-Summit Med Ctr-Summit Campus,2019
6,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML SOLN,250,40.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
7,81000000,ACETAMINOPHEN/CODEINE 300MG/15MG TABS,250,40.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
8,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
9,81000000,ACETAMINOPHEN/CODEINE 300MG/60MG TABS,250,40.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
10,81000000,ACETAZOLAMIDE 250MG TABS,250,23.04,Alta Bates-Summit Med Ctr-Summit Campus,2019
11,81000008,ACETAZOLAMIDE 500MG SOLR,250,174.3,Alta Bates-Summit Med Ctr-Summit Campus,2019
12,81000008,ACETAZOLAMIDE 500MG SOLR 1 EACH VIAL,250,174.3,Alta Bates-Summit Med Ctr-Summit Campus,2019
13,81000000,ACETIC ACID 2% SOLN 15 ML BOTTLE,250,200.02,Alta Bates-Summit Med Ctr-Summit Campus,2019
14,81000008,ACETYLCYSTEINE 10% SOLN 10 ML GLASS CONT,636,55.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
15,81000000,ACETYLCYSTEINE 20%,250,55.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
16,81000000,ACETYLCYSTEINE 20% 30 ML VIAL,250,55.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
17,81000000,ACETYLCYSTEINE 20% 4 ML VIAL,250,55.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
18,81000008,ACETYLCYSTEINE 20% SOLN,250,59.86,Alta Bates-Summit Med Ctr-Summit Campus,2019
19,81000008,ACETYLCYSTEINE 200MG/ML SOLN 30 ML VIAL,250,293.28,Alta Bates-Summit Med Ctr-Summit Campus,2019
20,81000000,ACID CITRATE DEXTROSE 0.73-2.45-2.2 GM/100ML SOLN,250,75.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
21,81000000,ACYCLOVIR 200MG CAPS,250,16.82,Alta Bates-Summit Med Ctr-Summit Campus,2019
22,81000000,ACYCLOVIR 200MG/5ML SUSP,250,51.76,Alta Bates-Summit Med Ctr-Summit Campus,2019
23,81000000,ACYCLOVIR 5% OINT 15 G TUBE,250,1200.0,Alta Bates-Summit Med Ctr-Summit Campus,2019
