,Dept #,Dept Description,Charge #,Description,Price,"Zero Charge
Explanation ",Hospital,Year
0,1,R&B ICU/CCU 1102100,19455,R&B ICU INTERMEDIATE,3712.0,,Banner Lassen Medical Center,2019
1,1,R&B ICU/CCU 1102100,39453,R&B PEDIATRICS PVT,2770.0,,Banner Lassen Medical Center,2019
2,1,R&B ICU/CCU 1102100,99457,R&B MEDICAL/SURGICAL PVT,2090.0,,Banner Lassen Medical Center,2019
3,1,R&B ICU/CCU 1102100,7620545,OBSRV ICU INTERMEDIATE PER HOUR,155.0,,Banner Lassen Medical Center,2019
4,60,R&B WOMEN & INFANTS 1105210,117,R&B OBSTETRICS PVT,2605.0,,Banner Lassen Medical Center,2019
5,60,R&B WOMEN & INFANTS 1105210,5447,R&B PEDIATRICS SEMI-PVT,2770.0,,Banner Lassen Medical Center,2019
6,60,R&B WOMEN & INFANTS 1105210,9563,R&B OBSTETRICS PVT,2605.0,,Banner Lassen Medical Center,2019
7,60,R&B WOMEN & INFANTS 1105210,45443,R&B NURSERY LEVEL 2 LOWER ACUITY,1497.0,,Banner Lassen Medical Center,2019
8,60,R&B WOMEN & INFANTS 1105210,55442,R&B NURSERY LEVEL 1,1246.0,,Banner Lassen Medical Center,2019
9,60,R&B WOMEN & INFANTS 1105210,65441,R&B NURSERY LEVEL 2 HIGHER ACUITY,1497.0,,Banner Lassen Medical Center,2019
10,60,R&B WOMEN & INFANTS 1105210,3105566,POC BILIRUBIN TOTAL TRANSQ,70.0,,Banner Lassen Medical Center,2019
11,60,R&B WOMEN & INFANTS 1105210,7201676,CIRCUMCISION W/BLOCK REGIONAL,265.0,,Banner Lassen Medical Center,2019
12,60,R&B WOMEN & INFANTS 1105210,7621147,OBSRV OB PER HOUR,108.0,,Banner Lassen Medical Center,2019
13,70,R&B MED/SURG 1104100,19562,R&B ICU INTERMEDIATE,3712.0,,Banner Lassen Medical Center,2019
14,70,R&B MED/SURG 1104100,39560,R&B PEDIATRICS PVT,2770.0,,Banner Lassen Medical Center,2019
15,70,R&B MED/SURG 1104100,69567,R&B SWING BED SKILLED,706.0,,Banner Lassen Medical Center,2019
16,70,R&B MED/SURG 1104100,99564,R&B MEDICAL/SURGICAL PVT,2090.0,,Banner Lassen Medical Center,2019
17,70,R&B MED/SURG 1104100,3903309,TRANSFUSION BLOOD/COMP 1 UNIT,892.0,,Banner Lassen Medical Center,2019
18,70,R&B MED/SURG 1104100,3903317,TRANSFUSION BLOOD/COMP 2 UNITS,1593.0,,Banner Lassen Medical Center,2019
19,70,R&B MED/SURG 1104100,3903325,TRANSFUSION BLOOD/COMP 3+ UNITS,2597.0,,Banner Lassen Medical Center,2019
20,70,R&B MED/SURG 1104100,7104573,RECOVERY EXTENDED MED/SURG PER HOUR,88.0,,Banner Lassen Medical Center,2019
21,70,R&B MED/SURG 1104100,7620552,OBSRV MEDICAL/SURGICAL PER HOUR,88.0,,Banner Lassen Medical Center,2019
22,249,OBSERVATION PROCEDURES,7690001,CHEMO INF IV 1ST HR,644.0,,Banner Lassen Medical Center,2019
