,EAP PROC CODE,Description,CPT,REV CODE,Price,Hospital,Year
0,302706,HCHG ANESTHESIA PROCEDURE EYE,00140,370,594.05,Barton Memorial Hospital,2019
1,302703,HCHG ANESTHESIA PROCEDURE MOUTH,00170,370,772.27,Barton Memorial Hospital,2019
2,343107,HCHG ANESTHESIA FACE SKULL BONE SURGERY,00190,370,619.85,Barton Memorial Hospital,2019
3,308806,HCHG ANESTH CORRECT HEART RHYTHM,00410,370,978.73,Barton Memorial Hospital,2019
4,343278,HCHG BMH ANESTH CARDIAC ELECTROPHYS,00537,379,742.4,Barton Memorial Hospital,2019
5,302712,HCHG ANESTHESIA CHEST SURGERY,00540,370,786.05,Barton Memorial Hospital,2019
6,302737,HCHG ANESTH UPPER ABDOMINAL WALL SURG,00700,370,786.05,Barton Memorial Hospital,2019
7,110355,HCHG ANESTH ABDOMINAL WALL SURG,00800,370,1086.27,Barton Memorial Hospital,2019
8,343279,HCHG BMH ANESTHESIA HIP JOINT PROCEDURE,01200,370,957.63,Barton Memorial Hospital,2019
9,302704,HCHG ANESTHESIA PROCEDURE LOWER LEG,01462,370,772.27,Barton Memorial Hospital,2019
10,343280,"HCHG BMH ANESTHESIA, CLOSED SHOULDER PROCEDURE",01620,379,749.71,Barton Memorial Hospital,2019
11,302794,HCHG ANESTH UPPR ARM PROCEDURE,01730,370,279.28,Barton Memorial Hospital,2019
12,110358,HCHG ANESTH LOWER ARM PROCEDURE,01820,370,749.71,Barton Memorial Hospital,2019
13,4410573,HCHG FNA BIOPSY WO IMAGING EA ADD LESION,10004,761,1126.87,Barton Memorial Hospital,2019
14,4410574,HCHG FNA BIOPSY W US GUIDE 1ST LESION,10005,761,2253.74,Barton Memorial Hospital,2019
15,4410575,HCHG FNA BIOPSY W US GUIDE EA ADD LESION,10006,761,1126.87,Barton Memorial Hospital,2019
16,4410576,HCHG FNA BIOPSY W FLUORO 1ST LESION,10007,761,2253.74,Barton Memorial Hospital,2019
17,4410577,HCHG FNA BIOPSY W FLUORO EA ADD LESION,10008,761,1126.87,Barton Memorial Hospital,2019
18,4410578,HCHG FNA BIOPSY W CT GUIDE 1ST LESION,10009,761,2253.74,Barton Memorial Hospital,2019
19,4410579,HCHG FNA BIOPSY W CT GUIDE EA ADD LESION,10010,761,1126.87,Barton Memorial Hospital,2019
20,4410580,HCHG FNA BIOPSY W MRI 1ST LESION,10011,761,2253.74,Barton Memorial Hospital,2019
21,4410581,HCHG FNA BIOPSY W MRI EA ADD LESION,10012,761,1126.87,Barton Memorial Hospital,2019
22,310036,HCHG FNA WITHOUT IMAGING GUIDANCE,10021,360,1075.23,Barton Memorial Hospital,2019
23,4401607,HCHG IMAGE-GUIDED CATH FLUID DRAINAGE,10030,361,780.4,Barton Memorial Hospital,2019
24,303978,"HCHG I&D ABSCESS, SIMPLE OR SINGLE",10060,510,996.19,Barton Memorial Hospital,2019
25,303979,"HCHG I&D ABSCESS,COMPLICATED/MULT.",10061,510,996.19,Barton Memorial Hospital,2019
26,308281,HCHG BMH/CVMC INCISION DRAINAGE OF PILONIDAL CYST; SIMPLE,10080,450,996.19,Barton Memorial Hospital,2019
27,308283,HCHG BMH/CVMC DRAINAGE OF PILONIDAL CYST; COMPLICATED,10081,450,5041.6,Barton Memorial Hospital,2019
28,304031,HCHG INCISION/REM FB SUBQ SIMPLE,10120,510,1923.28,Barton Memorial Hospital,2019
29,304030,HCHG INCISION/REM FB SUBQ CPLX,10121,510,10271.65,Barton Memorial Hospital,2019
30,308288,HCHG BMH/CVMC DRAINAGE OF HEMATOMA/FLUID,10140,450,4953.51,Barton Memorial Hospital,2019
31,306825,HCHG ASPIRATION PUNCTURE,10160,450,996.19,Barton Memorial Hospital,2019
32,4400566,HCHG PUNCTURE DRAINAGE OF LESION,10160,761,996.19,Barton Memorial Hospital,2019
33,308293,HCHG BMH/CVMC DEBRIDE INFECTED SKIN,11000,510,2289.24,Barton Memorial Hospital,2019
34,308298,HCHG DEBRIDE REMOVAL FOREIGN MATERIAL FX,11010,450,3458.56,Barton Memorial Hospital,2019
35,308302,HCHG DEBRIDE SKIN TISSUE MUSCLE BONE FX,11012,450,6033.92,Barton Memorial Hospital,2019
36,307088,HCHG DEBRIDE SUBQ TISSUE 20SQCM<,11042,761,1751.34,Barton Memorial Hospital,2019
37,308307,HCHG BMH/CVMC DEBRIDE BONE/TISS 1ST 20 SQCM,11044,510,2946.47,Barton Memorial Hospital,2019
38,503431,HCHG INCISIONAL BX OF SKIN SINGLE LESION,11106,761,1059.41,Barton Memorial Hospital,2019
39,503432,HCHG INCISIONAL BX OF SKIN EACH ADD LESION,11107,761,741.59,Barton Memorial Hospital,2019
40,308312,HCHG REMOVAL SKIN TAGS UP TO 15 LESIONS,11200,510,603.26,Barton Memorial Hospital,2019
41,343108,HCHG BMH EXC TR-EXT B9+MARG 0.5<CM,11400,450,2577.37,Barton Memorial Hospital,2019
42,303710,"HCHG EXCISION,BGN LESN SNE <.5 CM",11420,510,3458.44,Barton Memorial Hospital,2019
43,306645,"HCHG DEBRIDE NAIL,ANY METHOD 1 TO 5",11720,761,620.94,Barton Memorial Hospital,2019
44,306646,"HCHG DEBRIDE NAIL,ANY METHOD 6/MORE",11721,761,644.31,Barton Memorial Hospital,2019
45,302850,HCHG AVULSION NAIL PLATE SINGLE,11730,450,583.5,Barton Memorial Hospital,2019
46,308401,HCHG AVULSION OF NAIL PLATE ADD-ON,11732,510,759.68,Barton Memorial Hospital,2019
47,308403,HCHG BMH/CVMC DRAIN BLOOD FROM UNDER NAIL,11740,450,295.59,Barton Memorial Hospital,2019
48,303738,HCHG EXCISION-NAIL & MATRIX,11750,510,2893.25,Barton Memorial Hospital,2019
49,308407,HCHG BMH/CVMC REPAIR OF NAIL BED,11760,450,2224.09,Barton Memorial Hospital,2019
50,308409,HCHG WEDGE EXCISION SKIN NAIL FOLD,11765,450,674.84,Barton Memorial Hospital,2019
51,302738,HCHG REMOVE PILONIDAL CYST SIMPLE,11770,450,6033.92,Barton Memorial Hospital,2019
52,302708,HCHG REMOVE DRUG IMPLANT DEVICE,11982,450,551.28,Barton Memorial Hospital,2019
53,305004,HCHG REPAIR-SMP-SNAGTE <2.5 CM,12001,510,925.18,Barton Memorial Hospital,2019
54,305005,HCHG REPAIR-SMP-SNAGTE 2.6-7.5 CM,12002,510,925.18,Barton Memorial Hospital,2019
55,308414,HCHG BMH/CVMC REPAIR WOUND 7.6-12.5CM SIMPLE,12004,450,925.18,Barton Memorial Hospital,2019
56,308416,HCHG BMH/CVMC REPAIR WOUND 12.6-20.0 SIMPLE,12005,450,925.18,Barton Memorial Hospital,2019
57,308418,HCHG BMH/CVMC REPAIR SUPERFICIAL WOUND 20.1-30.0CM SCALP NECK AXILLAE,12006,450,1607.07,Barton Memorial Hospital,2019
58,308419,HCHG BMH/CVMC REPAIR SUPERFICIAL WOUND >30.0CM SCALP NECK AXILLAE,12007,450,1607.07,Barton Memorial Hospital,2019
59,305001,HCHG REPAIR-SMP-FEENL <2.5 CM,12011,510,925.18,Barton Memorial Hospital,2019
60,305002,HCHG REPAIR-SMP-FEENL 2.6-5.0 CM,12013,510,925.18,Barton Memorial Hospital,2019
61,305003,HCHG REPAIR-SMP-FEENL 5.1-7.5 CM,12014,510,925.18,Barton Memorial Hospital,2019
62,308425,HCHG BMH/CVMC REPAIR SUPERFICIAL WOUND 7.6-12.5CM,12015,450,925.18,Barton Memorial Hospital,2019
63,308427,HCHG BMH/CVMC REPAIR SUPERFICIAL WOUND 12.6-20.0CM FACE EAR EYELID LIP,12016,450,925.18,Barton Memorial Hospital,2019
64,308431,HCHG SIMPLE REPAIR SUPERFICIAL WND > 30CM,12018,450,925.18,Barton Memorial Hospital,2019
65,308433,HCHG BMH/CVMC CLOSURE OF SPLIT WOUND SIMPLE,12020,450,1754.38,Barton Memorial Hospital,2019
66,305733,HCHG WOUND CARE W/ PACKING,12021,510,1258.08,Barton Memorial Hospital,2019
67,304997,HCHG REPAIR-INT-SATE <2.5 CM,12031,510,925.18,Barton Memorial Hospital,2019
68,304998,HCHG REPAIR-INT-SATE 2.6-7.5 CM,12032,510,2224.09,Barton Memorial Hospital,2019
69,343150,"HCHG BMH REPAIR, INTERMEDIATE, WOUNDS 2.6CM TO 7.5CM",12032,760,2224.09,Barton Memorial Hospital,2019
70,308437,HCHG BMH/CVMC LAYER OF CLOSURE WOUND 7.6-12.5CM,12034,450,925.18,Barton Memorial Hospital,2019
71,308439,HCHG BMH/CVMC LAYER CLOSE WOUND 12.6-20.0CM,12035,450,925.18,Barton Memorial Hospital,2019
72,308441,"HCHG BMH/CVMC REPAIR, INTMD, WOUNDS 20.1-30.0 CM",12036,450,2099.2,Barton Memorial Hospital,2019
73,308445,HCHG BMH/CVMC LAYER CLOSURE OF WOUND 2.5CM OR <,12041,450,925.18,Barton Memorial Hospital,2019
74,308447,HCHG BMH/CVMC LAYER CLOSURE WOUND 2.6-7.5CM,12042,450,925.18,Barton Memorial Hospital,2019
75,343109,HCHG BMH LAYER CLOSE WOUND 7.6-12.5CM NECK HAND FEE GENITALIA,12044,450,925.18,Barton Memorial Hospital,2019
76,308457,HCHG BMH/CVMC LAYER CLOSURE OF WOUND 2.5CM OR <,12051,450,925.18,Barton Memorial Hospital,2019
77,308459,HCHG BMH/CVMC LAYER OF CLOSURE WOUND 2.6-5.0CM,12052,450,925.18,Barton Memorial Hospital,2019
78,308461,HCHG BMH/CVMC LAYER CLOSURE OF WOUND 5.1-7.5CM,12053,450,925.18,Barton Memorial Hospital,2019
79,308463,HCHG BMH/CVMC LAYER CLOSSURE WOUND 7.6-12.5CM,12054,450,925.18,Barton Memorial Hospital,2019
80,308465,HCHG BMH/CVMC LAYER CLOSE WOUND 12.6-20.0CM FACE EARS EJYELID NOSE LIP,12055,450,1258.08,Barton Memorial Hospital,2019
81,308473,HCHG BMH/CVMC REPAIR WOUND/LESION 2.6-7.5CM COMPLEX TRUNK,13101,450,2301.16,Barton Memorial Hospital,2019
82,308475,HCHG BMH/CVMC REPAIR WOUND/LESION ADD-ON 5 CM OR LESS,13102,450,806.19,Barton Memorial Hospital,2019
83,308477,HCHG BMH/CVMC REPAIR WOUND/LESION 1.1-2.5CM COMPLEX SCALP ARM LEG,13120,450,1258.08,Barton Memorial Hospital,2019
84,308479,HCHG BMH/CVMC REPAIR WOUND/LESION 2.6-7.5CM COMPLEX SCALP ARM LEG,13121,450,2224.09,Barton Memorial Hospital,2019
85,308481,"HCHG BMH/CVMC REPAIR WOUND/LESION ADD-ON 5CM OR< COMPLEX SCALP,ARM,LEG",13122,450,1020.22,Barton Memorial Hospital,2019
86,308483,"HCHG BMH/CVMC REPAIR WOUND/LESION1.1-2.5CM COMPLEX FOREHEAD,CHEEK,CHIN",13131,450,2224.09,Barton Memorial Hospital,2019
87,308485,HCHG BMH/CVMC REPAIR WOUND/LESION 2.6-7.5CM,13132,450,2357.53,Barton Memorial Hospital,2019
88,308487,HCHG BMH/CVMC REPAIR COMPLEX FOREHEAD CHEEK CHIN MOUTH NECK ADD<5CM,13133,450,2224.09,Barton Memorial Hospital,2019
89,308491,"HCHG BMH/CVMC REPAIR WOUND/LESION1.1-2.5CM COMPLEX EYELID,NOSE,EAR,LIP",13151,450,1258.08,Barton Memorial Hospital,2019
90,308493,HCHG REPAIR COMPLEX WOUND 2.6-7.5CM,13152,450,2301.16,Barton Memorial Hospital,2019
91,308495,HCHG REPAIR COMPLEX WOUND EA ADDL 5CM <,13153,450,623.16,Barton Memorial Hospital,2019
92,305586,HCHG TX BURN 1ST DEGREE INITIAL,16000,510,583.5,Barton Memorial Hospital,2019
