,EAP,Description,Rev Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214.0,6494.0,6494.0,California Pacific Medical Center - Pacific Campus,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121.0,4995.0,4995.0,California Pacific Medical Center - Pacific Campus,2019
2,10000004,HCHG ROOM OB/MATERNAL,122.0,6124.0,6124.0,California Pacific Medical Center - Pacific Campus,2019
3,10000005,HCHG ROOM PEDIATRIC,123.0,7774.0,7774.0,California Pacific Medical Center - Pacific Campus,2019
4,10000006,HCHG ROOM BEHAVIORAL HEALTH,124.0,5702.0,5702.0,California Pacific Medical Center - Pacific Campus,2019
5,10000007,HCHG ROOM REHAB ACUTE CDC (CHEM DEP),128.0,5499.0,5499.0,California Pacific Medical Center - Pacific Campus,2019
6,10000008,HCHG NEWBORN BOARDER BABY,171.0,2577.0,2577.0,California Pacific Medical Center - Pacific Campus,2019
7,10000009,HCHG NEWBORN LEVEL I,171.0,1982.0,1982.0,California Pacific Medical Center - Pacific Campus,2019
8,10000010,HCHG NEWBORN LEVEL II,172.0,8329.0,8329.0,California Pacific Medical Center - Pacific Campus,2019
9,10000011,HCHG NEWBORN LEVEL III,173.0,11661.0,11661.0,California Pacific Medical Center - Pacific Campus,2019
10,10000012,HCHG NEWBORN LEVEL IV,174.0,14159.0,14159.0,California Pacific Medical Center - Pacific Campus,2019
11,10000014,HCHG ROOM SUBACUTE VENT,71.0,4750.0,4750.0,California Pacific Medical Center - Pacific Campus,2019
12,10000015,HCHG ROOM SUBACUTE NON VENT,72.0,4479.0,4479.0,California Pacific Medical Center - Pacific Campus,2019
13,10000016,HCHG ROOM ICU,200.0,12307.0,12307.0,California Pacific Medical Center - Pacific Campus,2019
14,10000017,HCHG ROOM ICU PEDIATRICS,203.0,12307.0,12307.0,California Pacific Medical Center - Pacific Campus,2019
15,10000018,HCHG ROOM ICU INTERM,206.0,7493.0,7493.0,California Pacific Medical Center - Pacific Campus,2019
16,10000019,HCHG ROOM SPECIAL CARE,206.0,6494.0,6494.0,California Pacific Medical Center - Pacific Campus,2019
