,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000000,ABACAVIR 300MG TABS,250,55.0,California Pacific Medical Center - Pacific Campus,2019
1,81000000,ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE 600MG/50MG/300MG TABS,250,346.72,California Pacific Medical Center - Pacific Campus,2019
2,81000000,ABACAVIR/LAMIVUDINE 600MG/300MG TABS,250,139.51,California Pacific Medical Center - Pacific Campus,2019
3,81000008,ABATACEPT 250 MG SOLR 1 EACH VIAL,636,10500.0,California Pacific Medical Center - Pacific Campus,2019
4,81000008,ACETAMINOPHEN 10MG/ML SOLN,250,313.3,California Pacific Medical Center - Pacific Campus,2019
5,81000008,ACETAMINOPHEN 10MG/ML SOLN 100 ML VIAL,250,313.3,California Pacific Medical Center - Pacific Campus,2019
6,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML SOLN,250,40.0,California Pacific Medical Center - Pacific Campus,2019
7,81000000,ACETAMINOPHEN/CODEINE 300MG/15MG TABS,250,40.0,California Pacific Medical Center - Pacific Campus,2019
8,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,California Pacific Medical Center - Pacific Campus,2019
9,81000000,ACETAMINOPHEN/CODEINE 300MG/60MG TABS,250,40.0,California Pacific Medical Center - Pacific Campus,2019
10,81000000,ACETAZOLAMIDE 125MG TABS,250,15.0,California Pacific Medical Center - Pacific Campus,2019
11,81000000,ACETAZOLAMIDE 12HR-ER 500MG CP12,250,26.92,California Pacific Medical Center - Pacific Campus,2019
12,81000000,ACETAZOLAMIDE 250MG TABS,250,23.04,California Pacific Medical Center - Pacific Campus,2019
13,81000008,ACETAZOLAMIDE 500MG SOLR,250,174.3,California Pacific Medical Center - Pacific Campus,2019
14,81000008,ACETAZOLAMIDE 500MG SOLR 1 EACH VIAL,250,174.3,California Pacific Medical Center - Pacific Campus,2019
15,81000000,ACETIC ACID 0.25% SOLN,250,75.0,California Pacific Medical Center - Pacific Campus,2019
16,81000000,ACETIC ACID 3% SOLN,250,2.0,California Pacific Medical Center - Pacific Campus,2019
17,81000000,ACETYLCHOLINE 20MG SOLR,250,734.7,California Pacific Medical Center - Pacific Campus,2019
18,81000008,ACETYLCYSTEINE 10% SOLN,250,41.1,California Pacific Medical Center - Pacific Campus,2019
19,81000000,ACETYLCYSTEINE 20%,250,55.0,California Pacific Medical Center - Pacific Campus,2019
20,81000000,ACETYLCYSTEINE 20% 30 ML VIAL,250,55.0,California Pacific Medical Center - Pacific Campus,2019
21,81000000,ACETYLCYSTEINE 20% 4 ML VIAL,250,55.0,California Pacific Medical Center - Pacific Campus,2019
22,81000008,ACETYLCYSTEINE 20% SOLN,250,59.86,California Pacific Medical Center - Pacific Campus,2019
23,81000008,ACETYLCYSTEINE 200MG/ML SOLN 30 ML VIAL,250,1384.6,California Pacific Medical Center - Pacific Campus,2019
24,81000000,ACID CITRATE DEXTROSE 0.73-2.45-2.2 GM/100ML SOLN,250,75.0,California Pacific Medical Center - Pacific Campus,2019
25,81000000,ACYCLOVIR 200MG CAPS,250,16.82,California Pacific Medical Center - Pacific Campus,2019
26,81000000,ACYCLOVIR 200MG/5ML SUSP,250,26.56,California Pacific Medical Center - Pacific Campus,2019
27,81000000,ACYCLOVIR 400MG TABS,250,15.0,California Pacific Medical Center - Pacific Campus,2019
28,81000000,ACYCLOVIR 5% OINT 15 G TUBE,250,1200.0,California Pacific Medical Center - Pacific Campus,2019
29,81000008,ACYCLOVIR 50MG/ML SOLN 10 ML VIAL,250,75.0,California Pacific Medical Center - Pacific Campus,2019
30,81000008,ACYCLOVIR 50MG/ML SOLN 20 ML VIAL,250,168.0,California Pacific Medical Center - Pacific Campus,2019
31,81000000,ACYCLOVIR 800MG TABS,250,15.0,California Pacific Medical Center - Pacific Campus,2019
32,81000000,ADENOSINE (ADENOCARD) 100MCG/ML IN 10ML IV SOLUTION CARDIAC CATHETERIZATION SOLN,250,75.0,California Pacific Medical Center - Pacific Campus,2019
33,81000008,ADENOSINE 6MG/2ML SOLN,636,75.0,California Pacific Medical Center - Pacific Campus,2019
34,81000008,ADENOSINE 6MG/2ML SOLN 2 ML VIAL,636,75.0,California Pacific Medical Center - Pacific Campus,2019
35,81000008,ADENOSINE DIAGNOSTIC 3MG/ML SOLN,636,1959.6,California Pacific Medical Center - Pacific Campus,2019
36,81000008,ADENOSINE DIAGNOSTIC 3MG/ML SOLN 20 ML VIAL,636,1306.5,California Pacific Medical Center - Pacific Campus,2019
37,81000008,ADENOSINE DIAGNOSTIC 3MG/ML SOLN 30 ML VIAL,636,1959.6,California Pacific Medical Center - Pacific Campus,2019
38,81000008,ALBUMIN HUMAN 25% SOLN,250,900.0,California Pacific Medical Center - Pacific Campus,2019
39,81000008,ALBUMIN HUMAN 5% SOLN,250,540.0,California Pacific Medical Center - Pacific Campus,2019
40,81000000,ALBUTEROL 0.083% NEBU,250,15.0,California Pacific Medical Center - Pacific Campus,2019
41,81000000,ALBUTEROL 0.5% NEBU,250,15.0,California Pacific Medical Center - Pacific Campus,2019
42,81000000,ALBUTEROL 0.5% NEBU 20 ML BOTTLE,250,83.44,California Pacific Medical Center - Pacific Campus,2019
43,81000000,ALBUTEROL 1.25 MG/3ML 0.042% NEBU,250,15.0,California Pacific Medical Center - Pacific Campus,2019
44,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 6.7 G INHALER,250,382.73,California Pacific Medical Center - Pacific Campus,2019
45,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8 G INHALER,250,132.36,California Pacific Medical Center - Pacific Campus,2019
46,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8.5 G INHALER,250,375.0,California Pacific Medical Center - Pacific Campus,2019
47,81000000,ALBUTEROL 4MG TABS,250,36.49,California Pacific Medical Center - Pacific Campus,2019
48,81000000,ALBUTEROL IN 0.9% NACL NEBU,250,19.8,California Pacific Medical Center - Pacific Campus,2019
49,81000000,ALBUTEROL IN 0.9% NACL NEBU 20 ML BOTTLE,250,120.0,California Pacific Medical Center - Pacific Campus,2019
50,81000000,ALCOHOL 98% SOLN,250,199.32,California Pacific Medical Center - Pacific Campus,2019
