,Dept Code & Name,Description,Total Units,2018 Price,2019 Price,2018 Total,2019 Total,Hospital,Year
0,6070 3 West - NICU,607031002 NEO NICU-LEVEL3,9806.0,13785.0,15115.0,135175710.0,148217690.0,Childrens Hospital of Los Angeles,2019
1,6052 2 West - CTICU,605241000 CARDIAC ICU,6598.0,16051.0,17732.0,105904498.0,116995736.0,Childrens Hospital of Los Angeles,2019
2,6070 3 West - NICU,607031003 NEO NICU-LEVEL4,6898.0,14985.0,16397.0,103366530.0,113106506.0,Childrens Hospital of Los Angeles,2019
3,6050 3 East - PICU,605022000 PEDS ICU,6332.0,13753.0,15143.0,87083996.0,95885476.0,Childrens Hospital of Los Angeles,2019
4,6289 Cardiovascular,628951000 CARDIAC ACUTE,6403.0,11812.0,13034.0,75632236.0,83456702.0,Childrens Hospital of Los Angeles,2019
5,6298 5 East,629821000 PEDS MED SURG,10161.0,7175.0,7906.0,72905175.0,80332866.0,Childrens Hospital of Los Angeles,2019
6,6297 6 East,629721000 PEDS MED SURG,9910.0,7183.0,7915.0,71183530.0,78437650.0,Childrens Hospital of Los Angeles,2019
7,7450 OR/ANESTH,745012001 ORA ANES SERVICES EACH 15 MIN,98329.0,690.0,692.0,67847010.0,68043668.0,Childrens Hospital of Los Angeles,2019
8,6290 6 West,629021000 PEDS MED SURG,9393.0,7180.0,7883.0,67441740.0,74045019.0,Childrens Hospital of Los Angeles,2019
9,6292 4 East,629221001 HEM/ONC ACUTE,8124.0,8014.0,8804.0,65105736.0,71523696.0,Childrens Hospital of Los Angeles,2019
10,6294 5 West,629421000 PEDS MED SURG,8060.0,7170.0,7827.0,57790200.0,63085620.0,Childrens Hospital of Los Angeles,2019
11,6299 Bone Marrow Transplant,629921002 BMT ACUTE,3539.0,13755.0,15091.0,48678945.0,53407049.0,Childrens Hospital of Los Angeles,2019
12,7420 Operating Room,742099998 LVL 3 SURGICAL PX,4643.0,9355.0,9654.0,43435265.0,44823522.0,Childrens Hospital of Los Angeles,2019
13,7010 Emergency Department,701010001 ED LEVEL II,47602.0,730.0,766.0,34749460.0,36463132.0,Childrens Hospital of Los Angeles,2019
14,7420 Operating Room,742088883 LEVEL 3 EACH ADDTL 30 MIN,11507.0,2806.0,2896.0,32288642.0,33324272.0,Childrens Hospital of Los Angeles,2019
15,6291 4 West,629121001 HEM/ONC ACUTE,3469.0,7994.0,8789.0,27731186.0,30489041.0,Childrens Hospital of Los Angeles,2019
16,7420 Operating Room,742088885 LEVEL 5 EACH ADDTL 30 MIN,6566.0,3994.0,4422.0,26224604.0,29034852.0,Childrens Hospital of Los Angeles,2019
17,6053 5 East Duque Medsurge,605321001 PEDS MED SURG,3262.0,7215.0,7899.0,23535330.0,25766538.0,Childrens Hospital of Los Angeles,2019
18,7710 Pharmacy,771004145 INOMAX (NITRIC OXIDE) PER HOUR,23384.0,935.0,935.0,21864040.0,21864040.0,Childrens Hospital of Los Angeles,2019
19,7710 Pharmacy,771020220 INFLIXIMAB (REMICADE) 10MG INJ,52174.0,414.0,430.0,21600036.0,22434820.0,Childrens Hospital of Los Angeles,2019
20,6295 6 North,629561000 REHAB,3920.0,5443.0,6004.0,21336560.0,23535680.0,Childrens Hospital of Los Angeles,2019
21,7420 Operating Room,742099997 LVL 2 SURGICAL PX,2817.0,7360.0,7586.0,20733120.0,21369762.0,Childrens Hospital of Los Angeles,2019
22,7710 Pharmacy,771024956 ETEPLIRSEN(EXONDYS51)10MG INJ,50020.0,403.0,403.0,20158060.0,20158060.0,Childrens Hospital of Los Angeles,2019
23,7420 Operating Room,742088884 LEVEL 4 EACH ADDTL 30 MIN,5810.0,3439.0,3795.0,19980590.0,22048950.0,Childrens Hospital of Los Angeles,2019
24,7720 Respiratory Care,772069013 INHAL TX SUBSEQ,68226.0,251.0,228.0,17124726.0,15555528.0,Childrens Hospital of Los Angeles,2019
25,7710 Pharmacy,771022457 MICAFUNGIN 1 MG INJ,400708.0,41.0,41.0,16429028.0,16429028.0,Childrens Hospital of Los Angeles,2019
26,7710 Pharmacy,771047057 METHOTREXATE 50 MG INJ,34599.0,450.0,450.0,15569550.0,15569550.0,Childrens Hospital of Los Angeles,2019
27,7720 Respiratory Care,772069020 VENT MGMT SUBSEQ,27844.0,540.0,553.0,15035760.0,15397732.0,Childrens Hospital of Los Angeles,2019
28,7660 MRI Scans,766002407 MRI BRAIN W/WO CONTRAST,2891.0,5169.0,5423.0,14943579.0,15677893.0,Childrens Hospital of Los Angeles,2019
29,7010 Emergency Department,701010009 ED LEVEL 3 W/PROCEDURE,11598.0,1248.0,1309.0,14474304.0,15181782.0,Childrens Hospital of Los Angeles,2019
30,7503 Lab Chemistry,750316028 COMPREHENSIVE METABOLIC PANEL,69612.0,192.0,198.0,13365504.0,13783176.0,Childrens Hospital of Los Angeles,2019
31,7430 Ambulatory Surgery Center,743099996 LVL 1 SURGICAL PX,2120.0,6059.0,6483.0,12845080.0,13743960.0,Childrens Hospital of Los Angeles,2019
32,7640 Radiation Oncology,764065083 IMRT DELIVERY COMP,1228.0,10431.0,10431.0,12809268.0,12809268.0,Childrens Hospital of Los Angeles,2019
33,7430 Ambulatory Surgery Center,743099997 LVL 2 SURGICAL PX,1666.0,7368.0,7884.0,12275088.0,13134744.0,Childrens Hospital of Los Angeles,2019
34,7720 Respiratory Care,772069015 INHALATION TX MED NEB SUBSEQUENT,47232.0,255.0,207.0,12044160.0,9777024.0,Childrens Hospital of Los Angeles,2019
35,7710 Pharmacy,771064094 TPN SOLUTION IV 1000ML,23867.0,501.0,504.0,11957367.0,12028968.0,Childrens Hospital of Los Angeles,2019
36,7420 Operating Room,742099990 LVL 5 SURGICAL PX,850.0,13324.0,14743.0,11325400.0,12531550.0,Childrens Hospital of Los Angeles,2019
37,7430 Ambulatory Surgery Center,743099998 LVL 3 SURGICAL PX,1190.0,9375.0,10034.0,11156250.0,11940460.0,Childrens Hospital of Los Angeles,2019
38,6291 4 West,629121002 BMT ACUTE,754.0,13862.0,15217.0,10451948.0,11473618.0,Childrens Hospital of Los Angeles,2019
39,7450 OR/ANESTH,745012002 ASC ANES SERVICES EACH 15 MIN,19246.0,527.0,527.0,10142642.0,10142642.0,Childrens Hospital of Los Angeles,2019
40,7711 Novo 7,771123245 X* NOVOSEVEN RT 1MG INJ,1623.0,5970.0,5970.0,9689310.0,9689310.0,Childrens Hospital of Los Angeles,2019
41,7710 Pharmacy,771024440 SEVOFLURANE  ANESTH PER 1ML,866496.0,11.0,11.0,9531456.0,9531456.0,Childrens Hospital of Los Angeles,2019
42,7420 Operating Room,742099996 LVL 1 SURGICAL PX,1558.0,6057.0,6240.0,9436806.0,9721920.0,Childrens Hospital of Los Angeles,2019
43,7710 Pharmacy,771023890 ASPARAGINASE ERWINAZE 1000 U INJ,7228.0,1302.0,1302.0,9410856.0,9410856.0,Childrens Hospital of Los Angeles,2019
44,7420 Operating Room,742099910 LVL 4 SURGICAL PX,796.0,11361.0,12537.0,9043356.0,9979452.0,Childrens Hospital of Los Angeles,2019
45,7427 P A C U (Recovery Room),742702646 LEVEL IV RECOVERY RM,6735.0,1325.0,1418.0,8923875.0,9550230.0,Childrens Hospital of Los Angeles,2019
46,7010 Emergency Department,701010010 ED LEVEL 4 W/PROCEDURE,5293.0,1675.0,1758.0,8865775.0,9305094.0,Childrens Hospital of Los Angeles,2019
47,7630 Radiology Diagnostic,763001033 X/R CHEST PA & LAT,10414.0,845.0,845.0,8799830.0,8799830.0,Childrens Hospital of Los Angeles,2019
48,7630 Radiology Diagnostic,763001025 X/R CHEST SINGLE VIEW,24649.0,352.0,352.0,8676448.0,8676448.0,Childrens Hospital of Los Angeles,2019
49,7710 Pharmacy,771029562 ONDANSETRON 1MG INJ,110850.0,78.0,78.0,8646300.0,8646300.0,Childrens Hospital of Los Angeles,2019
50,6295 6 North,629521000 PEDS MED SURG,1135.0,7207.0,7930.0,8179945.0,9000550.0,Childrens Hospital of Los Angeles,2019
51,7710 Pharmacy,771092533 PEGASPARGASE 3750U INJ,259.0,31009.0,33488.0,8031331.0,8673392.0,Childrens Hospital of Los Angeles,2019
52,7710 Pharmacy,771008213 IMM GLOB(IVIG)INJ 0.5GM PWD,60360.0,132.0,132.0,7967520.0,7967520.0,Childrens Hospital of Los Angeles,2019
53,7420 Operating Room,742088882 LEVEL 2 EACH ADDTL 30 MIN,3590.0,2203.0,2273.0,7908770.0,8160070.0,Childrens Hospital of Los Angeles,2019
54,6292 4 East,629221000 HEM/ONC PEDS MED SURG,1077.0,7192.0,7893.0,7745784.0,8500761.0,Childrens Hospital of Los Angeles,2019
55,7710 Pharmacy,771024677 DINUTUXIMAB(UNITUXIN)17.5MG/5ML,374.0,20678.0,20678.0,7733572.0,7733572.0,Childrens Hospital of Los Angeles,2019
56,7450 OR/ANESTH,745012003 RAD ANES SERVICES EACH 15 MIN,28867.0,264.0,264.0,7620888.0,7620888.0,Childrens Hospital of Los Angeles,2019
57,7710 Pharmacy,771024315 ACETYLCYSTEINE 100MGINJ ACETADOTE,19831.0,383.0,383.0,7595273.0,7595273.0,Childrens Hospital of Los Angeles,2019
58,7720 Respiratory Care,772069011 CPT PERCUSSION SUBSEQ,25830.0,293.0,302.0,7568190.0,7800660.0,Childrens Hospital of Los Angeles,2019
59,7545 Blood Donor Center,754530041 RED BLOOD CELLS LEUKO REDUCE EA,10006.0,674.0,675.0,6744044.0,6754050.0,Childrens Hospital of Los Angeles,2019
60,7591 Non Invasive Cardiology,759144753 COMP ECHO 2D INCL DOPP/COLOR FLOW,4522.0,1487.0,1487.0,6724214.0,6724214.0,Childrens Hospital of Los Angeles,2019
61,7010 Emergency Department,701010011 ED LEVEL 5 W/PROCEDURE,3599.0,1841.0,1932.0,6625759.0,6953268.0,Childrens Hospital of Los Angeles,2019
62,7010 Emergency Department,701010002 ED LEVEL III,5307.0,1248.0,1310.0,6623136.0,6952170.0,Childrens Hospital of Los Angeles,2019
63,7710 Pharmacy,771023905 ECULIZUMAB (SOLIRIS) 10MG INJ,9030.0,717.0,738.0,6474510.0,6664140.0,Childrens Hospital of Los Angeles,2019
64,7506 EEG/Clinical Neurophysiology L,750602089 EEG VIDEOTELEMETRY PER 24HRS,1197.0,4889.0,5374.0,5852133.0,6432678.0,Childrens Hospital of Los Angeles,2019
65,7526 Molecular Diagnostics,752671527 MCM FILM ARRAY RESP V PANEL,3724.0,1554.0,1554.0,5787096.0,5787096.0,Childrens Hospital of Los Angeles,2019
66,7010 Emergency Department,701010008 ED LEVEL 2 W/PROCEDURE,7819.0,730.0,767.0,5707870.0,5997173.0,Childrens Hospital of Los Angeles,2019
67,7541 Point-Of-Care & Blood Gases,754150001 EPOC BLOOD GAS PANEL,53459.0,100.0,109.0,5345900.0,5827031.0,Childrens Hospital of Los Angeles,2019
68,7710 Pharmacy,771023335 DEXMEDETOMIDINE 4MCG/ML  50ML,12411.0,407.0,407.0,5051277.0,5051277.0,Childrens Hospital of Los Angeles,2019
69,7710 Pharmacy,771023055 IMM GLOB(IVIG) INJ 0.5GM LIQ,26780.0,187.0,187.0,5007860.0,5007860.0,Childrens Hospital of Los Angeles,2019
70,7010 Emergency Department,701010100 ED LEVEL 6 CRITICL CARE W/PROC,2431.0,2024.0,2126.0,4920344.0,5168306.0,Childrens Hospital of Los Angeles,2019
71,7710 Pharmacy,771020895 RITUXIMAB 100MG INJ,1898.0,2508.0,2515.0,4760184.0,4773470.0,Childrens Hospital of Los Angeles,2019
72,7710 Pharmacy,771025138 CAR-T (KYMRIAH) CELLS,4.0,1187500.0,1187500.0,4750000.0,4750000.0,Childrens Hospital of Los Angeles,2019
73,7710 Pharmacy,771024635 ELOSULFASE ALFA(VIMIZIM) 1MG INJ,8876.0,527.0,527.0,4677652.0,4677652.0,Childrens Hospital of Los Angeles,2019
74,6050 3 East - PICU,605021000 PEDS MED SURG,608.0,7186.0,7896.0,4369088.0,4800768.0,Childrens Hospital of Los Angeles,2019
75,7710 Pharmacy,771030996 CEFEPIME 1GM INJ,25283.0,171.0,171.0,4323393.0,4323393.0,Childrens Hospital of Los Angeles,2019
