,Charge Code (CDM/EAP),Description,Total Price ,CPT/HCPC,Hospital,Year
0,11100001,HC MED/SURG NON-ONC ADULT,6996.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
1,11100002,HC ONCOLOGY ADULT,6996.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
2,11300000,HC MED/SURG NON-ONC PED,6861.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
3,11300001,HC ONCOLOGY PED,6861.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
4,12100000,HC MED/SURG NON-ONC SEMI PRIVATE,5400.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
5,20000000,HC ICU ADULT,16630.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
6,20300000,HC ICU PED,16630.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
7,20600000,HC MED/SURG-NON/ONC TELE ADULT,9212.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
8,20600001,HC ONCOLOGY TELE ADULT,9212.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
9,20600003,HC ONCOLOGY TELE PED,9403.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
10,20600004,HC BMT/BMO PED,9212.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
11,20600005,HC BMT/BMO ADULT,9212.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
12,25000001,abacavir-lamiVUDine 600-300 MG tablet 30 each Bottle,285.47,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
13,25000001,"acetic acid 0.25 % solution 1,000 mL Plas Cont",115.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
14,25000001,acetic acid 2 % solution 15 mL Bottle,193.95,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
15,25000001,acetic Acid 3 % solution 500 mL Bottle,324.95,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
16,25000001,acetic Acid 5 % solution 500 mL Bottle,339.5,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
17,25000001,acyclovir 5 % cream 5 g Tube,4913.78,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
18,25000001,acyclovir 5 % ointment 15 g Tube,1934.2,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
19,25000001,acyclovir 5 % ointment 30 g Tube,3868.26,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
20,25000001,adefovir 10 MG tablet 30 each Bottle,252.34,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
21,25000001,Adult trace 10-1000-500-60 MCG/ML solution 1 mL Vial,75.78,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
22,25000001,albendazole 200 MG tablet 2 each Bottle,1237.62,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
23,25000001,albuterol 1.25 MG/3ML nebulizer solution 3 mL Plas Cont,10.46,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
24,25000001,aloe vera gel 340 g Bottle,41.23,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
25,25000001,aluminum chloride 20 % solution 37.5 mL Bottle,37.83,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
26,25000001,aluminum chloride 20 % solution 60 mL Bottle,56.45,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
27,25000001,aluminum-calcium acetate pack 12 each Box,3.88,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
28,25000001,alvimopan 12 MG capsule 30 each Box,841.96,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
29,25000001,"amino acid 50 mg/mL injection 1,000 mL Bag",582.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
30,25000001,amino acids 10% 10 % solution 500 mL Glass Cont,147.93,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
31,25000001,"AMINOSYN II 10 % solution 1,000 mL Glass Cont",97.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
32,25000001,ammonium lactate 12 % lotion 225 g Bottle,228.07,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
33,25000001,ammonium lactate 12 % lotion 226 g Bottle,185.24,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
34,25000001,articaine-EPINEPHrine 4 %-1:200000 solution 1.7 mL Cartridge,4.75,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
35,25000001,artificial tear 0.1-0.1 % ointment 3.5 g Tube,56.85,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
36,25000001,artificial tear 0.1-0.1 % ointment 7 g Tube,98.42,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
37,25000001,ascorbic acid 500 MG/ML solution 50 mL Vial,526.71,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
38,25000001,atropine 1 % solution 15 mL Bottle,183.55,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
39,25000001,atropine 1 % solution 5 mL Bottle,283.14,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
40,25000001,bacitracin 500 UNIT/GM ointment 14 g Tube,17.45,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
41,25000001,bacitracin 500 UNIT/GM ointment 14.17 g Tube,17.25,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
42,25000001,bacitracin 500 UNIT/GM ointment 15 g Tube,10.04,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
43,25000001,bacitracin 500 UNIT/GM ointment 28.4 g Tube,16.8,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
44,25000001,bacitracin 500 UNIT/GM ointment 3.5 g Tube,336.29,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
45,25000001,bacitracin-polymyxin b 500-10000 UNIT/GM ointment 3.5 g Tube,138.96,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
46,25000001,balanced salts solution 15 mL Bottle,45.83,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
47,25000001,balsam peru-castor oil ointment 60 g Tube,181.88,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
48,25000001,beclomethasone 42 MCG/SPRAY suspension 25 g Inhaler,1707.32,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
49,25000001,benzocaine 20 % aerosol 2 each Box,68.89,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
50,25000001,benzocaine 20 % aerosol 30 mL Bottle,41.9,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
51,25000001,benzocaine 20 % aerosol 57 g Can,146.52,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
52,25000001,benzoin compound tincture 58 mL Bottle,25.88,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
53,25000001,benzoyl peroxide 10 % liquid 237 g Bottle,68.97,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
54,25000001,beractant 25-0.9 MG/ML-% suspension 8 mL Vial,3945.3,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
55,25000001,betamethasone dipropionate 0.05 % cream 15 g Tube,256.23,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
56,25000001,betamethasone dipropionate 0.05 % cream 45 g Tube,512.45,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
57,25000001,betamethasone dipropionate 0.05 % ointment 45 g Tube,492.59,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
58,25000001,betaxolol 0.5 % solution 5 mL Bottle,307.54,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
59,25000001,bimatoprost 0.01 % solution 2.5 mL Bottle,1146.35,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
60,25000001,Boric Acid powder 340 g Bottle,77.5,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
61,25000001,brimonidine 0.1 % solution 5 mL Bottle,930.96,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
62,25000001,brimonidine 0.15 % solution 5 mL Bottle,849.77,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
