,CDM,Description,REVENUE,HCPCS,CPT,Price,Hospital,Year
0,30902001,ROOM/BED: Medical/Surgical,120,,,1342.0,College Medical Center,2019
1,33700020,ROOM/BED: Psychiatric,124,,,1464.0,College Medical Center,2019
2,30330050,ROOM/BED: Detox,126,,,3150.0,College Medical Center,2019
3,30330048,ROOM/BED: Administrative Day,169,,,1470.0,College Medical Center,2019
4,30190011,ROOM/BED: ICU,200,,,2745.0,College Medical Center,2019
5,30330047,ROOM/BED: Telemetry,206,,,1726.0,College Medical Center,2019
6,41708876,"Wash, Perineal",250,,,123.0,College Medical Center,2019
7,41723495,Set Patrol Pump,250,,,133.0,College Medical Center,2019
8,41723594,Bag EZ Feed,250,,,133.0,College Medical Center,2019
9,41752700,Wound Cleanser SAF-Clens,250,,,67.0,College Medical Center,2019
10,41752759,"Dressing, Optifoam, 4"" x 4""",250,,,35.0,College Medical Center,2019
11,41780354,Stomahesive Paste,250,,,167.0,College Medical Center,2019
12,41780404,Stomahesive Powder,250,,,121.0,College Medical Center,2019
13,41795241,41795241 - LIDOCAINE 1% 10ML INJ,250,,,53.0,College Medical Center,2019
14,41795309,"CLAMP, POUCH",250,,,133.0,College Medical Center,2019
15,41795309,"Clamp, Pouch",250,,,133.0,College Medical Center,2019
16,41795309,"POUCH, COLOSTOMY",250,,,0.0,College Medical Center,2019
17,41795309,"Pouch, Colostomy",250,,,133.0,College Medical Center,2019
18,41795309,"Pouch, Urostomy",250,,,133.0,College Medical Center,2019
19,41795377,Saline Lock,250,,,51.0,College Medical Center,2019
20,41795468,Ointment Barrier,250,,,52.0,College Medical Center,2019
21,41795608,Skin Cream,250,,,129.0,College Medical Center,2019
22,41795852,Skin Paste,250,,,133.0,College Medical Center,2019
23,41848342,Hand Held Neb/2 Meds,250,,94640,153.0,College Medical Center,2019
24,41848342,RT - Handheld Neb/2 Meds,250,,94640,153.0,College Medical Center,2019
25,41460304,CYSTO CONRAY II,255,Q9958,,135.0,College Medical Center,2019
26,41460601,41460601 - GASTROGRAFIN,255,,,109.0,College Medical Center,2019
27,40100002,IV Push Initial (<15 Min),260,,96374,450.0,College Medical Center,2019
28,40100003,IV Hydration Initial,260,,96360,254.0,College Medical Center,2019
29,40200151,SDS - IV Infusion Initial,260,,96365,505.0,College Medical Center,2019
30,40200151,SDS IV Infusion Initial,260,,96365,505.0,College Medical Center,2019
31,40200152,SDS - IV Infusion Add Hour,260,,96366,100.0,College Medical Center,2019
32,40200152,SDS IV Infusion Add Hour,260,,96366,100.0,College Medical Center,2019
33,40200153,SDS - IV Push Initial,260,,96374,450.0,College Medical Center,2019
34,40200153,SDS IV Push Initial,260,,96374,450.0,College Medical Center,2019
35,40200154,SDS - IV Push Added,260,,96375,114.63,College Medical Center,2019
36,40200154,SDS IV Push Added,260,,96375,114.63,College Medical Center,2019
37,41001004,Infusion Sequential/New Drug,260,,96367,250.0,College Medical Center,2019
38,41001005,Concurrent Infusion,260,,96368,200.0,College Medical Center,2019
39,42300008,IM/SQ Admin Ea Inj,260,,96372,250.0,College Medical Center,2019
40,42300008,IM/SQ Admin Ea Inj,260,,96372,250.0,College Medical Center,2019
41,42300008,IM/SQ Admin Ea Inj,260,,96372,250.0,College Medical Center,2019
42,42300009,IV Push Initial (<15 Min),260,,96374,450.0,College Medical Center,2019
43,42300009,Therapy Prophylactic Diagnostic Inj Initial,260,,96374,450.0,College Medical Center,2019
44,42300009,Therapy Prophylactic Diagnostic Inj Initial,260,,96374,450.0,College Medical Center,2019
45,42300010,Hydration IV Initial,260,,96360,254.0,College Medical Center,2019
46,42300010,Hydration IV initial,260,,96360,254.0,College Medical Center,2019
47,42300010,IV Hydration Initial,260,,96360,254.0,College Medical Center,2019
