,Px/Rx/Sx,CDM Code,Description,REV,HCPCS,Price,Hospital,Year
0,Sx00000007731,2720000194,*CATH FEM ART LN KIT UM-04018,272,,353.91,Community Hospital of the Monterey Peninsula,2019
1,Sx00000013812,2720000194,*KIT BLLN SINUS FRONTAL RS0616,272,,8385.13,Community Hospital of the Monterey Peninsula,2019
2,Sx00000009043,2720000194,*ROTIC ENDO GIA USE L#53184,272,,1201.58,Community Hospital of the Monterey Peninsula,2019
3,Rx00338004304,2580003,"1/2 NS 0.45 % parenteral solution 1,000 mL Bag",258,J7030,329.49,Community Hospital of the Monterey Peninsula,2019
4,Rx00409798509,2580003,"1/2 NS 0.45 % parenteral solution 1,000 mL Bag",258,J7030,263.59,Community Hospital of the Monterey Peninsula,2019
5,Rx68084002111,6370001,abacavir 300 mg tablet 1 each BLIST PACK,250,,164.1,Community Hospital of the Monterey Peninsula,2019
6,Rx65862007360,6370001,abacavir 300 mg tablet 60 each Bottle,250,,129.68,Community Hospital of the Monterey Peninsula,2019
7,Rx00003218713,2500002,abatacept per 10 mg,250,J0129,17343.48,Community Hospital of the Monterey Peninsula,2019
8,Rx00003218710,2500002,abatacept per 10 mg,250,J0129,16323.11,Community Hospital of the Monterey Peninsula,2019
9,Sx00000022290,2780000178,"ABBOTT XIENCE ""ALPINE"" RX STEN",278,C1874,5984.5,Community Hospital of the Monterey Peninsula,2019
10,Sx00000023712,2780000178,"ABBOTT XIENCE ""ALPINE"" RX STEN",278,C1874,5984.5,Community Hospital of the Monterey Peninsula,2019
11,Sx00000026650,2780000178,"ABBOTT XIENCE ""ALPINE"" RX STEN",278,C1874,5984.5,Community Hospital of the Monterey Peninsula,2019
12,Sx00000026652,2780000178,"ABBOTT XIENCE ""ALPINE"" RX STEN",278,C1874,5984.5,Community Hospital of the Monterey Peninsula,2019
13,Sx00000023711,2780000178,"ABBOTT XIENCE ""ALPINE"" RX STEN",278,C1874,5358.25,Community Hospital of the Monterey Peninsula,2019
14,Sx00000026651,2780000178,"ABBOTT XIENCE ""ALPINE"" RX STEN",278,C1874,5358.25,Community Hospital of the Monterey Peninsula,2019
15,Sx00000005637,2780000106,ABD IMP BLLN PRESS 72400024,278,,11190.73,Community Hospital of the Monterey Peninsula,2019
