,CDM,Description,Price,TYPE,NOTE,Hospital,Year
0,20600011,PCU - PRIVATE              206,2860.0,1,,Corona Regional Medical Center,2019
1,20600029,PCU - SEMI-PRIVATE         206,2860.0,1,,Corona Regional Medical Center,2019
2,20600037,PCU - TELEMETRY            206,2860.0,1,,Corona Regional Medical Center,2019
3,20600045,PCU - ICU/CCU              206,4154.0,1,,Corona Regional Medical Center,2019
4,34800011,MNT INITIAL EA 15 MIN,198.0,0,,Corona Regional Medical Center,2019
5,34800029,MNT RE-ASSESSMENT EA 15MIN,198.0,0,,Corona Regional Medical Center,2019
6,34800045,MNT INDIVIDL 15MIN 2ND REFERAL,56.0,0,,Corona Regional Medical Center,2019
7,34800060,DIAB EDUC SMT INDIV EA 30MIN,138.0,0,,Corona Regional Medical Center,2019
8,34800078,GESTATIONAL DM EDUC SMT 30MIN,138.0,0,,Corona Regional Medical Center,2019
9,34800086,INSULIN DM EDUC SMT EA 30MIN,138.0,0,,Corona Regional Medical Center,2019
10,34800094,DIABETES ED SMT GROUP EA 30MIN,69.0,0,,Corona Regional Medical Center,2019
11,34800102,INSULIN DM ED GROUP EA 30MIN,69.0,0,,Corona Regional Medical Center,2019
12,34800110,GESTATIONAL DM ED GROUP 30MIN,69.0,0,,Corona Regional Medical Center,2019
13,34800136,DM DEBRIDEMENT 6+ NAILS,250.0,0,,Corona Regional Medical Center,2019
14,34800177,OUTPAT NUTRITION CONSULT MCAID,327.0,0,,Corona Regional Medical Center,2019
15,34800227,STAT CHARGE ONLY - PER VISIT,,2,STATISTICAL CHARGE,Corona Regional Medical Center,2019
16,34800276,OP VISIT LVL 1 NEW,327.0,0,,Corona Regional Medical Center,2019
17,34800284,OP VISIT LVL 2 NEW,633.0,0,,Corona Regional Medical Center,2019
18,34800292,OP VISIT LVL 3 NEW,970.0,0,,Corona Regional Medical Center,2019
19,34800300,OP VISIT LVL 4 NEW,1434.0,0,,Corona Regional Medical Center,2019
20,34800318,OP VISIT LVL 5 NEW,1911.0,0,,Corona Regional Medical Center,2019
21,34800326,OP VISIT LVL 1 EST,309.0,0,,Corona Regional Medical Center,2019
22,34800334,OP VISIT LVL 2 EST,401.0,0,,Corona Regional Medical Center,2019
23,34800342,OP VISIT LVL 3 EST,481.0,0,,Corona Regional Medical Center,2019
24,34800359,OP VISIT LVL 4 EST,798.0,0,,Corona Regional Medical Center,2019
25,34800367,OP VISIT LVL 5 EST,1275.0,0,,Corona Regional Medical Center,2019
26,34800375,POC GLUCOSE BY MONITOR DEVICE,14.0,0,,Corona Regional Medical Center,2019
27,38000840,MATRIX CELL BONE 15CC VIVIGEN,17930.0,0,,Corona Regional Medical Center,2019
28,38001822,NAIL 130D CANN TFNA 11X235MM,7489.0,0,,Corona Regional Medical Center,2019
29,38001863,IMPLANT HAMMERTOE 3.4X3X12MM,5748.0,0,,Corona Regional Medical Center,2019
30,38002168,CATH CENTEZE 4FR 7CM 21GA,72.0,0,,Corona Regional Medical Center,2019
