,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,DES,20000022,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
1,DES,20000055,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
2,DES,20000170,ICU TRAUMA,19130.0,Desert Regional Medical Center,2019
3,DES,20000220,ICU GEN,14562.0,Desert Regional Medical Center,2019
4,DES,20000261,CCU GEN,14612.0,Desert Regional Medical Center,2019
5,DES,20000626,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
6,DES,20100020,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
7,DES,20100053,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
8,DES,20100178,ICU TRAUMA,19130.0,Desert Regional Medical Center,2019
9,DES,20100228,ICU GEN,14562.0,Desert Regional Medical Center,2019
10,DES,20100269,CCU GEN,14612.0,Desert Regional Medical Center,2019
11,DES,20100624,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
12,DES,21200027,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
13,DES,21200175,ICU TRAUMA,19130.0,Desert Regional Medical Center,2019
14,DES,21200225,ICU GEN,14562.0,Desert Regional Medical Center,2019
15,DES,21200498,SEMI-PRIV PEDS,5007.0,Desert Regional Medical Center,2019
16,DES,21200621,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
17,DES,21500020,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
18,DES,21500053,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
19,DES,21500228,ICU GEN,14562.0,Desert Regional Medical Center,2019
20,DES,21500624,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
21,DES,21600028,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
22,DES,21600051,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
23,DES,21600622,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
24,DES,21700026,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
25,DES,21700059,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
26,DES,21700620,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
27,DES,22100051,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
28,DES,22100101,NEWBORN LVL I,2996.0,Desert Regional Medical Center,2019
29,DES,22100119,NEWBORN OTHER,2996.0,Desert Regional Medical Center,2019
30,DES,22100127,NEWBORN LVL II,11281.0,Desert Regional Medical Center,2019
31,DES,22100135,NICU NB LVL II,11281.0,Desert Regional Medical Center,2019
32,DES,22100200,NICU NB LVL IV,20412.0,Desert Regional Medical Center,2019
33,DES,22100705,NICU NB LVL III,16867.0,Desert Regional Medical Center,2019
34,DES,23000029,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
35,DES,23000052,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
36,DES,23000250,SEMI-PRIV OTHER,5007.0,Desert Regional Medical Center,2019
37,DES,23000623,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
38,DES,23100027,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
39,DES,23100050,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
40,DES,23100621,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
41,DES,23200025,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
42,DES,23200058,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
43,DES,23300023,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
44,DES,23300056,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
45,DES,23300627,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
46,DES,23400021,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
47,DES,23400054,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
48,DES,23400104,NEWBORN LVL I,2996.0,Desert Regional Medical Center,2019
49,DES,23400443,SEMI-PRIV O B,5007.0,Desert Regional Medical Center,2019
50,DES,23400625,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
51,DES,23500028,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
52,DES,23500051,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
53,DES,23500622,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
54,DES,24000028,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
55,DES,24000051,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
56,DES,24000499,SEMI-PRIV PEDS,5007.0,Desert Regional Medical Center,2019
57,DES,24000622,ICU INTERMED,8823.0,Desert Regional Medical Center,2019
58,DES,24400392,SEMI-PRIV PSYCH,6135.0,Desert Regional Medical Center,2019
59,DES,25000027,SEMI-PRIVATE,5007.0,Desert Regional Medical Center,2019
60,DES,25000050,PRIV ISOLATION,5066.0,Desert Regional Medical Center,2019
61,DES,25000100,NEWBORN LVL I,2996.0,Desert Regional Medical Center,2019
62,DES,25000118,NEWBORN OTHER,2996.0,Desert Regional Medical Center,2019
63,DES,25000449,SEMI-PRIV O B,5007.0,Desert Regional Medical Center,2019
64,DES,25000498,SEMI-PRIV PEDS,5007.0,Desert Regional Medical Center,2019
65,DES,25500109,NEWBORN LVL I,2996.0,Desert Regional Medical Center,2019
66,DES,25500117,NEWBORN OTHER,2996.0,Desert Regional Medical Center,2019
67,DES,27000470,SEMI-PRIV REHAB,6118.0,Desert Regional Medical Center,2019
68,DES,30800155,LITHOTRIPSY,20431.97,Desert Regional Medical Center,2019
69,DES,30805907,LITHOTRIPSY,18717.72,Desert Regional Medical Center,2019
70,DES,30830103,SP PROC W/LITHO,14855.78,Desert Regional Medical Center,2019
71,DES,31001761,NON-STRESS TEST,1324.63,Desert Regional Medical Center,2019
72,DES,31003908,US OB>14WK ADD,1175.84,Desert Regional Medical Center,2019
73,DES,31004716,ADM SNGL VACC,113.51,Desert Regional Medical Center,2019
74,DES,31005002,US OB LTD 1OR>,1720.12,Desert Regional Medical Center,2019
75,DES,31005101,US OB>14WK SGL,1101.37,Desert Regional Medical Center,2019
76,DES,31007602,IV HYD INT>31M,822.18,Desert Regional Medical Center,2019
77,DES,31007610,IV HYD ADD HR,417.47,Desert Regional Medical Center,2019
78,DES,31007651,IV TX INIT 1 HR,1100.89,Desert Regional Medical Center,2019
79,DES,31007669,IV INF TX ADD H,429.66,Desert Regional Medical Center,2019
80,DES,31007743,INJ T/P/D IVP,510.44,Desert Regional Medical Center,2019
81,DES,31007826,INJ T/P/D SQ/IM,501.43,Desert Regional Medical Center,2019
82,DES,31012024,SPEC PROC INT30,645.84,Desert Regional Medical Center,2019
83,DES,31012032,SPEC PROC ADD15,437.63,Desert Regional Medical Center,2019
84,DES,31012040,LBR SMPL 1ST HR,1051.0,Desert Regional Medical Center,2019
85,DES,31012057,LBR SMPL ADD HR,883.11,Desert Regional Medical Center,2019
86,DES,31012065,LBR INT 1ST HR,1193.67,Desert Regional Medical Center,2019
87,DES,31012073,LBR INT ADD HR,955.45,Desert Regional Medical Center,2019
88,DES,31012081,LBR CPX 1ST HR,3089.59,Desert Regional Medical Center,2019
89,DES,31012099,LBR CPX ADD HR,2472.17,Desert Regional Medical Center,2019
90,DES,31012107,DELV SIMPLE,1806.74,Desert Regional Medical Center,2019
91,DES,31012123,DELV COMPLEX,2190.38,Desert Regional Medical Center,2019
92,DES,31012149,SURG LVI INT 30,3260.2,Desert Regional Medical Center,2019
93,DES,31012156,SURG LVI EA 15,1780.13,Desert Regional Medical Center,2019
94,DES,31012164,SURG LVII INT30,5031.83,Desert Regional Medical Center,2019
95,DES,31012172,SURG LVII EA 15,2515.9,Desert Regional Medical Center,2019
96,DES,31012180,SURG LVIII INT3,5380.75,Desert Regional Medical Center,2019
97,DES,31012198,SURG LVIII EA15,2691.05,Desert Regional Medical Center,2019
98,DES,31012222,RECOVERY INT 30,3198.69,Desert Regional Medical Center,2019
99,DES,31012230,RECOVERY ADD 15,1600.56,Desert Regional Medical Center,2019
100,DES,31068166,US OB F/U PER,1213.34,Desert Regional Medical Center,2019
101,DES,31068174,US OB TRANSVAG,1341.06,Desert Regional Medical Center,2019
102,DES,31104714,HEP B VACC ADM ,95.27,Desert Regional Medical Center,2019
103,DES,31104722,ADM SNGL VACC,113.51,Desert Regional Medical Center,2019
104,DES,31104730,ADM EA ADD VACC,191.57,Desert Regional Medical Center,2019
105,DES,31122500,FUNDUS PHOTO,220.97,Desert Regional Medical Center,2019
106,DES,31125511,INF HEARING SCR,102.96,Desert Regional Medical Center,2019
107,DES,31201056,AMNIOCNTESIS DX,13.8,Desert Regional Medical Center,2019
108,DES,31201759,FETAL BIOPHYS,892.34,Desert Regional Medical Center,2019
109,DES,31201908,FETAL CV W/DOP,1007.17,Desert Regional Medical Center,2019
110,DES,31203250,E&M-EP LVL I,186.62,Desert Regional Medical Center,2019
111,DES,31203300,E&M-EP LVL II,234.34,Desert Regional Medical Center,2019
112,DES,31203359,E&M-EP LVL IV,157.5,Desert Regional Medical Center,2019
113,DES,31203367,E&M-EP LVL V,160.0,Desert Regional Medical Center,2019
