,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,MOD,20000022,SEMI-PRIVATE,6744.0,Doctors Medical Center - Modesto,2019
1,MOD,20000170,ICU TRAUMA,18943.0,Doctors Medical Center - Modesto,2019
2,MOD,20000220,ICU GEN,18943.0,Doctors Medical Center - Modesto,2019
3,MOD,20000261,CCU GEN,18943.0,Doctors Medical Center - Modesto,2019
4,MOD,20000303,CCU OTHER,19268.0,Doctors Medical Center - Modesto,2019
5,MOD,20000626,ICU INTERMED,15128.0,Doctors Medical Center - Modesto,2019
6,MOD,20000766,HOSPICE PRIV,6480.0,Doctors Medical Center - Modesto,2019
7,MOD,20500021,SEMI-PRIVATE,6744.0,Doctors Medical Center - Modesto,2019
8,MOD,20500179,ICU TRAUMA,18943.0,Doctors Medical Center - Modesto,2019
9,MOD,20500229,ICU GEN,18943.0,Doctors Medical Center - Modesto,2019
10,MOD,20500260,CCU GEN,18943.0,Doctors Medical Center - Modesto,2019
11,MOD,20500625,ICU INTERMED,15128.0,Doctors Medical Center - Modesto,2019
12,MOD,20500765,HOSPICE PRIV,6480.0,Doctors Medical Center - Modesto,2019
13,MOD,21000021,SEMI-PRIVATE,6744.0,Doctors Medical Center - Modesto,2019
14,MOD,21000179,ICU TRAUMA,18943.0,Doctors Medical Center - Modesto,2019
15,MOD,21000229,ICU GEN,18943.0,Doctors Medical Center - Modesto,2019
16,MOD,21000260,CCU GEN,18943.0,Doctors Medical Center - Modesto,2019
17,MOD,21000302,CCU OTHER,19268.0,Doctors Medical Center - Modesto,2019
18,MOD,21000625,ICU INTERMED,15128.0,Doctors Medical Center - Modesto,2019
19,MOD,21200027,SEMI-PRIVATE,6744.0,Doctors Medical Center - Modesto,2019
20,MOD,21200175,ICU TRAUMA,18943.0,Doctors Medical Center - Modesto,2019
21,MOD,21200225,ICU GEN,18943.0,Doctors Medical Center - Modesto,2019
22,MOD,21200258,SEMI-PRIV OTHER,11109.0,Doctors Medical Center - Modesto,2019
23,MOD,21200266,CCU GEN,18943.0,Doctors Medical Center - Modesto,2019
24,MOD,21200308,CCU OTHER,19268.0,Doctors Medical Center - Modesto,2019
25,MOD,21200498,SEMI-PRIV PEDS,6744.0,Doctors Medical Center - Modesto,2019
