,EAP,Description,Rev Code,IP Price,OP Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,6494.0,6494.0,Eden Medical Center,2019
1,10000001,HCHG ROOM TRAUMA TELEMETRY,214,7144.0,7144.0,Eden Medical Center,2019
2,10000003,HCHG ROOM MED/SURG/GYN,121,4995.0,4995.0,Eden Medical Center,2019
3,10000004,HCHG ROOM OB/MATERNAL,122,6124.0,6124.0,Eden Medical Center,2019
4,10000008,HCHG NEWBORN BOARDER BABY,171,2577.0,2577.0,Eden Medical Center,2019
5,10000009,HCHG NEWBORN LEVEL I,171,1982.0,1982.0,Eden Medical Center,2019
6,10000010,HCHG NEWBORN LEVEL II,172,8329.0,8329.0,Eden Medical Center,2019
7,10000011,HCHG NEWBORN LEVEL III,173,11661.0,11661.0,Eden Medical Center,2019
8,10000016,HCHG ROOM ICU,200,12307.0,12307.0,Eden Medical Center,2019
9,10000018,HCHG ROOM ICU INTERM,206,7493.0,7493.0,Eden Medical Center,2019
10,10000022,HCHG ROOM TRAUMA MED/SURG/GYN,121,5495.0,5495.0,Eden Medical Center,2019
11,10000023,HCHG ROOM TRAUMA ICU,200,13537.0,13537.0,Eden Medical Center,2019
12,10000024,HCHG ROOM TRAUMA ICU INTERMEDIATE,206,8316.0,8316.0,Eden Medical Center,2019
13,10000036,HCHG ROOM OB/MATERNAL PVT,112,6124.0,6124.0,Eden Medical Center,2019
14,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Eden Medical Center,2019
15,10000076,HCHG ROOM HOSPICE PRIVATE,115,3746.0,3746.0,Eden Medical Center,2019
16,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3746.0,3746.0,Eden Medical Center,2019
17,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Eden Medical Center,2019
18,10100005,HCHG OBS PER HOUR,762,302.0,302.0,Eden Medical Center,2019
19,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Eden Medical Center,2019
20,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Eden Medical Center,2019
21,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Eden Medical Center,2019
