,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,EMC,307000005,ALGOS HEARING SCREEN TEST,561.56,Emanuel Medical Center,2019
1,EMC,315300030,ADMIN PNEUMOCOCCAL VACCINE,116.18,Emanuel Medical Center,2019
2,EMC,315500005,CARDIOVERSION ELECTRIC; EXT,6296.49,Emanuel Medical Center,2019
3,EMC,315500010,ADMINISTRATION OF INFLUENZA,149.97,Emanuel Medical Center,2019
4,EMC,315500015,ADMIN PNEUMOCOCCAL VACCINE,109.6,Emanuel Medical Center,2019
5,EMC,317100015,IMMUNIZATION ADMIN; SINGLE,264.74,Emanuel Medical Center,2019
6,EMC,317100025,ADMINISTRATION OF INFLUENZA,129.78,Emanuel Medical Center,2019
7,EMC,317100026,OFFICE/OUTPATIENT VISIT EST,588.75,Emanuel Medical Center,2019
8,EMC,317100027,OFFICE/OUTPATIENT VISIT EST,538.64,Emanuel Medical Center,2019
9,EMC,317100030,ADMIN PNEUMOCOCCAL VACCINE,94.84,Emanuel Medical Center,2019
10,EMC,317200015,IMMUNIZATION ADMIN; SINGLE,284.32,Emanuel Medical Center,2019
11,EMC,317200020,IMMUNIZATION ADMIN; EA ADD'L,133.0,Emanuel Medical Center,2019
12,EMC,317200025,ADMINISTRATION OF INFLUENZA,129.78,Emanuel Medical Center,2019
13,EMC,317200030,ADMIN PNEUMOCOCCAL VACCINE,94.84,Emanuel Medical Center,2019
14,EMC,317300025,ADMINISTRATION OF INFLUENZA,137.57,Emanuel Medical Center,2019
15,EMC,317300030,ADMIN PNEUMOCOCCAL VACCINE,116.18,Emanuel Medical Center,2019
16,EMC,317500020,IMMUNIZATION ADMIN; EA ADD'L,133.0,Emanuel Medical Center,2019
17,EMC,317500025,ADMINISTRATION OF INFLUENZA,129.78,Emanuel Medical Center,2019
18,EMC,317500030,ADMIN PNEUMOCOCCAL VACCINE,94.84,Emanuel Medical Center,2019
19,EMC,401000200,BLOOD TRANSFUSION,3367.13,Emanuel Medical Center,2019
20,EMC,401000290,IMMUNIZATION ADMIN ONE VACCINE,361.87,Emanuel Medical Center,2019
21,EMC,401000295,IV INFUSION 1HR,1957.77,Emanuel Medical Center,2019
22,EMC,401000300,IV INFUSION ADD HR,983.18,Emanuel Medical Center,2019
23,EMC,401000302,IV INFUSION 1HR,2268.89,Emanuel Medical Center,2019
24,EMC,401000303,IV INFUSION ADD HR,1097.86,Emanuel Medical Center,2019
25,EMC,401000305,INJECTION; SC/IM,587.38,Emanuel Medical Center,2019
26,EMC,401000310,INJECTION; IV,694.77,Emanuel Medical Center,2019
27,EMC,401000312,INJECTION; IV ADD-ON,741.99,Emanuel Medical Center,2019
28,EMC,401000313,ER INJECTION SAME DRUG; ADD-ON,766.07,Emanuel Medical Center,2019
29,EMC,401000325,HEART/LUNG RESUSCITATION (CPR),4221.56,Emanuel Medical Center,2019
30,EMC,401000370,EMERGENCY DEPT VISIT LEVEL I,1493.47,Emanuel Medical Center,2019
31,EMC,401000375,EMERGENCY DEPT VISIT LEVEL II,2587.08,Emanuel Medical Center,2019
32,EMC,401000380,EMERGENCY DEPT VISIT LEVEL III,5481.29,Emanuel Medical Center,2019
33,EMC,401000385,EMERGENCY DEPT VISIT LEVEL IV,8833.35,Emanuel Medical Center,2019
34,EMC,401000390,EMERGENCY DEPT VISIT LEVEL V,9066.96,Emanuel Medical Center,2019
35,EMC,401000395,CRITICAL CARE; FIRST HR,16218.4,Emanuel Medical Center,2019
36,EMC,401000400,CRITICAL CARE; ADD 30 MIN,4585.27,Emanuel Medical Center,2019
37,EMC,401000580,ER UA AUTO NO MICRO,304.85,Emanuel Medical Center,2019
38,EMC,401000585,URINE PREGNANCY TEST,600.02,Emanuel Medical Center,2019
39,EMC,401000596,IV INF ADD SEQ < = 1 HR,1173.74,Emanuel Medical Center,2019
40,EMC,401000597,IV INF CONCURRENT,1072.08,Emanuel Medical Center,2019
41,EMC,401000598,IMMUNIZATION ADMIN EA ADDL,121.6,Emanuel Medical Center,2019
42,EMC,401000628,ER SURGICAL LEVEL I,3376.52,Emanuel Medical Center,2019
43,EMC,401000629,ER SURGICAL LEVEL II,5051.77,Emanuel Medical Center,2019
44,EMC,401000630,ER SURGICAL LEVEL III,9841.57,Emanuel Medical Center,2019
45,EMC,409200012,EXPLOR RETRO-PERITONEAL AREA,10948.0,Emanuel Medical Center,2019
46,EMC,409201200,E&M NEW PT LEVEL 1; 10MIN,712.2,Emanuel Medical Center,2019
47,EMC,409201201,E&M NEW PT LEVEL 2; 20MIN,717.77,Emanuel Medical Center,2019
48,EMC,409201202,E&M NEW PT LEVEL 3; 30MIN,849.42,Emanuel Medical Center,2019
49,EMC,409201203,E&M NEW PT LEVEL 4; 45MIN,1255.9,Emanuel Medical Center,2019
50,EMC,409201204,E&M NEW PT LEVEL 5; 60MIN,1290.65,Emanuel Medical Center,2019
51,EMC,409201205,E&M EST PT LEVEL 1; 5MIN,672.24,Emanuel Medical Center,2019
52,EMC,409201206,E&M EST PT LEVEL 2; 10MIN,734.78,Emanuel Medical Center,2019
53,EMC,409201207,E&M EST PT LEVEL 3; 15MIN,977.97,Emanuel Medical Center,2019
54,EMC,409201208,E&M EST PT LEVEL 4; 25MIN,1073.5,Emanuel Medical Center,2019
55,EMC,409201209,E&M EST PT LEVEL 5; 40MIN,1134.31,Emanuel Medical Center,2019
56,EMC,409201210,US TRANSRECTAL,1585.23,Emanuel Medical Center,2019
57,EMC,409201211,US GUIDE NEEDLE PLACEMNT,1303.52,Emanuel Medical Center,2019
58,EMC,409201212,INJ THER/PROPH/DIAG INJ SQ/IM,272.82,Emanuel Medical Center,2019
59,EMC,409201213,CHEMO ADMN SQ/IM HORMONAL,803.12,Emanuel Medical Center,2019
60,EMC,409201214,IRRIGATION OF BLADDER,915.75,Emanuel Medical Center,2019
61,EMC,409201215,INSERT TEMP BLADDER CATH SMPL,454.44,Emanuel Medical Center,2019
62,EMC,409201216,INSERT BLADDER CATH COMPLEX,751.14,Emanuel Medical Center,2019
63,EMC,409201217,CHANGE CYSTOSTOMY TUBE SIMPLE,1698.73,Emanuel Medical Center,2019
64,EMC,409201218,CHANGE CYSTOSTOMY TUBE COMPL,4101.09,Emanuel Medical Center,2019
65,EMC,409201221,US URINE CAPACITY MEASURE,322.3,Emanuel Medical Center,2019
66,EMC,409201222,CYSTOURETHROSCOPY,5888.65,Emanuel Medical Center,2019
67,EMC,409201224,CYSTO DILAT URTL STRIX/STENOSI,7157.79,Emanuel Medical Center,2019
68,EMC,409201225,CYSTO W/SMPL REML STONE & STNT,7471.54,Emanuel Medical Center,2019
69,EMC,409201226,DILAT URETHRA STRIX  MALE INIT,1645.95,Emanuel Medical Center,2019
70,EMC,409201230,"DILATION OF URETHRA, FEMALE",337.8,Emanuel Medical Center,2019
71,EMC,409201233,PROSTATE NDL BX ANY APPROACH,5098.24,Emanuel Medical Center,2019
72,EMC,409201235,TREATMENT OF PENIS LESION,515.76,Emanuel Medical Center,2019
73,EMC,409201236,OFFICE UA DIP,104.15,Emanuel Medical Center,2019
74,EMC,409201237,INJECTION PEYRONIE DISEASE,488.13,Emanuel Medical Center,2019
75,EMC,409290236,OFFICE UA DIP W/O MICROSCOPY,33.6,Emanuel Medical Center,2019
76,EMC,409290237,CEFTRIAXONE PER 250MG IJ,200.22,Emanuel Medical Center,2019
77,EMC,409290238,LIDOCAINE 1% INJECTION,200.22,Emanuel Medical Center,2019
78,EMC,409290239,SURG PROC I,1749.0,Emanuel Medical Center,2019
79,EMC,409290240,SURG PROC II,3498.0,Emanuel Medical Center,2019
80,EMC,409290241,SURG PROC III,5247.0,Emanuel Medical Center,2019
81,EMC,414300002,"PET IMAGE W/CT, FULL BODY",9209.91,Emanuel Medical Center,2019
82,EMC,414300003,"PET IMAGE W/CT, SKULLTHIGH",9962.26,Emanuel Medical Center,2019
83,EMC,414300100,F-18 FDG DOSE UPTO 45MCI,1907.75,Emanuel Medical Center,2019
84,EMC,419500100,LITHOTRIPSY; ESWL,26816.99,Emanuel Medical Center,2019
