,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,FVR,20100012,PRIVATE,4254.0,Fountain Valley Regional Hospital,2019
1,FVR,20100020,SEMI-PRIVATE,3758.0,Fountain Valley Regional Hospital,2019
2,FVR,20100228,ICU GEN,6950.0,Fountain Valley Regional Hospital,2019
3,FVR,20100343,ICU PEDS,7235.0,Fountain Valley Regional Hospital,2019
4,FVR,20100624,ICU INTERMED,6240.0,Fountain Valley Regional Hospital,2019
5,FVR,20100632,ICU INTERMED SP,5231.0,Fountain Valley Regional Hospital,2019
6,FVR,20100855,PRIV OTHER,5474.0,Fountain Valley Regional Hospital,2019
7,FVR,21200027,SEMI-PRIVATE,3758.0,Fountain Valley Regional Hospital,2019
8,FVR,21500012,PRIVATE,4254.0,Fountain Valley Regional Hospital,2019
9,FVR,21500020,SEMI-PRIVATE,3758.0,Fountain Valley Regional Hospital,2019
10,FVR,21500251,SEMI-PRIV OTHER,4155.0,Fountain Valley Regional Hospital,2019
11,FVR,21500624,ICU INTERMED,6240.0,Fountain Valley Regional Hospital,2019
12,FVR,21500632,ICU INTERMED SP,5231.0,Fountain Valley Regional Hospital,2019
13,FVR,21500855,PRIV OTHER,5474.0,Fountain Valley Regional Hospital,2019
14,FVR,21600028,SEMI-PRIVATE,3758.0,Fountain Valley Regional Hospital,2019
15,FVR,21600259,SEMI-PRIV OTHER,4155.0,Fountain Valley Regional Hospital,2019
16,FVR,21600622,ICU INTERMED,6240.0,Fountain Valley Regional Hospital,2019
17,FVR,21600630,ICU INTERMED SP,5231.0,Fountain Valley Regional Hospital,2019
18,FVR,21600853,PRIV OTHER,5474.0,Fountain Valley Regional Hospital,2019
19,FVR,21700018,PRIVATE,4254.0,Fountain Valley Regional Hospital,2019
20,FVR,21700026,SEMI-PRIVATE,3758.0,Fountain Valley Regional Hospital,2019
21,FVR,21700216,PRIV ONCOLOGY,3859.0,Fountain Valley Regional Hospital,2019
22,FVR,21700232,SEMI-PRIV ONCOL,3498.0,Fountain Valley Regional Hospital,2019
23,FVR,21700257,SEMI-PRIV OTHER,4155.0,Fountain Valley Regional Hospital,2019
24,FVR,21700620,ICU INTERMED,6240.0,Fountain Valley Regional Hospital,2019
25,FVR,21700638,ICU INTERMED SP,5231.0,Fountain Valley Regional Hospital,2019
26,FVR,21700851,PRIV OTHER,5474.0,Fountain Valley Regional Hospital,2019
27,FVR,22000012,PRIVATE,4254.0,Fountain Valley Regional Hospital,2019
28,FVR,22000020,SEMI-PRIVATE,3758.0,Fountain Valley Regional Hospital,2019
29,FVR,22000343,ICU PEDS,7235.0,Fountain Valley Regional Hospital,2019
30,FVR,22000483,PRIV PEDS,3629.0,Fountain Valley Regional Hospital,2019
31,FVR,22000491,SEMI-PRIV PEDS,3531.0,Fountain Valley Regional Hospital,2019
32,FVR,22000632,ICU INTERMED SP,5231.0,Fountain Valley Regional Hospital,2019
33,FVR,22100101,NEWBORN LVL I,2494.0,Fountain Valley Regional Hospital,2019
34,FVR,22100119,NEWBORN OTHER,2869.0,Fountain Valley Regional Hospital,2019
35,FVR,22100127,NEWBORN LVL II,5166.0,Fountain Valley Regional Hospital,2019
36,FVR,22100135,NICU NB LVL II,4756.0,Fountain Valley Regional Hospital,2019
37,FVR,22100200,NICU NB LVL IV,7616.0,Fountain Valley Regional Hospital,2019
