,Procedure Code,Procedure Desc,Procedure Effective Date,Charge Category,Charge Dept ID,Charge Dept Name,Price,Hospital,Year
0,50342246, CS GIRDLE STAGE LG,2018-10-01 00:00:00,270,10.447,HMA REV-MED SUP CHG PT,144.57,Henry Mayo Newhall Memorial Hospital,2019
1,21907845, LYME DISEASE IGG AB,2017-02-23 00:00:00,302,10.4509,HMA REV-REFERENCE LAB,44.5,Henry Mayo Newhall Memorial Hospital,2019
2,33605384, OR BURR STAPES CUT 5MM,2018-10-01 00:00:00,270,10.443,HMA REV-AMBULATORY SURG,234.43,Henry Mayo Newhall Memorial Hospital,2019
3,37740873, SC AVIATOR VSD 4X14MM,2018-03-01 00:00:00,278,10.4421,HMA REV-GENERAL SURGERY,390.0,Henry Mayo Newhall Memorial Hospital,2019
4,21002229, STREP SENSI EX,2018-10-01 00:00:00,306,10.45,HMA REV-CLINICAL LAB,0.0,Henry Mayo Newhall Memorial Hospital,2019
5,21904111,11-DEOXYCORTISOL,2011-06-18 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,158.0,Henry Mayo Newhall Memorial Hospital,2019
6,21900005,14-3-3 ETA PROTEIN,2017-03-15 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,131.45,Henry Mayo Newhall Memorial Hospital,2019
7,21903838,14-3-3 ETA PROTEIN SERUM,2018-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,108.0,Henry Mayo Newhall Memorial Hospital,2019
8,21900004,14-3-3 PROTEIN SPINAL FLUID,2018-09-07 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,131.35,Henry Mayo Newhall Memorial Hospital,2019
9,21900011,17 HYDROXYPREGNENOLONE,2013-09-17 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,81.0,Henry Mayo Newhall Memorial Hospital,2019
10,21900009,17-HYDROXYCORTICOSTEROID 24HUR,1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,88.0,Henry Mayo Newhall Memorial Hospital,2019
11,21900006,17-OH-PROGESTERON NEO,2018-07-11 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,44.65,Henry Mayo Newhall Memorial Hospital,2019
12,21903763,24HR URINE CORTISONE,2014-01-29 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,275.0,Henry Mayo Newhall Memorial Hospital,2019
13,21900042,5 HIAA ACID URN RDM,2012-09-06 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,8.5,Henry Mayo Newhall Memorial Hospital,2019
14,21900034,5-AMINOLENULINIC ACID 24HUR,1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,28.6,Henry Mayo Newhall Memorial Hospital,2019
15,21900037,5-AMINOLENULINIC ACID RDM UR,2016-07-28 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,28.6,Henry Mayo Newhall Memorial Hospital,2019
16,21900039,5HYDORXYINDOLEACETIC ACID 24HU,1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,10.0,Henry Mayo Newhall Memorial Hospital,2019
17,21930500,AB SCREEN GEL,2011-03-30 00:00:00,302,10.4509,HMA REV-REFERENCE LAB,56.14,Henry Mayo Newhall Memorial Hospital,2019
18,43200300,ABACAVIR 300MG CAPSULE,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,29.25,Henry Mayo Newhall Memorial Hospital,2019
19,43406770,ABATACEPT 250 MG VIAL,2007-06-27 00:00:00,636,10.471,HMA REV-PHARMACY,2130.5,Henry Mayo Newhall Memorial Hospital,2019
20,43408470,ABCIXIMAB 10 MG VIAL,2008-06-12 00:00:00,636,10.471,HMA REV-PHARMACY,2369.5,Henry Mayo Newhall Memorial Hospital,2019
21,8641210,ABDOMEN SCREENING,2018-10-01 00:00:00,352,**.46300,,0.0,Henry Mayo Newhall Memorial Hospital,2019
22,21000010,ABO BLOOD TYPE,2018-10-01 00:00:00,302,10.45,HMA REV-CLINICAL LAB,266.93,Henry Mayo Newhall Memorial Hospital,2019
23,21000011,ABO BLOOD TYPE,2018-10-01 00:00:00,302,10.45,HMA REV-CLINICAL LAB,266.93,Henry Mayo Newhall Memorial Hospital,2019
24,21099998,ABO BLOOD TYPE,2018-10-01 00:00:00,302,10.45,HMA REV-CLINICAL LAB,0.0,Henry Mayo Newhall Memorial Hospital,2019
