,HSP,CHARGE CODE,Description,Price,COMMENTS,Hospital,Year
0,HMD,01000,INTENSIVE CARE UNIT,10037.0,,Hi Desert Medical Center,2019
1,HMD,01100,MED/SURG ACUTE WING I,4396.0,,Hi Desert Medical Center,2019
2,HMD,01200,MED/SURG ACUTE WING II,4396.0,,Hi Desert Medical Center,2019
3,HMD,01300,MED/SURG ACUTE WING III,4396.0,,Hi Desert Medical Center,2019
4,HMD,01303,OBSERVATION 1ST HOUR,380.57,,Hi Desert Medical Center,2019
5,HMD,01304,OBSERVATION 2ND HOUR,380.57,,Hi Desert Medical Center,2019
6,HMD,01306,OBSERVATION EACH ADD. HOUR,165.46,,Hi Desert Medical Center,2019
7,HMD,01309,ICU OBSERVATION EACH ADD. HOUR,68.27,,Hi Desert Medical Center,2019
8,HMD,01310,OB OBSERVATION 1ST HOUR,380.57,,Hi Desert Medical Center,2019
9,HMD,01311,OB OBSERVATION EACH ADD. HOUR,165.46,,Hi Desert Medical Center,2019
10,HMD,01312,TREATMENT ROOM,173.72,,Hi Desert Medical Center,2019
11,HMD,01313,OBSERVATION DIRECT 1ST HOUR,419.87,,Hi Desert Medical Center,2019
12,HMD,01315,BLOOD TRANSFUSION SERVICE,1811.81,,Hi Desert Medical Center,2019
13,HMD,01400,Telemetry Room Charge,6526.0,,Hi Desert Medical Center,2019
14,HMD,01600,LDRP ROOM AND BOARD,4662.0,,Hi Desert Medical Center,2019
15,HMD,01700,DAILY WELL NURSERY CARE,3630.0,,Hi Desert Medical Center,2019
16,HMD,01800,BOARDER BABY DAILY CARE,3630.0,,Hi Desert Medical Center,2019
17,HMD,02249,OR\PAIN MANAGEMENT CLINIC,827.31,,Hi Desert Medical Center,2019
18,HMD,02300,AW\ANESTHESIA 15 MIN,326.78,,Hi Desert Medical Center,2019
19,HMD,02308,AW\OR RECOVERY 15 MIN,310.24,,Hi Desert Medical Center,2019
20,HMD,02324,AW\OR BOVIE OPTEMP CAUTERY,256.47,,Hi Desert Medical Center,2019
21,HMD,02331,AW\OR SHEETS GLIDE,12.42,,Hi Desert Medical Center,2019
22,HMD,02340,AW\OR 15 MIN,1551.2,,Hi Desert Medical Center,2019
23,HMD,02416,AW/OR LASER EQUIPMENT,525.35,,Hi Desert Medical Center,2019
24,HMD,02526,AW\CS UNI PACK,1025.86,,Hi Desert Medical Center,2019
25,HMD,02527,AW\CS VITRECTOMY PACK,500.53,,Hi Desert Medical Center,2019
26,HMD,02528,AW\CS SPECIALTY PACK,2506.74,,Hi Desert Medical Center,2019
27,HMD,02560,IOL POSTERIOR CHAMBER,912.49,,Hi Desert Medical Center,2019
28,HMD,02623,AW\CS TISSEEL SEALANT,759.08,,Hi Desert Medical Center,2019
29,HMD,02642,RECOVERY EA ADDL 15 MIN,310.24,,Hi Desert Medical Center,2019
30,HMD,02643,AW/CS PTERYGIUM DIAMOND BURR,564.65,,Hi Desert Medical Center,2019
31,HMD,02648,AWOR\PAIN MANAGEMENT CLINIC,827.31,,Hi Desert Medical Center,2019
32,HMD,02649,AW\CS EPIDURAL SINGLE DOSE TRY,109.62,,Hi Desert Medical Center,2019
33,HMD,02653,AW\CS RESURE SEALANT,392.44,,Hi Desert Medical Center,2019
34,HMD,04116,CCS\CATH TRAY W/SYR,43.44,,Hi Desert Medical Center,2019
35,HMD,04136,CCS\BIOLEX SPRAY CLEANSER,136.5,,Hi Desert Medical Center,2019
36,HMD,04137,CCS\BIOLEX WOUND GEL 3OZ,122.04,,Hi Desert Medical Center,2019
37,HMD,04177,CCS\ABDOMINAL BINDER,165.46,,Hi Desert Medical Center,2019
38,HMD,04188,CCS\TUBE GASTROSTOMY REPLACME,525.35,,Hi Desert Medical Center,2019
39,HMD,04220,CCS\FEATHERLITE REACHER REG 2,144.77,,Hi Desert Medical Center,2019
40,HMD,04570,CCS\CATH COUDE 18FR 5CC,192.35,,Hi Desert Medical Center,2019
41,HMD,04571,CCS\TED'S THIGH HIGH STOCKIGS,109.62,,Hi Desert Medical Center,2019
42,HMD,04621,CCS\16FR 5CC FOLEY CATH SIL,372.29,,Hi Desert Medical Center,2019
43,HMD,04643,CCS\D/C TRACH TUBE REG CUFFED,351.61,,Hi Desert Medical Center,2019
44,HMD,04650,CCS\BALLARD SUCTION CATH,200.63,,Hi Desert Medical Center,2019
45,HMD,04687,CCS\BED PAD W/SLEEVE,126.17,,Hi Desert Medical Center,2019
46,HMD,04692,CCS\TALKING TRACH PKG,699.07,,Hi Desert Medical Center,2019
47,HMD,04723,CCS\UNNA BOOT,53.78,,Hi Desert Medical Center,2019
48,HMD,04736,CCS\SUTURE SET,117.89,,Hi Desert Medical Center,2019
49,HMD,04999,CCS\MISC,26.0,,Hi Desert Medical Center,2019
50,HMD,05000,CS\BAG BILE,68.27,,Hi Desert Medical Center,2019
51,HMD,05007,CS\TRAPESE VENA CAVA FILTER,5197.58,,Hi Desert Medical Center,2019
52,HMD,05010,CS\ANTI-REFLUX VALVE,60.0,,Hi Desert Medical Center,2019
53,HMD,05018,CS\J-CATH JEJUNOSTOMY KIT,624.61,,Hi Desert Medical Center,2019
54,HMD,05023,CS\GASTRIC LAVAGE,171.66,,Hi Desert Medical Center,2019
55,HMD,05028,CS\MARLEX MESH 10 X 14,1524.31,,Hi Desert Medical Center,2019
56,HMD,05030,CS\PERITONEAL LAVAGE KIT,333.0,,Hi Desert Medical Center,2019
57,HMD,05032,CS\BALLARD SUCTION CATH,200.63,,Hi Desert Medical Center,2019
58,HMD,05033,CS\AUTO SUTURE TA-30 INSERT,614.28,,Hi Desert Medical Center,2019
59,HMD,05035,CS\AUTO SUTURE TA-55 INSERTS,692.89,,Hi Desert Medical Center,2019
60,HMD,05036,CS\MARLEX MESH PLUG,1137.55,,Hi Desert Medical Center,2019
61,HMD,05038,CS\AUTO SUTURE GIA-50P INSERT,816.97,,Hi Desert Medical Center,2019
62,HMD,05040,CS\AUTO SUTURE M20,632.89,,Hi Desert Medical Center,2019
63,HMD,05041,CS\PNEUMOTHORAX SET,694.93,,Hi Desert Medical Center,2019
64,HMD,05043,CS\VAMP PRESSURE MONITER KI,357.83,,Hi Desert Medical Center,2019
65,HMD,05064,CS\STOMACH EVACUATOR TUBE,221.31,,Hi Desert Medical Center,2019
66,HMD,05071,CS\WOUND GEL,138.59,,Hi Desert Medical Center,2019
67,HMD,05072,CS\WOUND CLEANSER,163.4,,Hi Desert Medical Center,2019
68,HMD,05073,CS\ABDUCTION PILLOW,283.37,,Hi Desert Medical Center,2019
69,HMD,05076,CS\TRUMPET VALVE,728.03,,Hi Desert Medical Center,2019
70,HMD,05077,CS\GROSHONG CATH,2936.95,,Hi Desert Medical Center,2019
71,HMD,05097,CS\MARLEX MESH 2X4,810.76,,Hi Desert Medical Center,2019
72,HMD,05124,CS\MARLEX MESH 1X4,928.66,,Hi Desert Medical Center,2019
73,HMD,05134,CS\SURGICEL 4X8,192.35,,Hi Desert Medical Center,2019
74,HMD,05135,CS\EASY CAP,239.92,,Hi Desert Medical Center,2019
75,HMD,05160,CS\TRAY LUMBAR PUNCTURE PEDI,146.86,,Hi Desert Medical Center,2019
76,HMD,05169,CS\ENDO CLIP ML,1834.57,,Hi Desert Medical Center,2019
77,HMD,05173,CS\JACKSON PRATT BULB & DRAN M,301.96,,Hi Desert Medical Center,2019
78,HMD,05174,CS\JACKSON PRATT BULB & DRAN M,301.96,,Hi Desert Medical Center,2019
79,HMD,05184,CS\PREMIUM PASTE,91.0,,Hi Desert Medical Center,2019
80,HMD,05190,CS\NEEDLE HUBER WITH TUBING,68.27,,Hi Desert Medical Center,2019
81,HMD,05194,CS\VAN SEMNENBERG SUMP WITHJ P,1776.66,,Hi Desert Medical Center,2019
82,HMD,05219,CS\CATH REDDICK CYSTIC DUCT,579.12,,Hi Desert Medical Center,2019
83,HMD,05226,CS\22G X 15CM CHIBA-TYPE NEDL,99.27,,Hi Desert Medical Center,2019
84,HMD,05230,CS\VINYL CONNECTING TUBE,119.97,,Hi Desert Medical Center,2019
85,HMD,05233,CS\EVERSHEARS BIPOLAR SCISSR,1096.19,,Hi Desert Medical Center,2019
86,HMD,05235,CS\ENDO CATCH,1071.35,,Hi Desert Medical Center,2019
87,HMD,05236,CS\SPLINT SHOULDER IMMOBILIERE,275.09,,Hi Desert Medical Center,2019
88,HMD,05239,CS\VANSONNENBERG BIOPSY NEELEE,430.19,,Hi Desert Medical Center,2019
89,HMD,05244,CS\BREAST BIOPSY SYSTEM (US),432.28,,Hi Desert Medical Center,2019
90,HMD,05245,CS\BLUNT NEEDLE,268.88,,Hi Desert Medical Center,2019
91,HMD,05253,CS\CATH EMBOLECTOMY,548.08,,Hi Desert Medical Center,2019
92,HMD,05254,CS\CATH FOLEY NOT CLOSED 5C,372.29,,Hi Desert Medical Center,2019
93,HMD,05255,CS\ENDO DISSECTOR,1083.77,,Hi Desert Medical Center,2019
94,HMD,05267,CS\CATH IRR 2+3 WAY BARD+ACI,148.92,,Hi Desert Medical Center,2019
95,HMD,05268,CS\CATH COUDE,192.35,,Hi Desert Medical Center,2019
96,HMD,05272,CS\CATH BALLON PROBE FOGERT,180.0,,Hi Desert Medical Center,2019
97,HMD,05275,CS\CATH 16FR FOLEY W URINE ET,196.49,,Hi Desert Medical Center,2019
98,HMD,05276,CS\CATH 18FR FOLEY W URINE ET,196.49,,Hi Desert Medical Center,2019
99,HMD,05277,CS\TRAY MULTI LUMEN CV CATH,694.93,,Hi Desert Medical Center,2019
100,HMD,05283,CS\INSUFFALTOR SET,308.19,,Hi Desert Medical Center,2019
101,HMD,05286,CS\ER CRICOTHYROTOMY CATH ST,390.92,,Hi Desert Medical Center,2019
102,HMD,05292,"CS\BLANKET CARE QUILT 72"" X45",213.05,,Hi Desert Medical Center,2019
103,HMD,05301,CS\NEEDLE BIOPSY PUNCH,146.86,,Hi Desert Medical Center,2019
104,HMD,05304,CS\NEEDLE SPINAL,35.16,,Hi Desert Medical Center,2019
105,HMD,05306,CS\IV INDWELLING CATHETER,43.44,,Hi Desert Medical Center,2019
106,HMD,05308,CS\NEEDLE ANGIOCATH 14G 1 14IN,109.62,,Hi Desert Medical Center,2019
107,HMD,05313,CS\NEEDLE LONGDWELL IV 22G,35.16,,Hi Desert Medical Center,2019
108,HMD,05330,CS\TRAY BASIC BIOPSY-DISP,239.92,,Hi Desert Medical Center,2019
109,HMD,05362,CS\NEURO-PULSE NERVESTIMULATOR,399.18,,Hi Desert Medical Center,2019
110,HMD,05375,CS\HSG TRAY WITH HUI MINI-FLEI,351.61,,Hi Desert Medical Center,2019
111,HMD,05379,CS\LAPAROSCOPIC CHOLANGIOGRAP,293.69,,Hi Desert Medical Center,2019
112,HMD,05384,CS\TUBE FLUID WARM & HEAT EXCN,157.19,,Hi Desert Medical Center,2019
113,HMD,05406,CS\ORTHO PLAIN OR STEIMAN PIN,80.67,,Hi Desert Medical Center,2019
114,HMD,05407,CS\ORTHO THREADED KIRCHNER WI,84.81,,Hi Desert Medical Center,2019
115,HMD,05414,CS\QUICK-CORE BIOPSY NEEDLE DP,318.5,,Hi Desert Medical Center,2019
116,HMD,05427,CS\ORTHO CORTEX SCREWS ALLSIZE,113.76,,Hi Desert Medical Center,2019
117,HMD,05459,CS\SPLINT KNEE UNIV. CANVAS,357.83,,Hi Desert Medical Center,2019
118,HMD,05480,CS\BURETROL SET,62.04,,Hi Desert Medical Center,2019
