,Charge Code,NRV,CPT,Description,Price,Hospital,Year
0,1110001,301,82175,ARSENIC QUANTITATIVE,40.0,Hollywood Presbyterian Medical Center,2019
1,1234567,250,J3260,TOBRAMYCIN SULFATE 40 MG/ML -30ML C,0.0,Hollywood Presbyterian Medical Center,2019
2,2000001,111,,PRIVATE MED/SURG,4239.0,Hollywood Presbyterian Medical Center,2019
3,2000002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
4,2000019,200,,SURGICAL ICU,11474.0,Hollywood Presbyterian Medical Center,2019
5,2000022,200,,MEDICAL ICU,11474.0,Hollywood Presbyterian Medical Center,2019
6,2000026,210,,CCU,11474.0,Hollywood Presbyterian Medical Center,2019
7,2000042,200,,MEDICAL ICU EDA,11474.0,Hollywood Presbyterian Medical Center,2019
8,2000062,206,,DOU/TELE SEMI-PRIVATE,4613.0,Hollywood Presbyterian Medical Center,2019
9,2050002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
10,2050019,200,,SURGICAL ICU,11474.0,Hollywood Presbyterian Medical Center,2019
11,2050022,200,,MEDICAL ICU,11474.0,Hollywood Presbyterian Medical Center,2019
12,2050026,210,,CCU,11474.0,Hollywood Presbyterian Medical Center,2019
13,2050062,206,,DOU/TELE SEMI-PRIVATE,4613.0,Hollywood Presbyterian Medical Center,2019
14,2150001,111,,PRIVATE MED/SURG,4239.0,Hollywood Presbyterian Medical Center,2019
15,2150002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
16,2150022,200,,MEDICAL ICU,11474.0,Hollywood Presbyterian Medical Center,2019
17,2150031,206,,DOU/TELE PRIVATE,5673.0,Hollywood Presbyterian Medical Center,2019
18,2150042,206,,DOU/TELE SEMI-PRIVATE EDA,4613.0,Hollywood Presbyterian Medical Center,2019
19,2150062,206,,DOU/TELE SEMI-PRIVATE,4613.0,Hollywood Presbyterian Medical Center,2019
20,2160001,111,,PRIVATE MED/SURG,4239.0,Hollywood Presbyterian Medical Center,2019
