,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,IND,20100020,SEMI-PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
1,IND,20100228,ICU GEN,12982.0,John F Kennedy Memorial Hospital,2019
2,IND,20100251,SEMI-PRIV OTHER,4053.0,John F Kennedy Memorial Hospital,2019
3,IND,20100269,CCU GEN,10363.0,John F Kennedy Memorial Hospital,2019
4,IND,20100301,CCU OTHER,11157.0,John F Kennedy Memorial Hospital,2019
5,IND,20100616,ISOLATN STERILE,3644.0,John F Kennedy Memorial Hospital,2019
6,IND,21200027,SEMI-PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
7,IND,21500012,PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
8,IND,21500020,SEMI-PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
9,IND,21500053,PRIV ISOLATION,3935.0,John F Kennedy Memorial Hospital,2019
10,IND,21500251,SEMI-PRIV OTHER,4053.0,John F Kennedy Memorial Hospital,2019
11,IND,21500442,SEMI-PRIV O B,4151.0,John F Kennedy Memorial Hospital,2019
12,IND,21500491,SEMI-PRIV PEDS,4151.0,John F Kennedy Memorial Hospital,2019
13,IND,22100119,NEWBORN OTHER,2351.0,John F Kennedy Memorial Hospital,2019
14,IND,22100135,NICU NB LVL II,10789.0,John F Kennedy Memorial Hospital,2019
15,IND,22100200,NICU NB LVL IV,19522.0,John F Kennedy Memorial Hospital,2019
16,IND,22100705,NICU NB LVL III,16131.0,John F Kennedy Memorial Hospital,2019
17,IND,23200017,PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
18,IND,23200025,SEMI-PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
19,IND,23200058,PRIV ISOLATION,3935.0,John F Kennedy Memorial Hospital,2019
20,IND,23200256,SEMI-PRIV OTHER,4053.0,John F Kennedy Memorial Hospital,2019
21,IND,23200496,SEMI-PRIV PEDS,4151.0,John F Kennedy Memorial Hospital,2019
22,IND,23300023,SEMI-PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
23,IND,23300254,SEMI-PRIV OTHER,4053.0,John F Kennedy Memorial Hospital,2019
24,IND,23300619,ISOLATN STERILE,3644.0,John F Kennedy Memorial Hospital,2019
25,IND,23400013,PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
26,IND,23400021,SEMI-PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
27,IND,23400252,SEMI-PRIV OTHER,4053.0,John F Kennedy Memorial Hospital,2019
28,IND,23400492,SEMI-PRIV PEDS,4151.0,John F Kennedy Memorial Hospital,2019
29,IND,24000028,SEMI-PRIVATE,3935.0,John F Kennedy Memorial Hospital,2019
30,IND,24000051,PRIV ISOLATION,3935.0,John F Kennedy Memorial Hospital,2019
31,IND,24000101,NEWBORN LVL I,2351.0,John F Kennedy Memorial Hospital,2019
32,IND,24000119,NEWBORN OTHER,2351.0,John F Kennedy Memorial Hospital,2019
33,IND,24000259,SEMI-PRIV OTHER,4053.0,John F Kennedy Memorial Hospital,2019
34,IND,24000440,SEMI-PRIV O B,4151.0,John F Kennedy Memorial Hospital,2019
35,IND,24000481,PRIV PEDS,3935.0,John F Kennedy Memorial Hospital,2019
36,IND,24000499,SEMI-PRIV PEDS,4151.0,John F Kennedy Memorial Hospital,2019
37,IND,25000050,PRIV ISOLATION,3935.0,John F Kennedy Memorial Hospital,2019
38,IND,25000258,SEMI-PRIV OTHER,4053.0,John F Kennedy Memorial Hospital,2019
39,IND,25000449,SEMI-PRIV O B,4151.0,John F Kennedy Memorial Hospital,2019
40,IND,25000480,PRIV PEDS,3935.0,John F Kennedy Memorial Hospital,2019
41,IND,25000498,SEMI-PRIV PEDS,4151.0,John F Kennedy Memorial Hospital,2019
42,IND,25500109,NEWBORN LVL I,2351.0,John F Kennedy Memorial Hospital,2019
43,IND,25500117,NEWBORN OTHER,2351.0,John F Kennedy Memorial Hospital,2019
44,IND,25500125,NEWBORN LVL II,10789.0,John F Kennedy Memorial Hospital,2019
45,IND,30800155,LITHOTRIPSY,16162.31,John F Kennedy Memorial Hospital,2019
46,IND,30805907,LITHOTRIPSY,15803.6,John F Kennedy Memorial Hospital,2019
47,IND,30830103,SP PROC W/LITHO,7573.42,John F Kennedy Memorial Hospital,2019
48,IND,31001761,NON-STRESS TEST,894.63,John F Kennedy Memorial Hospital,2019
49,IND,31005002,US OB LTD 1OR>,1625.74,John F Kennedy Memorial Hospital,2019
50,IND,31007602,IV HYD INT>31M,673.49,John F Kennedy Memorial Hospital,2019
51,IND,31007610,IV HYD ADD HR,417.48,John F Kennedy Memorial Hospital,2019
52,IND,31007651,IV TX INIT 1 HR,431.03,John F Kennedy Memorial Hospital,2019
53,IND,31007669,IV INF TX ADD H,378.68,John F Kennedy Memorial Hospital,2019
54,IND,31007677,IV SEQUENTL 1HR,378.68,John F Kennedy Memorial Hospital,2019
55,IND,31007743,INJ T/P/D IVP,472.5,John F Kennedy Memorial Hospital,2019
56,IND,31007750,INJ ADD SEQ IVP,472.5,John F Kennedy Memorial Hospital,2019
57,IND,31007826,INJ T/P/D SQ/IM,472.5,John F Kennedy Memorial Hospital,2019
58,IND,31012008,L&D TRIAGE NEW,608.33,John F Kennedy Memorial Hospital,2019
59,IND,31012016,L&D TRIAGE EST,458.9,John F Kennedy Memorial Hospital,2019
60,IND,31012024,SPEC PROC INT30,785.25,John F Kennedy Memorial Hospital,2019
61,IND,31012032,SPEC PROC ADD15,392.02,John F Kennedy Memorial Hospital,2019
62,IND,31012040,LBR SMPL 1ST HR,440.12,John F Kennedy Memorial Hospital,2019
63,IND,31012057,LBR SMPL ADD HR,338.17,John F Kennedy Memorial Hospital,2019
64,IND,31012065,LBR INT 1ST HR,611.75,John F Kennedy Memorial Hospital,2019
65,IND,31012073,LBR INT ADD HR,392.02,John F Kennedy Memorial Hospital,2019
66,IND,31012081,LBR CPX 1ST HR,672.6,John F Kennedy Memorial Hospital,2019
67,IND,31012099,LBR CPX ADD HR,489.4,John F Kennedy Memorial Hospital,2019
68,IND,31012107,DELV SIMPLE,3769.35,John F Kennedy Memorial Hospital,2019
69,IND,31012123,DELV COMPLEX,4196.42,John F Kennedy Memorial Hospital,2019
70,IND,31012149,SURG LVI INT 30,5515.13,John F Kennedy Memorial Hospital,2019
71,IND,31012156,SURG LVI EA 15,2895.45,John F Kennedy Memorial Hospital,2019
72,IND,31012164,SURG LVII INT30,6021.94,John F Kennedy Memorial Hospital,2019
73,IND,31012172,SURG LVII EA 15,3010.35,John F Kennedy Memorial Hospital,2019
74,IND,31012180,SURG LVIII INT3,7527.12,John F Kennedy Memorial Hospital,2019
75,IND,31012198,SURG LVIII EA15,3763.55,John F Kennedy Memorial Hospital,2019
76,IND,31012206,SURG LVIV INT30,9879.98,John F Kennedy Memorial Hospital,2019
77,IND,31012214,SURG LVIV EA 15,4939.34,John F Kennedy Memorial Hospital,2019
78,IND,31012222,RECOVERY INT 30,1288.77,John F Kennedy Memorial Hospital,2019
79,IND,31012230,RECOVERY ADD 15,645.02,John F Kennedy Memorial Hospital,2019
80,IND,31125511,INF HEARING SCR,285.12,John F Kennedy Memorial Hospital,2019
81,IND,31197254,HEARINGSCREEN,235.97,John F Kennedy Memorial Hospital,2019
82,IND,31362007,NUTR ASSES INIT,153.25,John F Kennedy Memorial Hospital,2019
83,IND,31362023,PERINTL NUTR15M,66.98,John F Kennedy Memorial Hospital,2019
84,IND,31362049,FU ANTEPRT NUTR,66.98,John F Kennedy Memorial Hospital,2019
85,IND,31362080,POSTPART NUTR,74.57,John F Kennedy Memorial Hospital,2019
86,IND,31363005,PSY ASSESS PNC,66.98,John F Kennedy Memorial Hospital,2019
87,IND,31363021,INIT PSY EA 15M,66.98,John F Kennedy Memorial Hospital,2019
88,IND,31363047,PSY FU ANTEPART,71.0,John F Kennedy Memorial Hospital,2019
89,IND,31363088,PSY POST ASSES,80.52,John F Kennedy Memorial Hospital,2019
90,IND,31364029,HLTH ED ASSES30,67.0,John F Kennedy Memorial Hospital,2019
91,IND,31364045,INIT HLTH ED15M,66.98,John F Kennedy Memorial Hospital,2019
92,IND,31364060,FU ANTEPART 15M,66.98,John F Kennedy Memorial Hospital,2019
93,IND,31364102,PERINTL ED 15M,66.98,John F Kennedy Memorial Hospital,2019
94,IND,31364144,PP HLTH ED 15M,28.09,John F Kennedy Memorial Hospital,2019
95,IND,31392129,E&M-EP LVL II,66.65,John F Kennedy Memorial Hospital,2019
96,IND,31392137,E&M-EP LVL III,154.3,John F Kennedy Memorial Hospital,2019
97,IND,31392145,E&M-EP LVL IV,185.15,John F Kennedy Memorial Hospital,2019
98,IND,31392152,E&M-EP LVL V,261.67,John F Kennedy Memorial Hospital,2019
99,IND,31399207,DIAB INT ASSESS,651.42,John F Kennedy Memorial Hospital,2019
100,IND,32135501,SURG LVI INT30,6094.97,John F Kennedy Memorial Hospital,2019
101,IND,32135519,SURG LVI EA 15,2850.38,John F Kennedy Memorial Hospital,2019
102,IND,32135527,SURG LVII INT30,7495.36,John F Kennedy Memorial Hospital,2019
103,IND,32135535,SURG LVII EA15,3532.96,John F Kennedy Memorial Hospital,2019
104,IND,32135543,SURG LVIII IN30,9104.44,John F Kennedy Memorial Hospital,2019
105,IND,32135550,SURG LVIII EA15,4319.02,John F Kennedy Memorial Hospital,2019
106,IND,32135568,SURG LVIV INT30,10037.3,John F Kennedy Memorial Hospital,2019
107,IND,32135576,SURG LVIV EA 15,4785.44,John F Kennedy Memorial Hospital,2019
108,IND,32135741,DAVN LVIII IN30,6604.0,John F Kennedy Memorial Hospital,2019
109,IND,32135758,DAVN LVIII EA15,3096.0,John F Kennedy Memorial Hospital,2019
110,IND,32168916,BLD AUTOSLV,735.32,John F Kennedy Memorial Hospital,2019
111,IND,32190225,RBC WASH AUTO,632.95,John F Kennedy Memorial Hospital,2019
112,IND,32235707,RECOVERY INT 30,2130.66,John F Kennedy Memorial Hospital,2019
113,IND,32235715,RECOVERY EA 15M,963.09,John F Kennedy Memorial Hospital,2019
114,IND,35035500,SURG LV I INT30,3239.22,John F Kennedy Memorial Hospital,2019
115,IND,35035518,SURG LV I EA 15,275.78,John F Kennedy Memorial Hospital,2019
116,IND,35035526,SURG LV II IN30,4525.48,John F Kennedy Memorial Hospital,2019
117,IND,35035534,SURG LVII EA 15,653.69,John F Kennedy Memorial Hospital,2019
118,IND,35035542,SURG LVIII IN30,4404.16,John F Kennedy Memorial Hospital,2019
119,IND,35035559,SURG LVIII EA15,783.77,John F Kennedy Memorial Hospital,2019
120,IND,35035567,SURG LVIV INT30,7068.55,John F Kennedy Memorial Hospital,2019
121,IND,35035575,SURG LVIV EA 15,1593.02,John F Kennedy Memorial Hospital,2019
122,IND,35035609,ANES INT 30MIN,3343.84,John F Kennedy Memorial Hospital,2019
123,IND,35035617,ANESTH EA ADD15,1216.44,John F Kennedy Memorial Hospital,2019
124,IND,35035708,RECOVERY INT 30,1329.08,John F Kennedy Memorial Hospital,2019
125,IND,35035716,RECOVERY EA 15,304.94,John F Kennedy Memorial Hospital,2019
126,IND,35035906,SPEC PROC INT30,1960.43,John F Kennedy Memorial Hospital,2019
