,Charge Code,Description,Price,Comments,Hospital,Year
0,73022441,HC EKG COMPLETE,422.0,,John Muir Behavioral Health,2019
1,73034425,HC EKG PEDIATRIC,422.0,,John Muir Behavioral Health,2019
2,73054780,HC ELECTROCARDIOGRAM COMPLETE,890.0,,John Muir Behavioral Health,2019
3,98522451,HC EKG PROFESSIONAL FEE,137.0,,John Muir Behavioral Health,2019
4,10024563,HC CD SUN SELF-PAY,423.0,,John Muir Behavioral Health,2019
5,10025462,HC CD OUT OF AREA SELF PAY,89.0,,John Muir Behavioral Health,2019
6,51000778,HC EVAL MGMNT PATIENT LEVEL 1,232.75,,John Muir Behavioral Health,2019
7,51000780,HC EVAL MGMNT PATIENT LEVEL 3,539.0,,John Muir Behavioral Health,2019
8,51000781,HC EVAL MGMNT  PATIENT LEVEL 4,675.75,,John Muir Behavioral Health,2019
9,51000782,HC EVAL MGMNT PATIENT LEVEL 5,884.0,,John Muir Behavioral Health,2019
10,51031158,HC EVAL MGMNT PATIENT LEVEL 2,406.0,,John Muir Behavioral Health,2019
11,51300100,HC H&P EVAL MGMNT PATIENT LEVEL 5,884.0,,John Muir Behavioral Health,2019
12,90601020,HC YOUNG ADULT IOP,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
13,90654642,HC CD INTENSIVE OP AM,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
14,90654685,HC CD INTENSIVE OP PM,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
15,90654722,HC CD CHRONIC RELAPSE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
16,91254625,HC CD DAY TREATMENT,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
17,91254755,HC CD DAY TREATMENT SAT,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
18,91400002,HC PSYCHIATRIC DX EVAL WITH E&M,1784.0,,John Muir Behavioral Health,2019
19,91400003,HC PSYCHIATRIC DIAGNOSTIC EVALUTATION,1537.25,,John Muir Behavioral Health,2019
20,91400100,HC PSYTX PT/FAM W/E&M 30 MIN,166.5,,John Muir Behavioral Health,2019
21,91400101,HC PSYTX PT/FAM W/E&M 45MIN,250.0,,John Muir Behavioral Health,2019
22,91400102,HC PSYTX PT/FAM W/E&M 60 MIN,332.5,,John Muir Behavioral Health,2019
23,91400500,HC PSYTX COMPLEX INTERACTIVE,321.25,,John Muir Behavioral Health,2019
24,91400976,HC PSYCHTHER PT AND/OR FAM 30MIN IOP,166.5,,John Muir Behavioral Health,2019
25,91400977,HC PSYCHTHER PT AND/OR FAM 45MIN IOP,250.0,,John Muir Behavioral Health,2019
26,91400978,HC PSYCHTHER PT AND/OR FAM 60MIN IOP,332.5,,John Muir Behavioral Health,2019
27,91400980,HC PSYCHTHER PT AND/OR FAM 30MIN PHP,166.5,,John Muir Behavioral Health,2019
28,91400981,HC PSYCHTHER PT AND/OT FAM 45MIN PHP,250.0,,John Muir Behavioral Health,2019
29,91400982,HC PSYCHTHER PT AND/OR FAM 60MIN PHP,332.5,,John Muir Behavioral Health,2019
30,91454862,HC INDIVIDUAL THERAPY,320.75,,John Muir Behavioral Health,2019
31,91501016,HC CD GROUP THERAPY,320.75,,John Muir Behavioral Health,2019
32,91501017,HC CD GROUP THERAPY,320.75,,John Muir Behavioral Health,2019
33,91554607,HC CD GROUP PSYCHOTHERAPY,320.75,,John Muir Behavioral Health,2019
34,91554608,HC INTERACTIVE GROUP THERAPY,320.75,,John Muir Behavioral Health,2019
35,91554620,HC MULTI FAMILY THERAPY,320.75,,John Muir Behavioral Health,2019
36,91600001,HC FAMILY THERAPY W/O PATIENT,320.75,,John Muir Behavioral Health,2019
37,91654873,HC FAMILY THERAPY WITH PT,320.75,,John Muir Behavioral Health,2019
38,99990011,HC BHC NO SHOW FEE,37.75,,John Muir Behavioral Health,2019
39,99990012,HC BHC LATE PICK-UP FEE,17.25,,John Muir Behavioral Health,2019
40,51000780,HC EVAL MGMNT PATIENT LEVEL 3,139.5,,John Muir Behavioral Health,2019
41,51000781,HC EVAL MGMNT  PATIENT LEVEL 4,675.75,,John Muir Behavioral Health,2019
42,51300100,HC H&P EVAL MGMNT PATIENT LEVEL 5,884.0,,John Muir Behavioral Health,2019
43,98854689,HC H&P EVAL MGMNT PATIENT LEVEL 4,282.5,,John Muir Behavioral Health,2019
44,98854891,H&P EVAL MGMNT PATIENT LEVEL 3,139.5,,John Muir Behavioral Health,2019
45,22052281,HC LAB STAT DELIVERY OF BLOOD PRODUCT,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
46,22052282,HC LAB STAT CHARGE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
47,22052283,HC LAB TRANSPORT CHARGE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
48,22052284,HC LAB SPECIAL REFERRAL CHARGE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
49,22052285,HC LAB HOLD SPEC FOR DOCTOR,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
50,27017757,LAB TRANSFER SET,92.0,,John Muir Behavioral Health,2019
51,27022169,HC PEDI BAG -CHRG ONLY,61.0,,John Muir Behavioral Health,2019
52,27022170,LAB PEDI BAG,64.0,,John Muir Behavioral Health,2019
53,30000130,LAB BLOOD GAS+GLUCOSE IS THE CG8+ BELOW,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
54,30000131,"LAB ACT, ISTAT IS THE ACTIVATED CLOTTING TIME BELOW",0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
55,30000132,"LAB BLOOD GAS+LACTATE, ISTAT IS THE CG4+ BELOW",0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
56,30000499,LAB VENIPUNCTURE,37.76,,John Muir Behavioral Health,2019
57,30001000,LAB AMNISURE,328.33,,John Muir Behavioral Health,2019
58,30001072,HC LAB ABO & RH TYPE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
59,30001140,HC LAB ABO BLOOD GROUP,355.38,,John Muir Behavioral Health,2019
60,30001141,HC LAB RH BLOOD TYPE - CHRG ONLY,265.39,,John Muir Behavioral Health,2019
61,30001321,HC LAB FERN TEST,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
62,30001323,HC LAB BLOOD GAS I-STAT,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
63,30001324,HC LAB BLOOD GAS I-STAT #-CHARGE ONLY,399.77,,John Muir Behavioral Health,2019
64,30001325,HC LAB IONIZED CALCIUM I-STAT #CHARGE,272.64,,John Muir Behavioral Health,2019
65,30002001,LAB EXTRA SPECIMEN,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
66,30002985,"HC LAB CULTURE, C.DIPTHERIAE *A-60360",0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
67,30002998,HC LAB MISC. LAB TESTS *0,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
68,30003002,HC LAB ARUP MISC TEST 1 #A-97163,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
69,30003003,HC LAB ARUP MISC TEST 2 #A-98556,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
70,30003004,HC LAB ARUP MISC TEST 3 #A-98559,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Behavioral Health,2019
