,Charge Code,Description,Price,Comments,Hospital,Year
0,10000024,HC INPATIENT REHAB PPS,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
1,10500000,HC MEDICAL SERVICE PRODUCTIVITY UNIT,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
2,12100011,HC RMB ROOM RATE GENERAL,8728.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
3,12100012,HC RMB ED BOARDER ROOM RATE,8728.0,,John Muir Medical Center - Concord Campus,2019
4,12100078,HC RMB ROOM RATE OVERFLOW,8728.0,,John Muir Medical Center - Concord Campus,2019
5,12200107,HC RMB ROOM RATE POSTPARTUM,8728.0,,John Muir Medical Center - Concord Campus,2019
6,12200116,HC RMB ROOM RATE OBSTETRIC ANTEPARTUM LVL I,12825.0,,John Muir Medical Center - Concord Campus,2019
7,12200117,HC RMB ROOM RATE ANTEPARTUM LVL I,12825.0,,John Muir Medical Center - Concord Campus,2019
8,12300105,HC RMB ROOM RATE PEDIATRICS,8728.0,,John Muir Medical Center - Concord Campus,2019
9,12800120,HC RMB ROOM RATE REHABILITATION,8728.0,,John Muir Medical Center - Concord Campus,2019
10,17100104,HC RMB ROOM RATE NURSERY,2505.5,,John Muir Medical Center - Concord Campus,2019
11,17200046,HC RMB ROOM RATE ICN LVL I,22764.75,,John Muir Medical Center - Concord Campus,2019
12,17300046,HC RMB ROOM RATE ICN LVL II-A,22764.75,,John Muir Medical Center - Concord Campus,2019
13,17300047,HC RMB ROOM RATE ICN LVL II,22764.75,,John Muir Medical Center - Concord Campus,2019
14,17400048,HC RMB ROOM RATE ICN LVL III,22764.75,,John Muir Medical Center - Concord Campus,2019
15,20000007,HC RMB CRITICAL CARE TRAUMA LVL I,22764.75,,John Muir Medical Center - Concord Campus,2019
16,20000013,HC RMB CRITICAL CARE CPICU LVL I,22764.75,,John Muir Medical Center - Concord Campus,2019
17,20000050,HC RMB CRITICAL CARE NSICU LVL I,22764.75,,John Muir Medical Center - Concord Campus,2019
18,20000062,HC RMB CRITICAL CARE ICU LVL I/NSD,22764.75,,John Muir Medical Center - Concord Campus,2019
19,20000084,HC RMB CRITICAL CARE GENERAL,22764.75,,John Muir Medical Center - Concord Campus,2019
20,20000088,HC RMB OVERFLOW CRITICAL CARE,22764.75,,John Muir Medical Center - Concord Campus,2019
21,20600010,HC RMB INTERMEDIATE CARE GENERAL,12825.0,,John Muir Medical Center - Concord Campus,2019
22,20600056,HC RMB PCU LVL I,12825.0,,John Muir Medical Center - Concord Campus,2019
23,20600065,HC RMB PCU LVL I/NSD,12825.0,,John Muir Medical Center - Concord Campus,2019
24,20600085,HC RMB OVERFLOW INTERMIDIATE CARE,12825.0,,John Muir Medical Center - Concord Campus,2019
25,20800811,HC ROOM RATE ICU TRAUMA,24630.5,,John Muir Medical Center - Concord Campus,2019
26,20800812,RMB NSICU TRAUMA,24630.5,,John Muir Medical Center - Concord Campus,2019
27,22052281,HC LAB STAT DELIVERY OF BLOOD PRODUCT,0.0,,John Muir Medical Center - Concord Campus,2019
28,22052282,HC LAB STAT CHARGE,323.25,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
29,22052283,HC LAB TRANSPORT CHARGE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
30,22052284,HC LAB SPECIAL REFERRAL CHARGE,287.0,,John Muir Medical Center - Concord Campus,2019
31,22052285,HC LAB HOLD SPEC FOR DOCTOR,1905.75,,John Muir Medical Center - Concord Campus,2019
32,25000100,HC WATER STERILE IRR 3000 ML  4/CS,191.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
33,25000200,HC SOLUTION CRRT IV ANTI-COAGULANT ACDA 1000 ML,191.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
34,25030731,HC RT OXYGEN DAILY CHARGE,2447.0,,John Muir Medical Center - Concord Campus,2019
35,25052193,HC RT NITRIC OXIDE INHALED HOURLY,1283.75,,John Muir Medical Center - Concord Campus,2019
36,25052194,HC RT NITRIC OXIDE INHALED HOURLY PEDIATRIC,1283.75,,John Muir Medical Center - Concord Campus,2019
37,26001554,HC INJECTION TX/DX SQ OR IM,484.0,,John Muir Medical Center - Concord Campus,2019
38,26001554,HC INJECTION TX/DX SQ OR IM,401.0,,John Muir Medical Center - Concord Campus,2019
39,26001554,HC INJECTION TX/DX SQ OR IM,381.75,,John Muir Medical Center - Concord Campus,2019
40,26001554,HC INJECTION TX/DX SQ OR IM,339.0,,John Muir Medical Center - Concord Campus,2019
41,26001557,HC INJECT IV PUSH EA ADDL SAME DRUG,444.5,,John Muir Medical Center - Concord Campus,2019
42,26024735,HC CCL INFUSION TXDX EA ADD HOUR,711.75,,John Muir Medical Center - Concord Campus,2019
43,26025164,HC INF HYDRAT INIT 31M-1HR STATS,0.0,,John Muir Medical Center - Concord Campus,2019
44,26025165,HC INF HYDRAT EA ADD HR STATS,0.0,,John Muir Medical Center - Concord Campus,2019
45,26025169,HC APPLICATON ON-BODY INJECTOR,484.0,,John Muir Medical Center - Concord Campus,2019
46,26031132,HC INJECTION IV PUSH INITIAL,854.5,,John Muir Medical Center - Concord Campus,2019
47,26031132,HC INJECTION IV PUSH INITIAL,854.25,,John Muir Medical Center - Concord Campus,2019
48,26031132,HC INJECTION IV PUSH INITIAL,707.5,,John Muir Medical Center - Concord Campus,2019
49,26031132,HC INJECTION IV PUSH INITIAL,673.25,,John Muir Medical Center - Concord Campus,2019
50,26031132,HC INJECTION IV PUSH INITIAL,598.0,,John Muir Medical Center - Concord Campus,2019
51,26031133,HC INJECTION IV PUSH EA NEW DRUG,563.75,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
52,26031133,HC INJECTION IV PUSH EA NEW DRUG,563.5,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
53,26031133,HC INJECTION IV PUSH EA NEW DRUG,444.5,,John Muir Medical Center - Concord Campus,2019
54,26031133,HC INJECTION IV PUSH EA NEW DRUG,399.0,,John Muir Medical Center - Concord Campus,2019
55,26034619,HC INFUSION HYDRATION EA ADD HR,711.5,,John Muir Medical Center - Concord Campus,2019
56,26034627,HC INFUSION TXDX PER HOUR,1543.5,,John Muir Medical Center - Concord Campus,2019
57,26034644,HC INJECTION IV PUSH EACH,465.5,,John Muir Medical Center - Concord Campus,2019
58,26045031,HC INFUSION TX DX >8HR W PUMP,6538.0,,John Muir Medical Center - Concord Campus,2019
59,26050000,LAB INJECTION IV PUSH INITIAL,707.5,,John Muir Medical Center - Concord Campus,2019
60,26050001,LAB INJECTION IV PUSH EA NEW DRUG,465.5,,John Muir Medical Center - Concord Campus,2019
61,26050002,LAB INJ IV PUSH EA ADDL SAME RX,465.5,,John Muir Medical Center - Concord Campus,2019
62,27000000,HC MOUTHPIECE ACAPELLA DH GREEN 10/CS,963.0,,John Muir Medical Center - Concord Campus,2019
63,27000053,HC CATH URINARY MALE EXTERNAL BIODERM LRG 30/BX 12BX/CS,191.0,,John Muir Medical Center - Concord Campus,2019
64,27000301,HC MOUTHPIECE ACAPELLA DM BLUE 10/CS,963.0,,John Muir Medical Center - Concord Campus,2019
65,27000607,HC SPLINT WRIST RIGHT LARGE,0.0,,John Muir Medical Center - Concord Campus,2019
66,27000609,HC SPLINT WRIST LEFT LARGE,0.0,,John Muir Medical Center - Concord Campus,2019
67,27000641,HC NEEDLE INTRAOSSEOUS INFUSION 15GA  10/CS,377.0,,John Muir Medical Center - Concord Campus,2019
68,27000647,HC MATTRESS OVERLAY FOR THE CL-250 PUMP  6/CS,0.0,,John Muir Medical Center - Concord Campus,2019
69,27000649,HC MITTENS PROTECTIVE HAND CNTRL RIGID AND FLEXIBLE MED NON STERILE,377.0,,John Muir Medical Center - Concord Campus,2019
70,27000655,HC CUSHION PATIENT SEAT STANDARD WAFFLE 12/CS,627.0,,John Muir Medical Center - Concord Campus,2019
71,27000662,HC CLEANSER DERMAL WOUND SAF-CLENS  12 OZ  6/BX,191.0,,John Muir Medical Center - Concord Campus,2019
72,27000664,HC CORSET LUMBAR SACRAL X-LARGE,377.0,,John Muir Medical Center - Concord Campus,2019
73,27000670,HC TUBE NEOPUFF GAS SUPPLY LINE LONG BX/10,191.0,,John Muir Medical Center - Concord Campus,2019
74,27000673,HC DEVICE TRAUMA PELVIC ORTHOTIC (T-POD),1298.0,,John Muir Medical Center - Concord Campus,2019
75,27000674,HC BAG HYPERINFLATION W/PRESSURE LINE  20/BX,377.0,,John Muir Medical Center - Concord Campus,2019
76,27000684,HC POSITIONER CUSHION SEAT BARIATRIC WAFFLE  6/CS,963.0,,John Muir Medical Center - Concord Campus,2019
77,27000686,HC STOCKING TED THIGH XL REG  10PR/BX,377.0,,John Muir Medical Center - Concord Campus,2019
78,27000687,HC STOCKING TED THIGH XL LONG 10 PR/BX,377.0,,John Muir Medical Center - Concord Campus,2019
79,27000688,HC STOCKING TED KNEE XXL REG 10 PR/BX,191.0,,John Muir Medical Center - Concord Campus,2019
80,27000690,HC SUPPORT LUMBAR,377.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
81,27000693,HC PUMP BREAST KIT SYMPHONY CS/10,627.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
82,27000695,HC PAD CERVICAL COLLAR REPLACEMENT MIAMI J STOUT,377.0,,John Muir Medical Center - Concord Campus,2019
83,27000696,HC PAD CERVICAL COLLAR REPLACEMENT MIAMI J TALL,377.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
84,27000697,HC PAD CERVICAL COLLAR REPLACEMENT MIAMI J X-SM,377.0,,John Muir Medical Center - Concord Campus,2019
85,27000698,HC TUBE VENTILATOR CIRCUIT T-PIECE NEO-PUFF ERGONOMIC  10/BX,191.0,,John Muir Medical Center - Concord Campus,2019
86,27000702,HC RESTRAINT ANKLE TWICE AS TOUGH FOR STRETCHERS,377.0,,John Muir Medical Center - Concord Campus,2019
87,27000713,HC PACK SURG MAXIMUM BARRIER 24/CS,377.0,,John Muir Medical Center - Concord Campus,2019
88,27000727,HC PROTECTOR HEEL STANDARD DISP,926.0,,John Muir Medical Center - Concord Campus,2019
89,27000761,HC SUPPORT ARTERIAL HANDAID WRIST  20/CS,0.0,,John Muir Medical Center - Concord Campus,2019
90,27000777,HC CAST COVER,0.0,,John Muir Medical Center - Concord Campus,2019
91,27017757,LAB TRANSFER SET,92.0,,John Muir Medical Center - Concord Campus,2019
92,27022170,LAB PEDI BAG,71.0,,John Muir Medical Center - Concord Campus,2019
93,27049228,HC BOARD ARM IV DISP 3-1/4 IN X 9 IN  20/CS,191.0,,John Muir Medical Center - Concord Campus,2019
94,27052404,HC CATH IV AUTOGARD 24G X 0.75 50/BX  4 BX/CS,0.0,,John Muir Medical Center - Concord Campus,2019
95,27054599,HC RESTRAINTS LEATHER STATISTIC,0.0,,John Muir Medical Center - Concord Campus,2019
96,27055726,HC CATH FOLEY SI 26FR 5CC  12/BX,191.0,,John Muir Medical Center - Concord Campus,2019
97,27055734,HC TUBIGRIP E,0.0,,John Muir Medical Center - Concord Campus,2019
98,27055735,HC TUBIGRIP F,0.0,,John Muir Medical Center - Concord Campus,2019
99,27055739,HC BANDAGE COMPRESSION TUBIGRIP  SZ D 1M,0.0,,John Muir Medical Center - Concord Campus,2019
100,27100000,HC PAD VEST INNERCOOL S/M,5107.0,,John Muir Medical Center - Concord Campus,2019
101,27100016,HC PAD ELECTRODE PED RADIOTRANSPARENT   5 SETS/CS,191.0,,John Muir Medical Center - Concord Campus,2019
102,27100022,HC NEBULIZER MINI-HEART 25/CS,377.0,,John Muir Medical Center - Concord Campus,2019
103,27100028,HC CUFF ANKLE SECURITY TWICE-AS-TOUGH  NO LOCK 2791,377.0,,John Muir Medical Center - Concord Campus,2019
104,27100029,HC NEBULIZER MINIHEART HI-FLO   25/CS,191.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
105,27100037,HC MITTEN PROTECTIVE HAND RIGID AND FLEXIBLE SM NON STERILE PAIR,377.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
106,27100039,HC MITTENS PROTECTIVE HAND CONTROL FLEXIBLE LG NON STRL,377.0,,John Muir Medical Center - Concord Campus,2019
107,27100054,HC STOCKING TED FULL LEG XL REG  6/BX,0.0,,John Muir Medical Center - Concord Campus,2019
108,27100057,HC STOCKING TED THIGH MED REG LF 6/CT,191.0,,John Muir Medical Center - Concord Campus,2019
109,27100088,HC MATTRESS THERAPEUTIC INFANT WARMER 6/CS,377.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
110,27100128,HC BLANKET WARMING  BAIR HUGGER UNDERBODY 5/CS,627.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
111,27100130,HC SYSTEM POSITIVE EXPIR PRESSURE THERAPY AEROBIKA OSCILLATING 10/CS,926.0,,John Muir Medical Center - Concord Campus,2019
112,27100131,HC BLANKET WARMING  BAIR HUGGER TORSO ARMS IN (NOVA+),191.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
113,27100132,HC BLANKET WARMING PEDIATRIC UNDERBODY LG,377.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
114,27100136,HC PROTECTOR CAST SEALTIGHT ADULT ARM/LONG,377.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
115,27100137,HC PROTECTOR CAST SEALTIGHT ADULT LEG/LONG,377.0,,John Muir Medical Center - Concord Campus,2019
116,27100138,HC PROTECTOR CAST SEALTIGHT AQUA ARMOR ADULT HAND,377.0,,John Muir Medical Center - Concord Campus,2019
117,27100139,HC PROTECTOR CAST SEALTIGHT AQUA ARMOR ADULT LEG SHORT,377.0,,John Muir Medical Center - Concord Campus,2019
118,27100140,HC PROTECTOR CAST SEALTIGHT AQUA ARMOR ADULT LEG WIDE SHORT,377.0,,John Muir Medical Center - Concord Campus,2019
119,27100141,HC PROTECTOR CAST SEALTIGHT FOOT ANKLE,377.0,,John Muir Medical Center - Concord Campus,2019
120,27100142,HC KIT PATIENT SHEEPSKIN COVER FOR OPTIFLEX CPM,627.0,,John Muir Medical Center - Concord Campus,2019
121,27100143,HC PAD COLD THERAPY WRAPON BACK W/STRAPS,720.0,,John Muir Medical Center - Concord Campus,2019
122,27100144,HC PAD COLD THERAPY WRAPON KNEE LRG,720.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
123,27100145,HC PAD COLD THERAPY WRAPON KNEE MED,627.0,,John Muir Medical Center - Concord Campus,2019
124,27100146,HC PAD COLD THERAPY WRAPON KNEE NOVAPLUS LRG,720.0,,John Muir Medical Center - Concord Campus,2019
125,27100147,HC PAD COLD THERAPY WRAPON KNEE NOVAPLUS MED V04700,627.0,,John Muir Medical Center - Concord Campus,2019
126,27100148,HC PAD COLD THERAPY WRAPON KNEE NOVAPLUS XL,627.0,,John Muir Medical Center - Concord Campus,2019
127,27100149,HC PAD COLD THERAPY WRAPON KNEE XL,720.0,,John Muir Medical Center - Concord Campus,2019
128,27100150,HC PAD COLD THERAPY WRAPON SHOULDER LRG,926.0,,John Muir Medical Center - Concord Campus,2019
129,27100151,HC PAD COLD THERAPY WRAPON SHOULDER MED,720.0,,John Muir Medical Center - Concord Campus,2019
130,27100152,HC PAD COLD THERAPY WRAPON SHOULDER NOVAPLUS LRG,926.0,,John Muir Medical Center - Concord Campus,2019
131,27100153,HC PAD COLD THERAPY WRAPON SHOULDER NOVAPLUS MED,720.0,,John Muir Medical Center - Concord Campus,2019
132,27100154,HC PAD FOR CPM 450/480,720.0,,John Muir Medical Center - Concord Campus,2019
133,27100155,HC CAST SEAL TIGHT ADULT ARM/SHORT 20101,377.0,,John Muir Medical Center - Concord Campus,2019
134,27100156,HC UNIT THERAPEUTIC COLD TX POLAR CARE CUBE,1155.0,,John Muir Medical Center - Concord Campus,2019
135,27100157,HC UNIT THERAPEUTIC COLD TX POLAR CARE CUBE NOVAPLUS,1155.0,,John Muir Medical Center - Concord Campus,2019
136,27100200,HC STOCKING TED THIGH LG REG 6PR/BX,191.0,,John Muir Medical Center - Concord Campus,2019
137,27100202,HC CASSETTE VAC VERALINK,963.0,,John Muir Medical Center - Concord Campus,2019
138,27100206,HC BINDER SURG 3-PANEL 30-45IN,377.0,,John Muir Medical Center - Concord Campus,2019
139,27100207,HC BINDER SURG 3-PANEL 60-75IN,627.0,,John Muir Medical Center - Concord Campus,2019
140,27100208,HC BINDER ABDOMINAL 12  82-94,720.0,,John Muir Medical Center - Concord Campus,2019
141,27100680,HC CRUTCH TALL ADULT 70-78IN L/F  8 PR/CS,377.0,,John Muir Medical Center - Concord Campus,2019
142,27100681,HC CRUTCH MED ADULT 62-70IN L/F,377.0,,John Muir Medical Center - Concord Campus,2019
143,27100682,HC CRUTCH YOUTH 54-62IN  L/F  8 PR/CS,377.0,,John Muir Medical Center - Concord Campus,2019
144,27100719,HC CAST/SPLINT SUPPLY FIBERGLASS,627.0,,John Muir Medical Center - Concord Campus,2019
145,27100720,HC CAST/SPLINT SUPPLY PLASTER,377.0,,John Muir Medical Center - Concord Campus,2019
146,27100721,HC PAD FOR BUCKS TRACTION,627.0,,John Muir Medical Center - Concord Campus,2019
147,27100722,HC PAD FOR CPM,627.0,,John Muir Medical Center - Concord Campus,2019
148,27100724,HC SPLINT SLING THOMAS,627.0,,John Muir Medical Center - Concord Campus,2019
149,27100729,HC COLD TX WRAPON KNEE PAD,627.0,,John Muir Medical Center - Concord Campus,2019
150,27100730,HC COLD TX WRAPON SHOULDER PAD,720.0,,John Muir Medical Center - Concord Campus,2019
151,27100731,HC COLD TX WRAPON MULTIUSE PAD,627.0,,John Muir Medical Center - Concord Campus,2019
152,27100736,HC PAD THERAPEUTIC TEMP MNGMNT ARCTIC GEL MED,8040.0,,John Muir Medical Center - Concord Campus,2019
153,27100737,HC PAD THERAPEUTIC TEMP MNGMNT ARCTICGEL LRG  2/CS,8040.0,,John Muir Medical Center - Concord Campus,2019
154,27100738,HC PAD THERAPEUTIC TEMP MNGMNT ARCTICGEL UNIVERSAL  4/CS,3081.0,,John Muir Medical Center - Concord Campus,2019
155,27100739,HC SLEEVE COMPRESSION KNEE XLG,627.0,,John Muir Medical Center - Concord Campus,2019
156,27100740,HC SLEEVE COMPRESSION THGH SM,627.0,,John Muir Medical Center - Concord Campus,2019
157,27100773,HC BINDER ABDOMINAL UNIV (LATEX SAFE),191.0,,John Muir Medical Center - Concord Campus,2019
158,27100800,HC SENSOR ADULT LNCS ADULT DISP 20/BX,191.0,,John Muir Medical Center - Concord Campus,2019
159,27100801,HC SENSOR PEDIATRIC LNCS PDTX  20/BX,191.0,,John Muir Medical Center - Concord Campus,2019
160,27100802,HC ANESTHESIA SENSOR INFANT LNCS 2328,377.0,,John Muir Medical Center - Concord Campus,2019
161,27116478,HC CANE T HANDLE ALUM. ADJ.      6/CS,191.0,,John Muir Medical Center - Concord Campus,2019
162,27116491,HC DETECTOR CO2 PEDIATRIC  6/CS,191.0,,John Muir Medical Center - Concord Campus,2019
163,27116492,HC SENSOR BED SINGLE PAT USE DISP,377.0,,John Muir Medical Center - Concord Campus,2019
164,27116493,HC DETECTOR CO2 EASY CAP II  6/BX  4 BX/CS,191.0,,John Muir Medical Center - Concord Campus,2019
165,27116617,HC SENSOR CHAIR SGL PATIENT USE DISP,377.0,,John Muir Medical Center - Concord Campus,2019
166,27116667,HC RESTRAINT WRIST TWICE AS TOUGH FOR STRETCHERS,377.0,,John Muir Medical Center - Concord Campus,2019
167,27145277,HC BLANKET UPPER DUAL PORT (NOVA+)  10/CS,191.0,,John Muir Medical Center - Concord Campus,2019
168,27145278,HC BLANKET PEDI BAIR HUGGER  10/CS,377.0,,John Muir Medical Center - Concord Campus,2019
169,27145282,HC PAD HYPOTHERMIA 25 X 63  10/BX,377.0,,John Muir Medical Center - Concord Campus,2019
170,27145442,HC PILLOW ABDUCTION SMALL (LATEX SAFE),377.0,,John Muir Medical Center - Concord Campus,2019
171,27145443,HC PILLOW ABDUCTION LARGE  4/CS,627.0,,John Muir Medical Center - Concord Campus,2019
172,27145998,HC BANDAGE ELASTIC W/VELCRO LF STRL 6 IN 25/CS,191.0,,John Muir Medical Center - Concord Campus,2019
173,27146094,HC SUPPORTER ATHLETIC LARGE,191.0,,John Muir Medical Center - Concord Campus,2019
174,27146334,HC SLEEVE THIGH X-LRG  42IN  10 PR/CS,925.0,,John Muir Medical Center - Concord Campus,2019
175,27146582,HC PILLOW ABDUCTION MEDIUM  4/CS,627.0,,John Muir Medical Center - Concord Campus,2019
176,27146681,HC BAG RESUS PED W/MASK FILTER/MANOMETER/CO2 DETECTOR/PEEP VALVE  10/CS,627.0,,John Muir Medical Center - Concord Campus,2019
177,27147925,HC DRESSING PROFORE 4IN LAYER  8 /CS,377.0,,John Muir Medical Center - Concord Campus,2019
178,27148215,HC STOCKING TED KNEE SM 12PR/BX,0.0,,John Muir Medical Center - Concord Campus,2019
179,27148216,HC STOCKING TED THIGH SM SHT 6PR/BX,191.0,,John Muir Medical Center - Concord Campus,2019
180,27149145,HC BRA POST SURG MED 34-36 B AND C,627.0,,John Muir Medical Center - Concord Campus,2019
181,27149146,HC BRA POST SURG 2XL 44UP D,720.0,,John Muir Medical Center - Concord Campus,2019
182,27151210,HC PAD VEST INNERCOOL L/XL,5107.0,,John Muir Medical Center - Concord Campus,2019
183,27151227,HC BAG RESUS ADULT W/MASK FILTER/MANOMETER/CO2 DETECTOR/PEEP VALVE  10/CS,377.0,,John Muir Medical Center - Concord Campus,2019
184,27151290,HC PAD CARDIAC MONITOR DEFIB MEDI TRACE RTS ADULT,377.0,,John Muir Medical Center - Concord Campus,2019
185,27151557,HC BLANKET WARMING  BAIR HUGGER FULL BODY (NOVA+),0.0,,John Muir Medical Center - Concord Campus,2019
186,27154572,HC CRUTCHES,287.0,,John Muir Medical Center - Concord Campus,2019
187,27200005,HC KIT CARDIAC CRYOABLATION BALLOON RETRACT MANUAL DISP,1698.0,,John Muir Medical Center - Concord Campus,2019
188,27200339,HC SYSTEM DRAINAGE CEREBRAL LUMBAR HERMETIC PLUS EVD,2871.0,,John Muir Medical Center - Concord Campus,2019
189,27200377,HC CATH CARDIAC SWAN GANZ TD 5 LUMEN 110CM X 7.5F,963.0,,John Muir Medical Center - Concord Campus,2019
190,27200506,HC CONNECTOR SAFELOCK UNIVERSAL,377.0,,John Muir Medical Center - Concord Campus,2019
191,27200507,HC DRESSING AQUACEL SILVER AG 4 X 4.7 10/BX  SEE ITEM 130823,0.0,,John Muir Medical Center - Concord Campus,2019
192,27200508,HC DRESSING MEDIHONEY CALCIUM ALGINATE 3/4IN X 12IN   5/BX,191.0,,John Muir Medical Center - Concord Campus,2019
193,27200509,HC DRESSING WOUND GEL HYDROGEL SKINTEGRITY 4OZ TUBE CS/12,191.0,,John Muir Medical Center - Concord Campus,2019
194,27200510,HC IRRIGATOR OSTOMY W/STOMA CONE,377.0,,John Muir Medical Center - Concord Campus,2019
195,27200511,HC DRESSING CALCIUM ALGINATE KALTOSTAT 4IN X 8IN 10/BX,191.0,,John Muir Medical Center - Concord Campus,2019
196,27200512,HC PILLOW CERVICAL,191.0,,John Muir Medical Center - Concord Campus,2019
197,27200513,HC POUCH DRAINAGE WOUND EAKIN FISTULA W/ATTACHMENT TAP CLOSURE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Concord Campus,2019
198,27200514,HC TRAY FOLEY COUDE IC W/STATLOCK 350ML 14F,627.0,,John Muir Medical Center - Concord Campus,2019
199,27200529,HC SET IV EPIDURAL SAPPHIRE YELLOW STRIPE,377.0,,John Muir Medical Center - Concord Campus,2019
200,27200530,HC CATH VASC THROMBOLYTIC W/US EKOSONIC 50CM X 135CM 5.2F,1957.0,,John Muir Medical Center - Concord Campus,2019
201,27200560,HC DRESSING AQUACEL SILVER AG PAD 3.5 X 6IN,377.0,,John Muir Medical Center - Concord Campus,2019
202,27200564,HC TRAY ANESTH CONTINUOUS NERVE BLOCK W/O NDL TB101,720.0,,John Muir Medical Center - Concord Campus,2019
