,Charge Code,Description,Price,Comments,Hospital,Year
0,25000001,0.45% NS 1000ML + ADDITIVES [500830],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
1,25000001,0.9% NS 1000 ML + ADDITIVES [500829],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
2,25000001,10 ML OVERFILL IN 100 ML IV BAG [500078],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
3,25000001,20 ML OVERFILL IN 150 ML IV BAG [500079],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
4,25000001,20 ML OVERFILL IN 250 ML IV BAG [500080],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
5,25000001,30 ML OVERFILL IN 250 ML ADD-VANTAGE BAG [500083],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
6,25000001,40 ML OVERFILL IN 1000 ML IV BAG [500082],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
7,25000001,40 ML OVERFILL IN 500 ML IV BAG [500081],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
8,25000001,5 ML OVERFILL IN 25 ML IV BAG [500907],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
9,25000001,5 ML OVERFILL IN 50 ML IV BAG [500077],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
10,25000001,ABACAVIR 20 MG/ML ORAL SOLUTION [24439],27.6,,John Muir Medical Center - Concord Campus,2019
11,25000001,ABACAVIR 300 MG TABLET [24438],156.5,,John Muir Medical Center - Concord Campus,2019
12,25000001,ABACAVIR 600 MG-DOLUTEGRAVIR 50 MG-LAMIVUDINE 300 MG TABLET [164468],1618.1,,John Muir Medical Center - Concord Campus,2019
13,25000001,ABACAVIR-LAMIVUDINE-ZIDOUVINE (TRIZIVIR) COMBO TAB [500305],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
14,63600002,ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION [70287],17577.0,,John Muir Medical Center - Concord Campus,2019
15,,ABATACEPT IVPB [400502],,"Place holder,static, order communication, zero charge item or charge panel",John Muir Medical Center - Concord Campus,2019
16,63600002,ABCIXIMAB 10 MG/5 ML INTRAVENOUS SOLUTION [14369],22649.5,,John Muir Medical Center - Concord Campus,2019
