,Charge Code,Description,Price,Comments,Hospital,Year
0,10055527,HC CASE EVAL & TREATMENT PLAN,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
1,10055585,HC MEDICAL RECORDS COPY,1.0,,John Muir Medical Center - Walnut Creek Campus,2019
2,10055586,HC MEDICAL RECORDS DOCUMENT,20.5,,John Muir Medical Center - Walnut Creek Campus,2019
3,10500000,HC MEDICAL SERVICE PRODUCTIVITY UNIT,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
4,12100011,HC RMB ROOM RATE GENERAL,8728.0,,John Muir Medical Center - Walnut Creek Campus,2019
5,12100012,HC RMB ED BOARDER ROOM RATE,8728.0,,John Muir Medical Center - Walnut Creek Campus,2019
6,12100078,HC RMB ROOM RATE OVERFLOW,8728.0,,John Muir Medical Center - Walnut Creek Campus,2019
7,12200107,HC RMB ROOM RATE POSTPARTUM,8728.0,,John Muir Medical Center - Walnut Creek Campus,2019
8,12200116,HC RMB ROOM RATE OBSTETRIC ANTEPARTUM LVL I,12825.0,,John Muir Medical Center - Walnut Creek Campus,2019
9,12200117,HC RMB ROOM RATE ANTEPARTUM LVL I,12825.0,,John Muir Medical Center - Walnut Creek Campus,2019
10,12300105,HC RMB ROOM RATE PEDIATRICS,8728.0,,John Muir Medical Center - Walnut Creek Campus,2019
11,12800120,HC RMB ROOM RATE REHABILITATION,8728.0,,John Muir Medical Center - Walnut Creek Campus,2019
12,17100104,HC RMB ROOM RATE NURSERY,2505.5,,John Muir Medical Center - Walnut Creek Campus,2019
13,17200046,HC RMB ROOM RATE ICN LVL I,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
14,17300046,HC RMB ROOM RATE ICN LVL II-A,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
15,17300047,HC RMB ROOM RATE ICN LVL II,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
16,17400048,HC RMB ROOM RATE ICN LVL III,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
17,20000007,HC RMB CRITICAL CARE TRAUMA LVL I,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
18,20000013,HC RMB CRITICAL CARE CPICU LVL I,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
19,20000050,HC RMB CRITICAL CARE NSICU LVL I,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
20,20000062,HC RMB CRITICAL CARE ICU LVL I/NSD,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
21,20000084,HC RMB CRITICAL CARE GENERAL,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
22,20000088,HC RMB OVERFLOW CRITICAL CARE,22764.75,,John Muir Medical Center - Walnut Creek Campus,2019
23,20600010,HC RMB INTERMEDIATE CARE GENERAL,12825.0,,John Muir Medical Center - Walnut Creek Campus,2019
24,20600056,HC RMB PCU LVL I,12825.0,,John Muir Medical Center - Walnut Creek Campus,2019
25,20600065,HC RMB PCU LVL I/NSD,12825.0,,John Muir Medical Center - Walnut Creek Campus,2019
26,20600085,HC RMB OVERFLOW INTERMIDIATE CARE,12825.0,,John Muir Medical Center - Walnut Creek Campus,2019
27,20800811,HC ROOM RATE ICU TRAUMA,24630.5,,John Muir Medical Center - Walnut Creek Campus,2019
28,20800812,RMB NSICU TRAUMA,24630.5,,John Muir Medical Center - Walnut Creek Campus,2019
29,22052281,HC LAB STAT DELIVERY OF BLOOD PRODUCT,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
30,22052282,HC LAB STAT CHARGE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
31,22052283,HC LAB TRANSPORT CHARGE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
32,22052284,HC LAB SPECIAL REFERRAL CHARGE,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
33,22052285,HC LAB HOLD SPEC FOR DOCTOR,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
34,23100151,HC STAT ROP EXAM,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
35,23100152,HC TRANSPORT TEAM PROFESSIONAL CR,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
36,25000100,HC WATER STERILE IRR 3000 ML  4/CS,191.0,,John Muir Medical Center - Walnut Creek Campus,2019
37,25000200,HC SOLUTION CRRT IV ANTI-COAGULANT ACDA 1000 ML,191.0,,John Muir Medical Center - Walnut Creek Campus,2019
38,25030731,HC RT OXYGEN DAILY CHARGE,2447.0,,John Muir Medical Center - Walnut Creek Campus,2019
39,25052193,HC RT NITRIC OXIDE INHALED HOURLY,1283.75,,John Muir Medical Center - Walnut Creek Campus,2019
40,25052194,HC RT NITRIC OXIDE INHALED HOURLY PEDIATRIC,1283.75,,John Muir Medical Center - Walnut Creek Campus,2019
41,26000002,HC IMMUNIZATION ADMINISTRATION,401.0,,John Muir Medical Center - Walnut Creek Campus,2019
42,26001548,HC INFUSION HYDRAT INITIAL HOUR,955.75,,John Muir Medical Center - Walnut Creek Campus,2019
43,26001554,HC INJECTION TX/DX SQ OR IM,381.75,,John Muir Medical Center - Walnut Creek Campus,2019
44,26001554,HC INJECTION TX/DX SQ OR IM,401.0,,John Muir Medical Center - Walnut Creek Campus,2019
45,26001554,HC INJECTION TX/DX SQ OR IM,401.0,,John Muir Medical Center - Walnut Creek Campus,2019
46,26001554,HC INJECTION TX/DX SQ OR IM,401.0,,John Muir Medical Center - Walnut Creek Campus,2019
47,26001554,HC INJECTION TX/DX SQ OR IM,401.0,,John Muir Medical Center - Walnut Creek Campus,2019
48,26001554,HC INJECTION TX/DX SQ OR IM,484.0,,John Muir Medical Center - Walnut Creek Campus,2019
49,26001554,HC INJECTION TX/DX SQ OR IM,484.0,,John Muir Medical Center - Walnut Creek Campus,2019
50,26001557,HC INJECT IV PUSH EA ADDL SAME DRUG,465.5,,John Muir Medical Center - Walnut Creek Campus,2019
51,26024735,HC CCL INFUSION TXDX EA ADD HOUR,711.75,,John Muir Medical Center - Walnut Creek Campus,2019
52,26025164,HC INF HYDRAT INIT 31M-1HR STATS,0.0,"Place holder, statistic, order communication, time based charge or charge panel",John Muir Medical Center - Walnut Creek Campus,2019
