,Description,UNITS,QUANTITY,Price,UNIT_PRICE,Hospital,Year
0,ACETAZOLAMIDE 25 MG/ML ORAL SUSP,mL,68.712,1958.1,28.497205728257107,Kaiser Foundation Hospital - San Rafael,2019
1,ACETYLCYSTEINE 10% EYE DROPS,mL,3.0,1318.95,439.65,Kaiser Foundation Hospital - San Rafael,2019
2,ACYCLOVIR 5 MG/ML IN D5W IV SYRINGE PED,mL,21.0,2642.05,125.811904761905,Kaiser Foundation Hospital - San Rafael,2019
3,ALLOPURINOL 10 MG/ML ORAL SUSP,mL,207.1,497.1,2.40028971511347,Kaiser Foundation Hospital - San Rafael,2019
4,ALLOPURINOL 20 MG/ML ORAL SUSP,mL,1697.01,5370.55,3.1647132309179105,Kaiser Foundation Hospital - San Rafael,2019
5,ALPRAZolam 0.25 mg tablet,Each,9270.5,49620.81,5.3525494849253,Kaiser Foundation Hospital - San Rafael,2019
6,ALPRAZolam 0.5 mg tablet,Each,2037.0,16245.79,7.97535100638193,Kaiser Foundation Hospital - San Rafael,2019
7,ALPRAZolam 1 mg disintegrating tablet,Each,3.0,48.3,16.1,Kaiser Foundation Hospital - San Rafael,2019
8,ALPRAZolam 1 mg tablet,Each,135.25,998.6,7.38336414048059,Kaiser Foundation Hospital - San Rafael,2019
9,ALPRAZolam 2 mg tablet,Each,1.0,11.7,11.7,Kaiser Foundation Hospital - San Rafael,2019
10,AMIKACIN (PF) 0.4 MG/0.1 ML INTRAVITREAL INJ,mL,0.33333,5.2,15.600156001560002,Kaiser Foundation Hospital - San Rafael,2019
11,AMIODARONE 5 MG/ML ORAL SUSP,mL,38.0,136.15,3.58289473684211,Kaiser Foundation Hospital - San Rafael,2019
12,AMLODIPINE 1 MG/ML ORAL SUSP,mL,897.26,12068.25,13.450114793928199,Kaiser Foundation Hospital - San Rafael,2019
13,AMLODIPINE 1 MG/ML ORAL SUSP SUGAR FREE,mL,9.5,94.15,9.91052631578947,Kaiser Foundation Hospital - San Rafael,2019
14,AMPHOTERICIN B 2 MG/ML EYE DROPS,mL,1.0,42.4,42.4,Kaiser Foundation Hospital - San Rafael,2019
15,AMPHOTERICIN B 5 MCG/0.1 ML INTRAVITREAL INJ,mL,1.0,7.8,7.8,Kaiser Foundation Hospital - San Rafael,2019
16,AMPHOTERICIN B LIPOSOMAL 2 MG/ML IN D5W IV SYRINGE PED,mL,24.0,25030.65,1042.94375,Kaiser Foundation Hospital - San Rafael,2019
17,AMPICILLIN/SULBACTAM 30 MG/ML IN NS IV SYRINGE PED,mL,54.0,1545.85,28.626851851851892,Kaiser Foundation Hospital - San Rafael,2019
18,AMPICILLIN/SULBACTAM 45 MG/ML IV SYRINGE PED,mL,6.0,294.1,49.0166666666667,Kaiser Foundation Hospital - San Rafael,2019
19,ANTICOAGULANT SODIUM CITRATE 4%,mL,2.024,108.2,53.4584980237154,Kaiser Foundation Hospital - San Rafael,2019
20,APREPITANT 20 MG/ML ORAL SUSP,mL,10.1,31.1,3.07920792079208,Kaiser Foundation Hospital - San Rafael,2019
21,ARGININE HCL (L-ARGININE HCL) 10 % ORAL SOLN PED (UW),mL,1641.53531,18695.4,11.3889721933548,Kaiser Foundation Hospital - San Rafael,2019
22,ARIPiprazole 10 mg disintegrating tablet,Each,21.75,2987.35,137.34942528735598,Kaiser Foundation Hospital - San Rafael,2019
23,ARIPiprazole 10 mg tablet,Each,2013.0,196030.04,97.38203676105309,Kaiser Foundation Hospital - San Rafael,2019
24,ARIPiprazole 15 mg disintegrating tablet,Each,14.0,2022.3,144.45,Kaiser Foundation Hospital - San Rafael,2019
25,ARIPiprazole 15 mg tablet,Each,204.0,21832.1,107.02009803921601,Kaiser Foundation Hospital - San Rafael,2019
26,ARIPiprazole 2 mg tablet,Each,584.25,59582.92,101.98189131365,Kaiser Foundation Hospital - San Rafael,2019
27,ARIPiprazole 20 mg tablet,Each,53.0,8205.6,154.822641509434,Kaiser Foundation Hospital - San Rafael,2019
28,ARIPiprazole 30 mg tablet,Each,110.0,17051.8,155.016363636364,Kaiser Foundation Hospital - San Rafael,2019
29,ARIPiprazole 5 mg tablet,Each,6228.5,592486.64,95.12509271895321,Kaiser Foundation Hospital - San Rafael,2019
30,"ARIPiprazole ER 400 mg suspension, extended rel.intramuscular syringe",Each,10.75,72488.85,6743.148837209301,Kaiser Foundation Hospital - San Rafael,2019
31,ASPIRIN DESENSITIZATION 1 MG/ML ORAL SOLUTION,mL,1384.07,1901.25,1.37366607180273,Kaiser Foundation Hospital - San Rafael,2019
32,ATENOLOL 10 MG/ML ORAL SUSP SUGAR FREE,mL,7.0,49.7,7.1,Kaiser Foundation Hospital - San Rafael,2019
33,ATENOLOL 2 MG/ML ORAL SUSP SUGAR FREE,mL,112.5,180.6,1.6053333333333302,Kaiser Foundation Hospital - San Rafael,2019
34,AZATHIOPRINE  25 MG ORAL TAB (PARTIAL TAB),Each,2.0,20.0,10.0,Kaiser Foundation Hospital - San Rafael,2019
35,AZATHIOPRINE 10 MG/ML ORAL SUSP,mL,3.0,48.15,16.05,Kaiser Foundation Hospital - San Rafael,2019
36,AZATHIOPRINE 50 MG/ML ORAL SUSP,mL,4.5,138.6,30.8,Kaiser Foundation Hospital - San Rafael,2019
37,Al hyd-Mg tr-alg ac-sod bicarb 80 mg-14.2 mg chewable tablet,Each,2.0,2.55,1.275,Kaiser Foundation Hospital - San Rafael,2019
38,B-complex with vitamin C capsule,Each,1.0,2.2,2.2,Kaiser Foundation Hospital - San Rafael,2019
39,"B.infantis-B.animalis-B.longum-B.bifidum 10 mg-15 mg tablet,del.releas",Each,2.0,9.5,4.75,Kaiser Foundation Hospital - San Rafael,2019
40,BACLOFEN 5 MG/ML ORAL SUSP,mL,1766.8,14420.4,8.16187457550374,Kaiser Foundation Hospital - San Rafael,2019
41,BALANCE SALT SOLN -EPINEPHRINE (1:1000) 500-0.3 ML EYE SOLN,mL,70.55764,339906.0,4817.42303172272,Kaiser Foundation Hospital - San Rafael,2019
42,BETHANECHOL 1 MG/ML ORAL SUSP,mL,114.4,823.25,7.196241258741258,Kaiser Foundation Hospital - San Rafael,2019
43,BEVACIZUMAB 2.5 MG/0.1 ML INTRAOCULAR INJ,mL,17.3,2552.38,147.53641618497102,Kaiser Foundation Hospital - San Rafael,2019
44,BIOTENE MOUTHWASH,mL,0.03165,5.95,187.99368088467602,Kaiser Foundation Hospital - San Rafael,2019
45,BIOTIN 5 MG/ML ORAL RECON SUSP,mL,22.0,87.9,3.9954545454545496,Kaiser Foundation Hospital - San Rafael,2019
46,BOTULISM IMMUNE GLOBULIN (HUMAN) 100 MG IV RECON SOLN,Each,10.8,1371884.0,127026.296296296,Kaiser Foundation Hospital - San Rafael,2019
47,BUPIVACAINE PF 0.75 %-LIDOCAINE PF 2 % INJ SOLN,mL,4.55555,89.15,19.56953606040981,Kaiser Foundation Hospital - San Rafael,2019
48,Bifidobacterium infantis 4 mg capsule,Each,128.0,666.2,5.2046875,Kaiser Foundation Hospital - San Rafael,2019
49,C1 esterase inhibitor 500 unit (10 mL) intravenous kit,Each,112.896,1003358.05,8887.454382794791,Kaiser Foundation Hospital - San Rafael,2019
50,C1 esterase inhibitor 500 unit (10 mL) intravenous solution,Each,1.344,12396.15,9223.32589285714,Kaiser Foundation Hospital - San Rafael,2019
51,C1 esterase inhibitor 500 unit (5 mL) intravenous solution,Each,24.0,206643.25,8610.13541666667,Kaiser Foundation Hospital - San Rafael,2019
52,CAFFEINE CITRATE 20 MG/ML IV SYRINGE PED,mL,1696.0,61220.85,36.0971992924528,Kaiser Foundation Hospital - San Rafael,2019
53,CALCIUM GLUCONATE 50 MG/ML IN D5W IV SYRINGE PED,mL,905.0,14832.95,16.39,Kaiser Foundation Hospital - San Rafael,2019
54,CAPTOPRIL 1 MG/ML ORAL SUSP,mL,317.324,2294.95,7.2321980058237,Kaiser Foundation Hospital - San Rafael,2019
55,CARBOplatin 10 mg/mL intravenous solution,mL,679.4884599999998,67032.56,98.6515061639163,Kaiser Foundation Hospital - San Rafael,2019
56,CARVEDILOL 0.1 MG/ML ORAL SUSP PED,mL,16.0,486.4,30.4,Kaiser Foundation Hospital - San Rafael,2019
57,CARVEDILOL 1.25 MG/ML ORAL SUSP,mL,1.446,462.45,319.813278008299,Kaiser Foundation Hospital - San Rafael,2019
58,CEFAZOLIN 100 MG/0.5 ML SUBCONJUNCTIVAL INJ,mL,633.57159,7984.1,12.6017329785889,Kaiser Foundation Hospital - San Rafael,2019
59,CEFAZOLIN 50 MG/ML EYE DROPS,mL,2.0,122.5,61.25,Kaiser Foundation Hospital - San Rafael,2019
60,CEFTAZIDIME 2.25 MG/0.1 ML IN STERILE WATER AND 0.9 % SOD CHLOR INTRAVITREAL INJ,mL,12.39997,212.0,17.0968155568118,Kaiser Foundation Hospital - San Rafael,2019
61,CEFTAZIDIME 200 MG/0.5 ML IN STERILE WATER SUBCONJUNCTIVAL INJ,mL,11.0,111.05,10.0954545454545,Kaiser Foundation Hospital - San Rafael,2019
62,CEFTAZIDIME 50 MG/ML EYE DROPS,mL,7.0,287.35,41.05,Kaiser Foundation Hospital - San Rafael,2019
63,CEFTRIAXONE 350 MG/ML IN LIDOCAINE 1% INJ SYRINGE PED,mL,175.0,26769.12,152.9664,Kaiser Foundation Hospital - San Rafael,2019
64,CEFUROXIME IN NORMAL SALINE 1 MG/0.1 ML INJ SOLN,mL,1615.6,159222.38,98.55309482545192,Kaiser Foundation Hospital - San Rafael,2019
65,CIDOFOVIR 1 % TOP CRM,g,1.0,2839.7,2839.7,Kaiser Foundation Hospital - San Rafael,2019
66,CISplatin 1 mg/mL intravenous solution,mL,403.1051,59876.87,148.539103077584,Kaiser Foundation Hospital - San Rafael,2019
67,CLOBETASOL 0.05 % IN DERMAZINC TOP SPRAY,mL,1.0,156.2,156.2,Kaiser Foundation Hospital - San Rafael,2019
68,CLOBETASOL PROPIONATE 0.025 % IN ORABASE TOP OINT,g,1.0,117.2,117.2,Kaiser Foundation Hospital - San Rafael,2019
69,CLONAZEPAM 0.1 MG/ML ORAL SUSP,mL,70.6,1147.1,16.2478753541076,Kaiser Foundation Hospital - San Rafael,2019
70,CLONAZEPAM 0.1 MG/ML ORAL SUSP SUGAR FREE,mL,942.3,14721.45,15.622890799108601,Kaiser Foundation Hospital - San Rafael,2019
71,CLONIDINE 0.1 MG/ML ORAL SUSP,mL,74.788,8106.05,108.387040701717,Kaiser Foundation Hospital - San Rafael,2019
72,CLOPIDOGREL 5 MG/ML ORAL SUSP,mL,218.0,880.75,4.040137614678899,Kaiser Foundation Hospital - San Rafael,2019
73,CLOTRIMAZOLE 1 MG/ML ORAL SUSP,mL,1488.0,6979.1,4.69025537634409,Kaiser Foundation Hospital - San Rafael,2019
74,CYCLOPHOSPHAMIDE 10 MG/ML ORAL SUSP,mL,290.0,4621.95,15.9377586206897,Kaiser Foundation Hospital - San Rafael,2019
75,CYCLOSPORINE 2% EYE DROPS,mL,1.0,1820.1,1820.1,Kaiser Foundation Hospital - San Rafael,2019
