,Revenue Center,CDM Number,CDM Description,Description,UB Revenue Code,CPT/HCPCS,Price,Hospital,Year
0,4450,404000077,GENERAL ANES. 1ST HOUR,GENERAL ANES. 1ST HOUR,370,,2422.91,Kern Medical Center,2019
1,4450,404000078,GENERAL ANESTHESIA ADD 1/2 HOUR,GENERAL ANESTHESIA ADD 1/2 HOUR,370,,1213.69,Kern Medical Center,2019
2,4450,404000079,REGIONAL ANESTHESIA 1ST HOUR,REGIONAL ANESTHESIA 1ST HOUR,370,,558.18,Kern Medical Center,2019
3,4450,404000080,REGIONAL ANESTHESIA ADD 1/2 HOUR,REGIONAL ANESTHESIA ADD 1/2 HOUR,370,,278.3,Kern Medical Center,2019
4,4450,404000081,MAC SEDATION 1ST HOUR,MAC SEDATION 1ST HOUR,370,,558.18,Kern Medical Center,2019
5,4450,404000082,MAC/SEDATION ADD 1/2 HOUR,MAC/SEDATION ADD 1/2 HOUR,370,,278.3,Kern Medical Center,2019
6,4450,404000100,ANESTHESIA SUPPLIES 1ST 15 MIN,ANESTHESIA SUPPLIES 1ST 15 MIN,272,,280.0,Kern Medical Center,2019
7,4450,404000105,ANESTHESIA SUPPLIES ADD'L 15 MIN,ANESTHESIA SUPPLIES ADD 15 MIN,272,,47.0,Kern Medical Center,2019
8,4450,404000110,ANESTHESIA SUPPLIES L&D 1ST 15MIN,ANESTHESIA SUPPLIES L&D 1ST 15MIN,272,,153.0,Kern Medical Center,2019
9,4450,404000120,ANESTHESIA SUPPLIES L&D ADD 15MIN,ANESTHESIA SUPPLIES L&D ADD 15 MI,272,,53.0,Kern Medical Center,2019
10,4450,404000125,CENTRAL LINE,CENTRAL LINE,278,C1751,202.69,Kern Medical Center,2019
11,4450,404000130,ARTERIAL LINE,ARTERIAL LINE,272,,169.63,Kern Medical Center,2019
12,4450,404000135,PA CATHETER,PA CATHETER,272,C1751,363.69,Kern Medical Center,2019
13,4450,404000140,TRIPLE LUMEN CATHETER,TRIPLE LUMEN CATHETER,272,C1751,181.13,Kern Medical Center,2019
14,4450,404000145,EPIDURAL CATHETER,EPIDURAL CATHETER,272,A4300,106.0,Kern Medical Center,2019
15,4450,404000150,FIBEROPTIC PA CATHETER,FIBEROPTIC PA CATHETER,272,C1751,1197.44,Kern Medical Center,2019
16,4450,404000155,TRANSFUSION(PER BAG),TRANSFUSION(PER BAG),272,,47.0,Kern Medical Center,2019
17,4450,404000160,DOUBLE LUMEN ENDOTRACHEAL TUBE,DOUBLE LUMEN ENDOTRACHEAL TUBE,270,,319.0,Kern Medical Center,2019
18,4450,404000165,REINFORCED ENDOTRACHEAL TUBE,REINFORCED ENDOTRACHEAL TUBE,271,,213.0,Kern Medical Center,2019
19,4450,404000170,PATIENT WARMER ANESTHESIA,PATIENT WARMER,370,,73.0,Kern Medical Center,2019
20,4450,404000175,FIBEROPTIC BRONCHOSCOPE USE,FIBEROPTIC BRONCOSCOPE USE,272,,266.0,Kern Medical Center,2019
