,CDM Number,Description,NDC,Price,Hospital,Year
0,417003723,abacavir/lamiVUDine/zidovudine 300 mg-150 mg-300 mg Tab,49702-0217-18,91.65,Kern Medical Center,2019
1,417004569,acamprosate 333 mg DR Tab,00258-4000-60,8.95,Kern Medical Center,2019
2,417002497,acarbose 100 mg Tab,00378-2822-77,7.9,Kern Medical Center,2019
3,417002496,acarbose 50 mg Tab,00054-0141-20,6.5,Kern Medical Center,2019
4,417004481,acebutolol 200 mg Cap,00247-1384-20,8.3,Kern Medical Center,2019
5,471004636,acetaminophen 10 mg/mL IV Soln 100 mL,43825-0102-01,177.5,Kern Medical Center,2019
6,417000048,acetaminophen 120 mg Rectal Supp,00247-0228-03,9.15,Kern Medical Center,2019
7,417000050,acetaminophen 160 mg/5 mL Oral Liquid 20.3 mL,00121-1971-00,10.05,Kern Medical Center,2019
8,417003114,acetaminophen 160 mg/5 mL Oral Liquid 5 mL,00121-0657-00,8.4,Kern Medical Center,2019
9,417001781,acetaminophen 325 mg Rectal Supp,00713-0164-50,5.3,Kern Medical Center,2019
10,417000049,acetaminophen 325 mg Tab,50580-0501-10,5.0,Kern Medical Center,2019
11,417002114,acetaminophen 500 mg Tab,00247-0126-04,6.3,Kern Medical Center,2019
12,417000047,acetaminophen 650 mg Rectal Supp,00713-0165-50,5.55,Kern Medical Center,2019
13,417002149,acetaminophen 80 mg Rectal Supp,51672-2114-02,6.05,Kern Medical Center,2019
14,417004033,acetaminophen-hydrocodone 325 mg-10 mg Tab UD,51079-0779-21,9.5,Kern Medical Center,2019
15,417004529,acetaminophen-HYDROcodone 325 mg-5 mg Tab,00904-6419-61,6.95,Kern Medical Center,2019
16,417004530,acetaminophen-HYDROcodone 325 mg-7.5 mg/15 mL Oral Soln 15 mL,68094-0714-62,20.5,Kern Medical Center,2019
17,417000820,acetaminophen-oxyCODONE 325 mg-5 mg Tab,00054-4650-25,10.85,Kern Medical Center,2019
18,417000052,acetaZOLAMIDE 250 mg Tab,51672-4023-01,16.45,Kern Medical Center,2019
19,417000973,acetaZOLAMIDE 500 mg Inj,39822-0190-01,165.5,Kern Medical Center,2019
20,417004158,ACETAZOLAMIDE SUSP 25MG/ML 120ML,99999-9999-37,7.0,Kern Medical Center,2019
21,417000053,acetic acid 0.25% Irrigation Soln 250 mL,00409-6143-22,25.15,Kern Medical Center,2019
22,417004527,acetic acid Top 3% Sol 473 mL,51552-0051-06,72.0,Kern Medical Center,2019
23,417004535,acetic acid Top 5% Sol 473 mL,51552-0055-06,70.95,Kern Medical Center,2019
24,417000057,acetic acid-aluminum acetate 2%-0.79% Otic Soln 60 mL,24208-0615-77,218.0,Kern Medical Center,2019
25,417003126,acetylcysteine 10% Inh Soln 10 mL,63323-0693-10,60.35,Kern Medical Center,2019
26,417003126,acetylcysteine 10% Inh Soln 4 mL,63323-0695-04,51.15,Kern Medical Center,2019
27,417003125,acetylcysteine 20% Inh Soln 10 mL,00517-7610-03,60.8,Kern Medical Center,2019
28,417001833,acetylcysteine 20% Inh Soln 30 mL,00409-3308-03,49.1,Kern Medical Center,2019
29,417004494,acetylcysteine 20% Inh Soln 4 mL,00517-7604-25,27.2,Kern Medical Center,2019
30,417003807,acetylcysteine 20% IV Soln 30 mL,00574-0815-30,693.0,Kern Medical Center,2019
31,417001417,acyclovir 200 mg Cap,00904-5789-61,9.65,Kern Medical Center,2019
32,417002137,acyclovir 200 mg/5 mL Oral Susp 473 mL,50383-0810-16,25.55,Kern Medical Center,2019
33,417002978,acyclovir 400 mg Tab,50268-0061-15,20.75,Kern Medical Center,2019
34,417003223,acyclovir 5% Topical Oint 15 g,64455-0993-94,604.3,Kern Medical Center,2019
35,417000045,acyclovir 50 mg/mL IV Soln 10 mL,55150-0154-11,80.0,Kern Medical Center,2019
36,417000045,acyclovir 500 mg IV Inj,00173-0995-01,227.5,Kern Medical Center,2019
37,417000045,acyclovir 500 mg/NS 100 mL PEDS,55150-0154-11A,58.0,Kern Medical Center,2019
38,417001272,adenosine 3 mg/mL IV Soln 2 mL,25021-0301-02,45.0,Kern Medical Center,2019
39,417003490,adenosine 3 mg/mL IV Soln 30 mL,17478-0544-30,616.0,Kern Medical Center,2019
40,471004789,ado-trastuzumab emtansine 100 mg IV Inj,50242-0088-01,10001.0,Kern Medical Center,2019
41,471004666,ado-trastuzumab emtansine 160 mg IV Inj,50242-0087-01,16076.0,Kern Medical Center,2019
42,417001189,albumin human 25% IV Soln 100 mL,68516-5216-02,590.0,Kern Medical Center,2019
43,417001188,albumin human 25% IV Soln 50 mL,68516-5216-01,320.0,Kern Medical Center,2019
44,417003330,albumin human 5% IV Soln 250 mL,68516-5214-01,247.0,Kern Medical Center,2019
45,417003464,albuterol 2.5 mg/0.5 mL (0.5%) Inh Soln,00487-9901-30,6.5,Kern Medical Center,2019
46,417001756,albuterol 5 mg/mL (0.5%) Inh Soln 20 mL,50383-0741-20,122.0,Kern Medical Center,2019
