,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,LAK,20000220,ICU GEN,9627.0,Lakewood Regional Medical Center,2019
1,LAK,20000261,CCU GEN,9627.0,Lakewood Regional Medical Center,2019
2,LAK,20000360,ICU OTHER,12625.0,Lakewood Regional Medical Center,2019
3,LAK,20000626,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
4,LAK,20500260,CCU GEN,9627.0,Lakewood Regional Medical Center,2019
5,LAK,20500369,ICU OTHER,12625.0,Lakewood Regional Medical Center,2019
6,LAK,20500625,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
7,LAK,21200027,SEMI-PRIVATE,3255.0,Lakewood Regional Medical Center,2019
8,LAK,21200225,ICU GEN,9627.0,Lakewood Regional Medical Center,2019
9,LAK,21200266,CCU GEN,9627.0,Lakewood Regional Medical Center,2019
10,LAK,21200621,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
11,LAK,21500020,SEMI-PRIVATE,3255.0,Lakewood Regional Medical Center,2019
12,LAK,21500228,ICU GEN,9627.0,Lakewood Regional Medical Center,2019
13,LAK,21500269,CCU GEN,9627.0,Lakewood Regional Medical Center,2019
14,LAK,21500624,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
15,LAK,21600028,SEMI-PRIVATE,3255.0,Lakewood Regional Medical Center,2019
16,LAK,21600226,ICU GEN,9627.0,Lakewood Regional Medical Center,2019
17,LAK,21600622,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
18,LAK,21700026,SEMI-PRIVATE,3255.0,Lakewood Regional Medical Center,2019
19,LAK,21700620,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
20,LAK,21800024,SEMI-PRIVATE,3255.0,Lakewood Regional Medical Center,2019
21,LAK,21800628,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
22,LAK,23000029,SEMI-PRIVATE,3255.0,Lakewood Regional Medical Center,2019
23,LAK,23000623,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
24,LAK,23100027,SEMI-PRIVATE,3255.0,Lakewood Regional Medical Center,2019
25,LAK,23100621,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
26,LAK,23200025,SEMI-PRIVATE,3255.0,Lakewood Regional Medical Center,2019
27,LAK,23200629,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
28,LAK,23500028,SEMI-PRIVATE,3255.0,Lakewood Regional Medical Center,2019
29,LAK,23500622,ICU INTERMED,5821.0,Lakewood Regional Medical Center,2019
30,LAK,30800155,LITHOTRIPSY,14270.52,Lakewood Regional Medical Center,2019
31,LAK,30805907,LITHOTRIPSY,13215.28,Lakewood Regional Medical Center,2019
32,LAK,30830103,SP PROC W/LITHO,14270.52,Lakewood Regional Medical Center,2019
33,LAK,32102329,INJ-PLTRICHPLAS,1626.04,Lakewood Regional Medical Center,2019
34,LAK,32125858,AUD EVK PTL COM,429.48,Lakewood Regional Medical Center,2019
35,LAK,32133183,TEE CONT ASSESS,1611.5,Lakewood Regional Medical Center,2019
36,LAK,32135501,SURG LVI INT30,6378.64,Lakewood Regional Medical Center,2019
37,LAK,32135519,SURG LVI EA 15,3131.94,Lakewood Regional Medical Center,2019
38,LAK,32135527,SURG LVII INT30,6625.71,Lakewood Regional Medical Center,2019
39,LAK,32135535,SURG LVII EA15,3091.13,Lakewood Regional Medical Center,2019
40,LAK,32135543,SURG LVIII IN30,7013.91,Lakewood Regional Medical Center,2019
41,LAK,32135550,SURG LVIII EA15,3277.3,Lakewood Regional Medical Center,2019
42,LAK,32135568,SURG LVIV INT30,7498.46,Lakewood Regional Medical Center,2019
43,LAK,32135576,SURG LVIV EA 15,3528.57,Lakewood Regional Medical Center,2019
44,LAK,32135600,MAKO LVII INT30,6904.28,Lakewood Regional Medical Center,2019
45,LAK,32135618,MAKO LVII EA15,3223.66,Lakewood Regional Medical Center,2019
46,LAK,32135626,MAKO LVIII IN30,7155.28,Lakewood Regional Medical Center,2019
47,LAK,32135634,MAKO LVIII EA15,3354.57,Lakewood Regional Medical Center,2019
48,LAK,32135642,MAKO LVIV INT30,8384.45,Lakewood Regional Medical Center,2019
49,LAK,32135659,MAKO LVIV EA 15,3945.41,Lakewood Regional Medical Center,2019
50,LAK,32135725,DAVN LVII INT30,6904.28,Lakewood Regional Medical Center,2019
51,LAK,32135733,DAVN LVII EA15,3223.66,Lakewood Regional Medical Center,2019
52,LAK,32135741,DAVN LVIII IN30,7013.91,Lakewood Regional Medical Center,2019
53,LAK,32135758,DAVN LVIII EA15,3277.3,Lakewood Regional Medical Center,2019
54,LAK,32135766,DAVN LVIV INT30,7498.46,Lakewood Regional Medical Center,2019
55,LAK,32135774,DAVN LVIV EA 15,3528.57,Lakewood Regional Medical Center,2019
56,LAK,32158602,EMG 1 EXTREMITY,634.12,Lakewood Regional Medical Center,2019
57,LAK,32158610,EMG 2 EXTRMTIES,668.2,Lakewood Regional Medical Center,2019
58,LAK,32158651,EMG LARYNX,668.2,Lakewood Regional Medical Center,2019
59,LAK,32158677,EMG CRAN MUS(S),668.2,Lakewood Regional Medical Center,2019
60,LAK,32158685,EMG CRANIAL BI,811.04,Lakewood Regional Medical Center,2019
61,LAK,32158701,NEURO MUSC TEST,490.69,Lakewood Regional Medical Center,2019
62,LAK,32159253,SENSORY EPU/LMB,771.95,Lakewood Regional Medical Center,2019
63,LAK,32159261,SENSORY EPL/LMB,708.21,Lakewood Regional Medical Center,2019
64,LAK,32159287,CNT M EP T/C UL,781.67,Lakewood Regional Medical Center,2019
65,LAK,32159295,CNT M EP T/C LL,739.11,Lakewood Regional Medical Center,2019
66,LAK,32159303,VIS EVKD POTNL,520.65,Lakewood Regional Medical Center,2019
67,LAK,32159386,SOMATO UPP/LWR,2383.53,Lakewood Regional Medical Center,2019
68,LAK,32159394,EP UPP/LOWER,1034.53,Lakewood Regional Medical Center,2019
69,LAK,32159410,IONM OR 15 MIN,61.5,Lakewood Regional Medical Center,2019
70,LAK,32159550,EEG SURG,209.28,Lakewood Regional Medical Center,2019
71,LAK,32159618,CORT/SUBCRT 1HR,1052.07,Lakewood Regional Medical Center,2019
72,LAK,32159634,CORT/SUBCT ADDL,1052.07,Lakewood Regional Medical Center,2019
73,LAK,32159717,ANALYS GEN PROG,520.65,Lakewood Regional Medical Center,2019
74,LAK,32168916,BLD AUTOSLV,357.49,Lakewood Regional Medical Center,2019
75,LAK,32190225,RBC WASH AUTO,434.73,Lakewood Regional Medical Center,2019
76,LAK,32210007,SPEC PROC INT30,549.1,Lakewood Regional Medical Center,2019
77,LAK,32210155,SPEC PROC EA15M,288.05,Lakewood Regional Medical Center,2019
78,LAK,32229601,CARDVRT ELECTRC,2369.8,Lakewood Regional Medical Center,2019
79,LAK,32235707,RECOVERY INT 30,2130.66,Lakewood Regional Medical Center,2019
80,LAK,32235715,RECOVERY EA 15M,867.71,Lakewood Regional Medical Center,2019
81,LAK,33033184,TEE CONT ASSESS,1611.5,Lakewood Regional Medical Center,2019
82,LAK,33035569,OH SURG INT 30,9546.73,Lakewood Regional Medical Center,2019
83,LAK,33035577,OH SURG EA15MIN,4492.34,Lakewood Regional Medical Center,2019
84,LAK,33068917,BLD AUTO SLV,382.84,Lakewood Regional Medical Center,2019
85,LAK,33090226,RBC WASH AUTO,610.93,Lakewood Regional Medical Center,2019
86,LAK,36007607,IV HYD INT >31M,1234.23,Lakewood Regional Medical Center,2019
87,LAK,36007656,IV TX INIT 1 HR,1234.23,Lakewood Regional Medical Center,2019
88,LAK,36007664,IV INF TX ADD H,307.85,Lakewood Regional Medical Center,2019
89,LAK,36007748,INJ T/P/D IVP,294.45,Lakewood Regional Medical Center,2019
90,LAK,36007755,INJ ADD SEQ IVP,307.85,Lakewood Regional Medical Center,2019
91,LAK,36030005,AMB PROC 1ST 30,792.93,Lakewood Regional Medical Center,2019
92,LAK,36030724,INJ T/P/D SQ/IM,307.85,Lakewood Regional Medical Center,2019
93,LAK,36030757,E&M-NP LVL I,275.21,Lakewood Regional Medical Center,2019
94,LAK,36058576,CHOL INHIB TST,869.55,Lakewood Regional Medical Center,2019
95,LAK,36059905,REFIL/MAINT PMP,890.9,Lakewood Regional Medical Center,2019
96,LAK,36059913,REFIL/MAINT PMP,890.9,Lakewood Regional Medical Center,2019
97,LAK,37035607,ANESTH INT 30M,2340.12,Lakewood Regional Medical Center,2019
98,LAK,37035615,ANESTH EA ADD15,946.24,Lakewood Regional Medical Center,2019
99,LAK,37091527,MOD SED INIT15,321.32,Lakewood Regional Medical Center,2019
100,LAK,37091535,MOD SED ADD15,276.46,Lakewood Regional Medical Center,2019
101,LAK,40000861,DFB AMPLIA,153351.72,Lakewood Regional Medical Center,2019
102,LAK,40000879,DFB AMPLIA,184584.91,Lakewood Regional Medical Center,2019
103,LAK,40000887,DFB AMPLIA,185833.56,Lakewood Regional Medical Center,2019
104,LAK,40000903,DFIB ATLAS+ HF,115761.9,Lakewood Regional Medical Center,2019
