,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,LOM,20000014,PRIVATE,5445.0,Los Alamitos Medical Center,2019
1,LOM,20000022,SEMI-PRIVATE,5127.0,Los Alamitos Medical Center,2019
2,LOM,20000030,WARD GEN 3/4,4708.0,Los Alamitos Medical Center,2019
3,LOM,20000220,ICU GEN,12433.0,Los Alamitos Medical Center,2019
4,LOM,20000253,SEMI-PRIV OTHER,6590.0,Los Alamitos Medical Center,2019
5,LOM,20000261,CCU GEN,12433.0,Los Alamitos Medical Center,2019
6,LOM,20000303,CCU OTHER,15250.0,Los Alamitos Medical Center,2019
7,LOM,20000360,ICU OTHER,15250.0,Los Alamitos Medical Center,2019
8,LOM,20000857,PRIV OTHER,7059.0,Los Alamitos Medical Center,2019
9,LOM,21200019,PRIVATE,5445.0,Los Alamitos Medical Center,2019
10,LOM,21200027,SEMI-PRIVATE,5127.0,Los Alamitos Medical Center,2019
11,LOM,21200035,WARD GEN 3/4,4708.0,Los Alamitos Medical Center,2019
12,LOM,21200225,ICU GEN,12433.0,Los Alamitos Medical Center,2019
13,LOM,21200258,SEMI-PRIV OTHER,6590.0,Los Alamitos Medical Center,2019
14,LOM,21200266,CCU GEN,12433.0,Los Alamitos Medical Center,2019
15,LOM,21200308,CCU OTHER,15250.0,Los Alamitos Medical Center,2019
16,LOM,21200365,ICU OTHER,15250.0,Los Alamitos Medical Center,2019
17,LOM,21200373,WARD OTHER,5548.0,Los Alamitos Medical Center,2019
18,LOM,21200431,PRIV O B,3452.0,Los Alamitos Medical Center,2019
19,LOM,21200449,SEMI-PRIV O B,2992.0,Los Alamitos Medical Center,2019
20,LOM,23200017,PRIVATE,5445.0,Los Alamitos Medical Center,2019
21,LOM,23200025,SEMI-PRIVATE,5127.0,Los Alamitos Medical Center,2019
22,LOM,23200033,WARD GEN 3/4,4708.0,Los Alamitos Medical Center,2019
23,LOM,23200058,PRIV ISOLATION,5445.0,Los Alamitos Medical Center,2019
24,LOM,23200256,SEMI-PRIV OTHER,6590.0,Los Alamitos Medical Center,2019
25,LOM,23200306,CCU OTHER,15250.0,Los Alamitos Medical Center,2019
26,LOM,23200371,WARD OTHER,5548.0,Los Alamitos Medical Center,2019
27,LOM,23200611,ISOLATN STERILE,5445.0,Los Alamitos Medical Center,2019
28,LOM,23200850,PRIV OTHER,7059.0,Los Alamitos Medical Center,2019
29,LOM,23300015,PRIVATE,5445.0,Los Alamitos Medical Center,2019
30,LOM,23300023,SEMI-PRIVATE,5127.0,Los Alamitos Medical Center,2019
31,LOM,23300031,WARD GEN 3/4,4708.0,Los Alamitos Medical Center,2019
32,LOM,23300254,SEMI-PRIV OTHER,6590.0,Los Alamitos Medical Center,2019
33,LOM,23300304,CCU OTHER,15250.0,Los Alamitos Medical Center,2019
34,LOM,23300379,WARD OTHER,5548.0,Los Alamitos Medical Center,2019
35,LOM,23300858,PRIV OTHER,7059.0,Los Alamitos Medical Center,2019
36,LOM,23400013,PRIVATE,5445.0,Los Alamitos Medical Center,2019
37,LOM,23400021,SEMI-PRIVATE,5127.0,Los Alamitos Medical Center,2019
38,LOM,23400039,WARD GEN 3/4,4708.0,Los Alamitos Medical Center,2019
39,LOM,23400054,PRIV ISOLATION,5445.0,Los Alamitos Medical Center,2019
40,LOM,23400252,SEMI-PRIV OTHER,6590.0,Los Alamitos Medical Center,2019
41,LOM,23400302,CCU OTHER,15250.0,Los Alamitos Medical Center,2019
42,LOM,23400377,WARD OTHER,5548.0,Los Alamitos Medical Center,2019
43,LOM,23400617,ISOLATN STERILE,5445.0,Los Alamitos Medical Center,2019
44,LOM,23400856,PRIV OTHER,7059.0,Los Alamitos Medical Center,2019
45,LOM,23500010,PRIVATE,5445.0,Los Alamitos Medical Center,2019
46,LOM,23500028,SEMI-PRIVATE,5127.0,Los Alamitos Medical Center,2019
47,LOM,23500036,WARD GEN 3/4,4708.0,Los Alamitos Medical Center,2019
48,LOM,23500259,SEMI-PRIV OTHER,6590.0,Los Alamitos Medical Center,2019
49,LOM,23500374,WARD OTHER,5548.0,Los Alamitos Medical Center,2019
50,LOM,23500614,ISOLATN STERILE,5445.0,Los Alamitos Medical Center,2019
51,LOM,23500853,PRIV OTHER,7059.0,Los Alamitos Medical Center,2019
52,LOM,24500043,PSYCH ISOLATION,5445.0,Los Alamitos Medical Center,2019
53,LOM,24500399,SEMI-PRIV PSYCH,5127.0,Los Alamitos Medical Center,2019
54,LOM,24500530,WARD PSYCH 3/4,4708.0,Los Alamitos Medical Center,2019
55,LOM,25000019,PRIVATE,5445.0,Los Alamitos Medical Center,2019
56,LOM,25000027,SEMI-PRIVATE,5127.0,Los Alamitos Medical Center,2019
57,LOM,25000431,PRIV O B,3452.0,Los Alamitos Medical Center,2019
58,LOM,25000449,SEMI-PRIV O B,2992.0,Los Alamitos Medical Center,2019
59,LOM,25500109,NEWBORN LVL I,2377.0,Los Alamitos Medical Center,2019
60,LOM,25500117,NEWBORN OTHER,2761.0,Los Alamitos Medical Center,2019
61,LOM,30700215,FNA BX W/O IMG ,687.55,Los Alamitos Medical Center,2019
62,LOM,30700421,E&M-NP LVL I,203.94,Los Alamitos Medical Center,2019
63,LOM,30700603,I&D ABSC SMPL/S,569.83,Los Alamitos Medical Center,2019
64,LOM,30701601,ASP ABS/CYST,807.98,Los Alamitos Medical Center,2019
65,LOM,30710032,BX BRST NDL UNG,1935.97,Los Alamitos Medical Center,2019
66,LOM,30792022,E&M-NP LVL II,337.98,Los Alamitos Medical Center,2019
67,LOM,30792030,E&M-NP LVL III,370.44,Los Alamitos Medical Center,2019
68,LOM,30792048,E&M-NP LVL IV,451.08,Los Alamitos Medical Center,2019
69,LOM,30792055,E&M-NP LVL V,503.33,Los Alamitos Medical Center,2019
70,LOM,30792113,E&M-EP LVL I,177.34,Los Alamitos Medical Center,2019
71,LOM,30792121,E&M-EP LVL II,287.57,Los Alamitos Medical Center,2019
72,LOM,30792139,E&M-EP LVL III,368.71,Los Alamitos Medical Center,2019
73,LOM,30792147,E&M-EP LVL IV,448.49,Los Alamitos Medical Center,2019
74,LOM,30792154,E&M-EP LVL V,445.54,Los Alamitos Medical Center,2019
75,LOM,30800155,LITHOTRIPSY,18587.6,Los Alamitos Medical Center,2019
76,LOM,30805907,LITHOTRIPSY,18758.12,Los Alamitos Medical Center,2019
77,LOM,30830103,SP PROC W/LITHO,9730.49,Los Alamitos Medical Center,2019
78,LOM,31000086,FLU VACC ADMIN ,209.85,Los Alamitos Medical Center,2019
79,LOM,31001761,NON-STRESS TEST,1172.73,Los Alamitos Medical Center,2019
80,LOM,31004716,ADM SNGL VACC,209.85,Los Alamitos Medical Center,2019
