,PROC_CODE,Description,Price,PATIENT_PRICE,Hospital,Year
0,2512330,PRASUGREL 10 MG TABLET,657.95,657.95,Marshall Medical Center,2019
1,2751017,INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,658.321,658.321,Marshall Medical Center,2019
2,2762301,PEMETREXED 500 MG INTRAVENOUS SOLUTION,18232.826,18232.826,Marshall Medical Center,2019
3,2764001,PEMETREXED 100 MG INTRAVENOUS SOLUTION,3646.5759999999996,3646.5759999999996,Marshall Medical Center,2019
4,2821517,INSULIN U-100 REGULAR HUMAN 100 UNIT/ML INJECTION SOLUTION,209.94,209.94,Marshall Medical Center,2019
5,2831517,INSULIN NPH ISOPHANE U-100 HUMAN 100 UNIT/ML SUBCUTANEOUS SUSPENSION,209.94,209.94,Marshall Medical Center,2019
6,2871501,INSULIN HUMAN U-100 NPH-REGULR 70-30 MIX 100 UNIT/ML SUBCUTANEOUS SUSP,651.096,651.096,Marshall Medical Center,2019
7,3029305,TRIAMCINOLONE ACETONIDE 40 MG/ML SUSPENSION FOR INJECTION,351.69599999999997,351.69599999999997,Marshall Medical Center,2019
8,3089321,APIXABAN 2.5 MG TABLET,100.15299999999999,100.15299999999999,Marshall Medical Center,2019
9,3089431,APIXABAN 5 MG TABLET,100.15299999999999,100.15299999999999,Marshall Medical Center,2019
10,3218713,ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION,5860.646,5860.646,Marshall Medical Center,2019
11,3229111,ELOTUZUMAB 300 MG INTRAVENOUS SOLUTION,9770.309000000001,9770.309000000001,Marshall Medical Center,2019
12,3232711,IPILIMUMAB 50 MG/10 ML (5 MG/ML) INTRAVENOUS SOLUTION,38306.934,38306.934,Marshall Medical Center,2019
13,3256016,AZTREONAM 1 GRAM SOLUTION FOR INJECTION,1137.44,1137.44,Marshall Medical Center,2019
14,3257016,AZTREONAM 2 GRAM SOLUTION FOR INJECTION,2095.879,2095.879,Marshall Medical Center,2019
15,3373413,NIVOLUMAB 240 MG/24 ML INTRAVENOUS SOLUTION,251216.241,251216.241,Marshall Medical Center,2019
16,3377211,NIVOLUMAB 40 MG/4 ML INTRAVENOUS SOLUTION,5600.638000000001,5600.638000000001,Marshall Medical Center,2019
17,3377412,NIVOLUMAB 100 MG/10 ML INTRAVENOUS SOLUTION,14211.673999999999,14211.673999999999,Marshall Medical Center,2019
18,3452211,ELOTUZUMAB 400 MG INTRAVENOUS SOLUTION,13027.079,13027.079,Marshall Medical Center,2019
19,4003909,VALGANCICLOVIR 50 MG/ML ORAL SOLUTION,40191.776,40191.776,Marshall Medical Center,2019
20,4029830,MYCOPHENOLATE 500 MG INTRAVENOUS SOLUTION,4055.2740000000003,4055.2740000000003,Marshall Medical Center,2019
21,4080085,OSELTAMIVIR 75 MG CAPSULE,653.151,653.151,Marshall Medical Center,2019
22,4082205,OSELTAMIVIR 6 MG/ML ORAL SUSPENSION,6532.874,6532.874,Marshall Medical Center,2019
23,5197105,PNEUMOCOCCAL 13-VAL CONJ VACCINE-DIP CRM (PF) 0.5 ML IM SYRINGE,7322.526,7322.526,Marshall Medical Center,2019
24,5434462,MULTIVIT AND MINERALS-FERROUS GLUCONATE 9 MG IRON/15 ML ORAL LIQUID,366.778,366.778,Marshall Medical Center,2019
25,6011231,SITAGLIPTIN 50 MG TABLET,19.666,19.666,Marshall Medical Center,2019
26,6022761,RALTEGRAVIR 400 MG TABLET,1114.182,1114.182,Marshall Medical Center,2019
27,6046401,APREPITANT 40 MG CAPSULE,5073.81,5073.81,Marshall Medical Center,2019
28,6382210,CASPOFUNGIN 50 MG INTRAVENOUS SOLUTION,12860.386999999999,12860.386999999999,Marshall Medical Center,2019
29,6382310,CASPOFUNGIN 70 MG INTRAVENOUS SOLUTION,13354.996000000001,13354.996000000001,Marshall Medical Center,2019
30,6384371,ERTAPENEM 1 GRAM SOLUTION FOR INJECTION,5010.877,5010.877,Marshall Medical Center,2019
31,6391668,CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,1.531,1.531,Marshall Medical Center,2019
32,6394132,FOSAPREPITANT 150 MG INTRAVENOUS SOLUTION,11658.237,11658.237,Marshall Medical Center,2019
33,6468101,"MEASLES,MUMPS,RUBELLA VACCINE LIVE(PF)1,000-12,500TCID50/0.5 ML SUBCUT",2686.8559999999998,2686.8559999999998,Marshall Medical Center,2019
34,6482700,"VARICELLA VIRUS VACCINE LIVE (PF) 1,350 UNIT/0.5 ML SUBCUTANEOUS SUSP",5110.279,5110.279,Marshall Medical Center,2019
35,6483701,PNEUMOCOCCAL 23 POLYVALENT VACCINE 25 MCG/0.5 ML INJECTION SYRINGE,3724.9759999999997,3724.9759999999997,Marshall Medical Center,2019
36,6542302,SUGAMMADEX 100 MG/ML INTRAVENOUS SOLUTION,3745.7740000000003,3745.7740000000003,Marshall Medical Center,2019
37,6542312,SUGAMMADEX 100 MG/ML INTRAVENOUS SOLUTION,3745.7740000000003,3745.7740000000003,Marshall Medical Center,2019
38,6542402,"ANTIVENIN LATRODECTUS MACTANS 6,000 UNIT SOLUTION FOR INJECTION",1106.184,1106.184,Marshall Medical Center,2019
39,7440701,ARGATROBAN 100 MG/ML INTRAVENOUS SOLUTION,49682.99400000001,49682.99400000001,Marshall Medical Center,2019
40,8084402,PANTOPRAZOLE DR 40 MG GRANULES DELAYED-RELEASE FOR SUSP IN PACKET,647.8480000000002,647.8480000000002,Marshall Medical Center,2019
41,8092351,PANTOPRAZOLE 40 MG INTRAVENOUS SOLUTION,138.0,138.0,Marshall Medical Center,2019
42,8200101,PANTOPRAZOLE 40 MG INTRAVENOUS SOLUTION,138.0,138.0,Marshall Medical Center,2019
43,9000501,"HYDROCORTISONE SOD SUCCINATE (PF) 1,000 MG/8 ML SOLUTION FOR INJECTION",3722.54,3722.54,Marshall Medical Center,2019
44,9001103,HYDROCORTISONE SOD SUCCINATE (PF) 100 MG/2 ML SOLUTION FOR INJECTION,495.00800000000004,495.00800000000004,Marshall Medical Center,2019
45,9001305,HYDROCORTISONE SOD SUCCINATE (PF) 250 MG/2 ML SOLUTION FOR INJECTION,923.35,923.35,Marshall Medical Center,2019
46,9001612,HYDROCORTISONE SOD SUCCINATE (PF) 500 MG/4 ML SOLUTION FOR INJECTION,1856.68,1856.68,Marshall Medical Center,2019
47,9003930,METHYLPREDNISOLONE SOD SUCC (PF) 40 MG/ML SOLUTION FOR INJECTION,182.91400000000002,182.91400000000002,Marshall Medical Center,2019
48,9004725,METHYLPREDNISOLONE SOD SUCC (PF) 125 MG/2 ML SOLUTION FOR INJECTION,291.057,291.057,Marshall Medical Center,2019
49,9023344,"BACITRACIN 50,000 UNIT INTRAMUSCULAR SOLUTION",371.01599999999996,371.01599999999996,Marshall Medical Center,2019
50,9027101,ESTRADIOL CYPIONATE 5 MG/ML INTRAMUSCULAR OIL,3944.895,3944.895,Marshall Medical Center,2019
51,9041701,TESTOSTERONE CYPIONATE 200 MG/ML INTRAMUSCULAR OIL,356.885,356.885,Marshall Medical Center,2019
52,9069801,"METHYLPREDNISOLONE SODIUM SUCCINATE 1,000 MG INTRAVENOUS SOLUTION",1273.448,1273.448,Marshall Medical Center,2019
53,9075801,METHYLPREDNISOLONE SODIUM SUCCINATE 500 MG INTRAVENOUS SOLUTION,816.7639999999999,816.7639999999999,Marshall Medical Center,2019
54,9077520,CLINDAMYCIN 150 MG/ML INJECTION SOLUTION,302.0,302.0,Marshall Medical Center,2019
