,PROC_CODE,Description,CPT_CODE,INPAT_FEE,OUTPAT_FEE,Hospital,Year
0,121000002,HC FULL DAY R&B,121000002,4389.0,4389.0,Marshall Medical Center,2019
1,121000006,HC FULL DAY W/TELE R&B,121000006,4875.97,4875.97,Marshall Medical Center,2019
2,122000001,HC OB SEMI PRIVATE R&B,122000001,4389.0,4389.0,Marshall Medical Center,2019
3,171000001,HC NEWBORN LVL 1,171000001,3730.65,3730.65,Marshall Medical Center,2019
4,172000001,HC NEWBORN LVL 2,172000001,5149.76,5149.76,Marshall Medical Center,2019
5,173000001,HC NEWBORN LVL 3,173000001,5528.05,5528.05,Marshall Medical Center,2019
6,191000001,HC RM & CARE TCC LEVEL I,191000001,2643.85,2643.85,Marshall Medical Center,2019
7,192000001,HC RM & CARE TCC LEVEL II,192000001,2643.85,2643.85,Marshall Medical Center,2019
8,193000001,HC RM & CARE TCC LEVEL III,193000001,2643.85,2643.85,Marshall Medical Center,2019
9,194000001,HC RM & CARE TCC LEVEL IV,194000001,2643.85,2643.85,Marshall Medical Center,2019
10,202000001,HC MEDICAL ICU R&B,202000001,9597.28,9597.28,Marshall Medical Center,2019
11,230000004,HC PICC INITIAL HOUR,230000004,2279.15,2279.15,Marshall Medical Center,2019
12,230000005,HC PICC  - ADDITIONAL 1/4 HOUR,230000005,572.66,572.66,Marshall Medical Center,2019
13,232000001,HC POSTPARTUM CRITICAL,232000001,4100.58,2733.72,Marshall Medical Center,2019
14,232000002,HC POSTPARTUM INTENSIVE,232000002,1988.64,1326.11,Marshall Medical Center,2019
15,250000236,HC SEVOFLURANE,250000236,228.86,228.86,Marshall Medical Center,2019
16,250000237,HC DESFLURANE PER 15 MIN,250000237,228.86,228.86,Marshall Medical Center,2019
17,250000240,HC CARD REHAB POLAR HR MONITOR,250000240,60.61,60.61,Marshall Medical Center,2019
18,260000002,"HC IV INFUSION, HYDRATION, 31-60 MIN",96360,470.25,470.25,Marshall Medical Center,2019
19,260000003,"HC IV INFUSION, HYDRATION, EA ADD HOUR",96361,45.98,45.98,Marshall Medical Center,2019
20,260000004,"HC IV INFUSION, THERAP/PROPH/DIAGNOST,INTL,1ST HOUR",96365,668.8,668.8,Marshall Medical Center,2019
21,260000005,"HC IV INFUSION, THERAP/PROPH/DIAGNOST,INTL,EA ADD HOUR",96366,501.6,501.6,Marshall Medical Center,2019
22,260000006,HC IV INFUSION THER PROPH ADDL SEQUENTIAL TO 1 HR,96367,61.66,61.66,Marshall Medical Center,2019
23,260000007,"HC IV INFUSION, THERAP/PROPH/DIAGNOST,CONCURRENT INFUSION",96368,45.98,45.98,Marshall Medical Center,2019
24,260000011,"HC INJ,THERAP/PROPH/DIAGNOST, IV PUSH, SNGL /INTL",96374,468.16,468.16,Marshall Medical Center,2019
25,260000012,"HC INJECTION,THERAP/PROPH/DIAGNOST, IV PUSH, EA ADD, NEW DRG",96375,61.66,61.66,Marshall Medical Center,2019
26,260000013,"HC INJECTION,THERAP/PROPH/DIAGNOST, IV PUSH, EA ADD, SAME DRG",96376,201.69,201.69,Marshall Medical Center,2019
27,260000015,HC THER/PROPH/DIAG INJ SC/IM,96372,248.71,248.71,Marshall Medical Center,2019
28,260000018,"HC INJECTION,THERAP/PROPH/DIAGNOST, INTRA-ARTERIAL",96373,470.25,470.25,Marshall Medical Center,2019
29,269000002,HC SPECIAL MEDICATION  INJECTION,269000002,611.0,638.5,Marshall Medical Center,2019
30,270000305,HC OXYGEN DAILY SUPPLY,270000305,1364.77,1364.77,Marshall Medical Center,2019
31,270000306,HC OXYGEN ADMIN ER PER VISIT,270000306,493.24,493.24,Marshall Medical Center,2019
32,270000307,HC OXYGEN ADMIN OBSRVTN PER EPISODE,270000307,454.58,454.58,Marshall Medical Center,2019
33,270000308,HC OXYGEN SURGICAL/OB PER PROCEDURE,270000308,230.95,230.95,Marshall Medical Center,2019
34,270000309,HC MT NEPHROS CATH KIT 12F,C1729,3469.66,3469.66,Marshall Medical Center,2019
35,270000310,HC BOOT 7355  HEEL PROTECTOR W/WEDGE,270000310,534.3,534.3,Marshall Medical Center,2019
36,270000311,HC PHILADELPHIA COLLAR LARGE,270000311,268.04,268.04,Marshall Medical Center,2019
37,270000312,"HC COLLAR 79-83510 CERVICAL UNIV 4 X 24""",270000312,38.27,38.27,Marshall Medical Center,2019
38,270000313,"HC COLLAR 79-83520 CERVICAL UNIV 2.5"" X 24",270000313,54.35,54.35,Marshall Medical Center,2019
39,270000314,"HC BANDAGE, ELASTIC 2""",270000314,16.72,16.72,Marshall Medical Center,2019
40,270000315,"HC BANDAGE, ELASTIC 3""",270000315,16.72,16.72,Marshall Medical Center,2019
41,270000316,HC SUPPORTER ADULT SMALL A-3,270000316,82.94,82.94,Marshall Medical Center,2019
42,270000322,HC WEBRIL PADDING 4152 3 X 4 UNDERCASTING,270000322,151.62,151.62,Marshall Medical Center,2019
43,270000323,HC PLASTER 3X3 EXTRA FAST DRYING,270000323,16.72,16.72,Marshall Medical Center,2019
44,270000324,HC PLASTER 4X5 EXTRA FAST DRYING,270000324,22.49,22.49,Marshall Medical Center,2019
45,270000325,HC WEBRIL 4221 4 X 4 UNDERCASTING,270000325,189.4,189.4,Marshall Medical Center,2019
46,270000326,HC PLASTER 7368 6 X5 XTRA FAST DRYING,270000326,31.45,31.45,Marshall Medical Center,2019
47,270000327,"HC BIAS 6""",270000327,38.42,38.42,Marshall Medical Center,2019
48,270000328,"HC BIAS 4""",270000328,32.11,32.11,Marshall Medical Center,2019
49,270000329,"HC PLASTER 5""  EXTRA FAST DRYING",270000329,16.72,16.72,Marshall Medical Center,2019
50,270000330,"HC BIAS 3""  ROLLED",270000330,28.0,28.0,Marshall Medical Center,2019
51,270000331,HC PLASTER 2 X 3 XTRA FAST DRYING,270000331,16.72,16.72,Marshall Medical Center,2019
52,270000332,"HC BANDAGE, ELASTIC 4""",270000332,16.72,16.72,Marshall Medical Center,2019
53,270000333,"HC BANDAGE, ELASTIC 6""",270000333,21.17,21.17,Marshall Medical Center,2019
54,270000367,HC DRESSING - VASELINE GAUZE 1X8,A6222,16.72,16.72,Marshall Medical Center,2019
55,270000512,HC PROC LITHOTRIPSY MACHINE UN/BIL-RERX,270000512,12486.71,12486.71,Marshall Medical Center,2019
56,270000514,HC LASER STANDBY,270000514,517.28,517.28,Marshall Medical Center,2019
57,270000516,HC PLASTER 7390 3 X 15 XTRA FAST DRYING,270000516,16.72,16.72,Marshall Medical Center,2019
58,270000517,HC PLASTER 7391 4 X 15 XTRA FAST DRYING,270000517,16.72,16.72,Marshall Medical Center,2019
59,270000518,HC PLASTER 7396 5 X 45 SPLINT FAST DRYING,270000518,16.72,16.72,Marshall Medical Center,2019
60,270000519,HC PADDING 4519 6 X 4 WEBRIL UNDERCAST,270000519,143.35,143.35,Marshall Medical Center,2019
61,270000520,"HC NEEDLE, SPINAL 22 X 3 1\2",270000520,29.63,29.63,Marshall Medical Center,2019
62,270000521,"HC NEEDLE, SPINAL 25X3-1\2",270000521,26.94,26.94,Marshall Medical Center,2019
63,270000523,"HC BANDAGE, TRIANGULAR",270000523,16.72,16.72,Marshall Medical Center,2019
64,270000524,HC DRESSING TRACH 4X4 FENESTRATED,270000524,16.72,16.72,Marshall Medical Center,2019
65,270000525,HC SUPPORTER ADULT LARGE A-3,270000525,82.94,82.94,Marshall Medical Center,2019
66,270000526,HC COBAN 4 X 5 STERILE,270000526,41.32,41.32,Marshall Medical Center,2019
67,270000529,HC IP EXERCISE SPIROMETRY,270000529,398.15,398.15,Marshall Medical Center,2019
68,271000062,HC PROTECTOR 6218 HEEL MED PRO-HEELX,271000062,470.42,470.42,Marshall Medical Center,2019
69,271000063,HC PTQM2 PEG ASST INSERT SOFT TOE MED,L3030,203.42,203.42,Marshall Medical Center,2019
70,271000064,HC PTQM3 PEG ASST INSERT SOFT TOE LRG,L3030,203.42,203.42,Marshall Medical Center,2019
71,271000065,HC PTQM4 PEG ASST INSERT SFT TOE XLG,L3030,203.42,203.42,Marshall Medical Center,2019
72,271000066,HC STRAP 3015-14 LARGE CLAVICLE,271000066,126.82,126.82,Marshall Medical Center,2019
73,271000067,HC STRAP 3015-12 SMALL CLAVICLE,271000067,158.33,158.33,Marshall Medical Center,2019
74,271000068,HC STRAP 3015-13 MEDIUM CLAVICLE,271000068,149.06,149.06,Marshall Medical Center,2019
75,271000069,HC PHILADELPHIA COLLAR MEDIUM,271000069,268.04,268.04,Marshall Medical Center,2019
76,271000070,HC PHILADELPHIA COLLAR SMALL,271000070,268.04,268.04,Marshall Medical Center,2019
77,271000071,HC COLLAR CX-900 PEDI SELECT STIFNECK,271000071,133.28,133.28,Marshall Medical Center,2019
78,271000072,HC COLLAR CX-325 ADULT NO NECK,271000072,122.11,122.11,Marshall Medical Center,2019
79,271000073,HC COLLAR CX-200 BABY NO NECK STIFNECK,271000073,122.11,122.11,Marshall Medical Center,2019
80,271000088,HC STRAP 153XS-X-SMALL CLAVICLE,271000088,114.09,114.09,Marshall Medical Center,2019
81,271000089,HC BOOT 503FW SMALL WAFFLE,271000089,491.12,491.12,Marshall Medical Center,2019
82,271000090,HC BOOT 504FW MEDIUM WAFFLE,271000090,491.12,491.12,Marshall Medical Center,2019
83,271000091,HC BOOT 505FW LARGE WAFFLE,271000091,491.12,491.12,Marshall Medical Center,2019
84,271000092,HC SHOE 1529290 POST-OP BLK MED MEN 8.8-10,271000092,124.94,124.94,Marshall Medical Center,2019
85,271000093,HC SHOE 1527145 POST-OP BLK LRG MEN 10.5 RK,271000093,124.94,124.94,Marshall Medical Center,2019
86,271000094,"HC TCC-EZ 3"" W/NO BOOT SYS TCC23051",271000094,8648.04,8648.04,Marshall Medical Center,2019
87,271000095,"HC TCC-EZ 4"" W/NO BOOT SYS TCC24051",271000095,8648.04,8648.04,Marshall Medical Center,2019
88,271000096,HC SHOE 1524212 POST-OP BLK XL MEN 12.5-14,271000096,124.94,124.94,Marshall Medical Center,2019
89,271000099,HC CANNULA 6DIC SHILEY #6 INNER,A4623,57.32,57.32,Marshall Medical Center,2019
90,271000100,HC CANNULA 8DIC SHILEY #8 INNER,A4623,57.39,57.39,Marshall Medical Center,2019
91,271000101,HC CANNULA INNER SHILEY 8.0 XLT TUBE,A4623,76.84,76.84,Marshall Medical Center,2019
92,271000102,HC SLEEVE MED VP501MG CALF  SCD COMPRESS,271000102,151.39,151.39,Marshall Medical Center,2019
93,271000103,HC DRESSING SPANDAGE SIZE 11/FOOT,271000103,318.08,318.08,Marshall Medical Center,2019
94,271000104,HC SLEEVE XL VP501BG CALF BARIATRIC SCD GRN,271000104,283.54,283.54,Marshall Medical Center,2019
95,271000105,HC SLEEVE LRG VP501LG CALF  SCD COMPRESS,271000105,166.75,166.75,Marshall Medical Center,2019
96,271000106,HC SHOE 79-81145 MEDIUM WOMENS POST OP,271000106,53.32,53.32,Marshall Medical Center,2019
97,271000107,HC SHOE 79-81143 SMALL WOMENS POST OP,271000107,56.82,56.82,Marshall Medical Center,2019
98,271000108,HC SHOE 79-81137 LARGE MENS POST OP,271000108,53.32,53.32,Marshall Medical Center,2019
99,271000109,HC SHOE 79-81138 X LARGE MENS POST OP,270000109,66.92,66.92,Marshall Medical Center,2019
