,EAP,Description,Rev Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,4947.0,4947.0,Memorial Hospital - Los Banos,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,3805.0,3805.0,Memorial Hospital - Los Banos,2019
2,10000004,HCHG ROOM OB/MATERNAL,122,3907.0,3907.0,Memorial Hospital - Los Banos,2019
3,10000008,HCHG NEWBORN BOARDER BABY,171,1964.0,1964.0,Memorial Hospital - Los Banos,2019
4,10000009,HCHG NEWBORN LEVEL I,171,1511.0,1511.0,Memorial Hospital - Los Banos,2019
5,10000010,HCHG NEWBORN LEVEL II,172,5858.0,5858.0,Memorial Hospital - Los Banos,2019
6,10000011,HCHG NEWBORN LEVEL III,173,8201.0,8201.0,Memorial Hospital - Los Banos,2019
7,10000012,HCHG NEWBORN LEVEL IV,174,9959.0,9959.0,Memorial Hospital - Los Banos,2019
8,10000016,HCHG ROOM ICU,200,11091.0,11091.0,Memorial Hospital - Los Banos,2019
9,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Memorial Hospital - Los Banos,2019
10,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Memorial Hospital - Los Banos,2019
11,10100005,HCHG OBS PER HOUR,762,305.0,305.0,Memorial Hospital - Los Banos,2019
12,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Memorial Hospital - Los Banos,2019
13,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Memorial Hospital - Los Banos,2019
14,10100047,HCHG OBS THORACENTESIS W/IMAG,760,2478.0,2478.0,Memorial Hospital - Los Banos,2019
15,10100048,HCHG OBS THORACENTESIS WO IMAG,760,1965.0,1965.0,Memorial Hospital - Los Banos,2019
16,10100073,HCHG OBS INSERT PICC >=5 YR WO PORT WO IMAGE GUIDANC,760,3136.0,3136.0,Memorial Hospital - Los Banos,2019
17,10100075,HCHG OBS INSERT PICC >=5 YR WO PORT W IMAGE GUIDANCE,760,3991.0,3991.0,Memorial Hospital - Los Banos,2019
18,17000059,HCHG PT MCAL SINGLE PROCURE INITIAL 30 MIN,420,488.0,488.0,Memorial Hospital - Los Banos,2019
19,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,409.0,409.0,Memorial Hospital - Los Banos,2019
20,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,204.0,204.0,Memorial Hospital - Los Banos,2019
21,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,363.0,363.0,Memorial Hospital - Los Banos,2019
22,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,224.0,224.0,Memorial Hospital - Los Banos,2019
23,17000115,HCHG PT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,420,129.0,129.0,Memorial Hospital - Los Banos,2019
24,17000118,HCHG PT ULTRASOUND EA 15 MIN,420,125.0,125.0,Memorial Hospital - Los Banos,2019
25,17000119,HCHG PT THERAPEUTIC EXERCISE EA 15 MIN,420,211.0,176.0,Memorial Hospital - Los Banos,2019
26,17000120,HCHG PT NEUROMUSCULAR REEDUCATION EA 15 MIN,420,218.0,218.0,Memorial Hospital - Los Banos,2019
27,17000122,HCHG PT GAIT TRAINING EA 15 MIN,420,189.0,189.0,Memorial Hospital - Los Banos,2019
28,17000123,HCHG PT THERAPEUTIC MASSAGE EA 15 MIN,420,151.0,151.0,Memorial Hospital - Los Banos,2019
29,17000124,HCHG PT MANUAL THERAPY EA 15 MIN,420,191.0,162.0,Memorial Hospital - Los Banos,2019
30,17000126,HCHG PT THERAPEUTIC ACTIVITY EA 15 MIN,420,204.0,204.0,Memorial Hospital - Los Banos,2019
31,17000129,HCHG PT ADL TRAINING EA 15 MIN,420,197.0,197.0,Memorial Hospital - Los Banos,2019
32,17000141,HCHG PT ORTHOTIC TRAINING INITIAL EA 15 MIN,420,158.0,158.0,Memorial Hospital - Los Banos,2019
33,17000142,HCHG PT PROSTHETIC TRAINING INITIAL EA 15 MIN,420,231.0,231.0,Memorial Hospital - Los Banos,2019
34,17000568,HCHG PT EVAL LOW COMPLEXITY,424,317.0,317.0,Memorial Hospital - Los Banos,2019
35,17000571,HCHG PT RE-EVAL ESTABLISHED PLAN CARE,424,235.0,235.0,Memorial Hospital - Los Banos,2019
36,17000572,HCHG OT EVAL LOW COMPLEXITY,434,350.0,350.0,Memorial Hospital - Los Banos,2019
37,17000575,HCHG OT RE-EVAL ESTABLISHED PLAN CARE,434,276.0,276.0,Memorial Hospital - Los Banos,2019
38,17000608,HCHG PT EVAL MOD COMPLEXITY,424,363.0,363.0,Memorial Hospital - Los Banos,2019
39,17000609,HCHG PT EVAL HIGH COMPLEXITY,424,474.0,474.0,Memorial Hospital - Los Banos,2019
40,17200113,HCHG OT ADL TRAINING EA 15 MIN,430,197.0,197.0,Memorial Hospital - Los Banos,2019
41,17200281,HCHG OT GAIT TRAIN EA 15,430,189.0,189.0,Memorial Hospital - Los Banos,2019
42,17400016,HCHG SP EVAL APHASIA HR,440,655.0,655.0,Memorial Hospital - Los Banos,2019
43,20000003,HCHG ABORTED/DISCONTIUNUED CASE OR,360,2386.0,2386.0,Memorial Hospital - Los Banos,2019
44,20000005,HCHG SURG LVL 1 ADDL 15 MIN,360,1450.0,1450.0,Memorial Hospital - Los Banos,2019
45,20000006,HCHG SURG LVL 1 FIRST 30 MIN,360,3921.0,3921.0,Memorial Hospital - Los Banos,2019
46,20000007,HCHG SURG LVL 2 ADDL 15 MIN,360,1812.0,1812.0,Memorial Hospital - Los Banos,2019
47,20000008,HCHG SURG LVL 2 FIRST 30 MIN,360,5068.0,5068.0,Memorial Hospital - Los Banos,2019
48,20000009,HCHG SURG LVL 3 ADDL 15 MIN,360,2251.0,2251.0,Memorial Hospital - Los Banos,2019
49,20000010,HCHG SURG LVL 3 FIRST 30 MIN,360,6622.0,6622.0,Memorial Hospital - Los Banos,2019
50,20000011,HCHG SURG LVL 4 ADDL 15 MIN,360,2642.0,2642.0,Memorial Hospital - Los Banos,2019
51,20000012,HCHG SURG LVL 4 FIRST 30 MIN,360,10575.0,10575.0,Memorial Hospital - Los Banos,2019
52,20000013,HCHG SURG LVL 5 ADDL 15 MIN,360,3530.0,3530.0,Memorial Hospital - Los Banos,2019
53,20000014,HCHG SURG LVL 5 FIRST 30 MIN,360,12536.0,12536.0,Memorial Hospital - Los Banos,2019
54,20000111,HCHG SURG LVL 1 MCAL 1ST HR,360,6821.0,6821.0,Memorial Hospital - Los Banos,2019
55,20000112,HCHG SURG LVL 1 MCAL1ST SUBSEQ HALF,360,2900.0,2900.0,Memorial Hospital - Los Banos,2019
56,20000113,HCHG SURG LVL 1 MCAL 2ND+ EA SUBSEQ 1/2HR,360,2900.0,2900.0,Memorial Hospital - Los Banos,2019
57,20000211,HCHG SURG LVL 2 MCAL 1ST HR,360,8692.0,8692.0,Memorial Hospital - Los Banos,2019
58,20000212,HCHG SURG LVL 2 MCAL 1ST SUBSEQ 1/2HR,360,3624.0,3624.0,Memorial Hospital - Los Banos,2019
59,20000213,HCHG SURG LVL 2 MCAL 2ND+ EA SUBSEQ 1/2HR,360,3624.0,3624.0,Memorial Hospital - Los Banos,2019
60,20000311,HCHG SURG LVL 3 MCAL 1ST HR,360,11124.0,11124.0,Memorial Hospital - Los Banos,2019
61,20000312,HCHG SURG LVL 3 MCAL 1ST SUBSEQ 1/2HR,360,4502.0,4502.0,Memorial Hospital - Los Banos,2019
62,20000313,HCHG SURG LVL 3 MCAL 2ND+ EA SUBSEQ 1/2HR,360,4502.0,4502.0,Memorial Hospital - Los Banos,2019
63,20000411,HCHG SURG LVL 4 MCAL 1ST HR,360,15859.0,15859.0,Memorial Hospital - Los Banos,2019
64,20000412,HCHG SURG LVL 4 MCAL 1ST SUBSEQ 1/2HR,360,5284.0,5284.0,Memorial Hospital - Los Banos,2019
65,20000413,HCHG SURG LVL 4 MCAL 2ND+ EA SUBSEQ 1/2HR,360,5284.0,5284.0,Memorial Hospital - Los Banos,2019
66,20000511,HCHG SURG LVL 5 MCAL 1ST HR,360,19596.0,19596.0,Memorial Hospital - Los Banos,2019
67,20000512,HCHG SURG LVL 5 MCAL 1ST SUBSEQ 1/2HR,360,7060.0,7060.0,Memorial Hospital - Los Banos,2019
68,20000513,HCHG SURG LVL 5 MCAL 2ND+ EA SUBSEQ 1/2HR,360,7060.0,7060.0,Memorial Hospital - Los Banos,2019
69,20000673,HCHG ENDOSCOPY RESPIRATORY DIAGNOSTIC,361,1694.0,1694.0,Memorial Hospital - Los Banos,2019
70,20000674,HCHG ENDOSCOPY RESPIRATORY PLUS 1 INTERVENTION,361,3393.0,3393.0,Memorial Hospital - Los Banos,2019
71,20000675,HCHG ENDOSCOPY RESPIRATORY DX PLUS 2 INTERVENTIONS,361,5065.0,5065.0,Memorial Hospital - Los Banos,2019
72,20000676,HCHG ENDOSCOPY RESPIRATORY DX PLUS 3/MORE INTERVENTIONS,361,6880.0,6880.0,Memorial Hospital - Los Banos,2019
73,20000708,HCHG PARACENTSIS ABD NO IM,361,1974.0,1974.0,Memorial Hospital - Los Banos,2019
74,20000710,HCHG INJ PV FACET W IMAGE GUIDANCE C/T 1 LVL BIL,361,3158.0,3158.0,Memorial Hospital - Los Banos,2019
75,20200035,HCHG ENDOSCOPY GI DIAGNOSTIC,750,2097.0,2097.0,Memorial Hospital - Los Banos,2019
76,20200036,HCHG ENDOSCOPY GI DIAGNOSTIC PLUS 1 INTERVENTION,750,3302.0,3302.0,Memorial Hospital - Los Banos,2019
77,20200037,HCHG ENDOSCOPY GI DIAGNOSTIC PLUS 2 INTERVENTIONS,750,4974.0,4974.0,Memorial Hospital - Los Banos,2019
78,20200038,HCHG ENDOSCOPY GI DIAGNOSTIC PLUS 3/MORE INTERVENTIONS,750,6701.0,6701.0,Memorial Hospital - Los Banos,2019
79,20300006,HCHG INJECTION FACET L/S 1 LVL,361,2814.0,2814.0,Memorial Hospital - Los Banos,2019
80,20300007,HCHG INJECTION FACET L/S 3 LVL,361,1405.0,1405.0,Memorial Hospital - Los Banos,2019
81,20300103,HCHG INJ INTER LUMBAR/SACRAL W/CATH EPID WO IMAGE,511,3157.0,3157.0,Memorial Hospital - Los Banos,2019
82,20500009,HCHG REGIONAL BLOCK FINGERS,370,282.0,282.0,Memorial Hospital - Los Banos,2019
83,20500010,HCHG REGIONAL BLOCK TOES,370,226.0,226.0,Memorial Hospital - Los Banos,2019
84,20500021,HCHG STANDARD GENERAL ANESTHESIA 3 HOURS OR LESS,370,2828.0,2828.0,Memorial Hospital - Los Banos,2019
85,20500022,HCHG STANDARD GENERAL ANESTHESIA MORE THAN 3 HOURS,370,8253.0,8253.0,Memorial Hospital - Los Banos,2019
86,20500023,HCHG COMPLEX GENERAL ANESTHESIA 3 HOURS OR LESS,370,4866.0,4866.0,Memorial Hospital - Los Banos,2019
87,20500024,HCHG COMPLEX GENERAL ANESTHESIA MORE THAN 3 HOURS,370,10748.0,10748.0,Memorial Hospital - Los Banos,2019
88,20500025,HCHG MONITORED ANESTHESIA CARE/REGIONAL ANESTHESIA,370,2175.0,2175.0,Memorial Hospital - Los Banos,2019
89,20500032,HCHG MOD SED SAME MD/QHP LT 5 YRS,370,2049.0,2049.0,Memorial Hospital - Los Banos,2019
90,20500033,HCHG MOD SED SAME MD/QHP GT 5 YRS,370,419.0,419.0,Memorial Hospital - Los Banos,2019
91,20500035,HCHG MOD SED OTH MD/QHP LT 5 YRS,370,428.0,428.0,Memorial Hospital - Los Banos,2019
