,EAP,Description,Rev Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,4947.0,4947.0,Memorial Hospital - Modesto,2019
1,10000001,HCHG ROOM TRAUMA TELEMETRY,214,5442.0,5442.0,Memorial Hospital - Modesto,2019
2,10000003,HCHG ROOM MED/SURG/GYN,121,3805.0,3805.0,Memorial Hospital - Modesto,2019
3,10000004,HCHG ROOM OB/MATERNAL,122,3907.0,3907.0,Memorial Hospital - Modesto,2019
4,10000005,HCHG ROOM PEDIATRIC,123,5818.0,5818.0,Memorial Hospital - Modesto,2019
5,10000008,HCHG NEWBORN BOARDER BABY,171,1964.0,1964.0,Memorial Hospital - Modesto,2019
6,10000009,HCHG NEWBORN LEVEL I,171,1511.0,1511.0,Memorial Hospital - Modesto,2019
7,10000010,HCHG NEWBORN LEVEL II,172,5858.0,5858.0,Memorial Hospital - Modesto,2019
8,10000011,HCHG NEWBORN LEVEL III,173,8201.0,8201.0,Memorial Hospital - Modesto,2019
9,10000012,HCHG NEWBORN LEVEL IV,174,9959.0,9959.0,Memorial Hospital - Modesto,2019
10,10000016,HCHG ROOM ICU,200,11091.0,11091.0,Memorial Hospital - Modesto,2019
11,10000017,HCHG ROOM ICU PEDIATRICS,203,11091.0,11091.0,Memorial Hospital - Modesto,2019
12,10000018,HCHG ROOM ICU INTERM,206,5708.0,5708.0,Memorial Hospital - Modesto,2019
13,10000022,HCHG ROOM TRAUMA MED/SURG/GYN,121,4186.0,4186.0,Memorial Hospital - Modesto,2019
14,10000023,HCHG ROOM TRAUMA ICU,200,12200.0,12200.0,Memorial Hospital - Modesto,2019
15,10000024,HCHG ROOM TRAUMA ICU INTERMEDIATE,206,6279.0,6279.0,Memorial Hospital - Modesto,2019
16,10000042,HCHG ROOM TRAUMA PEDIATRICS,123,12200.0,12200.0,Memorial Hospital - Modesto,2019
17,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Memorial Hospital - Modesto,2019
18,10000076,HCHG ROOM HOSPICE PRIVATE,115,3821.0,3821.0,Memorial Hospital - Modesto,2019
19,10000077,HCHG ROOM HOSPICE SEMI PRIVATE,125,3821.0,3821.0,Memorial Hospital - Modesto,2019
20,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Memorial Hospital - Modesto,2019
21,10100004,HCHG OBS CPR,760,1727.0,1727.0,Memorial Hospital - Modesto,2019
22,10100005,HCHG OBS PER HOUR,762,305.0,305.0,Memorial Hospital - Modesto,2019
23,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Memorial Hospital - Modesto,2019
24,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Memorial Hospital - Modesto,2019
25,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Memorial Hospital - Modesto,2019
26,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760,617.0,617.0,Memorial Hospital - Modesto,2019
27,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760,2602.0,2602.0,Memorial Hospital - Modesto,2019
28,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760,109.0,109.0,Memorial Hospital - Modesto,2019
29,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Memorial Hospital - Modesto,2019
30,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Memorial Hospital - Modesto,2019
31,10100041,HCHG OBS DRN ABSCESS COMP/MULT,760,1086.0,1086.0,Memorial Hospital - Modesto,2019
32,10100044,HCHG OBS ARTERIAL PUNCTURE,760,218.0,218.0,Memorial Hospital - Modesto,2019
33,10100047,HCHG OBS THORACENTESIS W/IMAG,760,2478.0,2478.0,Memorial Hospital - Modesto,2019
34,10100073,HCHG OBS INSERT PICC >=5 YR WO PORT WO IMAGE GUIDANC,760,3136.0,3136.0,Memorial Hospital - Modesto,2019
35,10100075,HCHG OBS INSERT PICC >=5 YR WO PORT W IMAGE GUIDANCE,760,3991.0,3991.0,Memorial Hospital - Modesto,2019
36,10100076,HCHG OBS CHANGE G TUBE PERC W/O ENDO/IMAGE W/O REVIS,760,952.0,952.0,Memorial Hospital - Modesto,2019
37,10100077,HCHG OBS CHANGE G TUBE PERC W/O ENDO/IMAGE W/REVIS,760,4281.0,4281.0,Memorial Hospital - Modesto,2019
38,10100080,HCHG OBS PUNCH BX SKIN SINGLE LESION,760,1008.0,1008.0,Memorial Hospital - Modesto,2019
39,10100207,HCHG OBS COL BLD PICC/CNTRL LN,760,192.0,192.0,Memorial Hospital - Modesto,2019
40,10100208,HCHG OBS TX GASTRO INTUB W/ASP,760,56.0,56.0,Memorial Hospital - Modesto,2019
