,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000029,HCHG ROOM MED/SURG/GYN PVT,111,4261.0,4261.0,Menlo Park Surgical Hospital,2019
1,10000033,HCHG ROOM RESIDENTIAL CARE PVT,119,1194.0,1194.0,Menlo Park Surgical Hospital,2019
2,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Menlo Park Surgical Hospital,2019
3,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Menlo Park Surgical Hospital,2019
4,10100005,HCHG OBS PER HOUR,762,242.0,242.0,Menlo Park Surgical Hospital,2019
5,20000003,HCHG ABORTED/DISCONTIUNUED CASE OR,360,2313.0,2313.0,Menlo Park Surgical Hospital,2019
6,20000005,HCHG SURG LVL 1 ADDL 15 MIN,360,1121.0,1121.0,Menlo Park Surgical Hospital,2019
7,20000006,HCHG SURG LVL 1 FIRST 30 MIN,360,3013.0,3013.0,Menlo Park Surgical Hospital,2019
8,20000007,HCHG SURG LVL 2 ADDL 15 MIN,360,1497.0,1497.0,Menlo Park Surgical Hospital,2019
9,20000008,HCHG SURG LVL 2 FIRST 30 MIN,360,3796.0,3796.0,Menlo Park Surgical Hospital,2019
10,20000009,HCHG SURG LVL 3 ADDL 15 MIN,360,1845.0,1845.0,Menlo Park Surgical Hospital,2019
11,20000010,HCHG SURG LVL 3 FIRST 30 MIN,360,4688.0,4688.0,Menlo Park Surgical Hospital,2019
12,20000011,HCHG SURG LVL 4 ADDL 15 MIN,360,2186.0,2186.0,Menlo Park Surgical Hospital,2019
13,20000012,HCHG SURG LVL 4 FIRST 30 MIN,360,7487.0,7487.0,Menlo Park Surgical Hospital,2019
14,20000013,HCHG SURG LVL 5 ADDL 15 MIN,360,2499.0,2499.0,Menlo Park Surgical Hospital,2019
15,20000014,HCHG SURG LVL 5 FIRST 30 MIN,360,8874.0,8874.0,Menlo Park Surgical Hospital,2019
16,20000039,HCHG INSERT TUNNEL CVAD WITH SUBQ PUMP,361,14256.0,14256.0,Menlo Park Surgical Hospital,2019
17,20000079,HCHG THROMBECTOMY AVF DIALYSIS GRAFT,361,18467.0,18467.0,Menlo Park Surgical Hospital,2019
18,20000080,HCHG EMBOLECTOMY W/WO CATH ARM INCISION,361,1904.0,1904.0,Menlo Park Surgical Hospital,2019
19,20000111,HCHG SURG LVL 1 MCAL 1ST HR,360,5255.0,5255.0,Menlo Park Surgical Hospital,2019
20,20000112,HCHG SURG LVL 1 MCAL1ST SUBSEQ HALF,360,2242.0,2242.0,Menlo Park Surgical Hospital,2019
21,20000113,HCHG SURG LVL 1 MCAL 2ND+ EA SUBSEQ 1/2HR,360,2242.0,2242.0,Menlo Park Surgical Hospital,2019
22,20000211,HCHG SURG LVL 2 MCAL 1ST HR,360,6790.0,6790.0,Menlo Park Surgical Hospital,2019
23,20000212,HCHG SURG LVL 2 MCAL 1ST SUBSEQ 1/2HR,360,2994.0,2994.0,Menlo Park Surgical Hospital,2019
24,20000213,HCHG SURG LVL 2 MCAL 2ND+ EA SUBSEQ 1/2HR,360,2994.0,2994.0,Menlo Park Surgical Hospital,2019
25,20000311,HCHG SURG LVL 3 MCAL 1ST HR,360,8378.0,8378.0,Menlo Park Surgical Hospital,2019
26,20000312,HCHG SURG LVL 3 MCAL 1ST SUBSEQ 1/2HR,360,3690.0,3690.0,Menlo Park Surgical Hospital,2019
27,20000313,HCHG SURG LVL 3 MCAL 2ND+ EA SUBSEQ 1/2HR,360,3690.0,3690.0,Menlo Park Surgical Hospital,2019
28,20000411,HCHG SURG LVL 4 MCAL 1ST HR,360,11859.0,11859.0,Menlo Park Surgical Hospital,2019
29,20000412,HCHG SURG LVL 4 MCAL 1ST SUBSEQ 1/2HR,360,4372.0,4372.0,Menlo Park Surgical Hospital,2019
30,20000413,HCHG SURG LVL 4 MCAL 2ND+ EA SUBSEQ 1/2HR,360,4372.0,4372.0,Menlo Park Surgical Hospital,2019
31,20000511,HCHG SURG LVL 5 MCAL 1ST HR,360,13872.0,13872.0,Menlo Park Surgical Hospital,2019
32,20000512,HCHG SURG LVL 5 MCAL 1ST SUBSEQ 1/2HR,360,4998.0,4998.0,Menlo Park Surgical Hospital,2019
33,20000513,HCHG SURG LVL 5 MCAL 2ND+ EA SUBSEQ 1/2HR,360,4998.0,4998.0,Menlo Park Surgical Hospital,2019
34,20300000,HCHG INJ FACET L/S 2 LVL,511,1542.0,1542.0,Menlo Park Surgical Hospital,2019
35,20300002,HCHG INJECTION PV FACET C/T 1 LVL,361,3221.0,3221.0,Menlo Park Surgical Hospital,2019
36,20300004,HCHG IJ PV FACET C/T 2 LVLL,511,1622.0,1622.0,Menlo Park Surgical Hospital,2019
37,20300005,HCHG INJECTION PV FACET C/T 3 LVL,361,1631.0,1631.0,Menlo Park Surgical Hospital,2019
38,20300006,HCHG INJECTION FACET L/S 1 LVL,361,2989.0,2989.0,Menlo Park Surgical Hospital,2019
39,20300007,HCHG INJECTION FACET L/S 3 LVL,361,1491.0,1491.0,Menlo Park Surgical Hospital,2019
40,20300009,HCHG DRAIN/INJ SMALL JOINT/BURSA W/O US,511,1014.0,762.0,Menlo Park Surgical Hospital,2019
41,20300010,HCHG DRAIN/INJ INTERMEDIATE JOINT/BURSA W/O US,511,940.0,940.0,Menlo Park Surgical Hospital,2019
42,20300011,HCHG DRAIN/INJ MAJOR JOINT/BURSA W/O US,511,1172.0,996.0,Menlo Park Surgical Hospital,2019
43,20300012,HCHG INJ BLOOD PATCH,511,2732.0,2732.0,Menlo Park Surgical Hospital,2019
44,20300021,HCHG INJ NRV BLK PERIPH,511,1307.0,1307.0,Menlo Park Surgical Hospital,2019
45,20300022,HCHG INJS ANES&STRD W/IMG TFRML EDRL CRV/THRC 1 LVL,511,3880.0,3880.0,Menlo Park Surgical Hospital,2019
46,20300023,HCHG INJS ANES&STRD W/IMG TFRML EDRL CRV/THRC EA LV,511,1266.0,1266.0,Menlo Park Surgical Hospital,2019
47,20300024,HCHG INJS ANES/STRD W/IMG TFRML EDRL LMBR/SAC 1 LVL,511,3768.0,3768.0,Menlo Park Surgical Hospital,2019
48,20300025,HCHG INJS ANES&STRD IMG TFRML EDRL LMBR/SAC EA LV,511,1756.0,1756.0,Menlo Park Surgical Hospital,2019
49,20300026,HCHG INJ PV FACET C/T 1 LVL,511,3221.0,3221.0,Menlo Park Surgical Hospital,2019
50,20300027,HCHG INJ TENDON SHEATH OR LIGAMENT SINGLE BILAT,511,1216.0,1014.0,Menlo Park Surgical Hospital,2019
51,20300035,HCHG INJ SI JNT ARTHROGRAM,511,2903.0,2903.0,Menlo Park Surgical Hospital,2019
52,20300036,HCHG INJ SI JNT ANES/STRD,511,3646.0,3646.0,Menlo Park Surgical Hospital,2019
53,20300037,HCHG DESTROY CERV/THOR FACET JNT,511,4781.0,4781.0,Menlo Park Surgical Hospital,2019
54,20300038,HCHG DESTR C/TH FACET JNT ADDL,511,2074.0,2074.0,Menlo Park Surgical Hospital,2019
55,20300039,HCHG DESTR LUMB/SAC FACET JNT,511,4348.0,4348.0,Menlo Park Surgical Hospital,2019
56,20300040,HCHG DESTR L/S FACET JNT ADDL,511,2094.0,2094.0,Menlo Park Surgical Hospital,2019
57,20300041,HCHG INJ TRIGGER POINT 1/2 MUSCL,511,1159.0,1159.0,Menlo Park Surgical Hospital,2019
58,20300042,HCHG INJ TRIGGER PT GT 2 MCL,511,957.0,957.0,Menlo Park Surgical Hospital,2019
59,20300043,HCHG INJECTION NERVE BLOCK EPIDURAL CERVICAL/THORACIC,511,3940.0,3940.0,Menlo Park Surgical Hospital,2019
60,20300044,HCHG PERC IMPL NS EL ARRAY EPI,511,12115.0,12115.0,Menlo Park Surgical Hospital,2019
61,20300045,HCHG INJ NRV OCCIPITAL,511,1294.0,1294.0,Menlo Park Surgical Hospital,2019
62,20300046,HCHG INJ BRACHIAL PLEX SNGL,511,2480.0,2480.0,Menlo Park Surgical Hospital,2019
63,20300047,HCHG INJ NRV AXILLARY,511,1304.0,1304.0,Menlo Park Surgical Hospital,2019
64,20300048,HCHG INJ NRV INTCOSTL MULT,511,3419.0,3419.0,Menlo Park Surgical Hospital,2019
65,20300049,HCHG INJ NRV ILIOINGUINAL,511,1884.0,1884.0,Menlo Park Surgical Hospital,2019
66,20300050,HCHG INJ NRV BLK SCTC SNGL,511,2900.0,2900.0,Menlo Park Surgical Hospital,2019
67,20300051,HCHG INJ PARAVERTEBRAL FACET JOINT C/T 3/MORE LEVEL,511,1631.0,1631.0,Menlo Park Surgical Hospital,2019
68,20300052,HCHG INJ FACET L/S 3 LVL,511,1491.0,1491.0,Menlo Park Surgical Hospital,2019
69,20300054,HCHG INJ TND SHEATH/LG,511,811.0,676.0,Menlo Park Surgical Hospital,2019
70,20300059,HCHG INJ MYELOGRAM/CT LUMBAR,511,2335.0,2335.0,Menlo Park Surgical Hospital,2019
71,20300067,HCHG INJ NRV BLK LUMB THOR,511,3009.0,3009.0,Menlo Park Surgical Hospital,2019
72,20300069,HCHG INJ PARAVERTEBRAL FACET JOINT C/T 3/MORE LEVEL BIL,511,2446.0,2446.0,Menlo Park Surgical Hospital,2019
73,20300070,HCHG INJ PV FACET C/T 2 LVL BIL,511,2433.0,2433.0,Menlo Park Surgical Hospital,2019
74,20300071,HCHG INJ PV FACET C/T 1 LVL BIL,511,4832.0,4832.0,Menlo Park Surgical Hospital,2019
75,20300072,HCHG INJ NRV OCCIPITAL BIL,511,1941.0,1941.0,Menlo Park Surgical Hospital,2019
76,20300073,HCHG INJ NRV INTCOSTL MULT BIL,511,5128.0,5128.0,Menlo Park Surgical Hospital,2019
77,20300074,HCHG INJ NRV ILIOINGUINAL BIL,511,2826.0,2826.0,Menlo Park Surgical Hospital,2019
78,20300075,HCHG INJ NRV BLK SCTC SNGL BIL,511,4350.0,4350.0,Menlo Park Surgical Hospital,2019
79,20300076,HCHG INJ NRV BLK PERIPH BIL,511,1960.0,1960.0,Menlo Park Surgical Hospital,2019
80,20300077,HCHG INJ NRV AXILLARY BIL,511,1956.0,1956.0,Menlo Park Surgical Hospital,2019
81,20300078,HCHG INJ BRACHIAL PLEX SNGL BIL,511,3720.0,3720.0,Menlo Park Surgical Hospital,2019
82,20300079,HCHG INJS ANES&STRD IMG TFRML EDRL LMBR/SAC EA LV BIL,511,2634.0,2634.0,Menlo Park Surgical Hospital,2019
83,20300080,HCHG INJS ANES&STRD W/IMG TFRML EDRL CRV/THRC EA LV BIL,511,1899.0,1899.0,Menlo Park Surgical Hospital,2019
84,20300081,HCHG INJS ANES/STRD IMG TFRML EDRL LMBR/SAC 1 LVL BIL,511,5652.0,5652.0,Menlo Park Surgical Hospital,2019
85,20300082,HCHG INJS ANES&STRD W/IMG TFRML EDRL CRV/THR 1 LV BIL,511,5820.0,5820.0,Menlo Park Surgical Hospital,2019
86,20300083,HCHG DESTR L/S FACET JNT ADDL BIL,511,3141.0,3141.0,Menlo Park Surgical Hospital,2019
87,20300084,HCHG DESTROY CERV/THOR FACET JNT BIL,511,7172.0,7172.0,Menlo Park Surgical Hospital,2019
88,20300085,HCHG DESTR C/TH FACET JNT ADDL BIL,511,3111.0,3111.0,Menlo Park Surgical Hospital,2019
89,20300086,HCHG INJ FACET L/S 3 LVL BIL,511,2236.0,2236.0,Menlo Park Surgical Hospital,2019
90,20300087,HCHG INJ FACET L/S 2 LVL BIL,511,2313.0,2313.0,Menlo Park Surgical Hospital,2019
91,20300088,HCHG INJ FACET L/S 1 LVL BIL,511,4484.0,4484.0,Menlo Park Surgical Hospital,2019
92,20300089,HCHG DESTR LUMB/SAC FACET JNT BIL,511,6522.0,6522.0,Menlo Park Surgical Hospital,2019
93,20300090,HCHG IJ SI JNT ANES/ST W/GD BILAT,511,5469.0,5469.0,Menlo Park Surgical Hospital,2019
94,20300091,HCHG DRAIN/INJ INTERMEDIATE JOINT/BURSA W/O US BIL,511,1410.0,1410.0,Menlo Park Surgical Hospital,2019
95,20300098,HCHG INJ INTER CERVICAL/THORACIC EPID W IMAGE,511,3816.0,3816.0,Menlo Park Surgical Hospital,2019
96,20300099,HCHG INJ INTER LUMBAR/SACRAL EPID WO IMAGE,511,4047.0,4047.0,Menlo Park Surgical Hospital,2019
97,20300100,HCHG INJ INTER LUMBAR/SACRAL EPID W IMAGE,511,3629.0,3629.0,Menlo Park Surgical Hospital,2019
98,20300101,HCHG INJ INTER CERVICAL/THORAC W/CATH EPID WO IMAGE,511,1597.0,1597.0,Menlo Park Surgical Hospital,2019
99,20300102,HCHG INJ INTER CERVICAL/THORAC W/CATH EPID W IMAGE,511,3813.0,3813.0,Menlo Park Surgical Hospital,2019
100,20300104,HCHG INJ INTER LUMBAR/SACRAL W/CATH EPID W IMAGE,511,5600.0,5600.0,Menlo Park Surgical Hospital,2019
101,20500008,HCHG ANES EPIDURAL CRNA MANAGED,370,2103.0,2103.0,Menlo Park Surgical Hospital,2019
102,20500009,HCHG REGIONAL BLOCK FINGERS,370,264.0,264.0,Menlo Park Surgical Hospital,2019
103,20500010,HCHG REGIONAL BLOCK TOES,370,211.0,211.0,Menlo Park Surgical Hospital,2019
104,20500021,HCHG STANDARD GENERAL ANESTHESIA 3 HOURS OR LESS,370,2643.0,2643.0,Menlo Park Surgical Hospital,2019
105,20500022,HCHG STANDARD GENERAL ANESTHESIA MORE THAN 3 HOURS,370,7713.0,7713.0,Menlo Park Surgical Hospital,2019
106,20500023,HCHG COMPLEX GENERAL ANESTHESIA 3 HOURS OR LESS,370,4548.0,4548.0,Menlo Park Surgical Hospital,2019
107,20500024,HCHG COMPLEX GENERAL ANESTHESIA MORE THAN 3 HOURS,370,10045.0,10045.0,Menlo Park Surgical Hospital,2019
108,20500025,HCHG MONITORED ANESTHESIA CARE/REGIONAL ANESTHESIA,370,2033.0,2033.0,Menlo Park Surgical Hospital,2019
109,20500032,HCHG MOD SED SAME MD/QHP LT 5 YRS,370,1915.0,1915.0,Menlo Park Surgical Hospital,2019
110,20500033,HCHG MOD SED SAME MD/QHP GT 5 YRS,370,392.0,392.0,Menlo Park Surgical Hospital,2019
111,20500035,HCHG MOD SED OTH MD/QHP LT 5 YRS,370,400.0,400.0,Menlo Park Surgical Hospital,2019
112,20500036,HCHG MOD SED OTH MD/QHP GT 5 YRS,370,499.0,499.0,Menlo Park Surgical Hospital,2019
113,20500038,HCHG MOD SED ENDO SAME MD/QHP GT 5YRS,370,392.0,392.0,Menlo Park Surgical Hospital,2019
114,20600000,HCHG PACU COMPLEX ADDITIONAL 15 MINUTES,710,747.0,747.0,Menlo Park Surgical Hospital,2019
115,20600001,HCHG PACU COMPLEX FIRST 30 MINUTES,710,1993.0,1993.0,Menlo Park Surgical Hospital,2019
116,20600002,HCHG PACU STANDARD LEVEL 1 ADDITIONAL 15 MINUTES,710,335.0,335.0,Menlo Park Surgical Hospital,2019
117,20600003,HCHG PACU STANDARD LEVEL 1 FIRST 30 MINUTES,710,885.0,885.0,Menlo Park Surgical Hospital,2019
118,20600004,HCHG PACU STANDARD LEVEL 2 ADDL 15 MINUTES,710,477.0,477.0,Menlo Park Surgical Hospital,2019
119,20600005,HCHG PACU STANDARD LEVEL 2 FIRST 30 MINUTES,710,1197.0,1197.0,Menlo Park Surgical Hospital,2019
120,20600010,HCHG INJ FACET L/S 1 LVL,511,2989.0,2989.0,Menlo Park Surgical Hospital,2019
121,21000000,HCHG STENT TRNCTH PLCMNT EXT VER ART OPN/PRQ INT VSL,361,22471.0,22471.0,Menlo Park Surgical Hospital,2019
122,21000001,HCHG STENT TRNSCTH PLCMNT EXT VERT ART EA ADD VSL,361,7332.0,7332.0,Menlo Park Surgical Hospital,2019
123,21000054,HCHG INJECTION TRIGGER POINT 1 TO 2 MUSCLES,361,1159.0,1159.0,Menlo Park Surgical Hospital,2019
124,21000055,HCHG INJECTION TRIGGER POINT GREATER THAN 2  MUSCLES,361,957.0,957.0,Menlo Park Surgical Hospital,2019
125,21000057,HCHG DRAIN/INJ INTERMEDIATE JOINT/BURSA W/O US,361,940.0,940.0,Menlo Park Surgical Hospital,2019
126,21000211,HCHG CENTRAL VENOUS ACCESS REPLACEMENT CATH WITH PORT,361,7729.0,7729.0,Menlo Park Surgical Hospital,2019
127,21000227,HCHG OPEN REVISION AV FISTULA WITH THROMBECTOMY,361,24724.0,24724.0,Menlo Park Surgical Hospital,2019
