,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,6494.0,6494.0,Mills-Peninsula Medical Center,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,4995.0,4995.0,Mills-Peninsula Medical Center,2019
2,10000004,HCHG ROOM OB/MATERNAL,122,6124.0,6124.0,Mills-Peninsula Medical Center,2019
3,10000005,HCHG ROOM PEDIATRIC,123,7774.0,7774.0,Mills-Peninsula Medical Center,2019
4,10000006,HCHG ROOM BEHAVIORAL HEALTH,124,5702.0,5702.0,Mills-Peninsula Medical Center,2019
5,10000007,HCHG ROOM REHAB ACUTE CDC (CHEM DEP),128,5499.0,5499.0,Mills-Peninsula Medical Center,2019
6,10000008,HCHG NEWBORN BOARDER BABY,171,2577.0,2577.0,Mills-Peninsula Medical Center,2019
7,10000009,HCHG NEWBORN LEVEL I,171,1982.0,1982.0,Mills-Peninsula Medical Center,2019
8,10000010,HCHG NEWBORN LEVEL II,172,8329.0,8329.0,Mills-Peninsula Medical Center,2019
9,10000011,HCHG NEWBORN LEVEL III,173,11661.0,11661.0,Mills-Peninsula Medical Center,2019
10,10000012,HCHG NEWBORN LEVEL IV,174,14159.0,14159.0,Mills-Peninsula Medical Center,2019
11,10000016,HCHG ROOM ICU,200,12307.0,12307.0,Mills-Peninsula Medical Center,2019
12,10000020,HCHG ROOM CCU,210,12595.0,12595.0,Mills-Peninsula Medical Center,2019
13,10000021,HCHG ROOM SNF M/S DSTNCT,121,1680.0,1680.0,Mills-Peninsula Medical Center,2019
14,10000029,HCHG ROOM MED/SURG/GYN PVT,111,4995.0,4995.0,Mills-Peninsula Medical Center,2019
15,10000038,HCHG ROOM BEHAVIORL HEALTH PVT,114,9646.0,9646.0,Mills-Peninsula Medical Center,2019
16,10000040,HCHG ROOM DETOX,126,4465.0,4465.0,Mills-Peninsula Medical Center,2019
17,10000064,HCHG ROOM LDRP,129,7880.0,7880.0,Mills-Peninsula Medical Center,2019
18,10000070,HCHG ROOM BEHAVIORAL HEALTH ADOLESCENT,124,2509.0,2509.0,Mills-Peninsula Medical Center,2019
19,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Mills-Peninsula Medical Center,2019
20,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Mills-Peninsula Medical Center,2019
21,10100005,HCHG OBS PER HOUR,762,302.0,302.0,Mills-Peninsula Medical Center,2019
22,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Mills-Peninsula Medical Center,2019
23,10100008,HCHG OBS INTRODUCTION NEEDLE OR INTRACATHETER INTO VEIN,760,137.0,137.0,Mills-Peninsula Medical Center,2019
24,10100009,HCHG OBS BLOOD DRAW IMPLANTED PORT,760,252.0,252.0,Mills-Peninsula Medical Center,2019
25,10100011,HCHG OBS CENTRAL VENOUS CATH INSERTION NON-TUNNELED 5YR OR OLDER,760,2602.0,2602.0,Mills-Peninsula Medical Center,2019
26,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760,109.0,109.0,Mills-Peninsula Medical Center,2019
27,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Mills-Peninsula Medical Center,2019
28,10100014,HCHG OBS INSERTION FOLEY CATHETER,760,356.0,356.0,Mills-Peninsula Medical Center,2019
