,EAP,Description,Revenue Code,Price,Hospital,Year
0,81000000,ABACAVIR 300MG TABS,250,55.0,Mills-Peninsula Medical Center,2019
1,81000000,ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE 600MG/50MG/300MG TABS,250,346.72,Mills-Peninsula Medical Center,2019
2,81000008,ABATACEPT 250 MG SOLR 1 EACH VIAL,636,10500.0,Mills-Peninsula Medical Center,2019
3,81000000,ACAMPROSATE EC 333MG TBEC,250,19.33,Mills-Peninsula Medical Center,2019
4,81000000,ACARBOSE 50MG TABS,250,15.0,Mills-Peninsula Medical Center,2019
5,81000008,ACETAMINOPHEN 10MG/ML SOLN,250,313.3,Mills-Peninsula Medical Center,2019
6,81000008,ACETAMINOPHEN 10MG/ML SOLN 1 ML SYRINGE,250,313.3,Mills-Peninsula Medical Center,2019
7,81000008,ACETAMINOPHEN 10MG/ML SOLN 100 ML VIAL,250,313.3,Mills-Peninsula Medical Center,2019
8,81000000,ACETAMINOPHEN/CODEINE 120MG/12/5ML,250,40.0,Mills-Peninsula Medical Center,2019
9,81000000,ACETAMINOPHEN/CODEINE 300MG/15MG TABS,250,40.0,Mills-Peninsula Medical Center,2019
10,81000000,ACETAMINOPHEN/CODEINE 300MG/30MG TABS,250,40.0,Mills-Peninsula Medical Center,2019
11,81000000,ACETAMINOPHEN/CODEINE 300MG/60MG TABS,250,40.0,Mills-Peninsula Medical Center,2019
12,81000000,ACETAZOLAMIDE 125MG TABS,250,15.0,Mills-Peninsula Medical Center,2019
13,81000000,ACETAZOLAMIDE 12HR-ER 500MG CP12,250,26.92,Mills-Peninsula Medical Center,2019
14,81000000,ACETAZOLAMIDE 250MG TABS,250,23.04,Mills-Peninsula Medical Center,2019
15,81000008,ACETAZOLAMIDE 500MG SOLR,250,174.3,Mills-Peninsula Medical Center,2019
16,81000008,ACETAZOLAMIDE 500MG SOLR 1 EACH VIAL,250,174.3,Mills-Peninsula Medical Center,2019
17,81000000,ACETIC ACID 0.25% SOLN,250,75.0,Mills-Peninsula Medical Center,2019
18,81000000,ACETYLCHOLINE 20MG SOLR,250,734.7,Mills-Peninsula Medical Center,2019
19,81000008,ACETYLCYSTEINE 10% SOLN,250,41.1,Mills-Peninsula Medical Center,2019
20,81000000,ACETYLCYSTEINE 20%,250,55.0,Mills-Peninsula Medical Center,2019
21,81000008,ACETYLCYSTEINE 20% SOLN,250,59.86,Mills-Peninsula Medical Center,2019
22,81000008,ACETYLCYSTEINE 200MG/ML SOLN 30 ML VIAL,250,1384.6,Mills-Peninsula Medical Center,2019
23,81000000,ACYCLOVIR 200MG CAPS,250,16.82,Mills-Peninsula Medical Center,2019
24,81000000,ACYCLOVIR 400MG TABS,250,15.0,Mills-Peninsula Medical Center,2019
25,80000001,ACYCLOVIR 5% OINT 30 G TUBE,250,2304.0,Mills-Peninsula Medical Center,2019
26,81000008,ACYCLOVIR 50MG/ML SOLN 10 ML VIAL,250,157.92,Mills-Peninsula Medical Center,2019
27,81000008,ACYCLOVIR 50MG/ML SOLN 20 ML VIAL,636,210.0,Mills-Peninsula Medical Center,2019
28,81000000,ADENOSINE (ADENOCARD) 100MCG/ML IN 10ML IV SOLUTION CARDIAC CATHETERIZATION SOLN,250,75.0,Mills-Peninsula Medical Center,2019
29,81000000,ADENOSINE 10MCG/ML SOLN,250,75.0,Mills-Peninsula Medical Center,2019
30,81000008,ADENOSINE 6MG/2ML SOLN,636,75.0,Mills-Peninsula Medical Center,2019
31,81000008,ADENOSINE DIAGNOSTIC 3MG/ML SOLN,636,1959.6,Mills-Peninsula Medical Center,2019
32,81000008,ADENOSINE DIAGNOSTIC 3MG/ML SOLN 30 ML VIAL,636,1959.6,Mills-Peninsula Medical Center,2019
33,81000008,ALBUMIN HUMAN 25% SOLN,250,600.0,Mills-Peninsula Medical Center,2019
34,81000008,ALBUMIN HUMAN 5% SOLN,250,540.0,Mills-Peninsula Medical Center,2019
35,81000000,ALBUTEROL 0.083% NEBU,250,15.0,Mills-Peninsula Medical Center,2019
36,81000000,ALBUTEROL 0.083% NEBU 3 ML PLAS CONT,250,15.0,Mills-Peninsula Medical Center,2019
37,81000000,ALBUTEROL 0.5% NEBU,250,15.0,Mills-Peninsula Medical Center,2019
38,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 6.7 G INHALER,250,382.73,Mills-Peninsula Medical Center,2019
39,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8 G INHALER,250,132.36,Mills-Peninsula Medical Center,2019
40,81000000,ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8.5 G INHALER,250,375.0,Mills-Peninsula Medical Center,2019
41,81000000,ALENDRONATE 70MG TABS,250,81.65,Mills-Peninsula Medical Center,2019
42,81000000,ALFENTANIL 1000MCG/2ML SOLN,250,90.0,Mills-Peninsula Medical Center,2019
43,81000000,ALFUZOSIN ER 10MG TB24,250,23.2,Mills-Peninsula Medical Center,2019
44,81000000,ALLOPURINOL 100MG TABS,250,15.0,Mills-Peninsula Medical Center,2019
45,81000000,ALPRAZOLAM 0.25MG TABS,250,40.0,Mills-Peninsula Medical Center,2019
46,81000000,ALPRAZOLAM 0.5MG TABS,250,40.0,Mills-Peninsula Medical Center,2019
47,81000000,ALPRAZOLAM 1MG TABS,250,40.0,Mills-Peninsula Medical Center,2019
48,81000008,ALTEPLASE 100MG,636,14000.0,Mills-Peninsula Medical Center,2019
49,81000008,ALTEPLASE 100MG SOLR,636,3801.76,Mills-Peninsula Medical Center,2019
50,81000008,ALTEPLASE 100MG SOLR 1 EACH VIAL,636,3801.76,Mills-Peninsula Medical Center,2019
51,81000008,ALTEPLASE 2MG SOLR,250,975.0,Mills-Peninsula Medical Center,2019
52,81000008,ALTEPLASE 2MG SOLR 1 EACH VIAL,250,975.0,Mills-Peninsula Medical Center,2019
53,81000008,ALTEPLASE 50MG,636,3801.76,Mills-Peninsula Medical Center,2019
54,81000008,ALTEPLASE 50MG 1 EACH VIAL,636,3801.76,Mills-Peninsula Medical Center,2019
55,81000008,ALTEPLASE 50MG SOLR,250,4224.18,Mills-Peninsula Medical Center,2019
56,81000008,ALTEPLASE 50MG SOLR 1 EACH VIAL,250,4224.18,Mills-Peninsula Medical Center,2019
57,81000000,ALTEPLASE 90MG,250,11745.54,Mills-Peninsula Medical Center,2019
58,81000000,ALUMINUM SULFATE/CALCIUM ACETATE PACK,250,2.0,Mills-Peninsula Medical Center,2019
59,81000000,ALVIMOPAN 12 MG CAPS,250,594.32,Mills-Peninsula Medical Center,2019
60,81000000,AMANTADINE 100MG CAPS,250,15.0,Mills-Peninsula Medical Center,2019
61,81000000,AMANTADINE 50MG/5ML SYRP,250,28.27,Mills-Peninsula Medical Center,2019
62,81000000,AMANTADINE 50MG/5ML SYRP 473 ML BOTTLE,250,16.94,Mills-Peninsula Medical Center,2019
63,81000008,AMIKACIN 500 MG/2ML SOLN 2 ML VIAL,250,75.0,Mills-Peninsula Medical Center,2019
64,81000000,AMILORIDE 5MG TABS,250,15.0,Mills-Peninsula Medical Center,2019
65,81000000,AMILORIDE/HYDROCHLOROTHIAZIDE 5MG/50MG TABS,250,15.0,Mills-Peninsula Medical Center,2019
66,80000001,AMINOCAPROIC ACID 250MG/ML SOLN,250,75.0,Mills-Peninsula Medical Center,2019
67,80000001,AMINOCAPROIC ACID 250MG/ML SOLN 20 ML VIAL,250,75.0,Mills-Peninsula Medical Center,2019
68,81000008,AMINOPHYLLINE 25MG/ML SOLN,250,75.0,Mills-Peninsula Medical Center,2019
69,81000008,AMIODARONE 1.5MG/ML,250,270.4,Mills-Peninsula Medical Center,2019
