,Charge Code,Description,Revenue Code,Price,Hospital,Year
0,00003,ABD 1 / KUB 1V,320,671.7,Mission Community Hospital - Panorama,2019
1,00008,ACETONE SERUM QUALITATIVE,301,21.0,Mission Community Hospital - Panorama,2019
2,00013,"REF AMOEBIASIS, IHA",302,18.87,Mission Community Hospital - Panorama,2019
3,00015,ADAPTER BRONCH SWIVEL,270,35.6,Mission Community Hospital - Panorama,2019
4,00020,REF ANDROSTENEDIONE,301,31.57,Mission Community Hospital - Panorama,2019
5,00021,MINOR SURG.1ST.HOUR,360,6167.0,Mission Community Hospital - Panorama,2019
6,00023,SYRINGE/GAUGE ASSEMBLY SET,270,160.0,Mission Community Hospital - Panorama,2019
7,00029,ABD 2 VIEWS,320,661.0,Mission Community Hospital - Panorama,2019
8,00032,POSTERIOR STABILIZED ARTICULAR INSER,278,6431.25,Mission Community Hospital - Panorama,2019
9,00035,"REF ANGIOTENSIN I, CONV. ENZYME",301,16.34,Mission Community Hospital - Panorama,2019
10,00036,BAIR HUGGER BLANKET,270,147.0,Mission Community Hospital - Panorama,2019
11,00038,BICAP HEMOSTASIS PROBE,270,551.46,Mission Community Hospital - Panorama,2019
12,00039,MINOR SURG. ADDL 15 MIN,360,1545.0,Mission Community Hospital - Panorama,2019
13,00045,ABDOMINAL SERIES,320,828.0,Mission Community Hospital - Panorama,2019
14,00048,NON POROUS TIBIAL BASE PLATE,278,7486.5,Mission Community Hospital - Panorama,2019
15,00049,FIBER CHAIN,270,130.0,Mission Community Hospital - Panorama,2019
16,00052,"REF ANTI-HERPES V, TYPE I, IGM",302,21.99,Mission Community Hospital - Panorama,2019
17,00053,"REF ANTI-HERPES V, TYPE 1, IGG",302,14.76,Mission Community Hospital - Panorama,2019
18,00054,"REF ANTI-HERPES V, TYPE 2, IGG",302,14.76,Mission Community Hospital - Panorama,2019
19,00055,"REF ANTI-HERPES V, TYPE 2, IGM",302,21.99,Mission Community Hospital - Panorama,2019
20,00058,PT MECHANICAL TRACTION,420,37.64,Mission Community Hospital - Panorama,2019
21,00060,US HEAD ULTRASOUND NEO NATAL,402,1884.15,Mission Community Hospital - Panorama,2019
22,00063,REF ACID-FAST CULTURE,306,16.65,Mission Community Hospital - Panorama,2019
23,00065,ACETONE URINE QUALITATIVE,301,22.05,Mission Community Hospital - Panorama,2019
24,00066,"PT CONTRAST BATHS, EA 15 MIN",420,88.31,Mission Community Hospital - Panorama,2019
25,00067,REF ANTI MICROSOMAL ANTIBODY,302,15.14,Mission Community Hospital - Panorama,2019
26,00068,US THYROID ULTRASOUND,402,1322.1,Mission Community Hospital - Panorama,2019
27,00072,US TRANSVAGINAL ULTRASOUND,402,2092.35,Mission Community Hospital - Panorama,2019
28,00073,BRONCHO - CATH,270,309.75,Mission Community Hospital - Panorama,2019
29,00075,REF ALLER SP IGE EA,302,34.78,Mission Community Hospital - Panorama,2019
30,00082,ENSURE COMPLETE 8 OZ,259,10.5,Mission Community Hospital - Panorama,2019
31,00100,US TESTICULAR ULTRASOUND,402,1322.1,Mission Community Hospital - Panorama,2019
32,00103,NON PRESSURIZED INITIAL TREATMENT,410,210.0,Mission Community Hospital - Panorama,2019
33,00104,POWER EQUIPMENT,270,314.73,Mission Community Hospital - Panorama,2019
34,00105,C-ARM DRAPE,270,27.72,Mission Community Hospital - Panorama,2019
35,00106,CHOLESTEROL BODY FLUIDS,301,52.5,Mission Community Hospital - Panorama,2019
36,00108,"REF ANTI-RETICULIN ANTIBODY, IFA",302,74.11,Mission Community Hospital - Panorama,2019
37,00110,AC JTS BIL W/WO WEIGHT,320,228.9,Mission Community Hospital - Panorama,2019
38,00111,REF AMIODARONE,301,36.16,Mission Community Hospital - Panorama,2019
39,00113,CANNULATED SCRWS,278,551.25,Mission Community Hospital - Panorama,2019
40,00117,REF ANTI-SSA  ANTI-SSB,302,56.29,Mission Community Hospital - Panorama,2019
41,00118,US ABDOMINAL ULTRASOUND,402,2115.9,Mission Community Hospital - Panorama,2019
42,00120,CATH CHOLANGIOCATH,270,36.75,Mission Community Hospital - Panorama,2019
43,00121,REF ACID-FAST STAIN,306,5.34,Mission Community Hospital - Panorama,2019
44,00122,REF HIV-1 AB,302,58.24,Mission Community Hospital - Panorama,2019
45,00123,REF MICROALBUMIN RANDOM URINE,301,34.65,Mission Community Hospital - Panorama,2019
46,00126,TRANSFUSION REAC. WORKUP INITIAL,310,196.87,Mission Community Hospital - Panorama,2019
47,00127,CROSSMATCH IMM SPIN,302,61.76,Mission Community Hospital - Panorama,2019
48,00128,REF ANTI-STRIATED MUSCLE ANTIBODY,302,81.22,Mission Community Hospital - Panorama,2019
49,00129,ACCUCHECK,301,8.19,Mission Community Hospital - Panorama,2019
