,EAP,Description,Revenue Code,Inpatient Price,Outpatient Price,Hospital,Year
0,10000000,HCHG ROOM TELEMETRY/SPEC CARE,214,5539.0,5539.0,Novato Community Hospital,2019
1,10000003,HCHG ROOM MED/SURG/GYN,121,4261.0,4261.0,Novato Community Hospital,2019
2,10000005,HCHG ROOM PEDIATRIC,123,7389.0,7389.0,Novato Community Hospital,2019
3,10000016,HCHG ROOM ICU,200,10375.0,10375.0,Novato Community Hospital,2019
4,10000018,HCHG ROOM ICU INTERM,206,6391.0,6391.0,Novato Community Hospital,2019
5,10000063,HCHG ROOM MED/SURG/GYN PVT MJ,111,4261.0,4261.0,Novato Community Hospital,2019
6,10000075,HCHG ROOM LOA NO CHARGE,180,1.0,1.0,Novato Community Hospital,2019
7,10000093,HCHG ROOM NON-COVERED CUSTODIAL CARE,129,1853.0,1853.0,Novato Community Hospital,2019
8,10100005,HCHG OBS PER HOUR,762,242.0,242.0,Novato Community Hospital,2019
9,10100007,HCHG OBS DIRECT ADMIT,762,557.0,557.0,Novato Community Hospital,2019
10,10100010,HCHG OBS DECLOT VASCULAR DEVICE WITH THROMBOLYTIC,760,617.0,617.0,Novato Community Hospital,2019
11,10100012,HCHG OBS IRRIGATION BLADDER SIMPLE,760,109.0,109.0,Novato Community Hospital,2019
12,10100013,HCHG OBS INSERT STRAIGHT CATHETER,760,339.0,339.0,Novato Community Hospital,2019
13,10200002,HCHG EXCH TRANSFN BLOOD NOT NB,391,472.0,472.0,Novato Community Hospital,2019
14,17000060,HCHG PT MCAL SINGLE PROCURE ADDITIONAL 15 MIN,420,240.0,240.0,Novato Community Hospital,2019
15,17000062,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES INITIAL 30 MIN,420,393.0,393.0,Novato Community Hospital,2019
16,17000063,HCHG PT MCAL TREATMENT COMBINATION PROCEDURES AND MODALITIES ADDITIONAL 15 MIN,420,197.0,197.0,Novato Community Hospital,2019
17,17000067,HCHG PT MCAL EVALUATION INITIAL 30 MIN,420,386.0,386.0,Novato Community Hospital,2019
18,17000068,HCHG PT MCAL RE-EVALUATION INITIAL 30 MIN,420,323.0,323.0,Novato Community Hospital,2019
19,17000071,HCHG PT MCAL EVALUATION ADDITIONAL 15 MIN,420,222.0,222.0,Novato Community Hospital,2019
20,17000072,HCHG PT MCAL RE-EVALUATION ADDITIONAL 15 MIN,420,209.0,209.0,Novato Community Hospital,2019
21,17000073,HCHG PT MCAL EVALUATION PRELIMINARY SNF ICF INITIAL 30 MIN,420,338.0,338.0,Novato Community Hospital,2019
