,CDM,Description,Price,TYPE,NOTE,Hospital,Year
0,34800060,DIAB EDUC SMT INDIV EA 30MIN,138.0,0,,Palmdale Regional Medical Center,2019
1,34800227,STAT CHARGE ONLY - PER VISIT,,2,STATISTICAL CHARGE,Palmdale Regional Medical Center,2019
2,38000477,SCREW CANC 6.5X15MM,279.0,0,,Palmdale Regional Medical Center,2019
3,38000493,HEAD FEM COCR 36MM HEAD +8MM,6511.0,0,,Palmdale Regional Medical Center,2019
4,38000840,MATRIX CELL BONE 15CC VIVIGEN,30929.0,0,,Palmdale Regional Medical Center,2019
5,38000899,ELECTRODE EMBLEM S-ICD 3401,27131.0,0,,Palmdale Regional Medical Center,2019
6,38001012,NAIL IM CANN 130D RT 11X440MM,17697.0,0,,Palmdale Regional Medical Center,2019
7,38001152,SCREW QFX 2X10MM,1325.0,0,,Palmdale Regional Medical Center,2019
8,38001509,SCREW VARI S TAP 3.5X12MM,803.0,0,,Palmdale Regional Medical Center,2019
9,38001897,KWIRE 0.9X102MM,65.0,0,,Palmdale Regional Medical Center,2019
10,38002226,CAGE 10.25MM BATTALION PS,8406.0,0,,Palmdale Regional Medical Center,2019
11,38002317,BANDAGE PREVENA KIT 13CM,990.0,0,,Palmdale Regional Medical Center,2019
12,38002416,COMPONENT 3 4 5 LT 11MM KN,4884.0,0,,Palmdale Regional Medical Center,2019
13,38002440,GRAFT PURAPLY AM 5X5CM,8544.0,0,,Palmdale Regional Medical Center,2019
14,38002457,GRAFT PURAPLY AM 2X2CM,1215.0,0,,Palmdale Regional Medical Center,2019
15,38002465,GRAFT PURAPLY AM 2X4CM,2025.0,0,,Palmdale Regional Medical Center,2019
16,38002556,CATH ZELANTE OTW 035X8FX105,6788.0,0,,Palmdale Regional Medical Center,2019
17,38002564,ROD CREO 50MM,2025.0,0,,Palmdale Regional Medical Center,2019
18,38003570,HIP BIPOLAR 50X28MM,4558.0,0,,Palmdale Regional Medical Center,2019
19,38003620,PUTTY DBM 10CC,5944.0,0,,Palmdale Regional Medical Center,2019
20,38003679,SCREW POST CRTX 3.5X12MM,3811.0,0,,Palmdale Regional Medical Center,2019
21,38003810,SCREW POST CRTX 4X12MM,7162.0,0,,Palmdale Regional Medical Center,2019
22,38003828,ROD TRANSITIONAL 60MM,1628.0,0,,Palmdale Regional Medical Center,2019
23,38003836,CONNECTOR CROSS CRTX 33-42MM,6837.0,0,,Palmdale Regional Medical Center,2019
24,38003919,LINER ACET CONSTRN 62-64X28MM,9116.0,0,,Palmdale Regional Medical Center,2019
25,38004099,PLATE MINI MOD 2MM STOUT 6H RT,3087.0,0,,Palmdale Regional Medical Center,2019
26,38004156,SCREW VLP 2X10MM CTX S TAP,435.0,0,,Palmdale Regional Medical Center,2019
27,38004164,SCREW VLP 2X10MM LCK S TAP,649.0,0,,Palmdale Regional Medical Center,2019
28,38004396,HEAD HUM ECCENTRIC 40X17MM,10551.0,0,,Palmdale Regional Medical Center,2019
29,38004883,VIVIGEN 1CC CELLULAR BIOLOGIC,3376.0,0,,Palmdale Regional Medical Center,2019
30,38004958,INSERT RT 3-4 15MM BCS XLPE,5583.0,0,,Palmdale Regional Medical Center,2019
31,38005021,MEMBRANE ACTISHIELD 4X8CM,9711.0,0,,Palmdale Regional Medical Center,2019
32,38005039,POST SURFACE 10MM LT 6-9 G-H,6029.0,0,,Palmdale Regional Medical Center,2019
33,38005138,BREAST IMPLANT STYLE FX 620CC,7325.0,0,,Palmdale Regional Medical Center,2019
34,38005500,HIP BIPOLAR 41MM22MM,4558.0,0,,Palmdale Regional Medical Center,2019
35,38005773,NAIL INTRTAN 125D RT 10MMX42CM,15970.0,0,,Palmdale Regional Medical Center,2019
36,38006052,SPACER ACAPELLA 14X16X5MM,26697.0,0,,Palmdale Regional Medical Center,2019
37,38006078,STEM FEM STD NO CEM 46.5MM,9767.0,0,,Palmdale Regional Medical Center,2019
38,38006128,PLATE T 2MM 6H,3334.0,0,,Palmdale Regional Medical Center,2019
39,38006136,SCREW LCK 2X8MM,649.0,0,,Palmdale Regional Medical Center,2019
40,38006219,PUTTY DBM 5CC,4013.0,0,,Palmdale Regional Medical Center,2019
41,38006706,STENT AAA OVATION IX 29MMX80CM,72344.0,0,,Palmdale Regional Medical Center,2019
42,38006730,STENT OVATION IX ILIAC 28X160,32550.0,0,,Palmdale Regional Medical Center,2019
43,38006854,CATH SWAN GANZ 7.5FR 110CM,118.0,0,,Palmdale Regional Medical Center,2019
44,38007068,SPACER PLATEAU 16X13X7MM 7D,4885.0,0,,Palmdale Regional Medical Center,2019
45,38007118,ZENAPRO HYBRID HERNIA 20X30,33160.0,0,,Palmdale Regional Medical Center,2019
46,38007134,SCREW POLY AX REDUCT 5.5X40MM,4380.0,0,,Palmdale Regional Medical Center,2019
47,38007142,ROD ANY PLUS OPEN 5.5X100MM0,1628.0,0,,Palmdale Regional Medical Center,2019
48,38007159,CONNECTOR TRNSVRS CROSS 35-46,6837.0,0,,Palmdale Regional Medical Center,2019
49,38007225,STENT DES SYNERGY2 MONO 2.25X8,8290.0,0,,Palmdale Regional Medical Center,2019
50,38007233,STENT DES SYNEGY2 MONO 2.25X12,8290.0,0,,Palmdale Regional Medical Center,2019
51,38007241,STENT DES SYNRGY2 MONO 2.25X16,8290.0,0,,Palmdale Regional Medical Center,2019
52,38007258,STENT DES SYNEGY2 MONO 2.25X20,8290.0,0,,Palmdale Regional Medical Center,2019
53,38007266,STENT DES SYNEGY2 MONO 2.25X24,765.0,0,,Palmdale Regional Medical Center,2019
54,38007274,STENT DES SYNEGY2 MONO 2.25X28,7676.0,0,,Palmdale Regional Medical Center,2019
55,38007282,STENT DES SYNEGY2 MONO 2.25X32,8290.0,0,,Palmdale Regional Medical Center,2019
56,38007290,STENT DES SYNEGY2 MONO 2.25X38,5500.0,0,,Palmdale Regional Medical Center,2019
57,38007308,STENT DES SYNERGY2 MONO 2.5X8,8290.0,0,,Palmdale Regional Medical Center,2019
58,38007316,STENT DES SYNERGY2 MONO 2.5X12,8290.0,0,,Palmdale Regional Medical Center,2019
59,38007324,STENT DES SYNERGY2 MONO 2.5X16,8290.0,0,,Palmdale Regional Medical Center,2019
60,38007332,STENT DES SYNERGY2 MONO 2.5X20,8290.0,0,,Palmdale Regional Medical Center,2019
61,38007340,STENT DES SYNERGY2 MONO 2.5X24,8290.0,0,,Palmdale Regional Medical Center,2019
62,38007357,STENT DES SYNERGY2 MONO 2.5X28,8290.0,0,,Palmdale Regional Medical Center,2019
63,38007365,STENT DES SYNERGY2 MONO 2.5X32,7676.0,0,,Palmdale Regional Medical Center,2019
64,38007373,STENT DES SYNERGY2 MONO 2.5X38,8290.0,0,,Palmdale Regional Medical Center,2019
65,38007381,STENT DES SYNEGY2 MONO 2.75X8,8290.0,0,,Palmdale Regional Medical Center,2019
66,38007399,STENT DES SYNEGY2 MONO 2.75X12,8290.0,0,,Palmdale Regional Medical Center,2019
