,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,PLA,20100020,SEMI-PRIVATE,5803.0,Placentia-Linda Community Hospital,2019
1,PLA,20100228,ICU GEN,16066.0,Placentia-Linda Community Hospital,2019
2,PLA,20100624,ICU INTERMED,8324.0,Placentia-Linda Community Hospital,2019
3,PLA,21200027,SEMI-PRIVATE,5803.0,Placentia-Linda Community Hospital,2019
4,PLA,21500020,SEMI-PRIVATE,5803.0,Placentia-Linda Community Hospital,2019
5,PLA,21500228,ICU GEN,16066.0,Placentia-Linda Community Hospital,2019
6,PLA,21500624,ICU INTERMED,8324.0,Placentia-Linda Community Hospital,2019
7,PLA,23200025,SEMI-PRIVATE,5803.0,Placentia-Linda Community Hospital,2019
8,PLA,23200223,ICU GEN,16066.0,Placentia-Linda Community Hospital,2019
9,PLA,23200629,ICU INTERMED,8324.0,Placentia-Linda Community Hospital,2019
10,PLA,23300023,SEMI-PRIVATE,5803.0,Placentia-Linda Community Hospital,2019
11,PLA,23300627,ICU INTERMED,8324.0,Placentia-Linda Community Hospital,2019
12,PLA,30800155,LITHOTRIPSY,15644.52,Placentia-Linda Community Hospital,2019
13,PLA,30805907,LITHOTRIPSY,12737.49,Placentia-Linda Community Hospital,2019
14,PLA,30830103,SP PROC W/LITHO,15644.52,Placentia-Linda Community Hospital,2019
15,PLA,32100083,SPEC PROC EA15M,2055.05,Placentia-Linda Community Hospital,2019
16,PLA,32102329,INJ-PLTRICHPLAS,4385.61,Placentia-Linda Community Hospital,2019
17,PLA,32110025,SPEC PROC INT30,4110.12,Placentia-Linda Community Hospital,2019
18,PLA,32135501,SURG LVI INT30,5742.41,Placentia-Linda Community Hospital,2019
19,PLA,32135519,SURG LVI EA 15,2372.1,Placentia-Linda Community Hospital,2019
20,PLA,32135527,SURG LVII INT30,6930.34,Placentia-Linda Community Hospital,2019
21,PLA,32135535,SURG LVII EA15,2909.93,Placentia-Linda Community Hospital,2019
22,PLA,32135543,SURG LVIII IN30,8018.98,Placentia-Linda Community Hospital,2019
23,PLA,32135550,SURG LVIII EA15,3133.85,Placentia-Linda Community Hospital,2019
24,PLA,32135568,SURG LVIV INT30,9716.4,Placentia-Linda Community Hospital,2019
25,PLA,32135576,SURG LVIV EA 15,3767.67,Placentia-Linda Community Hospital,2019
26,PLA,32135725,DAVN LVII INT30,6930.34,Placentia-Linda Community Hospital,2019
27,PLA,32135733,DAVN LVII EA15,2909.93,Placentia-Linda Community Hospital,2019
28,PLA,32135741,DAVN LVIII IN30,8018.98,Placentia-Linda Community Hospital,2019
29,PLA,32135758,DAVN LVIII EA15,3133.85,Placentia-Linda Community Hospital,2019
30,PLA,32135766,DAVN LVIV INT30,9716.4,Placentia-Linda Community Hospital,2019
31,PLA,32135774,DAVN LVIV EA 15,3767.67,Placentia-Linda Community Hospital,2019
32,PLA,32168916,BLD AUTOSLV,1504.42,Placentia-Linda Community Hospital,2019
33,PLA,32190225,RBC WASH AUTO,673.35,Placentia-Linda Community Hospital,2019
34,PLA,32210007,SPEC PROC INT30,1746.21,Placentia-Linda Community Hospital,2019
35,PLA,32210155,SPEC PROC EA15M,790.75,Placentia-Linda Community Hospital,2019
36,PLA,32235707,RECOVERY INT 30,2886.25,Placentia-Linda Community Hospital,2019
37,PLA,32235715,RECOVERY EA 15M,1487.78,Placentia-Linda Community Hospital,2019
