,Charge Code,Description,CPT4 Code,Price,Hospital,Year
0,202940000420,MEALS,,0.0,Rideout Memorial Hospital,2019
1,301099250555,RMH ICU TELEMETRY,,5399.0,Rideout Memorial Hospital,2019
2,301099255000,RMH ICU,,8949.0,Rideout Memorial Hospital,2019
3,301099255500,RMH ICU SEMI PRIVATE,,3855.0,Rideout Memorial Hospital,2019
4,301099255550,RMH ICU OBSERVATION,,373.0,Rideout Memorial Hospital,2019
5,301099255555,RMH ICU (CICU),,9774.0,Rideout Memorial Hospital,2019
6,301099600001,IV INFUSION HYDRATION 1ST HR,96360,497.0,Rideout Memorial Hospital,2019
7,301099600002,IV INFUS HYDRATE EA ADDL HR,96361,301.0,Rideout Memorial Hospital,2019
8,301099600003,INFUSION THERAPY 1ST HR,96365,753.0,Rideout Memorial Hospital,2019
9,301099600004,INFUSION THERAPY EA ADDL HR,96366,497.0,Rideout Memorial Hospital,2019
10,301099600005,INFUSIN THER ADDL SEQ INF 1HR,96367,497.0,Rideout Memorial Hospital,2019
11,301099600006,INFUSION THERAPY CONCURRENT,96368,497.0,Rideout Memorial Hospital,2019
12,301099600007,INJ THERAPY SUBQ/IM,96372,151.0,Rideout Memorial Hospital,2019
13,301099600008,INJ THERAPY IV PUSH INIT DRUG,96374,268.0,Rideout Memorial Hospital,2019
14,301099600009,INJ THER IV PUSH EA ADL NEW SQ,96375,268.0,Rideout Memorial Hospital,2019
15,301099600010,INJ THERAPY SAME DRUG EA ADDL,96376,268.0,Rideout Memorial Hospital,2019
16,301099600014,IMMUNIZATION 1 VACCINE,90471,146.0,Rideout Memorial Hospital,2019
17,301099600015,IMMUNIZATION EA ADDL VACCINE,90472,146.0,Rideout Memorial Hospital,2019
18,301099600016,ADMIN OF INFLUENZA VACCINE,G0008,146.0,Rideout Memorial Hospital,2019
19,301099600017,ADMIN OF PNEUMOVAX,G0009,146.0,Rideout Memorial Hospital,2019
20,301099600018,DIRECT ADMIT TO OBSERVATION,G0379,241.0,Rideout Memorial Hospital,2019
21,301099600100,INTUBATION,31500,1429.0,Rideout Memorial Hospital,2019
22,301099600101,BRONCHOSCOPSY,31622,4730.0,Rideout Memorial Hospital,2019
23,301099600102,CHEST TUBE PLACEMENT,32550,6813.0,Rideout Memorial Hospital,2019
24,301099600103,THORANCENTESIS W/O IMAGING GUIDANCE,32554,1444.0,Rideout Memorial Hospital,2019
25,301099600104,CENTRAL LINE PLACEMENT 5 YRS AND >,36556,3441.0,Rideout Memorial Hospital,2019
26,301099600105,PICC LINE INSERTION W/O IMAG 5 YRS AND >,36569,2876.0,Rideout Memorial Hospital,2019
27,301099600107,PARACENTESIS W/O IMAGING GUIDANCE,49082,4663.0,Rideout Memorial Hospital,2019
28,301099600108,LUMBAR PUNCTURE,62270,2052.0,Rideout Memorial Hospital,2019
29,301099600109,THORANCENTESIS W/ IMAGING GUIDANCE,32555,1801.0,Rideout Memorial Hospital,2019
30,301099600110,ARTERIAL LINE PLACEMENT,,3441.0,Rideout Memorial Hospital,2019
31,301099600111,PARACENTESIS W/ IMAGING GUIDANCE,49083,4901.0,Rideout Memorial Hospital,2019
32,303099250666,RMH CICU TELEMETRY,,5723.0,Rideout Memorial Hospital,2019
33,303099256000,RMH CICU,,9774.0,Rideout Memorial Hospital,2019
34,303099256600,RMH CICU SEMI PRIVATE,,3855.0,Rideout Memorial Hospital,2019
