,CDM ID,Description,NDC,CPT/HCPCS,CHARGE,CHARGE QUANTITY,Hospital,Year
0,2500000637,ABACAVIR SULFATE 20 MG/ML PO SOLN,49702-222-48,,333.0,240 mL,Ronald Reagan UCLA Medical Center,2019
1,2500000637,ABACAVIR SULFATE 300 MG PO TABS,68084-021-21,,13.33,1 each,Ronald Reagan UCLA Medical Center,2019
2,2500000637,ABACAVIR SULFATE-LAMIVUDINE 600-300 MG PO TABS,66993-482-30,,13.418,1 each,Ronald Reagan UCLA Medical Center,2019
3,2500000637,ABACAVIR-LAMIVUDINE-ZIDOVUDINE 300-150-300 MG PO TABS,49702-217-18,,60.855,1 each,Ronald Reagan UCLA Medical Center,2019
4,2500000636,ABATACEPT 125 MG/ML SC SOSY,0003-2188-11,J0129,3972.972,1  x 1 mL Syringe,Ronald Reagan UCLA Medical Center,2019
5,2500000636,ABATACEPT 250 MG IV SOLR,0003-2187-13,J0129,3018.69,1 each,Ronald Reagan UCLA Medical Center,2019
6,2500000636,ABCIXIMAB 2 MG/ML IV SOLN,57894-200-01,J0130,3630.93,1  x 5 mL Vial,Ronald Reagan UCLA Medical Center,2019
7,2500003636,ABIRATERONE ACETATE 250 MG PO TABS,57894-150-12,C9399,246.945,1 each,Ronald Reagan UCLA Medical Center,2019
8,2500000636,ABOBOTULINUMTOXINA 300 UNITS IM SOLR,15054-0530-6,J0586,2062.0,1 each,Ronald Reagan UCLA Medical Center,2019
9,2500000636,ABOBOTULINUMTOXINA 500 UNITS IM SOLR,15054-0500-1,J0586,3436.0,1 each,Ronald Reagan UCLA Medical Center,2019
10,2500000637,ABSORBASE EX OINT,46287-507-16,,17.075,1  x 454 g Jar,Ronald Reagan UCLA Medical Center,2019
11,2500000250,ACD FORMULA A 0.73-2.45-2.2 GM/100ML VI SOLN,0942-0641-04,,40.0,1  x 1000 mL Plas Cont,Ronald Reagan UCLA Medical Center,2019
12,2500000636,ACETAMINOPHEN 10 MG/ML IV SOLN,43825-102-01,J0131,110.0,1  x 100 mL Vial,Ronald Reagan UCLA Medical Center,2019
13,2500000637,ACETAMINOPHEN 120 MG RE SUPP,45802-732-30,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
14,2500000637,ACETAMINOPHEN 325 MG PO TABS,50580-600-02,,0.0,,Ronald Reagan UCLA Medical Center,2019
15,2500000637,ACETAMINOPHEN 325 MG RE SUPP,51672-2116-4,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
16,2500000637,ACETAMINOPHEN 500 MG PO TABS,0904-6730-61,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
17,2500000637,ACETAMINOPHEN 650 MG RE SUPP,45802-730-32,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
18,2500000637,ACETAMINOPHEN 650 MG/20.3ML PO SOLN,66689-056-99,,4.0,1  x 20.3 mL Cup,Ronald Reagan UCLA Medical Center,2019
19,2500000637,ACETAMINOPHEN-CODEINE #3 300-30 MG PO TABS,0406-0484-62,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
20,2500000637,ACETAMINOPHEN-CODEINE #4 300-60 MG PO TABS,68084-373-01,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
21,2500000637,ACETAMINOPHEN-CODEINE 120-12 MG/5ML PO SOLN,C50383-079-16,,8.0,1  x 15 mL Cup,Ronald Reagan UCLA Medical Center,2019
22,2500000637,ACETAZOLAMIDE 250 MG PO TABS,68084-541-01,,6.755,1 each,Ronald Reagan UCLA Medical Center,2019
23,2500000637,ACETAZOLAMIDE ER 500 MG PO CP12,68084-401-21,,7.545,1 each,Ronald Reagan UCLA Medical Center,2019
24,2500000636,ACETAZOLAMIDE SODIUM 500 MG IJ SOLR,39822-0190-1,J1120,40.0,1 each,Ronald Reagan UCLA Medical Center,2019
25,2500000250,ACETIC ACID 0.25 % IR SOLN,0338-0656-04,,40.0,1  x 1000 mL Plas Cont,Ronald Reagan UCLA Medical Center,2019
26,2500000637,ACETIC ACID 2 % OT SOLN,60432-741-15,,63.5,1  x 15 mL Bottle,Ronald Reagan UCLA Medical Center,2019
27,2500000250,ACETIC ACID 3 % SOLN,P8252-0051-30,,4.0,1  x 30 mL Bottle,Ronald Reagan UCLA Medical Center,2019
28,2500000250,ACETYLCHOLINE CHLORIDE 20 MG IO SOLR,24208-539-20,,169.14,1 each,Ronald Reagan UCLA Medical Center,2019
29,2500000637,ACETYLCYSTEINE 20 % IN SOLN,0517-7604-25,,10.995,1  x 4 mL Vial,Ronald Reagan UCLA Medical Center,2019
30,2500000636,ACETYLCYSTEINE 200 MG/ML IV SOLN,55150-259-30,J0132,169.545,1  x 30 mL Vial,Ronald Reagan UCLA Medical Center,2019
31,2500000637,ACITRETIN 10 MG PO CAPS,0378-7020-93,,28.31,1 each,Ronald Reagan UCLA Medical Center,2019
32,2500000637,ACITRETIN 25 MG PO CAPS,0378-7023-93,,34.895,1 each,Ronald Reagan UCLA Medical Center,2019
33,2500000637,ACYCLOVIR 200 MG PO CAPS,68084-107-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
34,2500000637,ACYCLOVIR 200 MG/5ML PO SUSP,R0472-0082-16,,4.725,1  x 5 mL Syringe,Ronald Reagan UCLA Medical Center,2019
35,2500000637,ACYCLOVIR 400 MG PO TABS,0904-5790-61,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
36,2500000637,ACYCLOVIR 5 % EX OINT,65162-835-94,,340.05,1  x 15 g Tube,Ronald Reagan UCLA Medical Center,2019
37,2500000637,ACYCLOVIR 800 MG PO TABS,68084-109-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
38,2500000636,ACYCLOVIR SODIUM 50 MG/ML IV SOLN,55150-155-20,J0133,40.0,1  x 20 mL Vial,Ronald Reagan UCLA Medical Center,2019
39,2500000637,ADALIMUMAB 20 MG/0.4ML SC PSKT,0074-9374-02,J0135,7041.69,1 each,Ronald Reagan UCLA Medical Center,2019
40,2500000637,ADALIMUMAB 40 MG/0.8ML SC PNKT,0074-4339-02,J0135,7037.805,1 each,Ronald Reagan UCLA Medical Center,2019
41,2500000637,ADALIMUMAB 40 MG/0.8ML SC PSKT,0074-3799-02,J0135,7037.805,1 each,Ronald Reagan UCLA Medical Center,2019
42,2500000637,ADEFOVIR DIPIVOXIL 10 MG PO TABS,42794-003-08,,55.19300000000001,1 each,Ronald Reagan UCLA Medical Center,2019
43,2500000636,ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,0703-8776-01,J0153,194.37,1  x 20 mL Vial,Ronald Reagan UCLA Medical Center,2019
44,2500000636,ADENOSINE 6 MG/2ML IV SOLN,17478-542-02,J0153,40.0,1  x 2 mL Vial,Ronald Reagan UCLA Medical Center,2019
45,2500003636,ADO-TRASTUZUMAB EMTANSINE 100 MG IV SOLR,50242-088-01,J9354,8963.73,1 each,Ronald Reagan UCLA Medical Center,2019
46,2500000636,AFLIBERCEPT 2 MG/0.05ML IZ SOLN,61755-005-02,J0178,5550.0,1  x .05 mL Vial,Ronald Reagan UCLA Medical Center,2019
47,2500000637,ALBENDAZOLE 200 MG PO TABS,52054-550-22,,770.193,1 each,Ronald Reagan UCLA Medical Center,2019
48,2500000636,ALBUMIN HUMAN 25 % IV SOLN,68516-5216-1,,214.0,,Ronald Reagan UCLA Medical Center,2019
49,2500000636,ALBUMIN HUMAN 5 % IV SOLN,68516-5214-1,,214.0,,Ronald Reagan UCLA Medical Center,2019
50,2500000637,ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% IN NEBU,0487-9501-01,,4.0,1  x 3 mL Plas Cont,Ronald Reagan UCLA Medical Center,2019
51,2500000637,ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,0487-9901-30,,4.0,1  x .5 mL Plas Cont,Ronald Reagan UCLA Medical Center,2019
52,2500000637,ALBUTEROL SULFATE 2 MG PO TABS,51079-657-20,,11.67,1 each,Ronald Reagan UCLA Medical Center,2019
53,2500000637,ALBUTEROL SULFATE 2 MG/5ML PO SYRP,50383-740-16,,108.79,473 mL,Ronald Reagan UCLA Medical Center,2019
54,2500000637,ALBUTEROL SULFATE 4 MG PO TABS,51079-658-20,,13.718,1 each,Ronald Reagan UCLA Medical Center,2019
55,2500000637,ALBUTEROL SULFATE ER 4 MG PO TB12,0378-4122-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
56,2500000637,ALBUTEROL SULFATE HFA 108 (90 BASE) MCG/ACT IN AERS,0173-0682-24,,47.525,1  x 8 g Inhaler,Ronald Reagan UCLA Medical Center,2019
