,CDM,Description,Price,Surgery Center/Procedure Room Charge,Supply Charge Range,Hospital,Year
0,1100011000,HB SINGLE,5350.0,,,Ronald Reagan UCLA Medical Center,2019
1,1100011100,HB SINGLE MED/SURG,5350.0,,,Ronald Reagan UCLA Medical Center,2019
2,1100011200,HB SINGLE OB,5350.0,,,Ronald Reagan UCLA Medical Center,2019
3,1100011300,HB SINGLE PEDS,5350.0,,,Ronald Reagan UCLA Medical Center,2019
4,1100011400,HB SINGLE PSYCH,4320.0,,,Ronald Reagan UCLA Medical Center,2019
5,1100011700,HB SINGLE ONCOLOGY,5350.0,,,Ronald Reagan UCLA Medical Center,2019
6,1200012000,HB SEMIPRIVATE,5350.0,,,Ronald Reagan UCLA Medical Center,2019
7,1200012100,HB SEMIPRIVATE MED SURG GYN,5350.0,,,Ronald Reagan UCLA Medical Center,2019
8,1200012200,HB SEMIPRIVATE OB,5350.0,,,Ronald Reagan UCLA Medical Center,2019
9,1200012300,HB SEMIPRIVATE PEDS,5350.0,,,Ronald Reagan UCLA Medical Center,2019
10,1200012400,HB SEMIPRIVATE PSYCH,4320.0,,,Ronald Reagan UCLA Medical Center,2019
11,1200012700,HB SEMIPRIVATE ONCOLOGY,5350.0,,,Ronald Reagan UCLA Medical Center,2019
12,1300013000,HB MULTIBED STANDARD,5350.0,,,Ronald Reagan UCLA Medical Center,2019
13,1300013100,HB MULTIBED MED SURG GYN,5350.0,,,Ronald Reagan UCLA Medical Center,2019
14,1300013200,HB MULTIBED OB,5350.0,,,Ronald Reagan UCLA Medical Center,2019
15,1300013300,HB MULTIBED PEDS,5350.0,,,Ronald Reagan UCLA Medical Center,2019
16,1300013700,HB MULTIBED ONCOLOGY,5350.0,,,Ronald Reagan UCLA Medical Center,2019
17,1400020000,HB  ECMO ROLLER PUMP-INHOUSE TRANSPORT,2150.0,,,Ronald Reagan UCLA Medical Center,2019
18,1403394600,HB ECMO SUPPORT VENOVENOUS INITIATION,11200.0,,,Ronald Reagan UCLA Medical Center,2019
19,1403394700,HB ECMO SUPPORT VENOARTERIAL INITIATION,11200.0,,,Ronald Reagan UCLA Medical Center,2019
20,1403394800,HB ECMO SUPPORT VENOVENOUS EA ADDL 24HR,11200.0,,,Ronald Reagan UCLA Medical Center,2019
21,1403394900,HB ECMO SUPPORT VENOARTERIAL EA ADDL 24HR,11200.0,,,Ronald Reagan UCLA Medical Center,2019
22,1450042100,HB  PERFUSION IABP INSERT/CHANGE VIA FEM ART PERCUTN,2160.0,,,Ronald Reagan UCLA Medical Center,2019
23,1450042400,HB  PERFUSION IABP REMOVE VIA FEM ART PERCUTN,140.0,,,Ronald Reagan UCLA Medical Center,2019
24,1450052000,HB  PERFUSION ABLATE VENTR ARRYHYTHM FOCI CPB,1970.0,,,Ronald Reagan UCLA Medical Center,2019
25,1450080600,HB  PERFUSION PLATELET GEL PROCESSING,240.0,,,Ronald Reagan UCLA Medical Center,2019
26,1450110100,HB  PERFUSION HOURS 1.00,12990.0,,,Ronald Reagan UCLA Medical Center,2019
27,1450110200,HB  PERFUSION HOURS 2.00,13480.0,,,Ronald Reagan UCLA Medical Center,2019
28,1450110300,HB  PERFUSION HOURS 3.00,13960.0,,,Ronald Reagan UCLA Medical Center,2019
29,1450110400,HB  PERFUSION HOURS 4.00,14450.0,,,Ronald Reagan UCLA Medical Center,2019
30,1450110500,HB  PERFUSION HOURS 5.00,14940.0,,,Ronald Reagan UCLA Medical Center,2019
31,1450110600,HB  PERFUSION HOURS 6.00,15430.0,,,Ronald Reagan UCLA Medical Center,2019
32,1450110700,HB  PERFUSION HOURS 7.00,15910.0,,,Ronald Reagan UCLA Medical Center,2019
33,1450110800,HB  PERFUSION HOURS 8.00,16400.0,,,Ronald Reagan UCLA Medical Center,2019
34,1450110900,HB  PERFUSION HOURS 9.00,16890.0,,,Ronald Reagan UCLA Medical Center,2019
35,1450111000,HB  PERFUSION HOURS 10.00,17380.0,,,Ronald Reagan UCLA Medical Center,2019
36,1450111100,HB  PERFUSION HOURS 11.00,17860.0,,,Ronald Reagan UCLA Medical Center,2019
37,1450111200,HB  PERFUSION HOURS 12.00,18350.0,,,Ronald Reagan UCLA Medical Center,2019
38,1450111300,HB  PERFUSION HOURS 13.00,18840.0,,,Ronald Reagan UCLA Medical Center,2019
39,1450111400,HB  PERFUSION HOURS 14.00,19330.0,,,Ronald Reagan UCLA Medical Center,2019
40,1450111500,HB  PERFUSION HOURS 15.00,19810.0,,,Ronald Reagan UCLA Medical Center,2019
41,1450111600,HB  PERFUSION HOURS 16.00,20300.0,,,Ronald Reagan UCLA Medical Center,2019
42,1450111700,HB  PERFUSION HOURS 17.00,20790.0,,,Ronald Reagan UCLA Medical Center,2019
43,1450111800,HB  PERFUSION HOURS 18.00,17020.0,,,Ronald Reagan UCLA Medical Center,2019
44,1450111900,HB  PERFUSION HOURS 19.00,21760.0,,,Ronald Reagan UCLA Medical Center,2019
45,1450112000,HB  PERFUSION HOURS 20.00,22250.0,,,Ronald Reagan UCLA Medical Center,2019
46,1450112100,HB  PERFUSION HOURS 21.00,22740.0,,,Ronald Reagan UCLA Medical Center,2019
47,1450112200,HB  PERFUSION HOURS 22.00,18580.0,,,Ronald Reagan UCLA Medical Center,2019
48,1450112300,HB  PERFUSION HOURS 23.00,23710.0,,,Ronald Reagan UCLA Medical Center,2019
49,1450112400,HB  PERFUSION HOURS 24.00,24200.0,,,Ronald Reagan UCLA Medical Center,2019
50,1451110100,HB  PERFUSION CATH LAB HOURS 1.00,10390.0,,,Ronald Reagan UCLA Medical Center,2019
51,1451110200,HB  PERFUSION CATH LAB HOURS 2.0,10780.0,,,Ronald Reagan UCLA Medical Center,2019
52,1451110300,HB  PERFUSION CATH LAB HOURS 3.0,11170.0,,,Ronald Reagan UCLA Medical Center,2019
53,1451110400,HB  PERFUSION CATH LAB HOURS 4.0,11560.0,,,Ronald Reagan UCLA Medical Center,2019
54,1451110500,HB  PERFUSION CATH LAB HOURS 5.0,11950.0,,,Ronald Reagan UCLA Medical Center,2019
