,Description,Name,Effective Date,Std Price,Hospital,Year
0,02217755,EPIDURAL BLOCK,2019-01-01 00:00:00,1086.45,Salinas Valley Memorial Hospital,2019
1,02217777,RECOVERY MAJOR PER 1/4 HOUR,2019-01-01 00:00:00,354.17,Salinas Valley Memorial Hospital,2019
2,02217778,RECOVERY PER 1/4 HOUR,2019-01-01 00:00:00,300.34,Salinas Valley Memorial Hospital,2019
3,02304519,SURGERY LEVEL V FIRST HOUR,2019-01-01 00:00:00,21868.66,Salinas Valley Memorial Hospital,2019
4,02304520,SURGERY LEVEL I FIRST HR,2019-01-01 00:00:00,4217.24,Salinas Valley Memorial Hospital,2019
5,02304521,SURGERY LEVEL I ADD 1/4 HR,2019-01-01 00:00:00,1159.14,Salinas Valley Memorial Hospital,2019
6,02304522,SURGERY LEVEL II FIRST HR,2019-01-01 00:00:00,8369.58,Salinas Valley Memorial Hospital,2019
7,02304523,SURGERY LEVEL II ADD 1/4 HR,2019-01-01 00:00:00,1738.05,Salinas Valley Memorial Hospital,2019
8,02304524,SURGERY LEVEL III FIRST HR,2019-01-01 00:00:00,13887.52,Salinas Valley Memorial Hospital,2019
9,02304525,SURGERY LEVEL III ADD 1/4 HR,2019-01-01 00:00:00,1738.05,Salinas Valley Memorial Hospital,2019
10,02304526,SURGERY LEVEL IV FIRST HR,2019-01-01 00:00:00,18570.45,Salinas Valley Memorial Hospital,2019
11,02304527,SURGERY LEVEL 4 & 5 ADD 1/4 HR,2019-01-01 00:00:00,1738.05,Salinas Valley Memorial Hospital,2019
12,02304529,ANESTH 1ST HR LEVEL 1-2,2019-01-01 00:00:00,1314.74,Salinas Valley Memorial Hospital,2019
13,02304530,ANESTH ADD 1/4 HR LEVEL 1-2,2019-01-01 00:00:00,432.18,Salinas Valley Memorial Hospital,2019
14,02304531,ANESTH 1ST HR LEVEL 3-4,2019-01-01 00:00:00,1890.21,Salinas Valley Memorial Hospital,2019
15,02304532,ANESTH ADD 1/4 HR LEVEL 3-4,2019-01-01 00:00:00,432.18,Salinas Valley Memorial Hospital,2019
16,02304594,US PROSTATE,2019-01-01 00:00:00,1490.15,Salinas Valley Memorial Hospital,2019
17,02305705,E.S. ELECTRODE HP ADULT,2019-01-01 00:00:00,356.55,Salinas Valley Memorial Hospital,2019
18,02305709,CASE CUSTOM OPEN HEART,2019-01-01 00:00:00,15166.63,Salinas Valley Memorial Hospital,2019
19,02305714,E.S. ELECTRODE HP ADULT,2019-01-01 00:00:00,382.1,Salinas Valley Memorial Hospital,2019
