,CDM,NDC,Description,Price,Hospital,Year
0,41700113,49702-0222-48,abacavir 20mg/mL soln 240mL [SJGH],139.3608,San Joaquin General Hospital,2019
1,41700105,68084-0021-21,abacavir 300mg tab [SJGH],167.39010000000005,San Joaquin General Hospital,2019
2,41720863,00093-5382-56,abacavir 600mg/lamiVUDine 300mg tab [SJGH],132.84,San Joaquin General Hospital,2019
3,71555155,00003-2187-10,abatacept 250mg/15mL SDV [SJGH],992.79,San Joaquin General Hospital,2019
4,71523013,43825-0102-01,acetaminophen 1000mg/100mL SDV [SJGH],905.136,San Joaquin General Hospital,2019
5,41700147,45802-0732-33,acetaminophen 120mg supp [SJGH],17.44,San Joaquin General Hospital,2019
6,41714407,00121-0504-00,acetaminophen 120mg/codeine 12mg 5mL soln [SJGH],93.65,San Joaquin General Hospital,2019
7,41714421,00121-0504-12,acetaminophen 120mg/codeine 12mg 5mL soln 12.5mL [SJGH],138.35,San Joaquin General Hospital,2019
8,41700188,00121-1971-00,acetaminophen 160 mg/5mL soln 20.3mL [SJGH],192.9515,San Joaquin General Hospital,2019
9,41700204,68094-0587-61,acetaminophen 160 mg/5mL soln 5mL [SJGH],58.88,San Joaquin General Hospital,2019
10,41700196,00536-0122-97,acetaminophen 160mg/5mL soln 118mL [SJGH],2.27032,San Joaquin General Hospital,2019
11,41714536,00406-0484-62,acetaminophen 300mg/codeine 30mg tab [SJGH],11.74,San Joaquin General Hospital,2019
12,41700261,63739-0440-01,acetaminophen 325mg tab [SJGH],13.23,San Joaquin General Hospital,2019
13,41700170,45802-0730-32,acetaminophen 650mg supp [SJGH],12.4,San Joaquin General Hospital,2019
14,41700436,68084-0541-01,acetaZOLAMIDE 250mg tab [SJGH],277.12,San Joaquin General Hospital,2019
15,71542005,39822-0190-01,acetaZOLAMIDE 500mg SDV [SJGH],14.62,San Joaquin General Hospital,2019
16,71503791,00338-0656-04,acetic acid 0.25% 1000mL irr soln [SJGH],28.44,San Joaquin General Hospital,2019
17,41700238,24208-0615-77,acetic acid in aluminum acetate 2% ear soln 60mL [SJGH],0.5796,San Joaquin General Hospital,2019
18,71542039,24208-0539-20,acetylcholine 1% opth soln 2mL [SJGH],29.5,San Joaquin General Hospital,2019
19,41700881,00517-7504-25,acetylcysteine 10% inh/oral soln 4mL [SJGH],104.95000000000002,San Joaquin General Hospital,2019
20,41700915,00409-3308-03,acetylcysteine 20% inh/oral soln 30mL [SJGH],27.2502,San Joaquin General Hospital,2019
21,41700907,00517-7604-25,acetylcysteine 20% inh/oral soln 4mL [SJGH],115.06,San Joaquin General Hospital,2019
22,71542153,00574-0805-30,acetylcysteine 6000mg/30mL SDV [SJGH],265.7004,San Joaquin General Hospital,2019
23,41700931,54629-4097-60,acetylcysteine 600mg cap [SJGH],5.87,San Joaquin General Hospital,2019
24,41729971,64980-0146-12,acidophilus 1gm granules pkt [SJGH],17.39004,San Joaquin General Hospital,2019
25,41710385,66689-0201-08,activated charcoal 50gm/aqueous base 240mL [SJGH],25.6104,San Joaquin General Hospital,2019
26,41700972,66689-0203-08,activated charcoal 50gm/sorbitol 240mL [SJGH],217.44,San Joaquin General Hospital,2019
27,71514079,63323-0325-20,acyclovir 1000mg/20mL SDV [SJGH],332.12,San Joaquin General Hospital,2019
28,41701053,00904-5789-61,acyclovir 200mg cap [SJGH],12.78,San Joaquin General Hospital,2019
29,41701038,00472-0082-16,acyclovir 200mg/5mL susp 473mL [SJGH],189.30879,San Joaquin General Hospital,2019
30,41701061,50268-0061-15,acyclovir 400mg tab [SJGH],12.39,San Joaquin General Hospital,2019
31,41701004,00591-1159-30,acyclovir 5% oint 30gm [SJGH],76.6701,San Joaquin General Hospital,2019
32,71514061,63323-0325-10,acyclovir 500mg/10mL SDV [SJGH],179.4,San Joaquin General Hospital,2019
33,41701079,68084-0109-01,acyclovir 800mg tab [SJGH],50.22,San Joaquin General Hospital,2019
34,71542047,00074-3799-02,adalimumab 40mg/0.8mL PFS [SJGH],5778.8375,San Joaquin General Hospital,2019
35,71527006,25021-0301-67,adenosine 6mg/2mL PFS [SJGH],89.7,San Joaquin General Hospital,2019
36,71526990,50242-0087-01,ado-trastuzumab emtansine 160mg SDV [SJGH],4710.0,San Joaquin General Hospital,2019
37,41732009,00121-1762-30,Al 2.4gm/Mg 2.4gm/simethicone 240mg 30mL susp [SJGH],177.93,San Joaquin General Hospital,2019
38,41732017,00904-0005-14,Al 400mg/Mg 400mg/simethicone 40mg 5mL susp 360mL [SJGH],2.1312,San Joaquin General Hospital,2019
39,71502843,00944-0493-02,albumin human 25% 100mL RTU [SJGH],1040.4,San Joaquin General Hospital,2019
40,71502819,00053-7680-32,albumin human 25% 50mL RTU [SJGH],33.89,San Joaquin General Hospital,2019
41,71502769,00944-0495-05,albumin human 5% 250mL RTU [SJGH],433.48,San Joaquin General Hospital,2019
42,41701509,00487-9501-01,albuterol 2.5mg/3mL neb [SJGH],5.6898,San Joaquin General Hospital,2019
