,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,SRM,20100012,PRIVATE,8901.0,San Ramon Regional Medical Center,2019
1,SRM,20100020,SEMI-PRIVATE,8745.0,San Ramon Regional Medical Center,2019
2,SRM,20100053,PRIV ISOLATION,8868.0,San Ramon Regional Medical Center,2019
3,SRM,20100228,ICU GEN,21081.0,San Ramon Regional Medical Center,2019
4,SRM,20100269,CCU GEN,20210.0,San Ramon Regional Medical Center,2019
5,SRM,20100301,CCU OTHER,24452.0,San Ramon Regional Medical Center,2019
6,SRM,20100624,ICU INTERMED,13566.0,San Ramon Regional Medical Center,2019
7,SRM,20100632,ICU INTERMED SP,10377.0,San Ramon Regional Medical Center,2019
8,SRM,21200027,SEMI-PRIVATE,8745.0,San Ramon Regional Medical Center,2019
9,SRM,21200225,ICU GEN,21081.0,San Ramon Regional Medical Center,2019
10,SRM,21200639,ICU INTERMED SP,10377.0,San Ramon Regional Medical Center,2019
11,SRM,21500020,SEMI-PRIVATE,8745.0,San Ramon Regional Medical Center,2019
12,SRM,21500053,PRIV ISOLATION,8868.0,San Ramon Regional Medical Center,2019
13,SRM,21500228,ICU GEN,21081.0,San Ramon Regional Medical Center,2019
14,SRM,21500269,CCU GEN,20210.0,San Ramon Regional Medical Center,2019
15,SRM,21500301,CCU OTHER,24452.0,San Ramon Regional Medical Center,2019
16,SRM,21500624,ICU INTERMED,13566.0,San Ramon Regional Medical Center,2019
17,SRM,21500632,ICU INTERMED SP,10377.0,San Ramon Regional Medical Center,2019
18,SRM,22100101,NEWBORN LVL I,4322.0,San Ramon Regional Medical Center,2019
19,SRM,22100135,NICU NB LVL II,5572.0,San Ramon Regional Medical Center,2019
20,SRM,22300024,SEMI-PRIVATE,8745.0,San Ramon Regional Medical Center,2019
21,SRM,22300222,ICU GEN,21081.0,San Ramon Regional Medical Center,2019
22,SRM,22300263,CCU GEN,20210.0,San Ramon Regional Medical Center,2019
23,SRM,23100027,SEMI-PRIVATE,8745.0,San Ramon Regional Medical Center,2019
24,SRM,23100050,PRIV ISOLATION,8868.0,San Ramon Regional Medical Center,2019
25,SRM,23200017,PRIVATE,8901.0,San Ramon Regional Medical Center,2019
26,SRM,23200025,SEMI-PRIVATE,8745.0,San Ramon Regional Medical Center,2019
27,SRM,23200058,PRIV ISOLATION,8868.0,San Ramon Regional Medical Center,2019
28,SRM,23200223,ICU GEN,21081.0,San Ramon Regional Medical Center,2019
29,SRM,23200306,CCU OTHER,24452.0,San Ramon Regional Medical Center,2019
30,SRM,23200629,ICU INTERMED,13566.0,San Ramon Regional Medical Center,2019
31,SRM,23200637,ICU INTERMED SP,10377.0,San Ramon Regional Medical Center,2019
32,SRM,25000019,PRIVATE,8901.0,San Ramon Regional Medical Center,2019
33,SRM,25000027,SEMI-PRIVATE,8745.0,San Ramon Regional Medical Center,2019
34,SRM,25000431,PRIV O B,9053.0,San Ramon Regional Medical Center,2019
35,SRM,25000449,SEMI-PRIV O B,7192.0,San Ramon Regional Medical Center,2019
36,SRM,25500109,NEWBORN LVL I,4322.0,San Ramon Regional Medical Center,2019
37,SRM,30700165,US BREAST COM,538.02,San Ramon Regional Medical Center,2019
38,SRM,30700306,MAMM DUCT SNGL,1466.83,San Ramon Regional Medical Center,2019
39,SRM,30700355,MAMM DUCT MULTI,1318.4,San Ramon Regional Medical Center,2019
40,SRM,30700488,DEXA AXIAL,1331.86,San Ramon Regional Medical Center,2019
41,SRM,30701106,FNA BX US GUIDE,2238.53,San Ramon Regional Medical Center,2019
42,SRM,30702021,SCRN MAMMO+CAD,532.35,San Ramon Regional Medical Center,2019
43,SRM,30702047,DX MAMMO+CAD,976.19,San Ramon Regional Medical Center,2019
44,SRM,30702062,DX MAMMO+CAD,708.75,San Ramon Regional Medical Center,2019
45,SRM,30710016,INJ DUCTO/GALA,653.07,San Ramon Regional Medical Center,2019
46,SRM,30710040,ASP BREAST CYS,1625.32,San Ramon Regional Medical Center,2019
47,SRM,30760763,DEXA APENDCULR,630.88,San Ramon Regional Medical Center,2019
48,SRM,30765366,US SOFT HEAD/NK,2909.34,San Ramon Regional Medical Center,2019
49,SRM,30766042,US CHEST B-SCAN,2219.03,San Ramon Regional Medical Center,2019
50,SRM,30766422,US BREAST LTD,298.5,San Ramon Regional Medical Center,2019
51,SRM,30767057,US ABD LTD/FU,2910.9,San Ramon Regional Medical Center,2019
52,SRM,30768303,US TRANSVAGINAL,1222.68,San Ramon Regional Medical Center,2019
53,SRM,30770614,BRST TOMO UNI,103.95,San Ramon Regional Medical Center,2019
54,SRM,30770622,BRST TOMO BL,103.95,San Ramon Regional Medical Center,2019
55,SRM,30770630,SCRN TOMO BI,103.95,San Ramon Regional Medical Center,2019
56,SRM,30776074,DEXA VERT FX,394.8,San Ramon Regional Medical Center,2019
57,SRM,30791834,BX BRST US 1ST,3693.49,San Ramon Regional Medical Center,2019
58,SRM,30791842,BX BRST ADD,1901.67,San Ramon Regional Medical Center,2019
59,SRM,30792816,PERC DEVC 1ST,2406.53,San Ramon Regional Medical Center,2019
60,SRM,30792832,PERC BRST 1ST,4434.48,San Ramon Regional Medical Center,2019
61,SRM,30792840,PERC BRST ADD,787.7,San Ramon Regional Medical Center,2019
62,SRM,30792857,PERC BRST 1ST,4522.7,San Ramon Regional Medical Center,2019
63,SRM,30792865,PERC BRST ADD,547.26,San Ramon Regional Medical Center,2019
64,SRM,30800155,LITHOTRIPSY,28220.48,San Ramon Regional Medical Center,2019
65,SRM,30805907,LITHOTRIPSY,28220.48,San Ramon Regional Medical Center,2019
66,SRM,30830103,SP PROC W/LITHO,20535.11,San Ramon Regional Medical Center,2019
67,SRM,31001761,NON-STRESS TEST,1810.22,San Ramon Regional Medical Center,2019
68,SRM,31003809,US AMNIO LOC,3419.76,San Ramon Regional Medical Center,2019
69,SRM,31004716,ADM SNGL VACC,129.02,San Ramon Regional Medical Center,2019
70,SRM,31004724,ADM EA ADD VACC,76.35,San Ramon Regional Medical Center,2019
71,SRM,31007602,IV HYD INT>31M,931.02,San Ramon Regional Medical Center,2019
72,SRM,31007610,IV HYD ADD HR,544.6,San Ramon Regional Medical Center,2019
73,SRM,31007651,IV TX INIT 1 HR,972.01,San Ramon Regional Medical Center,2019
74,SRM,31007669,IV INF TX ADD H,240.04,San Ramon Regional Medical Center,2019
75,SRM,31007677,IV SEQUENTL 1HR,396.54,San Ramon Regional Medical Center,2019
76,SRM,31007743,INJ T/P/D IVP,511.65,San Ramon Regional Medical Center,2019
77,SRM,31007750,INJ ADD SEQ IVP,447.39,San Ramon Regional Medical Center,2019
78,SRM,31007768,SEQ IVP SAME DR,117.98,San Ramon Regional Medical Center,2019
79,SRM,31007826,INJ T/P/D SQ/IM,239.11,San Ramon Regional Medical Center,2019
80,SRM,31012024,SPEC PROC INT30,582.02,San Ramon Regional Medical Center,2019
81,SRM,31012032,SPEC PROC ADD15,317.2,San Ramon Regional Medical Center,2019
82,SRM,31012040,LBR SMPL 1ST HR,731.31,San Ramon Regional Medical Center,2019
83,SRM,31012057,LBR SMPL ADD HR,495.19,San Ramon Regional Medical Center,2019
84,SRM,31012065,LBR INT 1ST HR,1046.6,San Ramon Regional Medical Center,2019
85,SRM,31012073,LBR INT ADD HR,891.64,San Ramon Regional Medical Center,2019
86,SRM,31012081,LBR CPX 1ST HR,1539.69,San Ramon Regional Medical Center,2019
87,SRM,31012099,LBR CPX ADD HR,1312.07,San Ramon Regional Medical Center,2019
88,SRM,31012107,DELV SIMPLE,7324.8,San Ramon Regional Medical Center,2019
89,SRM,31012123,DELV COMPLEX,7013.68,San Ramon Regional Medical Center,2019
90,SRM,31012149,SURG LVI INT 30,2713.68,San Ramon Regional Medical Center,2019
91,SRM,31012156,SURG LVI EA 15,1477.56,San Ramon Regional Medical Center,2019
92,SRM,31012164,SURG LVII INT30,4335.69,San Ramon Regional Medical Center,2019
93,SRM,31012172,SURG LVII EA 15,2326.33,San Ramon Regional Medical Center,2019
94,SRM,31012180,SURG LVIII INT3,5691.35,San Ramon Regional Medical Center,2019
95,SRM,31012198,SURG LVIII EA15,2845.68,San Ramon Regional Medical Center,2019
96,SRM,31012206,SURG LVIV INT30,6631.87,San Ramon Regional Medical Center,2019
97,SRM,31012214,SURG LVIV EA 15,3314.52,San Ramon Regional Medical Center,2019
98,SRM,31012222,RECOVERY INT 30,756.05,San Ramon Regional Medical Center,2019
99,SRM,31012230,RECOVERY ADD 15,353.8,San Ramon Regional Medical Center,2019
100,SRM,31068166,US OB F/U PER,2117.52,San Ramon Regional Medical Center,2019
101,SRM,31101504,CIRCUMCISION,1067.23,San Ramon Regional Medical Center,2019
102,SRM,31101645,RESUSTN NEWBRN,1979.1,San Ramon Regional Medical Center,2019
103,SRM,31102106,INTUBATION,431.65,San Ramon Regional Medical Center,2019
104,SRM,31104714,HEP B VACC ADM ,137.69,San Ramon Regional Medical Center,2019
105,SRM,31104722,ADM SNGL VACC,129.02,San Ramon Regional Medical Center,2019
106,SRM,31192552,EVOKD AUDT SCRN,443.44,San Ramon Regional Medical Center,2019
107,SRM,32133126,ESOPHAGEAL ECHO,9291.24,San Ramon Regional Medical Center,2019
108,SRM,32135501,SURG LVI INT30,5650.55,San Ramon Regional Medical Center,2019
109,SRM,32135519,SURG LVI EA 15,2305.82,San Ramon Regional Medical Center,2019
110,SRM,32135527,SURG LVII INT30,5799.25,San Ramon Regional Medical Center,2019
111,SRM,32135535,SURG LVII EA15,2702.36,San Ramon Regional Medical Center,2019
112,SRM,32135543,SURG LVIII IN30,7197.14,San Ramon Regional Medical Center,2019
113,SRM,32135550,SURG LVIII EA15,2922.73,San Ramon Regional Medical Center,2019
114,SRM,32135568,SURG LVIV INT30,8388.64,San Ramon Regional Medical Center,2019
115,SRM,32135576,SURG LVIV EA 15,3402.21,San Ramon Regional Medical Center,2019
116,SRM,32135600,MAKO LVII INT30,5799.25,San Ramon Regional Medical Center,2019
117,SRM,32135618,MAKO LVII EA15,2702.36,San Ramon Regional Medical Center,2019
118,SRM,32135626,MAKO LVIII IN30,6511.08,San Ramon Regional Medical Center,2019
119,SRM,32135634,MAKO LVIII EA15,2644.12,San Ramon Regional Medical Center,2019
120,SRM,32135642,MAKO LVIV INT30,8781.99,San Ramon Regional Medical Center,2019
121,SRM,32135659,MAKO LVIV EA 15,3561.74,San Ramon Regional Medical Center,2019
122,SRM,32135725,DAVN LVII INT30,5799.25,San Ramon Regional Medical Center,2019
123,SRM,32135733,DAVN LVII EA15,2702.36,San Ramon Regional Medical Center,2019
124,SRM,32135741,DAVN LVIII IN30,6511.08,San Ramon Regional Medical Center,2019
125,SRM,32135758,DAVN LVIII EA15,2644.12,San Ramon Regional Medical Center,2019
126,SRM,32135766,DAVN LVIV INT30,8781.99,San Ramon Regional Medical Center,2019
127,SRM,32135774,DAVN LVIV EA 15,3561.74,San Ramon Regional Medical Center,2019
128,SRM,32168916,BLD AUTOSLV,3222.17,San Ramon Regional Medical Center,2019
129,SRM,32190225,RBC WASH AUTO,2873.98,San Ramon Regional Medical Center,2019
130,SRM,32210007,SPEC PROC INT30,4950.0,San Ramon Regional Medical Center,2019
131,SRM,32210155,SPEC PROC EA15M,2452.5,San Ramon Regional Medical Center,2019
132,SRM,32229601,CARDVRT ELECTRC,8625.38,San Ramon Regional Medical Center,2019
133,SRM,32235707,RECOVERY INT 30,2429.66,San Ramon Regional Medical Center,2019
134,SRM,32235715,RECOVERY EA 15M,674.43,San Ramon Regional Medical Center,2019
135,SRM,33035569,OH SURG INT 30,11893.03,San Ramon Regional Medical Center,2019
136,SRM,33035577,OH SURG EA15MIN,4756.0,San Ramon Regional Medical Center,2019
137,SRM,33068917,BLD AUTO SLV,2915.02,San Ramon Regional Medical Center,2019
138,SRM,33090226,RBC WASH AUTO,2600.03,San Ramon Regional Medical Center,2019
139,SRM,34127852,CORNEAL TISSUE,4730.0,San Ramon Regional Medical Center,2019
140,SRM,35035500,SURG LV I INT30,5599.71,San Ramon Regional Medical Center,2019
141,SRM,35035518,SURG LV I EA 15,2010.86,San Ramon Regional Medical Center,2019
142,SRM,35035526,SURG LV II IN30,7185.71,San Ramon Regional Medical Center,2019
143,SRM,35035534,SURG LVII EA 15,2925.41,San Ramon Regional Medical Center,2019
144,SRM,35035542,SURG LVIII IN30,7466.84,San Ramon Regional Medical Center,2019
145,SRM,35035559,SURG LVIII EA15,3032.24,San Ramon Regional Medical Center,2019
