,Group,ChargeCode,Description,Price,Hospital,Year
0,SCO,301100011,202 MICU,12261.0,Sharp Coronado Hospital,2019
1,SCO,301100012,206 INTERMEDIATE CARE,8745.0,Sharp Coronado Hospital,2019
2,SCO,301100550,OUTPAT OBSERVATION UNIT,383.0,Sharp Coronado Hospital,2019
3,SCO,301100555,OUTPATIENT OBS/HR,383.0,Sharp Coronado Hospital,2019
4,SCO,308300011,121 MED/SURG ACUTE,4874.0,Sharp Coronado Hospital,2019
5,SCO,308300012,206 INTERMEDIATE CARE,8745.0,Sharp Coronado Hospital,2019
6,SCO,308300550,OUTPT OBSERVATION UNIT,383.0,Sharp Coronado Hospital,2019
7,SCO,308300555,OUTPATIENT OBS/HR,383.0,Sharp Coronado Hospital,2019
8,SCO,308300556,OUTPT OBS ADMISSION,852.0,Sharp Coronado Hospital,2019
9,SCO,320200047,SNF PRIVATE,564.0,Sharp Coronado Hospital,2019
10,SCO,320200048,SNF SEMI PRIVATE,516.0,Sharp Coronado Hospital,2019
11,SCO,320600300,SUBACUTE VENT (LTC),1016.0,Sharp Coronado Hospital,2019
12,SCO,320600301,SUBACUTE NON VENT (LTC),1016.0,Sharp Coronado Hospital,2019
13,SCO,320600400,SNF RUG III VENT/NONVNT,1016.0,Sharp Coronado Hospital,2019
14,SCO,320700041,TCU SEMI,516.0,Sharp Coronado Hospital,2019
15,SCO,320700061,LTC RUG III,516.0,Sharp Coronado Hospital,2019
16,SCO,402102010,ANALYSIS NEUROSTIM W/PROGM       ,1019.0,Sharp Coronado Hospital,2019
17,SCO,402103010,SURG MINOR 1ST HR,10569.0,Sharp Coronado Hospital,2019
18,SCO,402103011,SURG MINOR 1/15MIN,2207.0,Sharp Coronado Hospital,2019
19,SCO,402103020,SURG MAJOR 1ST HR,13725.0,Sharp Coronado Hospital,2019
20,SCO,402103021,SURG MAJOR 1/15MIN,3093.0,Sharp Coronado Hospital,2019
21,SCO,402103030,SURG COMPLEX 1ST HR,20427.0,Sharp Coronado Hospital,2019
22,SCO,402103031,SURG COMPLEX 1/15MIN,4438.0,Sharp Coronado Hospital,2019
23,SCO,402103040,SURG COMPLEX HIGH 1ST HR,23856.0,Sharp Coronado Hospital,2019
24,SCO,402103041,SURG COMPLEX HIGH 1/15MIN,5431.0,Sharp Coronado Hospital,2019
25,SCO,402104034,AICD EP EVAL W/TEST          ,4230.0,Sharp Coronado Hospital,2019
26,SCO,402104035,NEUROSTIM GEN ANALSIS 1STHR  ,1506.0,Sharp Coronado Hospital,2019
27,SCO,402105099,CALC REFRACT STATE SELFPAY ,100.0,Sharp Coronado Hospital,2019
28,SCO,402901140,RECOVERY 1ST HR,1945.0,Sharp Coronado Hospital,2019
29,SCO,402901150,RECOVERY EA ADDL 30MIN,965.0,Sharp Coronado Hospital,2019
30,SCO,404102000,ANESTHESIA GENERAL 1ST HR,3641.0,Sharp Coronado Hospital,2019
31,SCO,404102001,ANESTHESIA GENERAL ADDL 15MIN,712.0,Sharp Coronado Hospital,2019
32,SCO,404102002,ANESTHESIA REGIONAL 1ST HR,2912.0,Sharp Coronado Hospital,2019
33,SCO,404102003,ANESTHESIA REGIONAL ADDL 15MIN,561.0,Sharp Coronado Hospital,2019
34,SCO,404102004,ANESTHESIA MAC 1ST HR,2308.0,Sharp Coronado Hospital,2019
35,SCO,404102005,ANESTHESIA MAC ADDL 15MIN,430.0,Sharp Coronado Hospital,2019
36,SCO,404102006,ANESTHESIA LOCAL,859.0,Sharp Coronado Hospital,2019
37,SCO,405200049,ENDO CLIP APPLIER ALL,1151.0,Sharp Coronado Hospital,2019
38,SCO,405200459,CVP SET MULTILUMEN ALL,1296.0,Sharp Coronado Hospital,2019
39,SCO,405200967,LENS STANDARD POSTERIOR,423.0,Sharp Coronado Hospital,2019
40,SCO,405200968,LENS STANDARD ANTERIOR ,255.0,Sharp Coronado Hospital,2019
41,SCO,405200977,LENS PRESBYOPIA CORRECTING       ,1941.0,Sharp Coronado Hospital,2019
42,SCO,405200978,LENS ASTIGMATISM CORRECTING      ,1111.0,Sharp Coronado Hospital,2019
43,SCO,405201004,LAVAGE TIP & TUBING            ,1640.0,Sharp Coronado Hospital,2019
44,SCO,405201007,LENS PRESBYOPIA UPGRADE(SELFPAY) ,759.0,Sharp Coronado Hospital,2019
45,SCO,405201008,LENS ASTIGMATISM UPGRADE(SELFPAY),344.0,Sharp Coronado Hospital,2019
46,SCO,405201022,EYE RETRACTOR IRIS    ,1070.0,Sharp Coronado Hospital,2019
47,SCO,405201423,PACK ORTHO TOTAL HIP,1105.0,Sharp Coronado Hospital,2019
48,SCO,405201425,PACK ORTHO TOTAL KNEE,931.0,Sharp Coronado Hospital,2019
49,SCO,405205046,PLATE DHS/DHHS HIP ALL,4488.0,Sharp Coronado Hospital,2019
50,SCO,405205364,SCREW LAG MODERATE,3566.0,Sharp Coronado Hospital,2019
51,SCO,405205372,SCREW CANCELLOUS,328.0,Sharp Coronado Hospital,2019
52,SCO,405205374,SCREW CORTICAL MODERATE,309.0,Sharp Coronado Hospital,2019
