,Group,ChargeCode,Description,Price, ,Hospital,Year
0,SGR,301100011,202 MICU,12261.0,,Sharp Grossmont Hospital,2019
1,SGR,301100012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
2,SGR,301100550,OUTPAT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
3,SGR,301100555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
4,SGR,301200011,201 SICU,12261.0,,Sharp Grossmont Hospital,2019
5,SGR,301200012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
6,SGR,301200020,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
7,SGR,301200550,OUTPT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
8,SGR,301200555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
9,SGR,301600011,201 SICU,12261.0,,Sharp Grossmont Hospital,2019
10,SGR,301600012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
11,SGR,301600550,OUTPT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
12,SGR,301600555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
13,SGR,303000011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
14,SGR,303000012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
15,SGR,303000550,OUTPAT OBSERVATION UNIT        ,383.0,,Sharp Grossmont Hospital,2019
16,SGR,303000555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
17,SGR,303100011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
18,SGR,303100012,206 INTERMEDIATE CARE     ,8745.0,,Sharp Grossmont Hospital,2019
19,SGR,303100550,OUTPT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
20,SGR,303100555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
21,SGR,303100556,OUTPT OBS ADMISSION,852.0,,Sharp Grossmont Hospital,2019
22,SGR,303300011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
23,SGR,303300012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
24,SGR,303300550,OUTPAT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
25,SGR,303300555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
26,SGR,308200011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
27,SGR,308200012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
28,SGR,308200550,OUTPT OBSERVATION UNIT         ,383.0,,Sharp Grossmont Hospital,2019
29,SGR,308200555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
30,SGR,308200556,OUTPT OBS ADMISSION,852.0,,Sharp Grossmont Hospital,2019
31,SGR,308400011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
32,SGR,308400012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
33,SGR,308400550,OUTPT OBSERVATION UNIT         ,383.0,,Sharp Grossmont Hospital,2019
34,SGR,308400555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
35,SGR,308400556,OUTPT OBS ADMISSION,852.0,,Sharp Grossmont Hospital,2019
