,Group,ChargeCode,Description,Price,Hospital,Year
0,SMH,301100011,202 MICU,12261.0,Sharp Mesa Vista Hospital,2019
1,SMH,301100012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
2,SMH,301100070,208 TRAUMA ICU,27791.0,Sharp Mesa Vista Hospital,2019
3,SMH,301100550,OUTPAT OBSERVATION UNIT        ,383.0,Sharp Mesa Vista Hospital,2019
4,SMH,301100555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
5,SMH,301200011,201 SICU,12261.0,Sharp Mesa Vista Hospital,2019
6,SMH,301200012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
7,SMH,301200070,208 TRAUMA ICU,27791.0,Sharp Mesa Vista Hospital,2019
8,SMH,301200550,OUTPT OBSERVATION UNIT,383.0,Sharp Mesa Vista Hospital,2019
9,SMH,301200555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
10,SMH,301500011,202 MICU,12261.0,Sharp Mesa Vista Hospital,2019
11,SMH,301500012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
12,SMH,301500070,208 TRAUMA ICU,27791.0,Sharp Mesa Vista Hospital,2019
13,SMH,301500550,OUTPAT OBSERVATION UNIT,383.0,Sharp Mesa Vista Hospital,2019
14,SMH,303000011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
15,SMH,303000012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
16,SMH,303000070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
17,SMH,303000550,OUTPAT OBSERVATION UNIT        ,383.0,Sharp Mesa Vista Hospital,2019
18,SMH,303000555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
19,SMH,303000556,OUTPT OBS ADMISSION,852.0,Sharp Mesa Vista Hospital,2019
20,SMH,303100011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
21,SMH,303100012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
22,SMH,303100070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
23,SMH,303100550,OUTPT OBSERVATION UNIT ,383.0,Sharp Mesa Vista Hospital,2019
24,SMH,303100555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
25,SMH,303100556,OUTPT OBS ADMISSION,852.0,Sharp Mesa Vista Hospital,2019
26,SMH,303200011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
27,SMH,303200012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
28,SMH,303200070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
29,SMH,303200550,OUTPAT OBSERVATION UNIT        ,383.0,Sharp Mesa Vista Hospital,2019
30,SMH,303200555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
31,SMH,303200556,OUTPT OBS ADMISSION,852.0,Sharp Mesa Vista Hospital,2019
32,SMH,303200655,TRAUMA OUTPT OBS,832.0,Sharp Mesa Vista Hospital,2019
33,SMH,303300011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
34,SMH,303300012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
35,SMH,303300070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
36,SMH,303300550,OUTPAT OBSERVATION UNIT,383.0,Sharp Mesa Vista Hospital,2019
37,SMH,303300555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
38,SMH,303300556,OUTPT OBS ADMISSION,852.0,Sharp Mesa Vista Hospital,2019
39,SMH,303300655,TRAUMA OUTPT OBS,832.0,Sharp Mesa Vista Hospital,2019
40,SMH,308200011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
41,SMH,308200012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
42,SMH,308200070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
43,SMH,308200550,OUTPT OBSERVATION UNIT         ,383.0,Sharp Mesa Vista Hospital,2019
44,SMH,308200555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
45,SMH,308200556,OUTPT OBS ADMISSION,852.0,Sharp Mesa Vista Hospital,2019
46,SMH,308200655,TRAUMA OUTPT OBS,832.0,Sharp Mesa Vista Hospital,2019
47,SMH,308400011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
48,SMH,308400012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
49,SMH,308400070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
50,SMH,308400550,OUTPT OBSERVATION UNIT         ,383.0,Sharp Mesa Vista Hospital,2019
51,SMH,308400555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
52,SMH,308400556,OUTPT OBS ADMISSION,852.0,Sharp Mesa Vista Hospital,2019
53,SMH,308400655,TRAUMA OUTPT OBS,832.0,Sharp Mesa Vista Hospital,2019
54,SMH,308500011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
55,SMH,308500012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
56,SMH,308500070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
57,SMH,308500550,OUTPT OBSERVATION UNIT         ,383.0,Sharp Mesa Vista Hospital,2019
58,SMH,308500555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
59,SMH,308500556,OUTPT OBS ADMISSION,852.0,Sharp Mesa Vista Hospital,2019
60,SMH,308600011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
61,SMH,308600012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
62,SMH,308600070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
63,SMH,308600550,OUTPT OBSERVATION UNIT         ,383.0,Sharp Mesa Vista Hospital,2019
64,SMH,308600555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
65,SMH,308600556,OUTPT OBS ADMISSION,852.0,Sharp Mesa Vista Hospital,2019
66,SMH,308700011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
67,SMH,308700012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
68,SMH,308700070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
69,SMH,308700550,OUTPT OBSERVATION UNIT         ,383.0,Sharp Mesa Vista Hospital,2019
70,SMH,308700555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
71,SMH,308700556,OUTPT OBS ADMISSION,852.0,Sharp Mesa Vista Hospital,2019
72,SMH,308900011,121 MED/SURG ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
73,SMH,308900012,206 INTERMEDIATE CARE,8745.0,Sharp Mesa Vista Hospital,2019
74,SMH,308900070,208 TRAUMA     ,25318.0,Sharp Mesa Vista Hospital,2019
75,SMH,308900550,OUTPT OBSERVATION UNIT         ,383.0,Sharp Mesa Vista Hospital,2019
76,SMH,308900555,OUTPATIENT OBS/HR,383.0,Sharp Mesa Vista Hospital,2019
77,SMH,308900655,TRAUMA OUTPT OBS,832.0,Sharp Mesa Vista Hospital,2019
78,SMH,316100005,129 OB SPECIAL CARE,7978.0,Sharp Mesa Vista Hospital,2019
79,SMH,316100011,121 MED/SURG OR GYN ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
80,SMH,316100015,171 NEWBORN ACUTE,1942.0,Sharp Mesa Vista Hospital,2019
81,SMH,316100025,BILI/BOARDER,1942.0,Sharp Mesa Vista Hospital,2019
82,SMH,316100030,122 OB ACUTE,4874.0,Sharp Mesa Vista Hospital,2019
83,SMH,316100550,OUTPAT OBSERVATION UNIT        ,383.0,Sharp Mesa Vista Hospital,2019
