,HSP,CHARGE CODE,Description,Price,Hospital,Year
0,SVM,20100020,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
1,SVM,20100178,ICU TRAUMA,12696.0,Sierra Vista Regional Medical Center,2019
2,SVM,20100228,ICU GEN,12696.0,Sierra Vista Regional Medical Center,2019
3,SVM,20100624,ICU INTERMED,11719.0,Sierra Vista Regional Medical Center,2019
4,SVM,20500013,PRIVATE,5371.0,Sierra Vista Regional Medical Center,2019
5,SVM,20500021,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
6,SVM,20500179,ICU TRAUMA,12696.0,Sierra Vista Regional Medical Center,2019
7,SVM,20500229,ICU GEN,12696.0,Sierra Vista Regional Medical Center,2019
8,SVM,20500260,CCU GEN,12696.0,Sierra Vista Regional Medical Center,2019
9,SVM,20500351,CCU INTERMED,11719.0,Sierra Vista Regional Medical Center,2019
10,SVM,20500625,ICU INTERMED,11719.0,Sierra Vista Regional Medical Center,2019
11,SVM,21200027,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
12,SVM,21200175,ICU TRAUMA,12696.0,Sierra Vista Regional Medical Center,2019
13,SVM,21200225,ICU GEN,12696.0,Sierra Vista Regional Medical Center,2019
14,SVM,21200498,SEMI-PRIV PEDS,5695.0,Sierra Vista Regional Medical Center,2019
15,SVM,21200621,ICU INTERMED,11719.0,Sierra Vista Regional Medical Center,2019
16,SVM,21600010,PRIVATE,5371.0,Sierra Vista Regional Medical Center,2019
17,SVM,21600028,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
18,SVM,21600036,WARD GEN 3/4,4980.0,Sierra Vista Regional Medical Center,2019
19,SVM,21600358,CCU INTERMED,11719.0,Sierra Vista Regional Medical Center,2019
20,SVM,21600622,ICU INTERMED,11719.0,Sierra Vista Regional Medical Center,2019
21,SVM,22100127,NEWBORN LVL II,13420.0,Sierra Vista Regional Medical Center,2019
22,SVM,22100135,NICU NB LVL II,13420.0,Sierra Vista Regional Medical Center,2019
23,SVM,22100200,NICU NB LVL IV,30585.0,Sierra Vista Regional Medical Center,2019
24,SVM,22100705,NICU NB LVL III,18578.0,Sierra Vista Regional Medical Center,2019
25,SVM,23000011,PRIVATE,5371.0,Sierra Vista Regional Medical Center,2019
26,SVM,23000029,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
27,SVM,23000037,WARD GEN 3/4,4980.0,Sierra Vista Regional Medical Center,2019
28,SVM,23000441,SEMI-PRIV O B,5695.0,Sierra Vista Regional Medical Center,2019
29,SVM,23100019,PRIVATE,5371.0,Sierra Vista Regional Medical Center,2019
30,SVM,23100027,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
31,SVM,23100035,WARD GEN 3/4,4980.0,Sierra Vista Regional Medical Center,2019
32,SVM,23500010,PRIVATE,5371.0,Sierra Vista Regional Medical Center,2019
33,SVM,23500028,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
34,SVM,23500036,WARD GEN 3/4,4980.0,Sierra Vista Regional Medical Center,2019
35,SVM,23500499,SEMI-PRIV PEDS,5695.0,Sierra Vista Regional Medical Center,2019
36,SVM,24000028,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
37,SVM,24000119,NEWBORN OTHER,3376.0,Sierra Vista Regional Medical Center,2019
38,SVM,24000127,NEWBORN LVL II,13420.0,Sierra Vista Regional Medical Center,2019
39,SVM,24000481,PRIV PEDS,5695.0,Sierra Vista Regional Medical Center,2019
40,SVM,24000499,SEMI-PRIV PEDS,5695.0,Sierra Vista Regional Medical Center,2019
41,SVM,24000705,NICU NB LVL III,18578.0,Sierra Vista Regional Medical Center,2019
42,SVM,25000019,PRIVATE,5371.0,Sierra Vista Regional Medical Center,2019
43,SVM,25000027,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
44,SVM,25000118,NEWBORN OTHER,3376.0,Sierra Vista Regional Medical Center,2019
45,SVM,25000449,SEMI-PRIV O B,5695.0,Sierra Vista Regional Medical Center,2019
46,SVM,25000498,SEMI-PRIV PEDS,5695.0,Sierra Vista Regional Medical Center,2019
47,SVM,25000993,SEMI-PRIV OB,5271.0,Sierra Vista Regional Medical Center,2019
48,SVM,25100025,SEMI-PRIVATE,5176.0,Sierra Vista Regional Medical Center,2019
49,SVM,25100124,NEWBORN LVL II,13420.0,Sierra Vista Regional Medical Center,2019
50,SVM,25100447,SEMI-PRIV O B,5695.0,Sierra Vista Regional Medical Center,2019
51,SVM,25100991,SEMI-PRIV OB,5271.0,Sierra Vista Regional Medical Center,2019
52,SVM,25500109,NEWBORN LVL I,2929.0,Sierra Vista Regional Medical Center,2019
53,SVM,25500117,NEWBORN OTHER,3376.0,Sierra Vista Regional Medical Center,2019
54,SVM,30800155,LITHOTRIPSY,17618.93,Sierra Vista Regional Medical Center,2019
55,SVM,30805907,LITHOTRIPSY,22483.42,Sierra Vista Regional Medical Center,2019
56,SVM,30830103,SP PROC W/LITHO,6460.77,Sierra Vista Regional Medical Center,2019
57,SVM,31001753,FETAL BIOPHYS,785.04,Sierra Vista Regional Medical Center,2019
58,SVM,31001761,NON-STRESS TEST,1120.0,Sierra Vista Regional Medical Center,2019
59,SVM,31003809,US AMNIO LOC,1245.03,Sierra Vista Regional Medical Center,2019
60,SVM,31005002,US OB LTD 1OR>,1504.49,Sierra Vista Regional Medical Center,2019
61,SVM,31005101,US OB>14WK SGL,2207.75,Sierra Vista Regional Medical Center,2019
62,SVM,31007602,IV HYD INT>31M,1040.47,Sierra Vista Regional Medical Center,2019
63,SVM,31007610,IV HYD ADD HR,499.99,Sierra Vista Regional Medical Center,2019
64,SVM,31007651,IV TX INIT 1 HR,930.86,Sierra Vista Regional Medical Center,2019
65,SVM,31007669,IV INF TX ADD H,413.59,Sierra Vista Regional Medical Center,2019
66,SVM,31007743,INJ T/P/D IVP,427.26,Sierra Vista Regional Medical Center,2019
67,SVM,31007750,INJ ADD SEQ IVP,177.74,Sierra Vista Regional Medical Center,2019
68,SVM,31007826,INJ T/P/D SQ/IM,91.76,Sierra Vista Regional Medical Center,2019
69,SVM,31012024,SPEC PROC INT30,1004.38,Sierra Vista Regional Medical Center,2019
70,SVM,31012032,SPEC PROC ADD15,197.11,Sierra Vista Regional Medical Center,2019
71,SVM,31012040,LBR SMPL 1ST HR,682.58,Sierra Vista Regional Medical Center,2019
72,SVM,31012057,LBR SMPL ADD HR,513.13,Sierra Vista Regional Medical Center,2019
73,SVM,31012065,LBR INT 1ST HR,791.86,Sierra Vista Regional Medical Center,2019
74,SVM,31012073,LBR INT ADD HR,593.61,Sierra Vista Regional Medical Center,2019
75,SVM,31012081,LBR CPX 1ST HR,1069.31,Sierra Vista Regional Medical Center,2019
76,SVM,31012099,LBR CPX ADD HR,742.87,Sierra Vista Regional Medical Center,2019
77,SVM,31012107,DELV SIMPLE,4910.63,Sierra Vista Regional Medical Center,2019
78,SVM,31012123,DELV COMPLEX,5819.28,Sierra Vista Regional Medical Center,2019
79,SVM,31012149,SURG LVI INT 30,3403.63,Sierra Vista Regional Medical Center,2019
80,SVM,31012180,SURG LVIII INT3,6051.03,Sierra Vista Regional Medical Center,2019
81,SVM,31012198,SURG LVIII EA15,3024.87,Sierra Vista Regional Medical Center,2019
82,SVM,31012206,SURG LVIV INT30,7840.06,Sierra Vista Regional Medical Center,2019
83,SVM,31012214,SURG LVIV EA 15,3918.71,Sierra Vista Regional Medical Center,2019
84,SVM,31012222,RECOVERY INT 30,339.66,Sierra Vista Regional Medical Center,2019
85,SVM,31012230,RECOVERY ADD 15,301.34,Sierra Vista Regional Medical Center,2019
86,SVM,31068166,US OB F/U PER,1937.83,Sierra Vista Regional Medical Center,2019
87,SVM,31068174,US OB TRANSVAG,515.11,Sierra Vista Regional Medical Center,2019
88,SVM,31100803,AER DEMO/EVAL,353.23,Sierra Vista Regional Medical Center,2019
89,SVM,31101256,NEB DEMO/EVAL,353.23,Sierra Vista Regional Medical Center,2019
90,SVM,31101405,CHEST PHYSIO TX,520.3,Sierra Vista Regional Medical Center,2019
91,SVM,31101504,CIRCUMCISION,1124.17,Sierra Vista Regional Medical Center,2019
92,SVM,31101603,CPAP INITIAL,661.85,Sierra Vista Regional Medical Center,2019
93,SVM,31101629,CPAP NEO SUBSQ,661.85,Sierra Vista Regional Medical Center,2019
94,SVM,31101645,RESUSTN NEWBRN,1320.51,Sierra Vista Regional Medical Center,2019
95,SVM,31101702,NEB DEMO/EVAL,353.23,Sierra Vista Regional Medical Center,2019
96,SVM,31101769,NEBULIZER TX,246.12,Sierra Vista Regional Medical Center,2019
97,SVM,31101801,EKG,913.07,Sierra Vista Regional Medical Center,2019
98,SVM,31102007,PNEUMOGRM,5614.9,Sierra Vista Regional Medical Center,2019
99,SVM,31102106,INTUBATION,409.56,Sierra Vista Regional Medical Center,2019
100,SVM,31102783,SURG PROC1ST1/2,2610.27,Sierra Vista Regional Medical Center,2019
101,SVM,31102841,SURG EA ADD MIN,79.75,Sierra Vista Regional Medical Center,2019
102,SVM,31104714,HEP B VACC ADM ,68.65,Sierra Vista Regional Medical Center,2019
103,SVM,31105208,OXYGEN INITIAL,199.5,Sierra Vista Regional Medical Center,2019
104,SVM,31105240,OXYGEN-HOURLY,230.31,Sierra Vista Regional Medical Center,2019
105,SVM,31105406,OXYHOOD-INIT,685.58,Sierra Vista Regional Medical Center,2019
106,SVM,31105422,OXYHOOD-HOURLY,780.64,Sierra Vista Regional Medical Center,2019
107,SVM,31106156,HI FRQ VNT INI,12251.27,Sierra Vista Regional Medical Center,2019
108,SVM,31106164,HI FRQ VNT SUB,8108.0,Sierra Vista Regional Medical Center,2019
109,SVM,31106206,VENT INITIAL,12251.27,Sierra Vista Regional Medical Center,2019
110,SVM,31106214,VENT SUBSQ/DLY,8108.0,Sierra Vista Regional Medical Center,2019
111,SVM,31120140,EYE EXAM / TRT,237.25,Sierra Vista Regional Medical Center,2019
