,Charge Code,Charge Descripton,CPT 4,Price,Rev,GL,Hospital,Year
0,2050000,ROOM RATE INCREASES ONLY,,0.0,111,3030,Southern California Hospital at Hollywood,2019
1,2050026,CORONARY CARE UNIT,,12346.0,210,3030,Southern California Hospital at Hollywood,2019
2,2050062,INTENSIVE CARE INTERMED,,7760.0,206,3030,Southern California Hospital at Hollywood,2019
3,2050063,STEP DOWN UNIT,,7760.0,206,3030,Southern California Hospital at Hollywood,2019
4,2290000,ROOM RATE INCREASES ONLY,,0.0,111,3010,Southern California Hospital at Hollywood,2019
5,2290022,INTENSIVE CARE UNIT,,12346.0,200,3010,Southern California Hospital at Hollywood,2019
6,2290062,INTENSIVE CARE INTERMED,,7760.0,206,3010,Southern California Hospital at Hollywood,2019
7,2290063,STEP DOWN UNIT,,7760.0,206,3010,Southern California Hospital at Hollywood,2019
8,2320000,ROOM RATE INCREASES ONLY,,0.0,111,3150,Southern California Hospital at Hollywood,2019
9,2320001,PRIVATE ROOM,,4333.0,111,3150,Southern California Hospital at Hollywood,2019
10,2320002,SEMI-PRIVATE ROOM,,4115.0,120,3150,Southern California Hospital at Hollywood,2019
11,2320003,PRIVATE ADMIN DAYS,,4333.0,169,3150,Southern California Hospital at Hollywood,2019
12,2320004,SEMI-PRIVATE ADMIN DAYS,,4115.0,169,3150,Southern California Hospital at Hollywood,2019
13,2320021,ONCOLOGY PRIVATE,,4333.0,117,3150,Southern California Hospital at Hollywood,2019
14,2320023,ONCOLOGY SEMI-PRIVATE,,4115.0,127,3150,Southern California Hospital at Hollywood,2019
15,2320062,INTENSIVE CARE INTERMED,,7760.0,206,3150,Southern California Hospital at Hollywood,2019
16,2320063,STEP DOWN UNIT,,7760.0,206,3150,Southern California Hospital at Hollywood,2019
17,2320083,SEMI-PRIVATE DETOX,,2323.0,126,3420,Southern California Hospital at Hollywood,2019
18,2350000,ROOM RATE INCREASES ONLY,,0.0,111,3170,Southern California Hospital at Hollywood,2019
19,2350001,PRIVATE ROOM,,4333.0,111,3170,Southern California Hospital at Hollywood,2019
20,2350002,SEMI-PRIVATE ROOM,,4115.0,120,3170,Southern California Hospital at Hollywood,2019
21,2350003,PRIVATE ADMIN DAYS,,4333.0,169,3170,Southern California Hospital at Hollywood,2019
22,2350004,SEMI-PRIVATE ADMIN DAYS,,4115.0,169,3170,Southern California Hospital at Hollywood,2019
23,2350021,ONCOLOGY PRIVATE,,4333.0,117,3170,Southern California Hospital at Hollywood,2019
24,2350023,ONCOLOGY SEMI-PRIVATE,,4115.0,127,3170,Southern California Hospital at Hollywood,2019
25,2350083,SEMI-PRIVATE DETOX,,2323.0,126,3420,Southern California Hospital at Hollywood,2019
26,2360002,SEMI-PRIVATE ROOM TOWER 5,,4115.0,120,3171,Southern California Hospital at Hollywood,2019
27,2360004,SEMI-PRIVATE ADMIN DAYS,,4115.0,169,3171,Southern California Hospital at Hollywood,2019
28,2370001,MED/SURG-OTHER PRIVATE ROOM,,4333.0,111,3179,Southern California Hospital at Hollywood,2019
29,2370002,MED/SURG-OTHER SEMI-PRIVATE ROOM,,4115.0,120,3179,Southern California Hospital at Hollywood,2019
30,2370004,SEMI-PRIVATE ADMIN DAYS,,4115.0,169,3179,Southern California Hospital at Hollywood,2019
31,2370062,INTENSIVE CARE INTERMEDIATE,,7760.0,206,3179,Southern California Hospital at Hollywood,2019
32,2370063,STEP DOWN UNIT,,7760.0,206,3179,Southern California Hospital at Hollywood,2019
33,2390000,ROOM RATE INCREASES ONLY,,0.0,111,3130,Southern California Hospital at Hollywood,2019
34,2390001,PRIVATE ROOM,,4333.0,111,3130,Southern California Hospital at Hollywood,2019
35,2390002,SEMI-PRIVATE ROOM,,4115.0,120,3130,Southern California Hospital at Hollywood,2019
36,2390003,PRIVATE ADMIN DAYS,,4333.0,169,3130,Southern California Hospital at Hollywood,2019
37,2390004,SEMI-PRIVATE ADMIN DAYS,,4115.0,169,3130,Southern California Hospital at Hollywood,2019
38,2390022,INTENSIVE CARE UNIT,,12346.0,200,3130,Southern California Hospital at Hollywood,2019
39,2390026,CORONARY CARE UNIT,,12346.0,210,3130,Southern California Hospital at Hollywood,2019
40,2390062,INTENSIVE CARE INTERMED,,7760.0,206,3130,Southern California Hospital at Hollywood,2019
41,2390063,STEP DOWN UNIT,,7760.0,206,3130,Southern California Hospital at Hollywood,2019
42,2430003,PSYCH GERIATRIC PRIVATE ADMIN DAYS,,2058.0,169,3341,Southern California Hospital at Hollywood,2019
43,2430004,PSYCH GERIATRIC SEMI-PRIVATE ADMIN DAYS,,1881.0,169,3341,Southern California Hospital at Hollywood,2019
44,2430039,PSYCH GERIATRIC SEMI-PRIVATE,,1881.0,124,3341,Southern California Hospital at Hollywood,2019
45,2430052,PSYCH GERIATRIC PRIVATE,,2058.0,114,3341,Southern California Hospital at Hollywood,2019
46,2450000,ROOM RATE INCREASES ONLY,,0.0,111,3340,Southern California Hospital at Hollywood,2019
47,2450003,PSYCH PRIVATE ADMIN DAY,,2058.0,169,3340,Southern California Hospital at Hollywood,2019
48,2450004,PSYCH SEMI-PRIVATE ADMIN DAY,,1881.0,169,3340,Southern California Hospital at Hollywood,2019
49,2450039,PSYCH SEMI-PRIVATE,,1881.0,124,3340,Southern California Hospital at Hollywood,2019
50,2450052,PSYCH PRIVATE,,2058.0,114,3340,Southern California Hospital at Hollywood,2019
51,2450055,INTENSIVE CARE PSYCH,,470.0,204,3340,Southern California Hospital at Hollywood,2019
52,2550031,NEWBORN LVL II-BOARDER-PHOTOTHERAPY,,5291.0,172,3530,Southern California Hospital at Hollywood,2019
53,2550032,NEWBORN LVL II-ACUTE HIGH RISK-TRANSFER,,5676.0,172,3530,Southern California Hospital at Hollywood,2019
54,2550057,NEWBORN LVL I - NORMAL AND ROOMING IN,,2378.0,171,3530,Southern California Hospital at Hollywood,2019
55,2650000,ROOM RATE INCREASES ONLY,,0.0,111,3420,Southern California Hospital at Hollywood,2019
56,2650083,SEMI-PRIVATE DETOX,,2323.0,126,3420,Southern California Hospital at Hollywood,2019
57,2650084,SEMI-PVT DETOX REHAB,,2323.0,128,3420,Southern California Hospital at Hollywood,2019
58,2650085,DRUG & ALCOHOL REHAB SEMI-PRIVATE,,2323.0,128,3420,Southern California Hospital at Hollywood,2019
59,2700000,ROOM RATE INCREASES ONLY,,0.0,111,3440,Southern California Hospital at Hollywood,2019
60,2700041,REHAB SEMI-PRIVATE,,2323.0,128,3440,Southern California Hospital at Hollywood,2019
61,2700065,PRIVATE REHABILITATION,,2469.0,118,3440,Southern California Hospital at Hollywood,2019
62,2710014,SNF PRIVATE,,2469.0,119,3582,Southern California Hospital at Hollywood,2019
63,2710015,SNF SEMI-PRIVATE,,2323.0,129,3582,Southern California Hospital at Hollywood,2019
64,2710016,SNF WARD,,764.0,139,3582,Southern California Hospital at Hollywood,2019
65,2810017,SUBACUTE-NON VENT MINIMUM,,1411.0,191,3560,Southern California Hospital at Hollywood,2019
66,2810018,SUBACUTE-NON VENT,,2234.0,192,3560,Southern California Hospital at Hollywood,2019
67,2810019,SUBACUTE-VENT,,2469.0,193,3560,Southern California Hospital at Hollywood,2019
68,2810020,SUBACUTE-VENT COMPLICATED,,2587.0,194,3560,Southern California Hospital at Hollywood,2019
69,2810121,SUBACUTE-LEAVE OF ABSENCE DAYS,,1117.0,181,3560,Southern California Hospital at Hollywood,2019
70,3100150,CIRCUMCISION PROCEDURE,,286.0,723,4400,Southern California Hospital at Hollywood,2019
71,3100165,AMNIOCENTESIS BEDSIDE,,900.0,761,4400,Southern California Hospital at Hollywood,2019
72,3100167,DILATION AND CURETTAGE,,4586.0,360,4400,Southern California Hospital at Hollywood,2019
73,3100168,TUBAL LIGATION,,7777.0,360,4400,Southern California Hospital at Hollywood,2019
74,3100175,FETAL STRESS TEST,,865.0,920,4400,Southern California Hospital at Hollywood,2019
75,3100176,FETAL NON STRESS TEST,,539.0,920,4400,Southern California Hospital at Hollywood,2019
76,3100224,RECOV POST-SURG ADD MIN,,25.0,710,4400,Southern California Hospital at Hollywood,2019
77,3100225,RECOV POST-VAG 1 HOUR,,795.0,710,4400,Southern California Hospital at Hollywood,2019
78,3100226,RECOV POST-VAG 1ST 1/2 HOUR,,425.0,710,4400,Southern California Hospital at Hollywood,2019
79,3100227,RECOV POST-VAG ADD MIN,,14.0,710,4400,Southern California Hospital at Hollywood,2019
80,3100410,ANESTH GENERAL (L&D) 1ST HOUR,,3675.0,370,4400,Southern California Hospital at Hollywood,2019
81,3100411,ANESTH GENERAL (L&D) ADD'L MIN,,61.0,370,4400,Southern California Hospital at Hollywood,2019
82,3100412,ANESTH GENERAL (L&D) 1ST 1/2 HOUR,,1820.0,370,4400,Southern California Hospital at Hollywood,2019
83,3100421,SPINAL ANESTH (L&D) ADD'L MIN,,16.0,370,4400,Southern California Hospital at Hollywood,2019
84,3100422,SPINAL ANESTH (L&D) 1ST HOUR,,912.0,370,4400,Southern California Hospital at Hollywood,2019
85,3100430,EPIDURAL (L&D),,762.0,370,4400,Southern California Hospital at Hollywood,2019
86,3100760,"IV HYDRATION INTIAL, TO 1 HR",96360,385.0,720,4400,Southern California Hospital at Hollywood,2019
87,3100765,IV INF WITH MEDS 1ST HOUR (IVPB),96365,385.0,720,4400,Southern California Hospital at Hollywood,2019
88,3100766,IV INF WITH MEDS EA ADD HR SAME BAG,96366,235.0,750,4400,Southern California Hospital at Hollywood,2019
89,3100767,IV INF SUBS BAG DIFFERENT DRUG,96367,220.0,720,4400,Southern California Hospital at Hollywood,2019
90,3100774,"IV INJ OR IV PUSH, INITIAL",96374,193.0,720,4400,Southern California Hospital at Hollywood,2019
91,3100775,IV PUSH EA ADD NEW MED,96375,193.0,720,4400,Southern California Hospital at Hollywood,2019
92,3100776,IV PUSH SAME MED - 30 MIN APART,96376,220.0,720,4400,Southern California Hospital at Hollywood,2019
93,3100782,INJECTION IM/SUBQ,96372,88.0,720,4400,Southern California Hospital at Hollywood,2019
94,3100783,BREAST STIMULATION STRESS TEST,,1019.0,720,4400,Southern California Hospital at Hollywood,2019
95,3100791,"IV HYDRATION, ADD'L HOURS",96361,193.0,720,4400,Southern California Hospital at Hollywood,2019
96,3100810,HEARING SCREEN INPATIENT,92551,164.0,471,4400,Southern California Hospital at Hollywood,2019
97,3101200,OB TRIAGE OR ER 20WKS OR >,G0463,270.0,514,4400,Southern California Hospital at Hollywood,2019
98,3101204,LABOR SIMPLE PER HOUR,,447.0,721,4400,Southern California Hospital at Hollywood,2019
99,3101206,LABOR INTERMEDIATE PER HOUR,,515.0,721,4400,Southern California Hospital at Hollywood,2019
100,3101208,LABOR COMPLEX PER HOUR,,583.0,721,4400,Southern California Hospital at Hollywood,2019
101,3101210,DELIVERY SVSC MODERATE INTENS,,5829.0,722,4400,Southern California Hospital at Hollywood,2019
102,3101212,DELIVERY SVCS HIGH INTENS - FORCEPS,,8018.0,722,4400,Southern California Hospital at Hollywood,2019
